
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:01.010]   Join
[00:01:19.770 --> 00:01:20.000]  .
[00:01:20.000 --> 00:01:20.000]  
[00:01:20.000 --> 00:01:20.320]   Well
[00:01:20.320 --> 00:01:20.400]   I
[00:01:20.400 --> 00:01:20.840]   think
[00:01:20.840 --> 00:01:21.120]   what
[00:01:21.120 --> 00:01:21.320]  's
[00:01:21.320 --> 00:01:22.060]   happened
[00:01:22.060 --> 00:01:22.370]   is
[00:01:22.370 --> 00:01:22.380]   that
[00:01:22.380 --> 00:01:22.850]   people
[00:01:22.850 --> 00:01:23.090]   got
[00:01:23.090 --> 00:01:23.720]   confused
[00:01:23.720 --> 00:01:24.060]  .
[00:01:24.060 --> 00:01:24.250]   Like
[00:01:24.250 --> 00:01:24.310]   I
[00:01:24.310 --> 00:01:24.650]   used
[00:01:24.650 --> 00:01:24.680]   to
[00:01:24.680 --> 00:01:25.000]   write
[00:01:25.000 --> 00:01:25.130]   a
[00:01:25.130 --> 00:01:25.250]   lot
[00:01:25.250 --> 00:01:25.570]   about
[00:01:25.570 --> 00:01:26.000]   stocks
[00:01:26.000 --> 00:01:26.280]   and
[00:01:26.280 --> 00:01:26.740]   would
[00:01:26.740 --> 00:01:27.110]   give
[00:01:27.110 --> 00:01:27.570]   stock
[00:01:27.570 --> 00:01:27.940]   tips
[00:01:27.940 --> 00:01:29.000]   essentially
[00:01:29.000 --> 00:01:29.000]  .
[00:01:29.000 --> 00:01:29.210]   And
[00:01:29.210 --> 00:01:29.490]   then
[00:01:29.490 --> 00:01:30.040]   suddenly
[00:01:30.040 --> 00:01:30.110]   I
[00:01:30.110 --> 00:01:30.650]   started
[00:01:30.650 --> 00:01:31.090]   writing
[00:01:31.090 --> 00:01:31.420]   about
[00:01:31.420 --> 00:01:31.770]   these
[00:01:31.770 --> 00:01:32.120]   other
[00:01:32.120 --> 00:01:32.530]   topics
[00:01:32.530 --> 00:01:32.740]   and
[00:01:32.740 --> 00:01:33.260]   my
[00:01:33.260 --> 00:01:33.430]   articles
[00:01:33.430 --> 00:01:33.780]   began
[00:01:33.780 --> 00:01:34.260]   getting
[00:01:34.260 --> 00:01:34.540]   synd
[00:01:34.540 --> 00:01:35.090]  icated
[00:01:35.090 --> 00:01:35.130]   on
[00:01:35.130 --> 00:01:35.440]   other
[00:01:35.440 --> 00:01:36.000]   formats
[00:01:36.000 --> 00:01:36.000]  .
[00:01:36.000 --> 00:01:36.250]   Like
[00:01:36.250 --> 00:01:36.300]   I
[00:01:36.300 --> 00:01:36.420]  'm
[00:01:36.420 --> 00:01:36.540]   on
[00:01:36.540 --> 00:01:36.780]   life
[00:01:36.780 --> 00:01:36.870]  h
[00:01:36.870 --> 00:01:37.140]  acker
[00:01:37.140 --> 00:01:37.320]  .
[00:01:37.320 --> 00:01:37.500]  com
[00:01:37.500 --> 00:01:37.620]  ,
[00:01:37.620 --> 00:01:37.680]   I
[00:01:37.680 --> 00:01:37.800]  'm
[00:01:37.800 --> 00:01:37.920]   on
[00:01:37.920 --> 00:01:38.220]   freak
[00:01:38.220 --> 00:01:38.460]  onom
[00:01:38.460 --> 00:01:38.640]  ics
[00:01:38.640 --> 00:01:38.820]  .
[00:01:38.820 --> 00:01:39.000]  com
[00:01:39.000 --> 00:01:39.120]  ,
[00:01:39.120 --> 00:01:39.180]   I
[00:01:39.180 --> 00:01:39.300]  'm
[00:01:39.300 --> 00:01:39.420]   on
[00:01:39.420 --> 00:01:39.600]   the
[00:01:39.600 --> 00:01:39.770]  ele
[00:01:39.770 --> 00:01:40.080]  phant
[00:01:40.080 --> 00:01:40.320]  jour
[00:01:40.320 --> 00:01:40.500]  nal
[00:01:40.500 --> 00:01:40.760]  .
[00:01:40.760 --> 00:01:41.000]  com
[00:01:41.000 --> 00:01:41.530]   which
[00:01:41.530 --> 00:01:41.740]   is
[00:01:41.740 --> 00:01:42.210]   like
[00:01:42.210 --> 00:01:42.260]   a
[00:01:42.260 --> 00:01:43.090]   yoga
[00:01:43.090 --> 00:01:43.530]   Buddhist
[00:01:43.530 --> 00:01:44.000]   blog
[00:01:44.000 --> 00:01:44.000]  .
[00:01:44.000 --> 00:01:44.040]  
[00:01:44.040 --> 00:01:44.170]   And
[00:01:44.170 --> 00:01:44.220]   I
[00:01:44.220 --> 00:01:44.610]  've
[00:01:44.610 --> 00:01:44.620]   been
[00:01:44.620 --> 00:01:44.830]   synd
[00:01:44.830 --> 00:01:45.170]  icated
[00:01:45.170 --> 00:01:45.280]   in
[00:01:45.280 --> 00:01:45.670]   various
[00:01:45.670 --> 00:01:46.010]   places
[00:01:46.010 --> 00:01:46.180]   and
[00:01:46.180 --> 00:01:46.400]   that
[00:01:46.400 --> 00:01:46.510]  's
[00:01:46.510 --> 00:01:46.960]   bringing
[00:01:46.960 --> 00:01:47.060]   in
[00:01:47.060 --> 00:01:47.290]   a
[00:01:47.290 --> 00:01:47.390]   new
[00:01:47.390 --> 00:01:47.740]   audience
[00:01:47.740 --> 00:01:48.000]  .
[00:01:48.000 --> 00:01:48.420]   Because
[00:01:48.420 --> 00:01:48.570]   on
[00:01:48.570 --> 00:01:48.660]   my
[00:01:48.660 --> 00:01:48.960]   blog
[00:01:48.960 --> 00:01:49.080]   I
[00:01:49.080 --> 00:01:49.260]  'm
[00:01:49.260 --> 00:01:49.310]   not
[00:01:49.310 --> 00:01:49.560]   about
[00:01:49.560 --> 00:01:49.920]   stocks
[00:01:49.920 --> 00:01:50.040]   or
[00:01:50.040 --> 00:01:50.460]   finance
[00:01:50.460 --> 00:01:50.580]   at
[00:01:50.580 --> 00:01:50.760]   all
[00:01:50.760 --> 00:01:51.000]  .
[00:01:51.000 --> 00:01:51.130]   I
[00:01:51.130 --> 00:01:51.390]  'm
[00:01:51.390 --> 00:01:52.170]   really
[00:01:52.170 --> 00:01:53.230]   about
[00:01:53.230 --> 00:01:53.740]   finding
[00:01:53.740 --> 00:01:54.260]   sort
[00:01:54.260 --> 00:01:54.520]   of
[00:01:54.520 --> 00:01:54.910]   the
[00:01:54.910 --> 00:01:56.240]   stresses
[00:01:56.240 --> 00:01:56.330]   that
[00:01:56.330 --> 00:01:56.490]   we
[00:01:56.490 --> 00:01:57.000]   assume
[00:01:57.000 --> 00:01:57.230]   are
[00:01:57.230 --> 00:01:57.530]   just
[00:01:57.530 --> 00:01:58.000]   normal
[00:01:58.000 --> 00:01:58.000]   in
[00:01:58.000 --> 00:01:58.000]   life
[00:01:58.000 --> 00:01:58.170]   and
[00:01:58.170 --> 00:01:58.400]   kind
[00:01:58.400 --> 00:01:58.510]   of
[00:01:58.510 --> 00:01:58.800]   under
[00:01:58.800 --> 00:01:59.150]  lining
[00:01:59.150 --> 00:01:59.410]   that
[00:01:59.410 --> 00:01:59.610]   they
[00:01:59.610 --> 00:01:59.780]  're
[00:01:59.780 --> 00:01:59.950]   not
[00:01:59.950 --> 00:02:00.300]   normal
[00:02:00.300 --> 00:02:00.470]   and
[00:02:00.470 --> 00:02:00.580]   we
[00:02:00.580 --> 00:02:00.750]   don
[00:02:00.750 --> 00:02:00.860]  't
[00:02:00.860 --> 00:02:01.090]   need
[00:02:01.090 --> 00:02:01.200]   to
[00:02:01.200 --> 00:02:01.310]   be
[00:02:01.310 --> 00:02:01.780]   stressed
[00:02:01.780 --> 00:02:02.070]   about
[00:02:02.070 --> 00:02:02.370]   these
[00:02:02.370 --> 00:02:02.710]   things
[00:02:02.710 --> 00:02:03.000]  .
[00:02:03.000 --> 00:02:03.070]   I
[00:02:03.070 --> 00:02:03.450]  'm
[00:02:03.450 --> 00:02:03.720]   trying
[00:02:03.720 --> 00:02:03.880]   to
[00:02:03.880 --> 00:02:04.600]   basically
[00:02:04.600 --> 00:02:05.210]   through
[00:02:05.210 --> 00:02:05.320]   my
[00:02:05.320 --> 00:02:05.560]   own
[00:02:05.560 --> 00:02:06.450]   experiences
[00:02:06.450 --> 00:02:06.610]   of
[00:02:06.610 --> 00:02:07.090]   trying
[00:02:07.090 --> 00:02:07.250]   to
[00:02:07.250 --> 00:02:07.490]   not
[00:02:07.490 --> 00:02:07.810]   lead
[00:02:07.810 --> 00:02:07.890]   a
[00:02:07.890 --> 00:02:08.870]   miserable
[00:02:08.870 --> 00:02:09.000]   life
[00:02:09.000 --> 00:02:09.140]  ,
[00:02:09.140 --> 00:02:09.210]   I
[00:02:09.210 --> 00:02:09.350]  'm
[00:02:09.350 --> 00:02:09.810]   trying
[00:02:09.810 --> 00:02:09.920]   to
[00:02:09.920 --> 00:02:10.210]   help
[00:02:10.210 --> 00:02:10.640]   people
[00:02:10.640 --> 00:02:10.930]   lead
[00:02:10.930 --> 00:02:10.970]   a
[00:02:10.970 --> 00:02:11.570]   better
[00:02:11.570 --> 00:02:11.720]   life
[00:02:11.720 --> 00:02:12.000]  .
[00:02:12.000 --> 00:02:12.000]  
[00:02:12.000 --> 00:02:12.060]   I
[00:02:12.060 --> 00:02:12.360]   think
[00:02:12.360 --> 00:02:12.450]   I
[00:02:12.450 --> 00:02:12.720]   might
[00:02:12.720 --> 00:02:12.960]   have
[00:02:12.960 --> 00:02:13.020]   a
[00:02:13.020 --> 00:02:13.200]   tag
[00:02:13.200 --> 00:02:13.440]  line
[00:02:13.440 --> 00:02:13.620]   for
[00:02:13.620 --> 00:02:13.870]   you
[00:02:13.870 --> 00:02:14.000]  .
[00:02:14.000 --> 00:02:14.120]   It
[00:02:14.120 --> 00:02:14.430]   would
[00:02:14.430 --> 00:02:14.550]   be
[00:02:14.550 --> 00:02:14.610]   "
[00:02:14.610 --> 00:02:14.730]  No
[00:02:14.730 --> 00:02:15.160]   college
[00:02:15.160 --> 00:02:15.280]  ,
[00:02:15.280 --> 00:02:15.400]   no
[00:02:15.400 --> 00:02:15.650]   home
[00:02:15.650 --> 00:02:15.770]  ,
[00:02:15.770 --> 00:02:15.890]   no
[00:02:15.890 --> 00:02:16.260]   stocks
[00:02:16.260 --> 00:02:16.460]   and
[00:02:16.460 --> 00:02:17.060]   absolutely
[00:02:17.060 --> 00:02:17.180]   no
[00:02:17.180 --> 00:02:17.820]   bullshit
[00:02:17.820 --> 00:02:18.000]  ."
[00:02:18.000 --> 00:02:18.340]   Yeah
[00:02:18.340 --> 00:02:18.420]   I
[00:02:18.420 --> 00:02:18.760]   like
[00:02:18.760 --> 00:02:19.100]   that
[00:02:19.100 --> 00:02:19.360]   tag
[00:02:19.360 --> 00:02:19.700]  line
[00:02:19.700 --> 00:02:20.000]  .
[00:02:20.000 --> 00:02:20.270]   Well
[00:02:20.270 --> 00:02:20.400]   it
[00:02:20.400 --> 00:02:20.530]  's
[00:02:20.530 --> 00:02:20.870]   funny
[00:02:20.870 --> 00:02:21.340]   because
[00:02:21.340 --> 00:02:21.470]   it
[00:02:21.470 --> 00:02:21.600]  's
[00:02:21.600 --> 00:02:22.070]   related
[00:02:22.070 --> 00:02:22.200]   to
[00:02:22.200 --> 00:02:22.690]   almost
[00:02:22.690 --> 00:02:22.880]   like
[00:02:22.880 --> 00:02:23.010]   an
[00:02:23.010 --> 00:02:23.410]   insult
[00:02:23.410 --> 00:02:23.690]   that
[00:02:23.690 --> 00:02:24.160]   someone
[00:02:24.160 --> 00:02:24.360]   put
[00:02:24.360 --> 00:02:24.490]   on
[00:02:24.490 --> 00:02:25.000]   my
[00:02:25.000 --> 00:02:25.000]   blog
[00:02:25.000 --> 00:02:25.000]  .
[00:02:25.000 --> 00:02:25.880]   Somebody
[00:02:25.880 --> 00:02:25.940]   said
[00:02:25.940 --> 00:02:26.010]   "
[00:02:26.010 --> 00:02:26.160]  So
[00:02:26.160 --> 00:02:26.390]   let
[00:02:26.390 --> 00:02:26.540]   me
[00:02:26.540 --> 00:02:26.770]   get
[00:02:26.770 --> 00:02:27.080]   this
[00:02:27.080 --> 00:02:27.940]   straight
[00:02:27.940 --> 00:02:28.000]  .
[00:02:28.000 --> 00:02:28.170]   You
[00:02:28.170 --> 00:02:28.500]   want
[00:02:28.500 --> 00:02:28.630]   your
[00:02:28.630 --> 00:02:29.140]   daughters
[00:02:29.140 --> 00:02:29.260]   to
[00:02:29.260 --> 00:02:29.400]   be
[00:02:29.400 --> 00:02:29.540]   les
[00:02:29.540 --> 00:02:29.590]  b
[00:02:29.590 --> 00:02:29.880]  ians
[00:02:29.880 --> 00:02:30.000]  ,
[00:02:30.000 --> 00:02:30.180]   not
[00:02:30.180 --> 00:02:30.350]   go
[00:02:30.350 --> 00:02:30.420]   to
[00:02:30.420 --> 00:02:30.870]   college
[00:02:30.870 --> 00:02:31.000]  ,
[00:02:31.000 --> 00:02:31.320]   never
[00:02:31.320 --> 00:02:31.490]   own
[00:02:31.490 --> 00:02:31.910]   stocks
[00:02:31.910 --> 00:02:32.000]  ,
[00:02:32.000 --> 00:02:32.380]   never
[00:02:32.380 --> 00:02:32.610]   own
[00:02:32.610 --> 00:02:32.680]   a
[00:02:32.680 --> 00:02:33.000]   home
[00:02:33.000 --> 00:02:33.280]   and
[00:02:33.280 --> 00:02:33.750]   never
[00:02:33.750 --> 00:02:34.130]   give
[00:02:34.130 --> 00:02:34.310]   to
[00:02:34.310 --> 00:02:35.000]   charity
[00:02:35.000 --> 00:02:35.000]  .
[00:02:35.000 --> 00:02:35.000]  
[00:02:35.000 --> 00:02:35.580]   And
[00:02:35.580 --> 00:02:36.160]   you
[00:02:36.160 --> 00:02:36.750]  're
[00:02:36.750 --> 00:02:37.900]   saying
[00:02:37.900 --> 00:02:38.480]   you
[00:02:38.480 --> 00:02:39.250]  're
[00:02:39.250 --> 00:02:39.300]   a
[00:02:39.300 --> 00:02:40.020]   good
[00:02:40.020 --> 00:02:41.180]   father
[00:02:41.180 --> 00:02:42.000]  ."
[00:02:42.000 --> 00:02:42.050]   And
[00:02:42.050 --> 00:02:42.100]   you
[00:02:42.100 --> 00:02:42.170]   know
[00:02:42.170 --> 00:02:42.220]   the
[00:02:42.220 --> 00:02:42.270]   guy
[00:02:42.270 --> 00:02:42.340]   makes
[00:02:42.340 --> 00:02:42.360]   a
[00:02:42.360 --> 00:02:42.530]   reasonable
[00:02:42.530 --> 00:02:42.620]   point
[00:02:42.620 --> 00:02:42.680]   that
[00:02:42.680 --> 00:02:42.710]   if
[00:02:42.710 --> 00:02:42.790]   you
[00:02:42.790 --> 00:02:42.830]   kind
[00:02:42.830 --> 00:02:42.860]   of
[00:02:42.860 --> 00:02:43.000]   take
[00:02:43.000 --> 00:02:43.920]   what
[00:02:43.920 --> 00:02:44.150]   I
[00:02:44.150 --> 00:02:45.080]  'm
[00:02:45.080 --> 00:02:46.000]   saying
[00:02:46.000 --> 00:02:46.320]   at
[00:02:46.320 --> 00:02:47.080]   total
[00:02:47.080 --> 00:02:47.470]   face
[00:02:47.470 --> 00:02:48.000]   value
[00:02:48.000 --> 00:02:48.000]  ,
[00:02:48.000 --> 00:02:48.140]   it
[00:02:48.140 --> 00:02:48.560]   almost
[00:02:48.560 --> 00:02:49.010]   sounds
[00:02:49.010 --> 00:02:49.260]   like
[00:02:49.260 --> 00:02:49.330]   a
[00:02:49.330 --> 00:02:49.540]   net
[00:02:49.540 --> 00:02:50.150]   negative
[00:02:50.150 --> 00:02:50.390]   when
[00:02:50.390 --> 00:02:50.530]   in
[00:02:50.530 --> 00:02:51.020]   reality
[00:02:51.020 --> 00:02:51.160]   it
[00:02:51.160 --> 00:02:51.510]   takes
[00:02:51.510 --> 00:02:51.790]   some
[00:02:51.790 --> 00:02:52.360]   thinking
[00:02:52.360 --> 00:02:52.570]   and
[00:02:52.570 --> 00:02:52.920]   going
[00:02:52.920 --> 00:02:53.410]   through
[00:02:53.410 --> 00:02:53.620]   the
[00:02:53.620 --> 00:02:54.210]   blog
[00:02:54.210 --> 00:02:54.230]   what
[00:02:54.230 --> 00:02:54.260]   I
[00:02:54.260 --> 00:02:54.360]  'm
[00:02:54.360 --> 00:02:54.670]   saying
[00:02:54.670 --> 00:02:54.770]   is
[00:02:54.770 --> 00:02:54.820]   a
[00:02:54.820 --> 00:02:55.030]   very
[00:02:55.030 --> 00:02:55.450]   positive
[00:02:55.450 --> 00:02:55.810]   message
[00:02:55.810 --> 00:02:56.000]  .
[00:02:56.000 --> 00:02:56.000]  
[00:02:56.000 --> 00:02:56.190]   Right
