
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.400]   Just
[00:00:39.830 --> 00:00:40.100]   cancer
[00:00:40.100 --> 00:00:40.320]   and
[00:00:40.320 --> 00:00:40.760]   They
[00:00:40.760 --> 00:00:41.110]   realized
[00:00:41.110 --> 00:00:41.420]   that
[00:00:41.420 --> 00:00:41.630]   life
[00:00:41.630 --> 00:00:42.030]   really
[00:00:42.030 --> 00:00:42.160]   is
[00:00:42.160 --> 00:00:42.360]   for
[00:00:42.360 --> 00:00:42.800]   living
[00:00:42.800 --> 00:00:43.000]   but
[00:00:43.000 --> 00:00:43.550]   Pete
[00:00:43.550 --> 00:00:43.690]   had
[00:00:43.690 --> 00:00:44.020]   that
[00:00:44.020 --> 00:00:44.190]   at
[00:00:44.190 --> 00:00:44.680]   seven
[00:00:44.680 --> 00:00:45.110]   So
[00:00:45.110 --> 00:00:45.220]   Pete
[00:00:45.220 --> 00:00:45.530]   who
[00:00:45.530 --> 00:00:45.670]  's
[00:00:45.670 --> 00:00:45.960]   now
[00:00:45.960 --> 00:00:46.610]   25
[00:00:46.610 --> 00:00:47.120]   is
[00:00:47.120 --> 00:00:47.350]   married
[00:00:47.350 --> 00:00:47.640]   with
[00:00:47.640 --> 00:00:47.850]   two
[00:00:47.850 --> 00:00:48.140]   kids
[00:00:48.140 --> 00:00:48.360]   and
[00:00:48.360 --> 00:00:48.520]   is
[00:00:48.520 --> 00:00:48.840]   financially
[00:00:48.840 --> 00:00:49.420]   free
[00:00:49.420 --> 00:00:49.590]   and
[00:00:49.590 --> 00:00:49.600]   he
[00:00:49.600 --> 00:00:50.100]   puts
[00:00:50.100 --> 00:00:50.130]   his
[00:00:50.130 --> 00:00:50.410]   good
[00:00:50.410 --> 00:00:50.920]   fortune
[00:00:50.920 --> 00:00:51.220]   down
[00:00:51.220 --> 00:00:51.370]   to
[00:00:51.370 --> 00:00:51.680]   this
[00:00:51.680 --> 00:00:52.400]   realization
[00:00:52.400 --> 00:00:52.660]   that
[00:00:52.660 --> 00:00:52.790]   he
[00:00:52.790 --> 00:00:52.980]   had
[00:00:52.980 --> 00:00:53.240]   when
[00:00:53.240 --> 00:00:53.370]   he
[00:00:53.370 --> 00:00:53.560]   was
[00:00:53.560 --> 00:00:53.920]   seven
[00:00:54.320 --> 00:00:54.670]  
[00:00:54.670 --> 00:00:54.730]   Another
[00:00:54.730 --> 00:00:55.370]   interesting
[00:00:55.370 --> 00:00:55.660]   thing
[00:00:55.660 --> 00:00:55.950]   about
[00:00:55.950 --> 00:00:56.180]   Pete
[00:00:56.180 --> 00:00:56.410]   is
[00:00:56.410 --> 00:00:56.540]   that
[00:00:56.540 --> 00:00:56.630]   he
[00:00:56.630 --> 00:00:56.800]   maj
[00:00:56.800 --> 00:00:57.030]  ored
[00:00:57.030 --> 00:00:57.140]   in
[00:00:57.140 --> 00:00:57.790]   statistics
[00:00:57.790 --> 00:00:58.150]  .
[00:00:58.150 --> 00:00:58.150]   It
[00:00:58.150 --> 00:00:58.290]  's
[00:00:58.290 --> 00:00:58.540]   a
[00:00:58.540 --> 00:00:59.130]   combination
[00:00:59.130 --> 00:00:59.280]   of
[00:00:59.280 --> 00:01:00.020]   Statistics
[00:01:00.020 --> 00:01:00.180]   no
[00:01:00.180 --> 00:01:00.450]   fear
[00:01:00.450 --> 00:01:00.800]   and
[00:01:00.800 --> 00:01:01.160]   really
[00:01:01.160 --> 00:01:01.480]   going
[00:01:01.480 --> 00:01:01.700]   for
[00:01:01.700 --> 00:01:01.990]   what
[00:01:01.990 --> 00:01:02.130]   he
[00:01:02.130 --> 00:01:02.570]   wanted
[00:01:02.570 --> 00:01:02.710]   is
[00:01:02.710 --> 00:01:02.930]   how
[00:01:02.930 --> 00:01:03.250]   he
[00:01:03.250 --> 00:01:03.580]   retired
[00:01:03.580 --> 00:01:03.720]   by
[00:01:03.720 --> 00:01:03.940]   the
[00:01:03.940 --> 00:01:04.160]   age
[00:01:04.160 --> 00:01:04.300]   of
[00:01:04.300 --> 00:01:04.840]   25
[00:01:04.840 --> 00:01:04.980]   and
[00:01:04.980 --> 00:01:05.180]   that
[00:01:05.180 --> 00:01:05.290]  's
[00:01:05.290 --> 00:01:05.560]   what
[00:01:05.560 --> 00:01:05.690]   this
[00:01:05.690 --> 00:01:06.200]   interviews
[00:01:06.200 --> 00:01:06.480]   about
[00:01:20.920 --> 00:01:20.920]  
[00:01:20.920 --> 00:01:21.390]   Welcome
[00:01:21.390 --> 00:01:21.520]   to
[00:01:21.520 --> 00:01:21.790]   tech
[00:01:21.790 --> 00:01:22.060]   sing
[00:01:22.060 --> 00:01:22.460]   38
[00:01:22.460 --> 00:01:22.860]   hosted
[00:01:22.860 --> 00:01:22.990]   by
[00:01:22.990 --> 00:01:23.390]   myself
[00:01:23.390 --> 00:01:23.790]   Justin
[00:01:23.790 --> 00:01:24.260]   Vincent
[00:01:24.260 --> 00:01:24.460]   and
[00:01:24.460 --> 00:01:24.800]   Jason
[00:01:24.800 --> 00:01:25.350]   Roberts
[00:01:25.350 --> 00:01:25.650]   and
[00:01:25.650 --> 00:01:25.920]   today
[00:01:25.920 --> 00:01:26.000]   we
[00:01:26.000 --> 00:01:26.150]   have
[00:01:26.150 --> 00:01:26.180]   a
[00:01:26.180 --> 00:01:26.460]   special
[00:01:26.460 --> 00:01:26.650]   guest
[00:01:26.650 --> 00:01:26.800]   with
[00:01:26.800 --> 00:01:26.920]   us
[00:01:26.920 --> 00:01:27.220]   Pete
[00:01:27.220 --> 00:01:27.230]   m
[00:01:27.230 --> 00:01:27.270]  ish
[00:01:27.270 --> 00:01:27.320]  aw
[00:01:27.320 --> 00:01:27.560]  ed
[00:01:27.560 --> 00:01:27.810]   The
[00:01:27.810 --> 00:01:28.150]   ch
[00:01:28.150 --> 00:01:28.250]  ame
[00:01:28.250 --> 00:01:28.400]  le
[00:01:28.400 --> 00:01:28.570]  on
[00:01:28.570 --> 00:01:28.740]   of
[00:01:28.740 --> 00:01:29.070]   tech
[00:01:29.070 --> 00:01:29.690]   who
[00:01:29.690 --> 00:01:29.920]   started
[00:01:29.920 --> 00:01:30.170]   his
[00:01:30.170 --> 00:01:30.680]   online
[00:01:30.680 --> 00:01:31.190]   career
[00:01:31.190 --> 00:01:31.350]   as
[00:01:31.350 --> 00:01:31.640]   Ken
[00:01:31.640 --> 00:01:32.090]   sharp
[00:01:32.090 --> 00:01:32.870]   a
[00:01:32.870 --> 00:01:33.620]   lot
[00:01:33.620 --> 00:01:33.880]   like
[00:01:33.880 --> 00:01:34.140]   David
[00:01:34.140 --> 00:01:34.180]   Bow
[00:01:34.180 --> 00:01:34.240]  ie
[00:01:34.240 --> 00:01:34.410]   has
[00:01:34.410 --> 00:01:34.580]   had
[00:01:34.580 --> 00:01:34.690]   an
[00:01:34.690 --> 00:01:34.970]   alter
[00:01:34.970 --> 00:01:35.160]   ego
[00:01:35.160 --> 00:01:35.480]   Zig
[00:01:35.480 --> 00:01:35.700]  gy
[00:01:35.700 --> 00:01:35.810]   St
[00:01:35.810 --> 00:01:35.950]  ard
[00:01:35.950 --> 00:01:36.120]  ust
[00:01:36.120 --> 00:01:36.770]   But
[00:01:36.770 --> 00:01:37.680]   more
[00:01:37.680 --> 00:01:39.400]   recently
[00:01:39.400 --> 00:01:39.530]   he
[00:01:39.530 --> 00:01:39.660]  's
[00:01:39.660 --> 00:01:40.200]   actually
[00:01:40.200 --> 00:01:40.390]   But
[00:01:40.390 --> 00:01:41.170]   extremely
[00:01:41.170 --> 00:01:41.230]   well
[00:01:41.230 --> 00:01:41.420]   for
[00:01:41.420 --> 00:01:41.880]   himself
[00:01:41.880 --> 00:01:42.060]   and
[00:01:42.060 --> 00:01:42.520]   retired
[00:01:42.520 --> 00:01:42.640]   at
[00:01:42.640 --> 00:01:42.830]   the
[00:01:42.830 --> 00:01:43.020]   age
[00:01:43.020 --> 00:01:43.150]   of
[00:01:43.150 --> 00:01:43.600]   25
[00:01:43.600 --> 00:01:44.540]   Jason
[00:01:44.540 --> 00:01:44.600]   I
[00:01:44.600 --> 00:01:44.860]   know
[00:01:44.860 --> 00:01:45.120]   that
[00:01:45.120 --> 00:01:45.540]   you
[00:01:45.540 --> 00:01:45.630]   found
[00:01:45.630 --> 00:01:45.890]   Pete
[00:01:45.890 --> 00:01:45.950]   m
[00:01:45.950 --> 00:01:46.140]  ish
[00:01:46.140 --> 00:01:46.270]  aw
[00:01:46.270 --> 00:01:46.440]  ed
[00:01:46.440 --> 00:01:46.590]   via
[00:01:46.590 --> 00:01:46.780]   his
[00:01:46.780 --> 00:01:47.160]   essay
[00:01:47.160 --> 00:01:47.260]  .
[00:01:47.260 --> 00:01:47.330]   So
[00:01:47.330 --> 00:01:47.510]   maybe
[00:01:47.510 --> 00:01:47.610]   you
[00:01:47.610 --> 00:01:47.670]  'd
[00:01:47.670 --> 00:01:47.820]   like
[00:01:47.820 --> 00:01:47.910]   to
[00:01:47.910 --> 00:01:47.980]   do
[00:01:47.980 --> 00:01:47.990]   a
[00:01:47.990 --> 00:01:48.200]   little
[00:01:48.200 --> 00:01:48.300]   bit
[00:01:48.300 --> 00:01:48.440]   more
[00:01:48.440 --> 00:01:48.510]   of
[00:01:48.510 --> 00:01:48.580]   an
[00:01:48.580 --> 00:01:48.760]   intro
[00:01:48.760 --> 00:01:49.020]   there
[00:01:49.200 --> 00:01:49.600]  
[00:01:49.600 --> 00:01:49.830]   Yeah
[00:01:49.830 --> 00:01:50.140]  ,
[00:01:50.140 --> 00:01:50.500]   so
[00:01:50.500 --> 00:01:50.640]   I
[00:01:50.640 --> 00:01:50.830]   I
[00:01:50.830 --> 00:01:51.010]   guess
[00:01:51.010 --> 00:01:51.320]   the
[00:01:51.320 --> 00:01:51.360]   the
[00:01:51.360 --> 00:01:51.780]   episode
[00:01:51.780 --> 00:01:51.970]   the
[00:01:51.970 --> 00:01:52.510]   essay
[00:01:52.510 --> 00:01:52.570]   that
[00:01:52.570 --> 00:01:52.880]   caught
[00:01:52.880 --> 00:01:53.020]   my
[00:01:53.020 --> 00:01:53.600]   attention
[00:01:53.600 --> 00:01:53.910]   Was
[00:01:53.910 --> 00:01:54.220]   how
[00:01:54.220 --> 00:01:54.320]   I
[00:01:54.320 --> 00:01:55.050]   retired
[00:01:55.050 --> 00:01:55.300]   at
[00:01:55.300 --> 00:01:55.570]   age
[00:01:55.570 --> 00:01:56.240]   25
[00:01:56.240 --> 00:01:56.380]  ,
[00:01:56.380 --> 00:01:56.600]   but
[00:01:56.600 --> 00:01:57.020]   after
[00:01:57.020 --> 00:01:57.470]   reading
[00:01:57.470 --> 00:01:57.640]   it
[00:01:57.640 --> 00:01:57.730]   I
[00:01:57.730 --> 00:01:58.070]   realized
[00:01:58.070 --> 00:01:58.260]   that
[00:01:58.260 --> 00:01:58.300]   I
[00:01:58.300 --> 00:01:58.440]   had
[00:01:58.440 --> 00:01:58.660]   read
[00:01:58.660 --> 00:01:58.940]   almost
[00:01:58.940 --> 00:01:59.060]   all
[00:01:59.060 --> 00:01:59.150]   of
[00:01:59.150 --> 00:01:59.320]   his
[00:01:59.320 --> 00:01:59.580]   essays
[00:01:59.580 --> 00:01:59.920]   because
[00:01:59.920 --> 00:02:00.220]   they
[00:02:00.220 --> 00:02:00.770]   Almost
[00:02:00.770 --> 00:02:00.790]   all
[00:02:00.790 --> 00:02:00.930]   of
[00:02:00.930 --> 00:02:01.130]   them
[00:02:01.130 --> 00:02:01.310]   had
[00:02:01.310 --> 00:02:01.800]   appeared
[00:02:01.800 --> 00:02:02.070]   on
[00:02:02.070 --> 00:02:02.100]   the
[00:02:02.100 --> 00:02:02.410]   front
[00:02:02.410 --> 00:02:02.770]   page
[00:02:02.770 --> 00:02:02.780]   of
[00:02:02.780 --> 00:02:03.170]   hacker
[00:02:03.170 --> 00:02:03.380]   news
[00:02:03.380 --> 00:02:03.500]   at
[00:02:03.500 --> 00:02:03.720]   one
[00:02:03.720 --> 00:02:03.990]   point
[00:02:03.990 --> 00:02:04.120]   or
[00:02:04.120 --> 00:02:04.640]   another
[00:02:04.640 --> 00:02:05.040]   right
[00:02:05.040 --> 00:02:05.440]   for
[00:02:05.440 --> 00:02:05.490]   at
[00:02:05.490 --> 00:02:05.840]   least
[00:02:05.840 --> 00:02:06.270]   the
[00:02:06.270 --> 00:02:06.480]   least
[00:02:06.480 --> 00:02:06.660]   of
[00:02:06.660 --> 00:02:06.920]   the
[00:02:06.920 --> 00:02:07.200]   more
[00:02:07.200 --> 00:02:07.670]   recent
[00:02:07.670 --> 00:02:08.000]   ones
[00:02:08.000 --> 00:02:08.280]   and
[00:02:08.280 --> 00:02:08.490]   and
[00:02:08.490 --> 00:02:08.530]   I
[00:02:08.530 --> 00:02:09.240]   realized
[00:02:09.240 --> 00:02:09.310]   they
[00:02:09.310 --> 00:02:09.610]   were
[00:02:09.610 --> 00:02:09.760]   all
[00:02:09.760 --> 00:02:10.200]   really
[00:02:10.200 --> 00:02:11.040]   interesting
[00:02:11.040 --> 00:02:11.280]   and
[00:02:11.280 --> 00:02:11.520]   That
[00:02:11.520 --> 00:02:11.640]  's
[00:02:11.640 --> 00:02:11.820]   why
[00:02:11.820 --> 00:02:11.880]   I
[00:02:11.880 --> 00:02:12.300]   thought
[00:02:12.300 --> 00:02:12.510]   it
[00:02:12.510 --> 00:02:12.540]  'd
[00:02:12.540 --> 00:02:12.660]   be
[00:02:12.660 --> 00:02:12.720]   a
[00:02:12.720 --> 00:02:12.960]   good
[00:02:12.960 --> 00:02:13.200]   idea
[00:02:13.200 --> 00:02:13.320]   to
[00:02:13.320 --> 00:02:13.550]   get
[00:02:13.550 --> 00:02:13.810]   Pete
[00:02:13.810 --> 00:02:13.860]   on
[00:02:13.860 --> 00:02:14.080]   the
[00:02:14.080 --> 00:02:14.280]   show
[00:02:14.280 --> 00:02:14.460]   and
[00:02:14.460 --> 00:02:14.700]   talk
[00:02:14.700 --> 00:02:14.760]   a
[00:02:14.760 --> 00:02:15.120]   little
[00:02:15.120 --> 00:02:15.360]   more
[00:02:15.360 --> 00:02:15.600]   with
[00:02:15.600 --> 00:02:15.820]   him
[00:02:15.820 --> 00:02:16.080]   about
[00:02:16.080 --> 00:02:16.220]   it
[00:02:16.220 --> 00:02:18.720]   so
[00:02:18.720 --> 00:02:18.850]  
[00:02:18.850 --> 00:02:18.950]   So
[00:02:18.950 --> 00:02:19.080]   for
[00:02:19.080 --> 00:02:19.560]   starters
[00:02:19.560 --> 00:02:19.840]   Pete
[00:02:19.840 --> 00:02:19.900]  ,
[00:02:19.900 --> 00:02:19.990]   why
[00:02:19.990 --> 00:02:20.080]   don
[00:02:20.080 --> 00:02:20.140]  't
[00:02:20.140 --> 00:02:20.230]   you
[00:02:20.230 --> 00:02:20.360]   just
[00:02:20.360 --> 00:02:20.530]   give
[00:02:20.530 --> 00:02:20.550]   us
[00:02:20.550 --> 00:02:20.580]   a
[00:02:20.580 --> 00:02:20.770]   little
[00:02:20.770 --> 00:02:20.860]   bit
[00:02:20.860 --> 00:02:20.920]   of
[00:02:20.920 --> 00:02:21.400]   background
[00:02:21.400 --> 00:02:21.760]   on
[00:02:21.760 --> 00:02:22.320]   you
[00:02:22.320 --> 00:02:22.480]   know
[00:02:22.480 --> 00:02:22.710]   Who
[00:02:22.710 --> 00:02:23.070]   you
[00:02:23.070 --> 00:02:23.170]   are
[00:02:23.170 --> 00:02:23.400]   and
[00:02:23.400 --> 00:02:23.700]   what
[00:02:23.700 --> 00:02:23.930]   you
[00:02:23.930 --> 00:02:24.080]   do
[00:02:24.080 --> 00:02:24.310]   and
[00:02:24.310 --> 00:02:25.070]   everything
[00:02:25.070 --> 00:02:25.600]   because
[00:02:25.600 --> 00:02:26.200]   from
[00:02:26.200 --> 00:02:26.220]   what
[00:02:26.220 --> 00:02:26.500]   from
[00:02:26.500 --> 00:02:27.000]   our
[00:02:27.000 --> 00:02:27.640]   perspective
[00:02:27.640 --> 00:02:27.640]  ?
[00:02:27.640 --> 00:02:27.700]   I
[00:02:27.700 --> 00:02:27.960]   mean
[00:02:27.960 --> 00:02:28.090]   at
[00:02:28.090 --> 00:02:28.490]   least
[00:02:28.490 --> 00:02:28.680]   from
[00:02:28.680 --> 00:02:28.810]   my
[00:02:28.810 --> 00:02:29.200]   I
[00:02:29.200 --> 00:02:29.210]   guess
[00:02:29.210 --> 00:02:29.510]   from
[00:02:29.510 --> 00:02:29.640]   my
[00:02:29.640 --> 00:02:29.920]   point
[00:02:29.920 --> 00:02:30.050]   of
[00:02:30.050 --> 00:02:30.360]   view
[00:02:30.360 --> 00:02:30.880]   you
[00:02:30.880 --> 00:02:31.280]   are
[00:02:31.280 --> 00:02:31.600]   an
[00:02:31.600 --> 00:02:32.400]   essay
[00:02:32.400 --> 00:02:32.900]  ist
[00:02:32.900 --> 00:02:33.260]   Right
[00:02:33.260 --> 00:02:33.390]  ,
[00:02:33.390 --> 00:02:33.690]   you
[00:02:33.690 --> 00:02:33.980]   write
[00:02:33.980 --> 00:02:34.050]   a
[00:02:34.050 --> 00:02:34.410]   bunch
[00:02:34.410 --> 00:02:34.580]   of
[00:02:34.580 --> 00:02:34.910]   stuff
[00:02:34.910 --> 00:02:35.200]   that
[00:02:35.200 --> 00:02:35.560]   shows
[00:02:35.560 --> 00:02:35.700]   up
[00:02:35.700 --> 00:02:35.860]   on
[00:02:35.860 --> 00:02:36.280]   hacker
[00:02:36.280 --> 00:02:36.660]   news
[00:02:36.660 --> 00:02:36.820]  .
[00:02:36.820 --> 00:02:36.950]   You
[00:02:36.950 --> 00:02:37.370]   have
[00:02:37.370 --> 00:02:37.400]   some
[00:02:37.400 --> 00:02:37.610]   kind
[00:02:37.610 --> 00:02:37.730]   of
[00:02:37.730 --> 00:02:37.760]   a
[00:02:37.760 --> 00:02:38.290]   background
[00:02:38.290 --> 00:02:38.410]   in
[00:02:38.410 --> 00:02:38.810]   software
[00:02:38.810 --> 00:02:39.440]   development
[00:02:39.440 --> 00:02:39.640]   But
[00:02:39.640 --> 00:02:39.900]   beyond
[00:02:39.900 --> 00:02:40.120]   that
[00:02:40.120 --> 00:02:40.160]   I
[00:02:40.160 --> 00:02:40.310]   don
[00:02:40.310 --> 00:02:40.410]  't
[00:02:40.410 --> 00:02:40.760]   know
[00:02:40.760 --> 00:02:40.770]   too
[00:02:40.770 --> 00:02:40.980]   much
[00:02:40.980 --> 00:02:41.240]   about
[00:02:41.240 --> 00:02:41.440]   you
[00:02:41.440 --> 00:02:41.470]   That
[00:02:41.470 --> 00:02:41.990]  's
[00:02:41.990 --> 00:02:42.080]   a
[00:02:42.080 --> 00:02:43.190]   difficult
[00:02:43.190 --> 00:02:43.650]   question
[00:02:43.650 --> 00:02:44.200]   really
[00:02:44.200 --> 00:02:44.840]   because
[00:02:44.840 --> 00:02:45.070]   I
[00:02:45.070 --> 00:02:45.920]   have
[00:02:45.920 --> 00:02:46.440]   I
[00:02:47.160 --> 00:02:47.260]  
[00:02:47.260 --> 00:02:47.560]   Guess
[00:02:47.560 --> 00:02:48.070]   Justin
[00:02:48.070 --> 00:02:48.430]   put
[00:02:48.430 --> 00:02:48.590]   it
[00:02:48.590 --> 00:02:49.160]   correctly
[00:02:49.160 --> 00:02:49.490]   when
[00:02:49.490 --> 00:02:49.490]   he
[00:02:49.490 --> 00:02:49.850]   said
[00:02:49.850 --> 00:02:49.930]   that
[00:02:49.930 --> 00:02:49.980]   I
[00:02:49.980 --> 00:02:50.110]  'm
[00:02:50.110 --> 00:02:50.310]   kind
[00:02:50.310 --> 00:02:50.420]   of
[00:02:50.420 --> 00:02:50.470]   a
[00:02:50.470 --> 00:02:50.580]   ch
[00:02:50.580 --> 00:02:50.750]  ame
[00:02:50.750 --> 00:02:50.860]  le
[00:02:50.860 --> 00:02:51.040]  on
[00:02:51.040 --> 00:02:51.100]   I
[00:02:51.100 --> 00:02:51.270]   don
[00:02:51.270 --> 00:02:51.640]  't
[00:02:51.640 --> 00:02:51.910]   like
[00:02:51.910 --> 00:02:52.010]   pigeon
[00:02:52.010 --> 00:02:52.190]  hol
[00:02:52.190 --> 00:02:52.670]  ing
[00:02:52.670 --> 00:02:52.740]   myself
[00:02:52.740 --> 00:02:52.920]   too
[00:02:52.920 --> 00:02:53.150]   much
[00:02:53.150 --> 00:02:53.340]  .
[00:02:53.340 --> 00:02:53.610]   But
[00:02:53.610 --> 00:02:53.700]   yes
[00:02:53.700 --> 00:02:53.820]  ,
[00:02:53.820 --> 00:02:53.880]   I
[00:02:53.880 --> 00:02:54.120]   have
[00:02:54.120 --> 00:02:54.300]   had
[00:02:54.300 --> 00:02:54.430]   a
[00:02:54.430 --> 00:02:54.730]   career
