
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:00.790]   Join
[00:00:31.920 --> 00:00:32.320]   Jason
[00:00:32.320 --> 00:00:32.940]   Roberts
[00:00:32.940 --> 00:00:32.960]  .
[00:00:32.960 --> 00:00:33.180]   On
[00:00:33.180 --> 00:00:33.390]   today
[00:00:33.390 --> 00:00:33.500]  's
[00:00:33.500 --> 00:00:33.740]   show
[00:00:33.740 --> 00:00:33.860]   we
[00:00:33.860 --> 00:00:34.030]  're
[00:00:34.030 --> 00:00:34.470]   talking
[00:00:34.470 --> 00:00:34.630]   to
[00:00:34.630 --> 00:00:34.900]   Keith
[00:00:34.900 --> 00:00:35.130]   Pers
[00:00:35.130 --> 00:00:35.490]  ane
[00:00:35.490 --> 00:00:35.680]   of
[00:00:35.680 --> 00:00:35.840]   Z
[00:00:35.840 --> 00:00:36.320]  or
[00:00:36.320 --> 00:00:36.320]  z
[00:00:36.320 --> 00:00:36.400]  ,
[00:00:36.400 --> 00:00:36.580]   a
[00:00:36.580 --> 00:00:36.960]   performance
[00:00:36.960 --> 00:00:37.360]   marketing
[00:00:37.360 --> 00:00:37.600]   firm
[00:00:37.600 --> 00:00:37.760]   in
[00:00:37.760 --> 00:00:37.930]   San
[00:00:37.930 --> 00:00:38.800]   Diego
[00:00:38.800 --> 00:00:38.800]  .
[00:00:38.800 --> 00:00:39.050]   Hey
[00:00:39.050 --> 00:00:39.210]   Keith
[00:00:39.210 --> 00:00:39.340]  ,
[00:00:39.340 --> 00:00:39.670]   welcome
[00:00:39.670 --> 00:00:39.770]   to
[00:00:39.770 --> 00:00:39.920]   the
[00:00:39.920 --> 00:00:39.930]   show
[00:00:39.930 --> 00:00:40.520]  .
[00:00:40.520 --> 00:00:40.700]   Thank
[00:00:40.700 --> 00:00:40.840]   you
[00:00:40.840 --> 00:00:41.140]  ,
[00:00:41.140 --> 00:00:41.240]   nice
[00:00:41.240 --> 00:00:41.400]   to
[00:00:41.400 --> 00:00:41.500]   be
[00:00:41.500 --> 00:00:42.000]   here
[00:00:42.000 --> 00:00:42.000]  .
[00:00:42.000 --> 00:00:42.230]   Okay
[00:00:42.230 --> 00:00:42.340]  ,
[00:00:42.340 --> 00:00:42.440]   so
[00:00:42.440 --> 00:00:42.860]   Keith
[00:00:42.860 --> 00:00:42.920]   and
[00:00:42.920 --> 00:00:43.260]   myself
[00:00:43.260 --> 00:00:43.790]   connected
[00:00:43.790 --> 00:00:43.900]   on
[00:00:43.900 --> 00:00:44.190]   Start
[00:00:44.190 --> 00:00:44.300]  up
[00:00:44.300 --> 00:00:44.590]   Guild
[00:00:44.590 --> 00:00:44.760]   and
[00:00:44.760 --> 00:00:45.100]   we
[00:00:45.100 --> 00:00:45.410]   basically
[00:00:45.410 --> 00:00:45.540]   had
[00:00:45.540 --> 00:00:45.620]   a
[00:00:45.620 --> 00:00:46.000]   chat
[00:00:46.000 --> 00:00:46.560]   initially
[00:00:46.560 --> 00:00:46.740]   via
[00:00:46.740 --> 00:00:46.990]   text
[00:00:46.990 --> 00:00:47.240]   just
[00:00:47.240 --> 00:00:47.550]   about
[00:00:47.550 --> 00:00:47.740]   the
[00:00:47.740 --> 00:00:48.520]   possibility
[00:00:48.520 --> 00:00:48.520]   of
[00:00:48.520 --> 00:00:48.960]   Keith
[00:00:48.960 --> 00:00:49.400]   affiliate
[00:00:49.400 --> 00:00:50.130]   marketing
[00:00:50.130 --> 00:00:50.130]   Plug
[00:00:50.130 --> 00:00:50.280]  .
[00:00:50.280 --> 00:00:50.400]  io
[00:00:50.400 --> 00:00:50.560]  .
[00:00:50.560 --> 00:00:50.640]   As
[00:00:50.640 --> 00:00:50.960]   regular
[00:00:50.960 --> 00:00:51.320]   listeners
[00:00:51.320 --> 00:00:51.430]   of
[00:00:51.430 --> 00:00:51.560]   the
[00:00:51.560 --> 00:00:51.730]   show
[00:00:51.730 --> 00:00:51.900]   will
[00:00:51.900 --> 00:00:52.070]   know
[00:00:52.070 --> 00:00:52.190]  ,
[00:00:52.190 --> 00:00:52.190]   I
[00:00:52.190 --> 00:00:52.490]  've
[00:00:52.490 --> 00:00:52.580]   been
[00:00:52.580 --> 00:00:52.790]   looking
[00:00:52.790 --> 00:00:52.920]   for
[00:00:52.920 --> 00:00:53.000]   a
[00:00:53.000 --> 00:00:53.150]   good
[00:00:53.150 --> 00:00:53.600]   affiliate
[00:00:53.600 --> 00:00:53.880]   market
[00:00:53.880 --> 00:00:54.000]  er
[00:00:54.000 --> 00:00:54.100]   to
[00:00:54.100 --> 00:00:54.420]   help
[00:00:54.420 --> 00:00:54.560]   market
[00:00:54.560 --> 00:00:54.800]   Plug
[00:00:54.800 --> 00:00:55.080]  .
[00:00:55.080 --> 00:00:55.240]  io
[00:00:55.240 --> 00:00:55.280]  .
[00:00:55.280 --> 00:00:55.450]  
[00:00:55.450 --> 00:00:55.520]   Then
[00:00:55.520 --> 00:00:55.640]   we
[00:00:55.640 --> 00:00:55.940]   ended
[00:00:55.940 --> 00:00:56.060]   up
[00:00:56.060 --> 00:00:56.430]   having
[00:00:56.430 --> 00:00:56.490]   a
[00:00:56.490 --> 00:00:56.860]   Skype
[00:00:56.860 --> 00:00:57.030]   chat
[00:00:57.030 --> 00:00:57.210]   and
[00:00:57.210 --> 00:00:57.330]   we
[00:00:57.330 --> 00:00:57.630]   spoke
[00:00:57.630 --> 00:00:58.000]   for
[00:00:58.000 --> 00:00:58.110]   about
[00:00:58.110 --> 00:00:58.290]   two
[00:00:58.290 --> 00:00:58.590]   hours
[00:00:58.590 --> 00:00:58.710]   on
[00:00:58.710 --> 00:00:58.830]   Skype
[00:00:58.830 --> 00:00:59.120]  .
[00:00:59.120 --> 00:00:59.290]   And
[00:00:59.290 --> 00:00:59.370]   as
[00:00:59.370 --> 00:00:59.420]   I
[00:00:59.420 --> 00:00:59.710]   was
[00:00:59.710 --> 00:00:59.920]   talking
[00:00:59.920 --> 00:01:00.020]   to
[00:01:00.020 --> 00:01:00.300]   Keith
[00:01:00.300 --> 00:01:00.370]  ,
[00:01:00.370 --> 00:01:00.480]   it
[00:01:00.480 --> 00:01:00.910]   occurred
[00:01:00.910 --> 00:01:01.040]   to
[00:01:01.040 --> 00:01:01.070]   me
[00:01:01.070 --> 00:01:01.220]  ,
[00:01:01.220 --> 00:01:01.220]   "
[00:01:01.220 --> 00:01:01.370]  Wow
[00:01:01.370 --> 00:01:01.470]  ,
[00:01:01.470 --> 00:01:01.710]   this
[00:01:01.710 --> 00:01:01.820]   guy
[00:01:01.820 --> 00:01:02.120]   really
[00:01:02.120 --> 00:01:02.370]   knows
[00:01:02.370 --> 00:01:02.560]   his
[00:01:02.560 --> 00:01:02.720]   sh
[00:01:02.720 --> 00:01:02.790]  *
[00:01:02.790 --> 00:01:02.860]  t
[00:01:02.860 --> 00:01:03.200]  ."
[00:01:03.200 --> 00:01:03.430]   Okay
[00:01:03.430 --> 00:01:03.500]  ,
[00:01:03.500 --> 00:01:03.600]   so
[00:01:03.600 --> 00:01:03.800]   that
[00:01:03.800 --> 00:01:04.150]   was
[00:01:04.150 --> 00:01:04.200]   when
[00:01:04.200 --> 00:01:04.230]   I
[00:01:04.230 --> 00:01:04.560]   thought
[00:01:04.560 --> 00:01:04.720]  ,
[00:01:04.720 --> 00:01:04.760]   "
[00:01:04.760 --> 00:01:04.870]  Wow
[00:01:04.870 --> 00:01:04.960]  ,
[00:01:04.960 --> 00:01:05.110]   this
[00:01:05.110 --> 00:01:05.170]   is
[00:01:05.170 --> 00:01:05.370]   going
[00:01:05.370 --> 00:01:05.420]   to
[00:01:05.420 --> 00:01:05.490]   be
[00:01:05.490 --> 00:01:05.560]   an
[00:01:05.560 --> 00:01:06.000]   interesting
[00:01:06.000 --> 00:01:06.240]   interview
[00:01:06.240 --> 00:01:06.320]  .
[00:01:06.320 --> 00:01:06.400]   It
[00:01:06.400 --> 00:01:06.430]  'd
[00:01:06.430 --> 00:01:06.480]   be
[00:01:06.480 --> 00:01:06.840]   great
[00:01:06.840 --> 00:01:06.970]   to
[00:01:06.970 --> 00:01:07.180]   get
[00:01:07.180 --> 00:01:07.390]   him
[00:01:07.390 --> 00:01:07.530]   on
[00:01:07.530 --> 00:01:07.730]   the
[00:01:07.730 --> 00:01:08.020]   show
[00:01:08.020 --> 00:01:08.510]   and
[00:01:08.510 --> 00:01:08.740]   just
[00:01:08.740 --> 00:01:08.790]   kind
[00:01:08.790 --> 00:01:08.960]   of
[00:01:08.960 --> 00:01:09.210]   disp
[00:01:09.210 --> 00:01:09.350]  el
[00:01:09.350 --> 00:01:09.630]   some
[00:01:09.630 --> 00:01:09.770]   of
[00:01:09.770 --> 00:01:09.980]   the
[00:01:09.980 --> 00:01:10.330]   myths
[00:01:10.330 --> 00:01:10.550]   and
[00:01:10.550 --> 00:01:10.790]   the
[00:01:10.790 --> 00:01:10.900]   str
[00:01:10.900 --> 00:01:11.180]  angen
[00:01:11.180 --> 00:01:11.360]  ess
[00:01:11.360 --> 00:01:11.620]   that
[00:01:11.620 --> 00:01:12.030]   people
[00:01:12.030 --> 00:01:12.350]   think
[00:01:12.350 --> 00:01:12.670]   about
[00:01:12.670 --> 00:01:13.280]   affiliate
[00:01:13.280 --> 00:01:14.040]   marketing
[00:01:14.040 --> 00:01:14.140]  ."
[00:01:14.140 --> 00:01:14.280]   So
[00:01:14.280 --> 00:01:14.530]   what
[00:01:14.530 --> 00:01:14.730]   was
[00:01:14.730 --> 00:01:14.990]   very
[00:01:14.990 --> 00:01:15.720]   interesting
[00:01:15.720 --> 00:01:15.850]   to
[00:01:15.850 --> 00:01:15.980]   me
[00:01:15.980 --> 00:01:16.240]   was
[00:01:16.240 --> 00:01:16.800]   that
[00:01:16.800 --> 00:01:17.070]   that
[00:01:17.070 --> 00:01:17.340]   your
[00:01:17.340 --> 00:01:17.660]   whole
[00:01:17.660 --> 00:01:18.210]   approach
[00:01:18.210 --> 00:01:18.340]   to
[00:01:18.340 --> 00:01:18.980]   affiliate
[00:01:18.980 --> 00:01:19.540]   marketing
[00:01:19.540 --> 00:01:19.840]   is
[00:01:19.840 --> 00:01:19.960]  ,
[00:01:19.960 --> 00:01:20.010]   it
[00:01:20.010 --> 00:01:20.250]   seems
[00:01:20.250 --> 00:01:20.490]   like
[00:01:20.490 --> 00:01:20.590]   a
[00:01:20.590 --> 00:01:20.790]   high
[00:01:20.790 --> 00:01:20.840]  -
[00:01:20.840 --> 00:01:21.040]  end
[00:01:21.040 --> 00:01:21.240]   bout
[00:01:21.240 --> 00:01:21.430]  ique
[00:01:21.430 --> 00:01:21.920]   approach
[00:01:21.920 --> 00:01:21.920]  .
[00:01:22.880 --> 00:01:22.880]  
[00:01:22.880 --> 00:01:23.020]   And
[00:01:23.020 --> 00:01:23.200]   that
[00:01:23.200 --> 00:01:23.340]  's
[00:01:23.340 --> 00:01:23.470]   what
[00:01:23.470 --> 00:01:23.510]   I
[00:01:23.510 --> 00:01:23.600]  'd
[00:01:23.600 --> 00:01:23.780]   like
[00:01:23.780 --> 00:01:23.870]   to
[00:01:23.870 --> 00:01:24.090]   talk
[00:01:24.090 --> 00:01:24.140]   to
[00:01:24.140 --> 00:01:24.330]   you
[00:01:24.330 --> 00:01:24.550]   about
[00:01:24.550 --> 00:01:24.760]   today
[00:01:24.760 --> 00:01:24.960]  .
[00:01:24.960 --> 00:01:25.540]   So
[00:01:25.540 --> 00:01:25.560]   just
[00:01:25.560 --> 00:01:25.650]   to
[00:01:25.650 --> 00:01:25.760]   get
[00:01:25.760 --> 00:01:26.080]   started
[00:01:26.080 --> 00:01:26.240]   with
[00:01:26.240 --> 00:01:26.400]   your
[00:01:26.400 --> 00:01:27.280]   story
[00:01:27.280 --> 00:01:27.280]  ,
[00:01:27.280 --> 00:01:27.440]   how
[00:01:27.440 --> 00:01:27.540]   do
[00:01:27.540 --> 00:01:27.700]   you
[00:01:27.700 --> 00:01:27.910]   make
[00:01:27.910 --> 00:01:28.170]   money
[00:01:28.170 --> 00:01:28.590]   through
[00:01:28.590 --> 00:01:29.010]   affiliate
[00:01:29.010 --> 00:01:29.480]   marketing
[00:01:29.480 --> 00:01:29.720]   and
[00:01:29.720 --> 00:01:29.850]   what
[00:01:29.850 --> 00:01:29.950]  's
[00:01:29.950 --> 00:01:30.160]   your
[00:01:30.160 --> 00:01:30.660]   approach
[00:01:30.660 --> 00:01:30.800]  ?
[00:01:30.800 --> 00:01:30.930]   To
[00:01:30.930 --> 00:01:30.970]   give
[00:01:30.970 --> 00:01:31.600]   a
[00:01:31.600 --> 00:01:31.640]   little
[00:01:31.640 --> 00:01:31.850]   bit
[00:01:31.850 --> 00:01:31.970]   of
[00:01:31.970 --> 00:01:32.630]   background
[00:01:32.630 --> 00:01:32.800]  ,
[00:01:32.800 --> 00:01:32.880]   I
[00:01:32.880 --> 00:01:33.280]   started
[00:01:33.280 --> 00:01:33.400]   in
[00:01:33.400 --> 00:01:33.940]   affiliate
[00:01:33.940 --> 00:01:34.480]   marketing
[00:01:34.480 --> 00:01:34.900]   about
[00:01:34.900 --> 00:01:35.250]   four
[00:01:35.250 --> 00:01:35.810]   years
[00:01:35.810 --> 00:01:36.160]   ago
[00:01:36.160 --> 00:01:36.360]   and
[00:01:36.360 --> 00:01:36.700]   moved
[00:01:36.700 --> 00:01:36.830]   to
[00:01:36.830 --> 00:01:37.100]   full
[00:01:37.100 --> 00:01:37.250]  -
[00:01:37.250 --> 00:01:37.620]  time
[00:01:37.620 --> 00:01:37.890]   pretty
[00:01:37.890 --> 00:01:38.310]   quickly
[00:01:38.310 --> 00:01:38.780]   because
[00:01:38.780 --> 00:01:38.840]   I
[00:01:38.840 --> 00:01:39.080]   was
[00:01:39.080 --> 00:01:39.520]   able
[00:01:39.520 --> 00:01:39.600]  ,
[00:01:39.600 --> 00:01:39.670]   you
[00:01:39.670 --> 00:01:39.700]   know
[00:01:39.700 --> 00:01:39.760]  ,
[00:01:39.760 --> 00:01:39.920]   it
[00:01:39.920 --> 00:01:40.160]   was
[00:01:40.160 --> 00:01:40.400]   still
[00:01:40.400 --> 00:01:42.000]   doing
[00:01:42.000 --> 00:01:42.130]   Ad
[00:01:42.130 --> 00:01:42.190]  W
[00:01:42.190 --> 00:01:42.480]  ords
[00:01:42.480 --> 00:01:42.640]   and
[00:01:42.640 --> 00:01:42.740]   it
[00:01:42.740 --> 00:01:42.900]   was
[00:01:42.900 --> 00:01:43.170]   still
[00:01:43.170 --> 00:01:43.380]   much
[00:01:43.380 --> 00:01:43.700]   easier
[00:01:43.700 --> 00:01:43.800]   to
[00:01:43.800 --> 00:01:43.900]   do
[00:01:43.900 --> 00:01:44.000]   Ad
[00:01:44.000 --> 00:01:44.050]  W
[00:01:44.050 --> 00:01:44.260]  ords
[00:01:44.260 --> 00:01:44.380]  ,
[00:01:44.380 --> 00:01:44.410]   P
[00:01:44.410 --> 00:01:44.530]  PC
[00:01:44.530 --> 00:01:44.560]  s
[00:01:44.560 --> 00:01:44.720]   and
[00:01:44.720 --> 00:01:45.210]   affiliate
[00:01:45.210 --> 00:01:45.370]  .
[00:01:45.370 --> 00:01:45.530]   You
[00:01:45.530 --> 00:01:45.810]   could
[00:01:45.810 --> 00:01:46.010]   make
[00:01:46.010 --> 00:01:46.070]   a
[00:01:46.070 --> 00:01:46.480]   small
[00:01:46.480 --> 00:01:46.800]   site
[00:01:46.800 --> 00:01:46.960]   and
[00:01:46.960 --> 00:01:46.960]  
[00:01:46.960 --> 00:01:47.270]   make
[00:01:47.270 --> 00:01:47.610]   good
[00:01:47.610 --> 00:01:48.060]   money
[00:01:48.060 --> 00:01:48.420]   pretty
[00:01:48.420 --> 00:01:48.960]   quickly
[00:01:48.960 --> 00:01:49.190]  .
[00:01:49.190 --> 00:01:49.420]   The
[00:01:49.420 --> 00:01:49.800]   world
[00:01:49.800 --> 00:01:50.030]   has
[00:01:50.030 --> 00:01:50.570]   changed
[00:01:50.570 --> 00:01:51.000]   since
[00:01:51.000 --> 00:01:51.460]   then
[00:01:51.460 --> 00:01:51.490]   and
[00:01:51.490 --> 00:01:52.030]   because
[00:01:52.030 --> 00:01:52.410]   there
[00:01:52.410 --> 00:01:52.630]  's
[00:01:52.630 --> 00:01:52.800]  ,
[00:01:52.800 --> 00:01:52.860]   you
[00:01:52.860 --> 00:01:52.880]   know
[00:01:52.880 --> 00:01:52.880]  ,
[00:01:52.880 --> 00:01:53.170]   over
[00:01:53.170 --> 00:01:53.390]   the
[00:01:53.390 --> 00:01:53.720]   last
[00:01:53.720 --> 00:01:54.050]   three
[00:01:54.050 --> 00:01:54.420]   years
[00:01:54.420 --> 00:01:55.250]   especially
[00:01:55.250 --> 00:01:55.300]  ,
[00:01:55.300 --> 00:01:55.670]   there
[00:01:55.670 --> 00:01:55.810]  's
[00:01:55.810 --> 00:01:56.100]   been
[00:01:56.100 --> 00:01:56.170]   a
[00:01:56.170 --> 00:01:56.550]   huge
[00:01:56.550 --> 00:01:56.600]   sp
[00:01:56.600 --> 00:01:56.910]  ate
[00:01:56.910 --> 00:01:57.040]   of
[00:01:57.040 --> 00:01:58.290]   work
[00:01:58.290 --> 00:01:58.550]  -
[00:01:58.550 --> 00:01:58.980]  at
[00:01:58.980 --> 00:01:59.310]  -
[00:01:59.310 --> 00:02:00.430]  home
[00:02:00.430 --> 00:02:01.390]   offers
[00:02:01.390 --> 00:02:01.520]   by
[00:02:01.520 --> 00:02:01.840]   major
[00:02:01.840 --> 00:02:02.220]   affili
[00:02:02.220 --> 00:02:02.470]  ates
[00:02:02.470 --> 00:02:02.880]   saying
[00:02:02.880 --> 00:02:02.970]  ,
[00:02:02.970 --> 00:02:03.030]   "
[00:02:03.030 --> 00:02:03.220]  Hey
[00:02:03.220 --> 00:02:03.340]  ,
[00:02:03.340 --> 00:02:03.660]   learn
[00:02:03.660 --> 00:02:03.850]   all
[00:02:03.850 --> 00:02:04.050]   of
[00:02:04.050 --> 00:02:04.090]   my
[00:02:04.090 --> 00:02:04.580]   secrets
[00:02:04.580 --> 00:02:04.720]  .
[00:02:04.720 --> 00:02:04.820]   I
[00:02:04.820 --> 00:02:04.970]  'll
[00:02:04.970 --> 00:02:05.220]   help
[00:02:05.220 --> 00:02:05.540]   train
[00:02:05.540 --> 00:02:05.730]   you
[00:02:05.730 --> 00:02:06.080]  ."
[00:02:06.080 --> 00:02:06.930]   And
[00:02:06.930 --> 00:02:07.040]   they
[00:02:07.040 --> 00:02:07.190]   don
[00:02:07.190 --> 00:02:07.280]  't
[00:02:07.280 --> 00:02:07.680]   really
[00:02:07.680 --> 00:02:07.940]   ever
[00:02:07.940 --> 00:02:08.200]   sell
[00:02:08.200 --> 00:02:08.670]   anything
[00:02:08.670 --> 00:02:09.090]   of
[00:02:09.090 --> 00:02:09.590]   substance
[00:02:09.590 --> 00:02:09.690]  ,
[00:02:09.690 --> 00:02:09.830]   but
[00:02:09.830 --> 00:02:10.050]   they
[00:02:10.050 --> 00:02:10.250]   get
[00:02:10.250 --> 00:02:10.310]   a
[00:02:10.310 --> 00:02:10.680]   bunch
[00:02:10.680 --> 00:02:10.760]   of
[00:02:10.760 --> 00:02:11.200]   people
[00:02:11.200 --> 00:02:11.430]   into
[00:02:11.430 --> 00:02:11.490]   P
[00:02:11.490 --> 00:02:11.700]  PC
[00:02:11.700 --> 00:02:12.320]   affiliate
[00:02:12.320 --> 00:02:13.110]   marketing
[00:02:13.110 --> 00:02:13.120]  .
[00:02:13.120 --> 00:02:13.120]  
[00:02:13.120 --> 00:02:13.410]   And
[00:02:13.410 --> 00:02:14.190]   what
[00:02:14.190 --> 00:02:14.230]   that
[00:02:14.230 --> 00:02:14.680]   ended
[00:02:14.680 --> 00:02:14.870]   up
[00:02:14.870 --> 00:02:15.360]   doing
[00:02:15.360 --> 00:02:15.540]   is
[00:02:15.540 --> 00:02:15.790]   it
[00:02:15.790 --> 00:02:16.130]   made
[00:02:16.130 --> 00:02:16.410]   P
[00:02:16.410 --> 00:02:16.410]  PC
[00:02:16.410 --> 00:02:17.270]   in
[00:02:17.270 --> 00:02:17.450]   general
[00:02:17.450 --> 00:02:17.470]   as
[00:02:17.470 --> 00:02:17.660]   an
[00:02:17.660 --> 00:02:18.540]   affiliate
[00:02:18.540 --> 00:02:19.040]   both
[00:02:19.040 --> 00:02:20.560]   highly
[00:02:20.560 --> 00:02:20.910]   hyper
[00:02:20.910 --> 00:02:20.930]  -
[00:02:20.930 --> 00:02:21.090]  com
[00:02:21.090 --> 00:02:21.250]  pet
[00:02:21.250 --> 00:02:21.520]  itive
[00:02:21.520 --> 00:02:22.720]   and
[00:02:22.720 --> 00:02:22.810]   Google
[00:02:22.810 --> 00:02:23.380]   very
[00:02:23.380 --> 00:02:24.530]   critical
[00:02:24.530 --> 00:02:25.260]   of
[00:02:25.260 --> 00:02:25.670]   affili
[00:02:25.670 --> 00:02:26.240]  ates
[00:02:26.240 --> 00:02:26.550]  .
[00:02:26.550 --> 00:02:26.990]   It
[00:02:26.990 --> 00:02:27.150]   became
[00:02:27.150 --> 00:02:27.350]   very
[00:02:27.350 --> 00:02:27.560]   hard
[00:02:27.560 --> 00:02:27.660]   to
[00:02:27.660 --> 00:02:27.760]   be
[00:02:27.760 --> 00:02:27.860]   an
[00:02:27.860 --> 00:02:28.400]   affiliate
[00:02:28.400 --> 00:02:28.560]   on
[00:02:28.560 --> 00:02:28.740]   pay
[00:02:28.740 --> 00:02:28.800]  -
[00:02:28.800 --> 00:02:29.040]  per
[00:02:29.040 --> 00:02:29.040]  -
[00:02:29.040 --> 00:02:29.360]  click
[00:02:29.360 --> 00:02:29.440]  ,
[00:02:29.440 --> 00:02:29.570]   on
[00:02:29.570 --> 00:02:30.090]   paid
[00:02:30.090 --> 00:02:30.230]   search
[00:02:30.230 --> 00:02:30.360]  ,
[00:02:30.360 --> 00:02:30.620]   even
[00:02:30.620 --> 00:02:31.010]   Google
[00:02:31.010 --> 00:02:31.510]   content
[00:02:31.510 --> 00:02:31.940]   network
[00:02:31.940 --> 00:02:32.070]   or
[00:02:32.070 --> 00:02:32.600]   anything
[00:02:32.600 --> 00:02:32.910]   else
[00:02:32.910 --> 00:02:33.120]  .
[00:02:33.120 --> 00:02:33.270]   So
[00:02:33.270 --> 00:02:33.410]   what
[00:02:33.410 --> 00:02:33.520]   we
[00:02:33.520 --> 00:02:33.740]   ended
[00:02:33.740 --> 00:02:33.840]   up
[00:02:33.840 --> 00:02:34.080]   doing
[00:02:34.080 --> 00:02:34.240]   was
[00:02:34.240 --> 00:02:34.400]   we
[00:02:34.400 --> 00:02:34.630]   said
[00:02:34.630 --> 00:02:34.740]  ,
[00:02:34.740 --> 00:02:34.790]   "
[00:02:34.790 --> 00:02:35.020]  Well
[00:02:35.020 --> 00:02:35.130]  ,
[00:02:35.130 --> 00:02:35.360]   wait
[00:02:35.360 --> 00:02:35.410]   a
[00:02:35.410 --> 00:02:35.980]   minute
[00:02:35.980 --> 00:02:36.000]   here
[00:02:36.000 --> 00:02:36.150]  .
[00:02:36.150 --> 00:02:36.320]   Why
[00:02:36.320 --> 00:02:36.610]   would
[00:02:36.610 --> 00:02:36.730]   we
[00:02:36.730 --> 00:02:37.060]   bother
[00:02:37.060 --> 00:02:37.590]   competing
[00:02:37.590 --> 00:02:37.810]   with
[00:02:37.810 --> 00:02:38.240]   anyone
[00:02:38.240 --> 00:02:38.560]   if
[00:02:38.560 --> 00:02:38.940]   we
[00:02:38.940 --> 00:02:39.160]   don
[00:02:39.160 --> 00:02:39.470]  't
[00:02:39.470 --> 00:02:39.680]   have
[00:02:39.680 --> 00:02:39.780]   to
[00:02:39.780 --> 00:02:39.920]  ?"
[00:02:40.640 --> 00:02:40.640]  
[00:02:40.640 --> 00:02:40.850]   I
[00:02:40.850 --> 00:02:40.910]  've
[00:02:40.910 --> 00:02:41.060]   been
[00:02:41.060 --> 00:02:41.360]   doing
[00:02:41.360 --> 00:02:41.760]   business
[00:02:41.760 --> 00:02:42.350]   development
[00:02:42.350 --> 00:02:42.520]   for
[00:02:42.520 --> 00:02:42.940]   agencies
[00:02:42.940 --> 00:02:43.100]   for
[00:02:43.100 --> 00:02:43.150]   a
[00:02:43.150 --> 00:02:43.390]   very
[00:02:43.390 --> 00:02:43.570]   long
[00:02:43.570 --> 00:02:43.840]   time
[00:02:43.840 --> 00:02:44.000]   and
[00:02:44.000 --> 00:02:44.160]   to
[00:02:44.160 --> 00:02:44.350]   run
[00:02:44.350 --> 00:02:44.480]   my
[00:02:44.480 --> 00:02:44.560]   own
[00:02:44.560 --> 00:02:45.040]   business
[00:02:45.040 --> 00:02:45.040]  ,
[00:02:45.040 --> 00:02:45.200]   so
[00:02:45.200 --> 00:02:45.260]   I
[00:02:45.260 --> 00:02:45.710]   said
[00:02:45.710 --> 00:02:45.720]  ,
[00:02:45.720 --> 00:02:45.780]   "
[00:02:45.780 --> 00:02:46.030]  Let
