
[00:00:00.000 --> 00:00:00.140]  
[00:00:00.140 --> 00:00:13.130]   Music
[00:01:14.910 --> 00:01:15.130]   like
[00:01:15.130 --> 00:01:15.920]   Richard
[00:01:15.920 --> 00:01:15.940]   Dol
[00:01:15.940 --> 00:01:16.100]  an
[00:01:16.100 --> 00:01:16.340]   has
[00:01:16.340 --> 00:01:16.530]   so
[00:01:16.530 --> 00:01:16.830]   much
[00:01:16.830 --> 00:01:17.490]   hardcore
[00:01:17.490 --> 00:01:18.150]   evidence
[00:01:18.150 --> 00:01:18.580]   about
[00:01:18.580 --> 00:01:18.800]   UFO
[00:01:18.800 --> 00:01:19.000]  s
[00:01:19.000 --> 00:01:19.000]  .
[00:01:19.000 --> 00:01:19.580]   Leslie
[00:01:19.580 --> 00:01:19.710]   C
[00:01:19.710 --> 00:01:20.000]  ain
[00:01:20.000 --> 00:01:20.000]  .
[00:01:20.000 --> 00:01:20.260]   Yeah
[00:01:20.260 --> 00:01:20.430]   so
[00:01:20.430 --> 00:01:20.570]   that
[00:01:20.570 --> 00:01:20.800]   then
[00:01:20.800 --> 00:01:20.970]   all
[00:01:20.970 --> 00:01:21.140]   the
[00:01:21.140 --> 00:01:21.620]   evidence
[00:01:21.620 --> 00:01:21.840]   that
[00:01:21.840 --> 00:01:22.070]   they
[00:01:22.070 --> 00:01:22.330]   come
[00:01:22.330 --> 00:01:22.460]   up
[00:01:22.460 --> 00:01:22.640]   with
[00:01:22.640 --> 00:01:22.750]   is
[00:01:22.750 --> 00:01:23.230]   evidence
[00:01:23.230 --> 00:01:23.470]   that
[00:01:23.470 --> 00:01:23.560]  's
[00:01:23.560 --> 00:01:24.260]   been
[00:01:24.260 --> 00:01:24.310]   discussed
[00:01:24.310 --> 00:01:24.450]   by
[00:01:24.450 --> 00:01:25.000]   government
[00:01:25.000 --> 00:01:25.520]   officials
[00:01:25.520 --> 00:01:26.020]   official
[00:01:26.020 --> 00:01:26.510]   documents
[00:01:26.510 --> 00:01:26.700]   etc
[00:01:26.700 --> 00:01:27.030]   etc
[00:01:27.030 --> 00:01:27.480]   that
[00:01:27.480 --> 00:01:27.480]   kind
[00:01:27.480 --> 00:01:27.600]   of
[00:01:27.600 --> 00:01:27.760]   it
[00:01:27.760 --> 00:01:28.000]   seems
[00:01:28.000 --> 00:01:28.440]   like
[00:01:28.440 --> 00:01:28.450]   wow
[00:01:28.450 --> 00:01:28.680]   that
[00:01:28.680 --> 00:01:28.800]  's
[00:01:28.800 --> 00:01:29.160]   pretty
[00:01:29.160 --> 00:01:29.650]   hardcore
[00:01:29.650 --> 00:01:30.120]   evidence
[00:01:30.120 --> 00:01:30.420]   about
[00:01:30.420 --> 00:01:30.600]   UFO
[00:01:30.600 --> 00:01:30.670]  s
[00:01:30.670 --> 00:01:31.000]   right
[00:01:31.000 --> 00:01:31.000]  .
[00:01:31.000 --> 00:01:31.010]  
[00:01:31.010 --> 00:01:31.190]   So
[00:01:31.190 --> 00:01:31.840]   this
[00:01:31.840 --> 00:01:32.040]   movie
[00:01:32.040 --> 00:01:32.240]   is
[00:01:32.240 --> 00:01:32.510]   the
[00:01:32.510 --> 00:01:33.080]   thesis
[00:01:33.080 --> 00:01:33.290]   is
[00:01:33.290 --> 00:01:33.460]   to
[00:01:33.460 --> 00:01:33.870]   show
[00:01:33.870 --> 00:01:34.120]   the
[00:01:34.120 --> 00:01:35.160]   correlation
[00:01:35.160 --> 00:01:35.820]   between
[00:01:35.820 --> 00:01:36.390]   eating
[00:01:36.390 --> 00:01:36.670]   any
[00:01:36.670 --> 00:01:37.140]   kind
[00:01:37.140 --> 00:01:37.240]   of
[00:01:37.240 --> 00:01:37.800]   animal
[00:01:37.800 --> 00:01:38.940]   products
[00:01:38.940 --> 00:01:38.950]   meat
[00:01:38.950 --> 00:01:39.420]   dairy
[00:01:39.420 --> 00:01:39.610]   or
[00:01:39.610 --> 00:01:39.910]   eggs
[00:01:39.910 --> 00:01:40.570]   and
[00:01:40.570 --> 00:01:41.280]   getting
[00:01:41.280 --> 00:01:41.520]   cancer
[00:01:41.520 --> 00:01:42.060]   stroke
[00:01:42.060 --> 00:01:42.340]   or
[00:01:42.340 --> 00:01:42.730]   heart
[00:01:42.730 --> 00:01:43.380]   disease
[00:01:43.380 --> 00:01:43.670]   and
[00:01:43.670 --> 00:01:44.220]   the
[00:01:44.220 --> 00:01:44.990]   correlation
[00:01:44.990 --> 00:01:45.180]   is
[00:01:45.180 --> 00:01:45.560]   huge
[00:01:45.560 --> 00:01:46.000]  .
[00:01:46.000 --> 00:01:46.250]   Can
[00:01:46.250 --> 00:01:46.260]  't
[00:01:46.260 --> 00:01:46.850]   imagine
[00:01:46.850 --> 00:01:46.910]   anyone
[00:01:46.910 --> 00:01:47.300]   watching
[00:01:47.300 --> 00:01:47.500]   this
[00:01:47.500 --> 00:01:47.750]   movie
[00:01:47.750 --> 00:01:47.900]   and
[00:01:47.900 --> 00:01:48.050]   not
[00:01:48.050 --> 00:01:48.300]   being
[00:01:48.300 --> 00:01:48.510]   like
[00:01:48.510 --> 00:01:48.650]   wow
[00:01:48.650 --> 00:01:48.850]   that
[00:01:48.850 --> 00:01:48.950]  's
[00:01:48.950 --> 00:01:49.100]   something
[00:01:49.100 --> 00:01:49.610]   I
[00:01:49.610 --> 00:01:49.650]   need
[00:01:49.650 --> 00:01:49.750]   to
[00:01:49.750 --> 00:01:50.150]   consider
[00:01:50.150 --> 00:01:50.300]   and
[00:01:50.300 --> 00:01:50.550]   think
[00:01:50.550 --> 00:01:50.800]   about
[00:01:50.800 --> 00:01:51.000]  .
[00:01:51.000 --> 00:01:51.250]   What
[00:01:51.250 --> 00:01:51.370]  's
[00:01:51.370 --> 00:01:51.810]   the
[00:01:51.810 --> 00:01:51.910]   name
[00:01:51.910 --> 00:01:51.930]   of
[00:01:51.930 --> 00:01:52.160]   the
[00:01:52.160 --> 00:01:52.440]   movie
[00:01:52.440 --> 00:01:52.760]   again
[00:01:52.760 --> 00:01:53.000]  ?
[00:01:53.000 --> 00:01:53.280]   For
[00:01:53.280 --> 00:01:53.470]  ks
[00:01:53.470 --> 00:01:53.870]   Over
[00:01:53.870 --> 00:01:54.050]   Kn
[00:01:54.050 --> 00:01:54.420]  ives
[00:01:54.420 --> 00:01:54.700]   dot
[00:01:54.700 --> 00:01:55.000]   com
[00:01:55.000 --> 00:01:55.000]  .
[00:01:55.000 --> 00:01:55.900]   Fox
[00:01:55.900 --> 00:01:55.930]   as
[00:01:55.930 --> 00:01:56.300]   in
[00:01:56.300 --> 00:01:57.040]   like
[00:01:57.040 --> 00:01:57.220]   F
[00:01:57.220 --> 00:01:57.400]  -
[00:01:57.400 --> 00:01:57.610]  O
[00:01:57.610 --> 00:01:57.760]  -
[00:01:57.760 --> 00:01:58.000]  X
[00:01:58.000 --> 00:01:58.000]  ?
[00:01:58.000 --> 00:01:58.330]   For
[00:01:58.330 --> 00:01:58.550]  ks
[00:01:58.550 --> 00:01:58.820]   as
[00:01:58.820 --> 00:01:58.990]   in
[00:01:58.990 --> 00:01:59.100]   F
[00:01:59.100 --> 00:01:59.210]  -
[00:01:59.210 --> 00:01:59.390]  O
[00:01:59.390 --> 00:01:59.430]  -
[00:01:59.430 --> 00:01:59.540]  R
[00:01:59.540 --> 00:01:59.640]  -
[00:01:59.640 --> 00:01:59.760]  K
[00:01:59.760 --> 00:01:59.860]  -
[00:01:59.860 --> 00:02:00.000]  S
[00:02:00.000 --> 00:02:00.000]  .
[00:02:00.000 --> 00:02:00.110]  
[00:02:00.110 --> 00:02:00.690]   Okay
[00:02:00.690 --> 00:02:01.000]  .
[00:02:01.000 --> 00:02:01.130]   So
[00:02:01.130 --> 00:02:01.260]   it
[00:02:01.260 --> 00:02:01.390]  's
[00:02:01.390 --> 00:02:02.000]   basically
[00:02:02.000 --> 00:02:02.400]   saying
[00:02:02.400 --> 00:02:02.600]   use
[00:02:02.600 --> 00:02:02.850]   a
[00:02:02.850 --> 00:02:02.930]   fork
[00:02:02.930 --> 00:02:03.200]   over
[00:02:03.200 --> 00:02:03.260]   a
[00:02:03.260 --> 00:02:03.720]   knife
[00:02:03.720 --> 00:02:03.810]   to
[00:02:03.810 --> 00:02:03.940]   cut
[00:02:03.940 --> 00:02:04.120]   you
[00:02:04.120 --> 00:02:04.480]   know
[00:02:04.480 --> 00:02:04.710]   fork
[00:02:04.710 --> 00:02:04.790]   to
[00:02:04.790 --> 00:02:05.340]   spike
[00:02:05.340 --> 00:02:05.390]   your
[00:02:05.390 --> 00:02:06.000]   vegetable
[00:02:06.000 --> 00:02:06.400]   versus
[00:02:06.400 --> 00:02:06.460]   a
[00:02:06.460 --> 00:02:06.790]   knife
[00:02:06.790 --> 00:02:06.920]   to
[00:02:06.920 --> 00:02:07.210]   cut
[00:02:07.210 --> 00:02:07.390]   your
[00:02:07.390 --> 00:02:08.000]   meat
[00:02:08.000 --> 00:02:08.000]  .
[00:02:08.000 --> 00:02:08.560]   Okay
[00:02:08.560 --> 00:02:09.000]  .
[00:02:09.000 --> 00:02:09.150]   But
[00:02:09.150 --> 00:02:09.200]   I
[00:02:09.200 --> 00:02:09.400]   mean
[00:02:09.400 --> 00:02:09.450]   I
[00:02:09.450 --> 00:02:09.600]   can
[00:02:09.600 --> 00:02:09.770]  't
[00:02:09.770 --> 00:02:10.010]   really
[00:02:10.010 --> 00:02:10.110]   do
[00:02:10.110 --> 00:02:10.260]   the
[00:02:10.260 --> 00:02:10.520]   movie
[00:02:10.520 --> 00:02:10.910]   justice
[00:02:10.910 --> 00:02:11.240]   because
[00:02:11.240 --> 00:02:11.600]   there
[00:02:11.600 --> 00:02:11.600]  's
[00:02:11.600 --> 00:02:11.700]   so
[00:02:11.700 --> 00:02:11.900]   many
[00:02:11.900 --> 00:02:12.160]   facts
[00:02:12.160 --> 00:02:12.340]   and
[00:02:12.340 --> 00:02:12.830]   statistics
[00:02:12.830 --> 00:02:13.180]   shown
[00:02:13.180 --> 00:02:13.240]   but
[00:02:13.240 --> 00:02:13.440]   here
[00:02:13.440 --> 00:02:13.540]  's
[00:02:13.540 --> 00:02:13.710]   a
[00:02:13.710 --> 00:02:13.740]   few
[00:02:13.740 --> 00:02:14.000]  .
[00:02:14.000 --> 00:02:14.160]   Are
[00:02:14.160 --> 00:02:14.450]   you
[00:02:14.450 --> 00:02:14.850]   interested
[00:02:14.850 --> 00:02:14.950]   in
[00:02:14.950 --> 00:02:15.340]   hearing
[00:02:15.340 --> 00:02:15.370]   a
[00:02:15.370 --> 00:02:15.690]   couple
[00:02:15.690 --> 00:02:15.790]   of
[00:02:15.790 --> 00:02:16.000]  ?
[00:02:16.000 --> 00:02:16.300]   Let
[00:02:16.300 --> 00:02:16.350]  's
[00:02:16.350 --> 00:02:16.770]   hear
[00:02:16.770 --> 00:02:16.770]   it
[00:02:16.770 --> 00:02:17.000]  .
[00:02:17.000 --> 00:02:17.570]   Okay
[00:02:17.570 --> 00:02:18.000]  .
[00:02:18.000 --> 00:02:18.260]   They
[00:02:18.260 --> 00:02:18.660]   showed
[00:02:18.660 --> 00:02:18.920]   a
[00:02:18.920 --> 00:02:19.050]   graph
[00:02:19.050 --> 00:02:19.310]   from
[00:02:19.310 --> 00:02:19.370]   a
[00:02:19.370 --> 00:02:19.700]   study
[00:02:19.700 --> 00:02:19.830]   of
[00:02:19.830 --> 00:02:20.310]   Norway
[00:02:20.310 --> 00:02:20.490]   from
[00:02:20.490 --> 00:02:21.290]   1940
[00:02:21.290 --> 00:02:21.420]   to
[00:02:21.420 --> 00:02:22.310]   1950
[00:02:22.310 --> 00:02:22.420]   and
[00:02:22.420 --> 00:02:22.620]   the
[00:02:22.620 --> 00:02:22.950]   graph
[00:02:22.950 --> 00:02:23.350]   showed
[00:02:23.350 --> 00:02:23.480]   an
[00:02:23.480 --> 00:02:23.850]   ever
[00:02:23.850 --> 00:02:24.080]   you
[00:02:24.080 --> 00:02:24.200]   know
[00:02:24.200 --> 00:02:24.660]   amongst
[00:02:24.660 --> 00:02:24.860]   the
[00:02:24.860 --> 00:02:25.530]   population
[00:02:25.530 --> 00:02:25.660]   an
[00:02:25.660 --> 00:02:25.920]   ever
[00:02:25.920 --> 00:02:26.320]   rising
[00:02:26.320 --> 00:02:26.580]   rate
[00:02:26.580 --> 00:02:26.710]   of
[00:02:26.710 --> 00:02:27.170]   cancer
[00:02:27.170 --> 00:02:27.440]   heart
[00:02:27.440 --> 00:02:27.930]   disease
[00:02:27.930 --> 00:02:28.100]   and
[00:02:28.100 --> 00:02:28.620]   diabetes
[00:02:28.620 --> 00:02:29.000]  .
[00:02:29.000 --> 00:02:29.000]  
[00:02:29.000 --> 00:02:29.530]   But
[00:02:29.530 --> 00:02:29.580]   then
[00:02:29.580 --> 00:02:29.760]   the
[00:02:29.760 --> 00:02:30.190]   Nazis
[00:02:30.190 --> 00:02:30.830]   occupied
[00:02:30.830 --> 00:02:31.210]   Norway
[00:02:31.210 --> 00:02:31.360]   in
[00:02:31.360 --> 00:02:31.740]   World
[00:02:31.740 --> 00:02:31.960]   War
[00:02:31.960 --> 00:02:32.120]   II
[00:02:32.120 --> 00:02:32.250]   at
[00:02:32.250 --> 00:02:33.030]   which
[00:02:33.030 --> 00:02:33.070]   point
[00:02:33.070 --> 00:02:33.330]   they
[00:02:33.330 --> 00:02:33.670]   took
[00:02:33.670 --> 00:02:34.010]   away
[00:02:34.010 --> 00:02:34.160]   all
[00:02:34.160 --> 00:02:34.620]   animal
[00:02:34.620 --> 00:02:35.310]   livestock
[00:02:35.310 --> 00:02:35.610]   from
[00:02:35.610 --> 00:02:36.180]   the
[00:02:36.180 --> 00:02:36.630]   population
[00:02:36.630 --> 00:02:36.750]   of
[00:02:36.750 --> 00:02:37.260]   Norway
[00:02:37.260 --> 00:02:37.460]   and
[00:02:37.460 --> 00:02:37.740]   they
[00:02:37.740 --> 00:02:37.970]   pip
[00:02:37.970 --> 00:02:38.110]  ed
[00:02:38.110 --> 00:02:38.500]   it
[00:02:38.500 --> 00:02:38.510]   all
[00:02:38.510 --> 00:02:38.680]   to
[00:02:38.680 --> 00:02:38.880]   the
[00:02:38.880 --> 00:02:39.180]   Nazi
[00:02:39.180 --> 00:02:39.640]   troops
[00:02:39.640 --> 00:02:40.000]  .
[00:02:40.000 --> 00:02:40.130]   So
[00:02:40.130 --> 00:02:40.680]   during
[00:02:40.680 --> 00:02:40.830]   that
[00:02:40.830 --> 00:02:41.080]   time
[00:02:41.080 --> 00:02:41.490]   during
[00:02:41.490 --> 00:02:41.770]   that
[00:02:41.770 --> 00:02:42.530]   occupation
[00:02:42.530 --> 00:02:42.850]   people
[00:02:42.850 --> 00:02:42.980]   of
[00:02:42.980 --> 00:02:43.530]   Norway
[00:02:43.530 --> 00:02:43.590]   had
[00:02:43.590 --> 00:02:43.720]   to
[00:02:43.720 --> 00:02:44.130]   switch
[00:02:44.130 --> 00:02:44.260]   to
[00:02:44.260 --> 00:02:44.320]   a
[00:02:44.320 --> 00:02:44.730]   purely
[00:02:44.730 --> 00:02:45.070]   plant
[00:02:45.070 --> 00:02:45.410]   based
[00:02:45.410 --> 00:02:45.680]   diet
[00:02:45.680 --> 00:02:46.000]  .
[00:02:46.000 --> 00:02:46.910]   Probably
[00:02:46.910 --> 00:02:47.190]   some
[00:02:47.190 --> 00:02:47.590]   fish
[00:02:47.590 --> 00:02:48.230]   though
[00:02:48.230 --> 00:02:49.000]   right
[00:02:49.000 --> 00:02:49.000]  ?
[00:02:49.000 --> 00:02:49.060]   I
[00:02:49.060 --> 00:02:49.240]   don
[00:02:49.240 --> 00:02:49.360]  't
[00:02:49.360 --> 00:02:49.670]   think
[00:02:49.670 --> 00:02:49.790]   so
[00:02:49.790 --> 00:02:50.000]  .
[00:02:50.000 --> 00:02:50.070]   I
[00:02:50.070 --> 00:02:50.360]   think
[00:02:50.360 --> 00:02:50.600]   just
[00:02:50.600 --> 00:02:50.840]   just
[00:02:50.840 --> 00:02:51.380]   basically
[00:02:51.380 --> 00:02:51.740]   really
[00:02:51.740 --> 00:02:52.260]   plant
[00:02:52.260 --> 00:02:52.340]   based
[00:02:52.340 --> 00:02:52.520]   was
[00:02:52.520 --> 00:02:52.830]   what
[00:02:52.830 --> 00:02:53.000]   they
[00:02:53.000 --> 00:02:53.240]   were
[00:02:53.240 --> 00:02:53.600]   living
[00:02:53.600 --> 00:02:53.830]   off
[00:02:53.830 --> 00:02:54.000]  .
[00:02:54.000 --> 00:02:54.200]   They
[00:02:54.200 --> 00:02:54.450]   were
[00:02:54.450 --> 00:02:54.700]   living
[00:02:54.700 --> 00:02:54.850]   off
[00:02:54.850 --> 00:02:55.400]   vegetables
[00:02:55.400 --> 00:02:56.000]   basically
[00:02:56.000 --> 00:02:56.000]  .
[00:02:56.000 --> 00:02:56.000]  
[00:02:56.000 --> 00:02:56.300]   And
[00:02:56.300 --> 00:02:56.410]   it
[00:02:56.410 --> 00:02:56.420]  's
[00:02:56.420 --> 00:02:57.210]   unbelievable
[00:02:57.210 --> 00:02:57.350]   the
[00:02:57.350 --> 00:02:57.660]   rates
[00:02:57.660 --> 00:02:57.780]   of
[00:02:57.780 --> 00:02:58.150]   cancer
[00:02:58.150 --> 00:02:58.460]   heart
[00:02:58.460 --> 00:02:58.900]   disease
[00:02:58.900 --> 00:02:59.080]   and
[00:02:59.080 --> 00:02:59.630]   diabetes
[00:02:59.630 --> 00:03:00.000]   almost
[00:03:00.000 --> 00:03:00.450]   disappeared
[00:03:00.450 --> 00:03:00.970]   for
[00:03:00.970 --> 00:03:01.070]   like
[00:03:01.070 --> 00:03:01.430]   that
[00:03:01.430 --> 00:03:01.570]   that
[00:03:01.570 --> 00:03:02.060]   period
[00:03:02.060 --> 00:03:02.080]   of
[00:03:02.080 --> 00:03:02.690]   occupation
[00:03:02.690 --> 00:03:03.000]  .
[00:03:03.000 --> 00:03:03.220]   And
[00:03:03.220 --> 00:03:03.650]   then
[00:03:03.650 --> 00:03:03.690]   as
[00:03:03.690 --> 00:03:03.940]   soon
[00:03:03.940 --> 00:03:04.070]   as
[00:03:04.070 --> 00:03:04.810]   everything
[00:03:04.810 --> 00:03:05.030]   the
