
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.440]   Hot
[00:01:20.580 --> 00:01:21.400]   speeds
[00:01:21.400 --> 00:01:21.560]   them
[00:01:21.640 --> 00:01:21.640]  
[00:01:21.640 --> 00:01:21.920]   Right
[00:01:21.920 --> 00:01:22.030]  ,
[00:01:22.030 --> 00:01:22.140]   so
[00:01:22.140 --> 00:01:22.190]   I
[00:01:22.190 --> 00:01:22.420]   just
[00:01:22.420 --> 00:01:22.650]   want
[00:01:22.650 --> 00:01:22.760]   to
[00:01:22.760 --> 00:01:22.930]   say
[00:01:22.930 --> 00:01:23.110]   one
[00:01:23.110 --> 00:01:23.380]   thing
[00:01:23.380 --> 00:01:23.490]   to
[00:01:23.490 --> 00:01:23.720]   Rob
[00:01:23.720 --> 00:01:26.280]   Rob
[00:01:26.280 --> 00:01:27.360]   You
[00:01:27.360 --> 00:01:28.460]   should
[00:01:28.460 --> 00:01:29.040]   not
[00:01:29.040 --> 00:01:29.560]   do
[00:01:29.560 --> 00:01:30.480]   that
[00:01:30.480 --> 00:01:31.530]   Yeah
[00:01:31.530 --> 00:01:32.050]  ,
[00:01:32.050 --> 00:01:33.160]   well
[00:01:33.160 --> 00:01:34.150]   that
[00:01:34.150 --> 00:01:35.030]   was
[00:01:35.030 --> 00:01:35.300]   a
[00:01:35.300 --> 00:01:35.380]   that
[00:01:35.380 --> 00:01:35.500]   was
[00:01:35.500 --> 00:01:35.800]   cool
[00:01:35.800 --> 00:01:35.960]   mom
[00:01:35.960 --> 00:01:36.360]   meeting
[00:01:36.360 --> 00:01:36.480]   him
[00:01:36.480 --> 00:01:36.550]   I
[00:01:36.550 --> 00:01:36.840]   mean
[00:01:36.840 --> 00:01:36.860]  ,
[00:01:36.860 --> 00:01:36.890]   you
[00:01:36.890 --> 00:01:36.960]   know
[00:01:36.960 --> 00:01:37.770]   I
[00:01:37.770 --> 00:01:37.820]   guess
[00:01:37.820 --> 00:01:37.880]   a
[00:01:37.880 --> 00:01:38.120]   side
[00:01:38.120 --> 00:01:38.510]   effect
[00:01:38.510 --> 00:01:38.600]   of
[00:01:38.600 --> 00:01:38.780]   the
[00:01:38.780 --> 00:01:39.200]   podcast
[00:01:39.200 --> 00:01:39.860]   interesting
[00:01:39.860 --> 00:01:40.100]   side
[00:01:40.100 --> 00:01:40.540]   effect
[00:01:40.540 --> 00:01:40.690]   is
[00:01:40.690 --> 00:01:41.110]   that
[00:01:41.110 --> 00:01:41.320]   we
[00:01:41.320 --> 00:01:41.640]   can
[00:01:41.640 --> 00:01:41.940]   Might
[00:01:41.940 --> 00:01:42.070]   at
[00:01:42.070 --> 00:01:42.380]   some
[00:01:42.380 --> 00:01:42.600]   point
[00:01:42.600 --> 00:01:42.900]   might
[00:01:42.900 --> 00:01:43.380]   actually
[00:01:43.380 --> 00:01:43.550]   get
[00:01:43.550 --> 00:01:43.680]   to
[00:01:43.680 --> 00:01:43.920]   meet
[00:01:43.920 --> 00:01:44.220]   these
[00:01:44.220 --> 00:01:44.580]   people
[00:01:44.580 --> 00:01:44.700]   we
[00:01:44.700 --> 00:01:45.240]   interview
[00:01:45.240 --> 00:01:45.360]   in
[00:01:45.360 --> 00:01:45.800]   person
[00:01:46.560 --> 00:01:46.820]  
[00:01:46.820 --> 00:01:46.830]   And
[00:01:46.830 --> 00:01:47.100]   Rob
[00:01:47.100 --> 00:01:47.550]   being
[00:01:47.550 --> 00:01:47.820]   the
[00:01:47.820 --> 00:01:48.270]   first
[00:01:48.270 --> 00:01:48.560]   one
[00:01:48.560 --> 00:01:48.610]  .
[00:01:48.610 --> 00:01:49.090]   So
[00:01:49.090 --> 00:01:49.120]   one
[00:01:49.120 --> 00:01:49.230]   of
[00:01:49.230 --> 00:01:49.420]   the
[00:01:49.420 --> 00:01:49.830]   things
[00:01:49.830 --> 00:01:50.100]   that
[00:01:50.100 --> 00:01:50.170]   I
[00:01:50.170 --> 00:01:50.440]   want
[00:01:50.440 --> 00:01:50.570]   to
[00:01:50.570 --> 00:01:50.850]   talk
[00:01:50.850 --> 00:01:51.180]   about
[00:01:51.180 --> 00:01:51.380]   was
[00:01:51.380 --> 00:01:51.580]   the
[00:01:51.580 --> 00:01:52.060]   texting
[00:01:52.060 --> 00:01:52.610]   donation
[00:01:52.610 --> 00:01:53.080]   drive
[00:01:53.080 --> 00:01:53.170]   Do
[00:01:53.170 --> 00:01:53.240]   we
[00:01:53.240 --> 00:01:53.380]  're
[00:01:53.380 --> 00:01:53.660]   doing
[00:01:53.660 --> 00:01:53.760]   a
[00:01:53.760 --> 00:01:53.930]   little
[00:01:53.930 --> 00:01:54.060]   bit
[00:01:54.060 --> 00:01:54.150]   of
[00:01:54.150 --> 00:01:54.710]   fundraising
[00:01:54.710 --> 00:01:54.920]   trying
[00:01:54.920 --> 00:01:55.010]   to
[00:01:55.010 --> 00:01:55.140]   get
[00:01:55.140 --> 00:01:55.550]   500
[00:01:55.550 --> 00:01:55.780]   bucks
[00:01:55.780 --> 00:01:55.860]   to
[00:01:55.860 --> 00:01:56.180]   upgrade
[00:01:56.180 --> 00:01:56.320]   our
[00:01:56.320 --> 00:01:56.550]   audio
[00:01:56.550 --> 00:01:56.980]   quality
[00:01:56.980 --> 00:01:57.280]   and
[00:01:57.280 --> 00:01:57.480]   we
[00:01:57.480 --> 00:01:57.890]  've
[00:01:57.890 --> 00:01:58.130]   had
[00:01:58.130 --> 00:01:58.600]   some
[00:01:58.600 --> 00:01:59.560]   fantastic
[00:01:59.560 --> 00:02:00.520]   donations
[00:02:00.520 --> 00:02:00.880]   so
[00:02:00.880 --> 00:02:00.890]   we
[00:02:00.890 --> 00:02:01.610]   actually
[00:02:01.610 --> 00:02:01.790]   do
[00:02:01.790 --> 00:02:02.210]   have
[00:02:02.210 --> 00:02:02.330]   of
[00:02:02.330 --> 00:02:02.690]   this
[00:02:02.690 --> 00:02:03.050]   show
[00:02:03.050 --> 00:02:03.230]   we
[00:02:03.230 --> 00:02:03.510]   have
[00:02:03.510 --> 00:02:03.720]   a
[00:02:03.720 --> 00:02:04.240]   Grand
[00:02:04.240 --> 00:02:04.660]   patron
[00:02:04.660 --> 00:02:04.920]   and
[00:02:04.920 --> 00:02:05.090]   an
[00:02:05.090 --> 00:02:05.860]   executive
[00:02:05.860 --> 00:02:06.550]   producer
[00:02:06.550 --> 00:02:06.810]   and
[00:02:06.810 --> 00:02:06.890]   a
[00:02:06.890 --> 00:02:07.570]   couple
[00:02:07.570 --> 00:02:07.610]   of
[00:02:07.610 --> 00:02:08.000]   shout
[00:02:08.000 --> 00:02:08.410]   outs
[00:02:08.410 --> 00:02:08.530]  .
[00:02:08.530 --> 00:02:08.890]   So
[00:02:08.890 --> 00:02:08.980]  ,
[00:02:08.980 --> 00:02:09.680]   okay
[00:02:09.680 --> 00:02:09.810]  .
[00:02:09.810 --> 00:02:09.960]   What
[00:02:09.960 --> 00:02:10.120]   does
[00:02:10.120 --> 00:02:10.280]   that
[00:02:10.280 --> 00:02:10.440]   mean
[00:02:10.440 --> 00:02:10.600]  ?
[00:02:13.680 --> 00:02:13.680]  
[00:02:13.680 --> 00:02:13.880]   Did
[00:02:13.880 --> 00:02:14.070]   you
[00:02:14.070 --> 00:02:14.280]   make
[00:02:14.280 --> 00:02:14.590]   that
[00:02:14.590 --> 00:02:14.640]   up
[00:02:14.640 --> 00:02:14.760]   or
[00:02:14.760 --> 00:02:14.910]   is
[00:02:14.910 --> 00:02:15.170]   that
[00:02:15.170 --> 00:02:15.300]   Ind
[00:02:15.300 --> 00:02:15.480]  ieg
[00:02:15.480 --> 00:02:15.680]  ogo
[00:02:15.680 --> 00:02:16.880]   classification
[00:02:16.880 --> 00:02:17.170]  ?
[00:02:17.170 --> 00:02:17.210]   Yeah
[00:02:17.210 --> 00:02:17.300]  ,
[00:02:17.300 --> 00:02:17.340]   I
[00:02:17.340 --> 00:02:17.530]   made
[00:02:17.530 --> 00:02:17.620]   it
[00:02:17.620 --> 00:02:17.760]   up
[00:02:17.760 --> 00:02:18.040]   Yeah
[00:02:18.040 --> 00:02:18.180]  ,
[00:02:18.180 --> 00:02:18.360]   I
[00:02:18.360 --> 00:02:18.520]   like
[00:02:18.520 --> 00:02:18.590]   a
[00:02:18.590 --> 00:02:18.930]   grand
[00:02:18.930 --> 00:02:19.370]   patron
[00:02:19.370 --> 00:02:19.480]   or
[00:02:19.480 --> 00:02:19.890]   patron
[00:02:19.890 --> 00:02:20.280]   saint
[00:02:20.280 --> 00:02:20.520]   the
[00:02:20.520 --> 00:02:20.840]   grand
[00:02:20.840 --> 00:02:21.280]   patron
[00:02:21.280 --> 00:02:21.380]  .
[00:02:21.380 --> 00:02:21.440]   He
[00:02:21.440 --> 00:02:21.560]   that
[00:02:21.560 --> 00:02:21.640]  's
[00:02:21.640 --> 00:02:21.800]   that
[00:02:21.800 --> 00:02:21.950]  's
[00:02:21.950 --> 00:02:22.030]   a
[00:02:22.030 --> 00:02:22.440]   grant
[00:02:22.440 --> 00:02:22.570]   So
[00:02:22.570 --> 00:02:22.830]   that
[00:02:22.830 --> 00:02:22.950]  's
[00:02:22.950 --> 00:02:23.210]   like
[00:02:23.210 --> 00:02:23.660]   someone
[00:02:23.660 --> 00:02:23.850]   who
[00:02:23.850 --> 00:02:24.430]   basically
[00:02:24.430 --> 00:02:24.750]   takes
[00:02:24.750 --> 00:02:25.260]   takes
[00:02:25.260 --> 00:02:25.290]   the
[00:02:25.290 --> 00:02:25.590]   show
[00:02:25.590 --> 00:02:25.710]   and
[00:02:25.710 --> 00:02:25.840]   is
[00:02:25.840 --> 00:02:26.600]   essentially
[00:02:26.600 --> 00:02:27.000]   for
[00:02:27.000 --> 00:02:27.620]   that
[00:02:27.620 --> 00:02:28.080]   show
[00:02:28.080 --> 00:02:28.240]  .
[00:02:28.240 --> 00:02:28.460]   They
[00:02:28.460 --> 00:02:28.620]   are
[00:02:28.620 --> 00:02:28.780]   the
[00:02:28.780 --> 00:02:29.050]   grand
[00:02:29.050 --> 00:02:29.400]   patron
[00:02:29.400 --> 00:02:29.730]   They
[00:02:29.730 --> 00:02:29.980]   are
[00:02:29.980 --> 00:02:30.040]   the
[00:02:30.040 --> 00:02:30.600]   the
[00:02:30.600 --> 00:02:30.640]   be
[00:02:30.640 --> 00:02:30.890]   all
[00:02:30.890 --> 00:02:31.140]   and
[00:02:31.140 --> 00:02:31.390]   end
[00:02:31.390 --> 00:02:31.650]   all
[00:02:31.650 --> 00:02:31.800]   of
[00:02:31.800 --> 00:02:32.350]   the
[00:02:32.350 --> 00:02:32.380]   show
[00:02:32.380 --> 00:02:32.630]   and
[00:02:32.630 --> 00:02:32.960]   that
[00:02:32.960 --> 00:02:33.210]   was
[00:02:33.210 --> 00:02:33.460]   Ben
[00:02:33.460 --> 00:02:33.800]   Boy
[00:02:33.800 --> 00:02:34.040]  ter
[00:02:34.040 --> 00:02:34.670]   Ben
[00:02:34.670 --> 00:02:34.680]   Boy
[00:02:34.680 --> 00:02:35.000]  ter
[00:02:35.000 --> 00:02:35.520]   Yeah
[00:02:35.520 --> 00:02:36.000]   well
[00:02:36.000 --> 00:02:36.200]   Ben
[00:02:36.200 --> 00:02:36.440]   Boy
[00:02:36.440 --> 00:02:36.680]  ter
[00:02:36.680 --> 00:02:37.200]   actually
[00:02:37.200 --> 00:02:38.000]   donated
[00:02:38.000 --> 00:02:38.190]   a
[00:02:38.190 --> 00:02:38.530]   hundred
[00:02:38.530 --> 00:02:38.860]   bucks
[00:02:38.860 --> 00:02:39.080]   to
[00:02:39.080 --> 00:02:39.390]   become
[00:02:39.390 --> 00:02:39.740]   grand
[00:02:39.740 --> 00:02:40.120]   patron
[00:02:40.120 --> 00:02:40.260]   of
[00:02:40.260 --> 00:02:40.450]   the
[00:02:40.450 --> 00:02:40.710]   show
[00:02:40.710 --> 00:02:40.960]   and
[00:02:41.240 --> 00:02:41.260]  
[00:02:41.260 --> 00:02:41.620]   Also
[00:02:41.620 --> 00:02:42.300]   donated
[00:02:42.300 --> 00:02:42.590]   ten
[00:02:42.590 --> 00:02:43.070]   bucks
[00:02:43.070 --> 00:02:43.260]   to
[00:02:43.260 --> 00:02:43.400]   a
[00:02:43.400 --> 00:02:43.830]   shout
[00:02:43.830 --> 00:02:44.160]   out
[00:02:44.160 --> 00:02:44.330]   and
[00:02:44.330 --> 00:02:44.610]   one
[00:02:44.610 --> 00:02:44.670]   of
[00:02:44.670 --> 00:02:44.780]   the
[00:02:44.780 --> 00:02:45.130]   things
[00:02:45.130 --> 00:02:45.240]   he
[00:02:45.240 --> 00:02:45.470]   said
[00:02:45.470 --> 00:02:45.580]   in
[00:02:45.580 --> 00:02:45.750]   his
[00:02:45.750 --> 00:02:46.260]   comments
[00:02:46.260 --> 00:02:46.380]   was
[00:02:46.380 --> 00:02:46.680]   that
[00:02:46.680 --> 00:02:46.860]   So
[00:02:46.860 --> 00:02:47.040]   so
[00:02:47.040 --> 00:02:47.210]   by
[00:02:47.210 --> 00:02:47.480]   the
[00:02:47.480 --> 00:02:47.910]   way
[00:02:47.910 --> 00:02:47.990]  ,
[00:02:47.990 --> 00:02:48.210]   Ben
[00:02:48.210 --> 00:02:48.480]   Boy
[00:02:48.480 --> 00:02:48.750]  ter
[00:02:48.750 --> 00:02:48.930]   is
[00:02:48.930 --> 00:02:49.960]   officially
[00:02:49.960 --> 00:02:50.120]   the
[00:02:50.120 --> 00:02:50.790]   grand
[00:02:50.790 --> 00:02:51.130]   patron
[00:02:51.130 --> 00:02:51.310]   of
[00:02:51.310 --> 00:02:51.670]   this
[00:02:51.670 --> 00:02:52.120]   show
[00:02:52.120 --> 00:02:52.220]   so
[00:02:52.220 --> 00:02:52.450]   I
[00:02:52.450 --> 00:02:53.020]  'm
[00:02:53.020 --> 00:02:53.120]   one
[00:02:53.120 --> 00:02:53.250]   of
[00:02:53.250 --> 00:02:53.590]   the
[00:02:53.590 --> 00:02:54.270]   things
[00:02:54.270 --> 00:02:54.760]   that
[00:02:54.760 --> 00:02:55.010]   one
[00:02:55.010 --> 00:02:55.160]   of
[00:02:55.160 --> 00:02:55.390]   the
[00:02:55.390 --> 00:02:56.250]   things
[00:02:56.250 --> 00:02:56.250]   that
[00:02:56.250 --> 00:02:56.410]   he
[00:02:56.410 --> 00:02:56.740]   said
[00:02:56.740 --> 00:02:56.900]   in
[00:02:56.900 --> 00:02:57.170]   his
[00:02:57.170 --> 00:02:57.810]   comments
[00:02:57.810 --> 00:02:58.060]   was
[00:02:58.060 --> 00:02:58.440]   that
[00:02:58.440 --> 00:02:58.490]   I
[00:02:58.490 --> 00:02:58.500]  'd
[00:02:58.500 --> 00:02:59.250]   mentioned
[00:02:59.250 --> 00:02:59.340]   that
[00:02:59.340 --> 00:02:59.500]   there
[00:02:59.500 --> 00:02:59.650]   was
[00:02:59.650 --> 00:02:59.700]   a
[00:02:59.700 --> 00:03:00.010]   little
[00:03:00.010 --> 00:03:00.160]   bit
[00:03:00.160 --> 00:03:00.260]   of
[00:03:00.260 --> 00:03:00.570]   static
[00:03:00.570 --> 00:03:00.880]   behind
[00:03:00.880 --> 00:03:00.980]   my
[00:03:00.980 --> 00:03:01.230]   voice
