
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.340]   Oh
[00:00:39.610 --> 00:00:39.650]   a
[00:00:39.650 --> 00:00:39.790]   it
[00:00:39.790 --> 00:00:39.930]  's
[00:00:39.930 --> 00:00:40.210]   sund
[00:00:40.210 --> 00:00:40.360]  ay
[00:00:40.360 --> 00:00:40.490]   at
[00:00:40.490 --> 00:00:40.770]   nine
[00:00:40.770 --> 00:00:40.910]   am
[00:00:40.910 --> 00:00:41.190]   here
[00:00:41.190 --> 00:00:41.330]   in
[00:00:41.330 --> 00:00:41.530]   Pas
[00:00:41.530 --> 00:00:41.680]  ad
[00:00:41.680 --> 00:00:41.890]  ena
[00:00:41.890 --> 00:00:42.160]  .
[00:00:42.160 --> 00:00:42.300]   Why
[00:00:42.300 --> 00:00:42.440]   are
[00:00:42.440 --> 00:00:42.610]   you
[00:00:42.610 --> 00:00:42.690]   up
[00:00:42.690 --> 00:00:42.750]   at
[00:00:42.750 --> 00:00:43.000]   seven
[00:00:43.000 --> 00:00:43.040]   o
[00:00:43.040 --> 00:00:43.080]  '
[00:00:43.080 --> 00:00:43.370]  clock
[00:00:43.370 --> 00:00:43.410]   on
[00:00:43.410 --> 00:00:43.450]   a
[00:00:43.450 --> 00:00:43.640]   sund
[00:00:43.640 --> 00:00:43.730]  ay
[00:00:43.730 --> 00:00:44.070]   morning
[00:00:44.070 --> 00:00:44.320]  .
[00:00:44.320 --> 00:00:44.550]   I
[00:00:44.550 --> 00:00:44.760]   guess
[00:00:44.760 --> 00:00:44.820]   i
[00:00:44.820 --> 00:00:44.970]  'm
[00:00:44.970 --> 00:00:45.260]   just
[00:00:45.260 --> 00:00:45.780]   getting
[00:00:45.780 --> 00:00:46.180]   ready
[00:00:46.180 --> 00:00:46.370]   for
[00:00:46.370 --> 00:00:46.590]   you
[00:00:46.590 --> 00:00:47.000]   know
[00:00:47.000 --> 00:00:47.400]   getting
[00:00:47.400 --> 00:00:47.690]   used
[00:00:47.690 --> 00:00:47.830]   to
[00:00:47.830 --> 00:00:48.350]   getting
[00:00:48.350 --> 00:00:48.490]   up
[00:00:48.490 --> 00:00:49.080]   early
[00:00:49.080 --> 00:00:49.100]   for
[00:00:49.100 --> 00:00:49.300]   the
[00:00:49.300 --> 00:00:49.740]   the
[00:00:49.740 --> 00:00:49.770]   new
[00:00:49.770 --> 00:00:50.080]  .
[00:00:50.080 --> 00:00:50.230]  
[00:00:50.230 --> 00:00:50.270]   No
[00:00:50.270 --> 00:00:50.550]   you
[00:00:50.550 --> 00:00:50.830]  're
[00:00:50.830 --> 00:00:51.110]   not
[00:00:51.110 --> 00:00:51.390]   why
[00:00:51.390 --> 00:00:51.720]   are
[00:00:51.720 --> 00:00:51.950]   you
[00:00:51.950 --> 00:00:52.520]   really
[00:00:52.520 --> 00:00:52.710]   up
[00:00:52.710 --> 00:00:52.900]   at
[00:00:52.900 --> 00:00:53.360]   seven
[00:00:53.360 --> 00:00:53.490]   o
[00:00:53.490 --> 00:00:53.550]  '
[00:00:53.550 --> 00:00:54.040]  clock
[00:00:54.040 --> 00:00:54.360]  .
[00:00:54.360 --> 00:00:54.590]   We
[00:00:54.590 --> 00:00:54.660]  've
[00:00:54.660 --> 00:00:54.900]   been
[00:00:54.900 --> 00:00:55.320]   getting
[00:00:55.320 --> 00:00:55.440]   up
[00:00:55.440 --> 00:00:55.740]   early
[00:00:55.740 --> 00:00:56.040]   every
[00:00:56.040 --> 00:00:56.220]   day
[00:00:56.220 --> 00:00:56.340]   we
[00:00:56.340 --> 00:00:56.630]   have
[00:00:56.630 --> 00:00:57.180]   definitely
[00:00:57.180 --> 00:00:57.300]   is
[00:00:57.300 --> 00:00:57.360]   i
[00:00:57.360 --> 00:00:57.660]   think
[00:00:57.660 --> 00:00:57.830]   we
[00:00:57.830 --> 00:00:57.960]  're
[00:00:57.960 --> 00:00:58.080]   in
[00:00:58.080 --> 00:00:58.740]   preparation
[00:00:58.740 --> 00:00:58.920]   for
[00:00:58.920 --> 00:00:59.160]  .
[00:00:59.160 --> 00:00:59.360]   For
[00:00:59.360 --> 00:00:59.630]   a
[00:00:59.630 --> 00:00:59.690]   baby
[00:00:59.690 --> 00:00:59.750]   i
[00:00:59.750 --> 00:01:00.080]   guess
[00:01:00.080 --> 00:01:00.460]   the
[00:01:00.460 --> 00:01:00.610]   other
[00:01:00.610 --> 00:01:00.940]   thing
[00:01:00.940 --> 00:01:01.070]   is
[00:01:01.070 --> 00:01:01.200]   is
[00:01:01.200 --> 00:01:01.470]   that
[00:01:01.470 --> 00:01:01.800]   some
[00:01:01.800 --> 00:01:01.940]   are
[00:01:01.940 --> 00:01:02.140]   cat
[00:01:02.140 --> 00:01:02.450]   just
[00:01:02.450 --> 00:01:02.640]   for
[00:01:02.640 --> 00:01:03.540]   whatever
[00:01:03.540 --> 00:01:03.610]   reason
[00:01:03.610 --> 00:01:03.740]   has
[00:01:03.740 --> 00:01:04.210]   started
[00:01:04.210 --> 00:01:04.610]   really
[00:01:04.610 --> 00:01:04.810]   bug
[00:01:04.810 --> 00:01:05.070]  ging
[00:01:05.070 --> 00:01:05.200]   us
[00:01:05.200 --> 00:01:05.530]   early
[00:01:05.530 --> 00:01:05.660]   in
[00:01:05.660 --> 00:01:05.860]   the
[00:01:05.860 --> 00:01:06.330]   morning
[00:01:06.330 --> 00:01:06.660]  .
[00:01:06.660 --> 00:01:06.860]   Okay
[00:01:06.860 --> 00:01:07.120]   there
[00:01:07.120 --> 00:01:07.220]  's
[00:01:07.220 --> 00:01:07.270]   a
[00:01:07.270 --> 00:01:07.470]   real
[00:01:07.470 --> 00:01:07.780]   reason
[00:01:07.780 --> 00:01:07.960]  .
[00:01:07.960 --> 00:01:08.240]   Yeah
[00:01:08.240 --> 00:01:08.460]  .
[00:01:08.460 --> 00:01:08.740]   Prep
[00:01:08.740 --> 00:01:09.090]  aring
[00:01:09.090 --> 00:01:09.300]   for
[00:01:09.300 --> 00:01:09.540]   the
[00:01:09.540 --> 00:01:09.790]   baby
[00:01:09.790 --> 00:01:10.020]   two
[00:01:10.020 --> 00:01:10.260]   and
[00:01:10.260 --> 00:01:10.280]   a
[00:01:10.280 --> 00:01:10.560]   half
[00:01:10.560 --> 00:01:10.980]   months
[00:01:10.980 --> 00:01:11.130]   do
[00:01:11.130 --> 00:01:11.250]   you
[00:01:11.250 --> 00:01:11.590]   do
[00:01:11.590 --> 00:01:12.040]   yourself
[00:01:12.040 --> 00:01:12.100]   a
[00:01:12.100 --> 00:01:12.450]   favor
[00:01:12.450 --> 00:01:12.660]   get
[00:01:12.660 --> 00:01:12.800]   as
[00:01:12.800 --> 00:01:13.080]   much
[00:01:13.080 --> 00:01:13.430]   sleep
[00:01:13.430 --> 00:01:13.560]   as
[00:01:13.560 --> 00:01:13.850]   you
[00:01:13.850 --> 00:01:13.990]   can
[00:01:13.990 --> 00:01:14.540]   before
[00:01:14.540 --> 00:01:14.620]   the
[00:01:14.620 --> 00:01:14.900]   baby
[00:01:14.900 --> 00:01:15.040]  's
[00:01:15.040 --> 00:01:15.320]   born
[00:01:15.320 --> 00:01:15.560]  .
[00:01:15.560 --> 00:01:15.720]   Is
[00:01:15.720 --> 00:01:15.880]   it
[00:01:15.880 --> 00:01:16.100]   i
[00:01:16.100 --> 00:01:16.200]   can
[00:01:16.200 --> 00:01:16.510]   have
[00:01:16.510 --> 00:01:16.820]   that
[00:01:16.820 --> 00:01:17.290]   option
[00:01:17.290 --> 00:01:17.560]  .
[00:01:17.780 --> 00:01:17.780]  
[00:01:17.780 --> 00:01:18.010]   It
[00:01:18.010 --> 00:01:18.020]  's
[00:01:18.020 --> 00:01:18.110]   a
[00:01:18.110 --> 00:01:18.200]  ny
[00:01:18.200 --> 00:01:18.510]   world
[00:01:18.510 --> 00:01:18.760]   yeah
[00:01:18.760 --> 00:01:18.980]  .
[00:01:18.980 --> 00:01:19.190]   Well
[00:01:19.190 --> 00:01:19.350]   you
[00:01:19.350 --> 00:01:19.560]   know
[00:01:19.560 --> 00:01:19.870]   what
[00:01:19.870 --> 00:01:19.900]   it
[00:01:19.900 --> 00:01:20.200]   really
[00:01:20.200 --> 00:01:20.560]   depends
[00:01:20.560 --> 00:01:20.610]   i
[00:01:20.610 --> 00:01:20.770]  've
[00:01:20.770 --> 00:01:20.980]   had
[00:01:20.980 --> 00:01:21.300]   friends
[00:01:21.300 --> 00:01:21.470]   who
[00:01:21.470 --> 00:01:21.620]  've
[00:01:21.620 --> 00:01:21.780]   had
[00:01:21.780 --> 00:01:22.010]   been
[00:01:22.010 --> 00:01:22.300]   really
[00:01:22.300 --> 00:01:22.810]   lucky
[00:01:22.810 --> 00:01:22.870]   and
[00:01:22.870 --> 00:01:22.960]   and
[00:01:22.960 --> 00:01:23.170]   they
[00:01:23.170 --> 00:01:23.310]  've
[00:01:23.310 --> 00:01:23.460]   had
[00:01:23.460 --> 00:01:23.760]   babies
[00:01:23.760 --> 00:01:24.090]   that
[00:01:24.090 --> 00:01:24.160]   have
[00:01:24.160 --> 00:01:24.410]   slept
[00:01:24.410 --> 00:01:24.780]   really
[00:01:24.780 --> 00:01:25.140]   well
[00:01:25.140 --> 00:01:25.260]   through
[00:01:25.260 --> 00:01:25.410]   the
[00:01:25.410 --> 00:01:25.660]   night
[00:01:25.660 --> 00:01:25.830]   and
[00:01:25.830 --> 00:01:25.960]   you
[00:01:25.960 --> 00:01:26.160]   know
[00:01:26.160 --> 00:01:26.310]   you
[00:01:26.310 --> 00:01:26.560]   never
[00:01:26.560 --> 00:01:26.760]   know
[00:01:26.760 --> 00:01:26.990]   what
[00:01:26.990 --> 00:01:27.110]   you
[00:01:27.110 --> 00:01:27.260]  're
[00:01:27.260 --> 00:01:27.510]   gonna
[00:01:27.510 --> 00:01:27.660]   get
[00:01:27.660 --> 00:01:27.920]  .
[00:01:27.920 --> 00:01:28.190]   So
[00:01:28.190 --> 00:01:28.580]   uh
[00:01:28.580 --> 00:01:29.000]   well
[00:01:29.000 --> 00:01:29.270]   we
[00:01:29.270 --> 00:01:29.920]   got
[00:01:29.920 --> 00:01:30.210]   back
[00:01:30.210 --> 00:01:30.790]   from
[00:01:30.790 --> 00:01:31.060]   um
[00:01:31.060 --> 00:01:31.320]   uh
[00:01:31.320 --> 00:01:31.450]   dis
[00:01:31.450 --> 00:01:32.690]  ney
[00:01:32.690 --> 00:01:32.700]  land
[00:01:32.700 --> 00:01:32.830]   a
[00:01:32.830 --> 00:01:34.050]   couple
[00:01:34.050 --> 00:01:34.210]   days
[00:01:34.210 --> 00:01:34.630]   ago
[00:01:34.630 --> 00:01:34.860]   and
[00:01:34.860 --> 00:01:35.060]   i
[00:01:35.060 --> 00:01:35.390]   just
[00:01:35.390 --> 00:01:35.530]   like
[00:01:35.530 --> 00:01:35.670]   to
[00:01:35.670 --> 00:01:36.030]   point
[00:01:36.030 --> 00:01:36.260]   out
[00:01:36.260 --> 00:01:36.400]   a
[00:01:36.400 --> 00:01:36.770]   couple
[00:01:36.770 --> 00:01:37.210]   things
[00:01:37.210 --> 00:01:37.480]  .
[00:01:37.480 --> 00:01:38.070]   One
[00:01:38.070 --> 00:01:38.100]   it
[00:01:38.100 --> 00:01:38.350]   is
[00:01:38.350 --> 00:01:39.860]   unbelievable
[00:01:39.860 --> 00:01:40.230]   how
[00:01:40.230 --> 00:01:41.150]   people
[00:01:41.150 --> 00:01:41.480]   have
[00:01:41.480 --> 00:01:42.440]   adapted
[00:01:42.440 --> 00:01:42.610]   to
[00:01:42.610 --> 00:01:43.240]   these
[00:01:43.240 --> 00:01:43.740]   long
[00:01:43.740 --> 00:01:44.370]   lines
[00:01:44.370 --> 00:01:44.800]  .
[00:01:44.800 --> 00:01:44.800]  
[00:01:44.800 --> 00:01:45.330]   I
[00:01:45.330 --> 00:01:45.550]   remember
[00:01:45.550 --> 00:01:45.880]   when
[00:01:45.880 --> 00:01:45.950]   i
[00:01:45.950 --> 00:01:46.210]   was
[00:01:46.210 --> 00:01:46.480]   a
[00:01:46.480 --> 00:01:46.540]   kid
[00:01:46.540 --> 00:01:47.120]   going
[00:01:47.120 --> 00:01:47.340]   to
[00:01:47.340 --> 00:01:47.370]   six
[00:01:47.370 --> 00:01:47.790]   flags
[00:01:47.790 --> 00:01:48.020]   in
[00:01:48.020 --> 00:01:48.110]   at
[00:01:48.110 --> 00:01:48.190]  l
[00:01:48.190 --> 00:01:48.520]  anta
[00:01:48.520 --> 00:01:48.770]   and
[00:01:48.770 --> 00:01:49.180]   like
[00:01:49.180 --> 00:01:49.230]   a
[00:01:49.230 --> 00:01:49.680]   45
[00:01:49.680 --> 00:01:49.980]   minute
[00:01:49.980 --> 00:01:50.610]   line
[00:01:50.610 --> 00:01:50.800]   was
[00:01:50.800 --> 00:01:51.090]   like
[00:01:51.090 --> 00:01:51.920]   outrageous
[00:01:51.920 --> 00:01:52.250]   like
[00:01:52.250 --> 00:01:52.630]   that
[00:01:52.630 --> 00:01:52.830]   was
[00:01:52.830 --> 00:01:53.080]   the
[00:01:53.080 --> 00:01:53.470]   huge
[00:01:53.470 --> 00:01:53.660]   new
[00:01:53.660 --> 00:01:54.490]   attraction
[00:01:54.490 --> 00:01:54.740]   and
[00:01:54.740 --> 00:01:54.990]   you
[00:01:54.990 --> 00:01:55.580]   might
[00:01:55.580 --> 00:01:55.750]   have
[00:01:55.750 --> 00:01:55.900]   to
[00:01:55.900 --> 00:01:56.230]   wait
[00:01:56.230 --> 00:01:56.730]   45
[00:01:56.730 --> 00:01:57.310]   minutes
[00:01:57.310 --> 00:01:57.560]   and
[00:01:57.560 --> 00:01:57.720]   it
[00:01:57.720 --> 00:01:57.970]   was
[00:01:57.970 --> 00:01:58.050]   a
[00:01:58.050 --> 00:01:58.970]   nightmare
[00:01:58.970 --> 00:01:59.680]   right
[00:01:59.680 --> 00:01:59.680]  .
[00:01:59.680 --> 00:01:59.830]   Um
[00:01:59.830 --> 00:01:59.990]   we
[00:01:59.990 --> 00:02:00.350]   get
[00:02:00.350 --> 00:02:00.570]   there
[00:02:00.570 --> 00:02:00.780]   and
[00:02:00.780 --> 00:02:00.800]   we
[00:02:00.800 --> 00:02:01.450]   get
[00:02:01.450 --> 00:02:01.570]   there
[00:02:01.570 --> 00:02:01.970]   pretty
[00:02:01.970 --> 00:02:02.340]   early
[00:02:02.340 --> 00:02:02.710]   and
[00:02:02.710 --> 00:02:02.810]   it
[00:02:02.810 --> 00:02:02.850]  's
[00:02:02.850 --> 00:02:03.290]   during
[00:02:03.290 --> 00:02:03.510]   the
[00:02:03.510 --> 00:02:03.800]   week
[00:02:03.800 --> 00:02:04.070]  day
[00:02:04.070 --> 00:02:04.240]   and
[00:02:04.240 --> 00:02:04.380]   so
[00:02:04.380 --> 00:02:04.540]   we
[00:02:04.540 --> 00:02:04.980]   figure
[00:02:04.980 --> 00:02:05.130]   we
[00:02:05.130 --> 00:02:05.350]  'll
[00:02:05.350 --> 00:02:05.500]   be
[00:02:05.500 --> 00:02:05.720]   all
[00:02:05.720 --> 00:02:06.240]   right
[00:02:06.240 --> 00:02:06.520]   we
[00:02:06.520 --> 00:02:06.530]   wait
[00:02:06.530 --> 00:02:06.680]   an
[00:02:06.680 --> 00:02:06.970]   hour
[00:02:06.970 --> 00:02:07.190]   and
[00:02:07.190 --> 00:02:07.630]   40
[00:02:07.630 --> 00:02:08.150]   minutes
[00:02:08.150 --> 00:02:08.520]  .
[00:02:08.520 --> 00:02:08.790]  
[00:02:08.790 --> 00:02:08.810]   For
[00:02:08.810 --> 00:02:09.100]   the
[00:02:09.100 --> 00:02:09.540]   cars
[00:02:09.540 --> 00:02:09.880]   ride
[00:02:09.880 --> 00:02:10.170]   you
[00:02:10.170 --> 00:02:10.540]   know
[00:02:10.540 --> 00:02:10.950]   the
[00:02:10.950 --> 00:02:11.140]   new
[00:02:11.140 --> 00:02:11.530]   like
[00:02:11.530 --> 00:02:11.870]   you
[00:02:11.870 --> 00:02:12.210]   know
[00:02:12.210 --> 00:02:12.500]   the
[00:02:12.500 --> 00:02:12.880]   team
[00:02:12.880 --> 00:02:13.440]   you
[00:02:13.440 --> 00:02:13.800]   know
[00:02:13.800 --> 00:02:13.860]   the
[00:02:13.860 --> 00:02:14.050]   um
[00:02:14.050 --> 00:02:14.540]   movie
[00:02:14.540 --> 00:02:14.930]   cars
[00:02:14.930 --> 00:02:15.400]  .
[00:02:15.400 --> 00:02:15.800]   So
[00:02:15.800 --> 00:02:16.400]  .
[00:02:16.400 --> 00:02:16.780]   After
[00:02:16.780 --> 00:02:17.150]   that
[00:02:17.150 --> 00:02:17.270]   i
[00:02:17.270 --> 00:02:17.480]   told
[00:02:17.480 --> 00:02:17.900]   saying
[00:02:17.900 --> 00:02:17.980]   i
[00:02:17.980 --> 00:02:18.270]   said
[00:02:18.270 --> 00:02:18.570]   that
[00:02:18.570 --> 00:02:18.740]  's
[00:02:18.740 --> 00:02:18.790]   i
[00:02:18.790 --> 00:02:18.940]  'm
[00:02:18.940 --> 00:02:19.280]   not
[00:02:19.280 --> 00:02:19.540]   doing
[00:02:19.540 --> 00:02:20.070]   anymore
[00:02:20.070 --> 00:02:20.360]  .
[00:02:20.360 --> 00:02:20.370]   R
[00:02:20.370 --> 00:02:20.880]  ides
[00:02:20.880 --> 00:02:20.940]   this
[00:02:20.940 --> 00:02:21.200]   long
[00:02:21.200 --> 00:02:21.270]   i
[00:02:21.270 --> 00:02:21.520]   mean
[00:02:21.520 --> 00:02:21.650]   we
[00:02:21.650 --> 00:02:21.970]   gotta
[00:02:21.970 --> 00:02:22.360]   figure
[00:02:22.360 --> 00:02:22.550]   out
[00:02:22.550 --> 00:02:23.140]   different
[00:02:23.140 --> 00:02:23.530]   things
[00:02:23.530 --> 00:02:23.790]   this
[00:02:23.790 --> 00:02:23.920]   is
[00:02:23.920 --> 00:02:23.980]   a
[00:02:23.980 --> 00:02:24.570]   nightmare
[00:02:24.570 --> 00:02:24.760]   and
[00:02:24.760 --> 00:02:25.210]   because
[00:02:25.210 --> 00:02:25.440]   you
[00:02:25.440 --> 00:02:25.660]   know
[00:02:25.660 --> 00:02:25.920]   what
[00:02:25.920 --> 00:02:26.110]   you
[00:02:26.110 --> 00:02:26.300]   can
[00:02:26.300 --> 00:02:26.560]   do
[00:02:26.560 --> 00:02:26.560]   is
[00:02:26.560 --> 00:02:26.870]   if
[00:02:26.870 --> 00:02:26.880]   you
[00:02:26.880 --> 00:02:26.940]   i
[00:02:26.940 --> 00:02:27.060]  'm
[00:02:27.060 --> 00:02:27.270]   not
[00:02:27.270 --> 00:02:27.790]   exactly
[00:02:27.790 --> 00:02:27.970]   sure
[00:02:27.970 --> 00:02:28.260]   what
[00:02:28.260 --> 00:02:28.560]   the
[00:02:28.560 --> 00:02:28.610]   the
[00:02:28.610 --> 00:02:29.200]   mechanics
[00:02:29.200 --> 00:02:29.390]   are
[00:02:29.390 --> 00:02:29.880]   exactly
[00:02:29.880 --> 00:02:30.030]   but
[00:02:30.030 --> 00:02:30.220]   you
[00:02:30.220 --> 00:02:30.410]   can
[00:02:30.410 --> 00:02:30.600]   get
[00:02:30.600 --> 00:02:30.660]   a
[00:02:30.660 --> 00:02:30.960]   fast
[00:02:30.960 --> 00:02:31.180]   pass
[00:02:31.180 --> 00:02:31.600]  .
[00:02:31.600 --> 00:02:31.600]  
[00:02:31.600 --> 00:02:31.970]   For
[00:02:31.970 --> 00:02:31.980]   ride
[00:02:31.980 --> 00:02:32.140]   one
[00:02:32.140 --> 00:02:32.410]   right
[00:02:32.410 --> 00:02:32.520]   at
[00:02:32.520 --> 00:02:32.570]   a
[00:02:32.570 --> 00:02:32.790]   time
[00:02:32.790 --> 00:02:32.840]   i
[00:02:32.840 --> 00:02:33.030]   don
[00:02:33.030 --> 00:02:33.110]  't
[00:02:33.110 --> 00:02:33.330]   know
[00:02:33.330 --> 00:02:33.440]   if
[00:02:33.440 --> 00:02:33.550]   it
[00:02:33.550 --> 00:02:33.660]  's
[00:02:33.660 --> 00:02:33.880]   once
[00:02:33.880 --> 00:02:33.930]   a
[00:02:33.930 --> 00:02:34.090]   day
[00:02:34.090 --> 00:02:34.200]   or
[00:02:34.200 --> 00:02:34.470]   twice
[00:02:34.470 --> 00:02:34.520]   a
[00:02:34.520 --> 00:02:34.710]   day
[00:02:34.710 --> 00:02:34.900]   but
[00:02:34.900 --> 00:02:35.060]   then
[00:02:35.060 --> 00:02:35.380]   you
[00:02:35.380 --> 00:02:35.380]   can
[00:02:35.380 --> 00:02:35.490]   go
[00:02:35.490 --> 00:02:35.730]   in
[00:02:35.730 --> 00:02:35.760]   the
[00:02:35.760 --> 00:02:36.030]   short
[00:02:36.030 --> 00:02:36.250]   line
[00:02:36.250 --> 00:02:36.740]   which
[00:02:36.740 --> 00:02:36.790]   might
[00:02:36.790 --> 00:02:36.900]   be
[00:02:36.900 --> 00:02:37.230]   15
[00:02:37.230 --> 00:02:37.560]   20
[00:02:37.560 --> 00:02:37.980]   minutes
[00:02:37.980 --> 00:02:38.050]   as
[00:02:38.050 --> 00:02:38.430]   opposed
[00:02:38.430 --> 00:02:38.560]   to
[00:02:38.560 --> 00:02:38.650]   an
[00:02:38.650 --> 00:02:38.910]   hour
[00:02:38.910 --> 00:02:39.030]   and
[00:02:39.030 --> 00:02:39.080]   a
[00:02:39.080 --> 00:02:39.300]   half
[00:02:39.300 --> 00:02:39.680]  .
[00:02:39.680 --> 00:02:40.310]   Right
[00:02:40.310 --> 00:02:40.400]   so
[00:02:40.400 --> 00:02:40.580]   you
[00:02:40.580 --> 00:02:40.940]   have
[00:02:40.940 --> 00:02:41.120]   to
[00:02:41.120 --> 00:02:41.480]   want
[00:02:41.480 --> 00:02:41.660]   to
[00:02:41.660 --> 00:02:42.070]   hack
[00:02:42.070 --> 00:02:42.340]   the
[00:02:42.340 --> 00:02:42.830]   system
[00:02:42.830 --> 00:02:43.150]   get
[00:02:43.150 --> 00:02:43.390]   the
[00:02:43.390 --> 00:02:43.730]   fast
[00:02:43.730 --> 00:02:44.090]   pass
[00:02:44.090 --> 00:02:44.560]   right
[00:02:44.560 --> 00:02:44.720]   um
[00:02:44.720 --> 00:02:45.080]  .
[00:02:45.080 --> 00:02:45.370]   But
[00:02:45.370 --> 00:02:46.040]   the
[00:02:46.040 --> 00:02:46.080]   thing
[00:02:46.080 --> 00:02:46.440]   that
[00:02:46.440 --> 00:02:46.710]   our
[00:02:46.710 --> 00:02:47.170]   girls
[00:02:47.170 --> 00:02:47.750]   really
[00:02:47.750 --> 00:02:48.080]   want
[00:02:48.080 --> 00:02:48.250]   to
[00:02:48.250 --> 00:02:48.430]   do
[00:02:48.430 --> 00:02:48.890]   was
[00:02:48.890 --> 00:02:48.940]   uh
[00:02:48.940 --> 00:02:49.070]   go
[00:02:49.070 --> 00:02:49.250]   to
