
[00:00:00.000 --> 00:00:00.080]  
[00:00:00.080 --> 00:00:00.720]   Jing
[00:00:48.840 --> 00:00:49.320]   raining
[00:00:49.320 --> 00:00:49.440]   non
[00:00:49.440 --> 00:00:49.500]  -
[00:00:49.500 --> 00:00:49.740]  stop
[00:00:49.740 --> 00:00:49.920]   for
[00:00:49.920 --> 00:00:50.440]   about
[00:00:50.440 --> 00:00:50.520]   three
[00:00:50.520 --> 00:00:51.000]   days
[00:00:51.000 --> 00:00:51.000]  .
[00:00:51.000 --> 00:00:51.210]   Yeah
[00:00:51.210 --> 00:00:51.310]  ,
[00:00:51.310 --> 00:00:51.520]   well
[00:00:51.520 --> 00:00:51.610]  ,
[00:00:51.610 --> 00:00:51.780]   you
[00:00:51.780 --> 00:00:51.990]   know
[00:00:51.990 --> 00:00:52.090]  ,
[00:00:52.090 --> 00:00:52.190]   it
[00:00:52.190 --> 00:00:52.560]   happens
[00:00:52.560 --> 00:00:52.770]   that
[00:00:52.770 --> 00:00:53.030]   way
[00:00:53.030 --> 00:00:53.250]   in
[00:00:53.250 --> 00:00:53.620]   the
[00:00:53.620 --> 00:00:54.370]   South
[00:00:54.370 --> 00:00:54.730]  land
[00:00:54.730 --> 00:00:55.000]  ,
[00:00:55.000 --> 00:00:55.000]   I
[00:00:55.000 --> 00:00:55.000]   guess
[00:00:55.000 --> 00:00:55.000]  ,
[00:00:55.000 --> 00:00:55.000]  
[00:00:55.000 --> 00:00:55.120]   is
[00:00:55.120 --> 00:00:55.400]   that
[00:00:55.400 --> 00:00:55.560]   you
[00:00:55.560 --> 00:00:55.940]   hardly
[00:00:55.940 --> 00:00:56.190]   have
[00:00:56.190 --> 00:00:56.380]   any
[00:00:56.380 --> 00:00:56.630]   rain
[00:00:56.630 --> 00:00:56.750]  ,
[00:00:56.750 --> 00:00:56.940]   and
[00:00:56.940 --> 00:00:57.190]   then
[00:00:57.190 --> 00:00:57.310]   in
[00:00:57.310 --> 00:00:57.500]   the
[00:00:57.500 --> 00:00:57.880]   winter
[00:00:57.880 --> 00:00:58.130]  time
[00:00:58.130 --> 00:00:58.250]   it
[00:00:58.250 --> 00:00:58.620]   kind
[00:00:58.620 --> 00:00:58.620]   of
[00:00:58.620 --> 00:00:58.940]   comes
[00:00:58.940 --> 00:00:59.270]   on
[00:00:59.270 --> 00:00:59.440]   pretty
[00:00:59.440 --> 00:00:59.690]   hard
[00:00:59.690 --> 00:01:00.000]  .
[00:01:00.000 --> 00:01:00.150]   But
[00:01:00.150 --> 00:01:00.560]  ,
[00:01:00.560 --> 00:01:00.570]   you
[00:01:00.570 --> 00:01:00.980]   know
[00:01:00.980 --> 00:01:01.050]  ,
[00:01:01.050 --> 00:01:01.680]   whatever
[00:01:01.680 --> 00:01:01.690]  ,
[00:01:01.690 --> 00:01:01.760]   I
[00:01:01.760 --> 00:01:02.130]   mean
[00:01:02.130 --> 00:01:02.240]  ,
[00:01:02.240 --> 00:01:02.320]   it
[00:01:02.320 --> 00:01:02.460]  's
[00:01:02.460 --> 00:01:03.090]   something
[00:01:03.090 --> 00:01:03.730]   different
[00:01:03.730 --> 00:01:04.070]  .
[00:01:04.070 --> 00:01:04.170]   It
[00:01:04.170 --> 00:01:04.170]  'll
[00:01:04.170 --> 00:01:04.260]   be
[00:01:04.260 --> 00:01:04.440]   over
[00:01:04.440 --> 00:01:04.450]   in
[00:01:04.450 --> 00:01:04.480]   a
[00:01:04.480 --> 00:01:04.690]   couple
[00:01:04.690 --> 00:01:04.860]   weeks
[00:01:04.860 --> 00:01:05.000]  .
[00:01:05.000 --> 00:01:05.080]   Oh
[00:01:05.080 --> 00:01:05.160]  ,
[00:01:05.160 --> 00:01:05.240]   so
[00:01:05.240 --> 00:01:05.350]   it
[00:01:05.350 --> 00:01:05.400]  's
[00:01:05.400 --> 00:01:05.560]   just
[00:01:05.560 --> 00:01:05.630]   a
[00:01:05.630 --> 00:01:05.920]   couple
[00:01:05.920 --> 00:01:05.970]   of
[00:01:05.970 --> 00:01:06.120]   weeks
[00:01:06.120 --> 00:01:06.220]  ,
[00:01:06.220 --> 00:01:06.280]   is
[00:01:06.280 --> 00:01:06.360]   it
[00:01:06.360 --> 00:01:06.440]  ,
[00:01:06.440 --> 00:01:06.640]   every
[00:01:06.640 --> 00:01:06.840]   year
[00:01:06.840 --> 00:01:07.000]  ?
[00:01:07.000 --> 00:01:07.200]   Well
[00:01:07.200 --> 00:01:07.290]  ,
[00:01:07.290 --> 00:01:07.410]   no
[00:01:07.410 --> 00:01:07.480]  ,
[00:01:07.480 --> 00:01:07.580]   no
[00:01:07.580 --> 00:01:07.670]  ,
[00:01:07.670 --> 00:01:08.060]   actually
[00:01:08.060 --> 00:01:08.150]  ,
[00:01:08.150 --> 00:01:08.350]   that
[00:01:08.350 --> 00:01:08.440]  's
[00:01:08.440 --> 00:01:08.590]   not
[00:01:08.590 --> 00:01:08.790]   true
[00:01:08.790 --> 00:01:09.000]  .
[00:01:09.000 --> 00:01:09.210]   It
[00:01:09.210 --> 00:01:09.500]   can
[00:01:09.500 --> 00:01:09.720]   be
[00:01:09.720 --> 00:01:10.100]   kind
[00:01:10.100 --> 00:01:10.380]   of
[00:01:10.380 --> 00:01:10.790]   rainy
[00:01:10.790 --> 00:01:10.990]   in
[00:01:10.990 --> 00:01:11.680]   January
[00:01:11.680 --> 00:01:11.980]   and
[00:01:11.980 --> 00:01:12.770]   February
[00:01:12.770 --> 00:01:13.000]  ,
[00:01:13.000 --> 00:01:13.370]   but
[00:01:13.370 --> 00:01:13.520]   I
[00:01:13.520 --> 00:01:13.860]   don
[00:01:13.860 --> 00:01:14.330]  't
[00:01:14.330 --> 00:01:14.630]   know
[00:01:14.630 --> 00:01:15.000]  .
[00:01:15.000 --> 00:01:15.050]   I
[00:01:15.050 --> 00:01:15.220]   don
[00:01:15.220 --> 00:01:15.370]  't
[00:01:15.370 --> 00:01:15.800]   remember
[00:01:15.800 --> 00:01:15.910]   it
[00:01:15.910 --> 00:01:16.140]   ever
[00:01:16.140 --> 00:01:16.430]   being
[00:01:16.430 --> 00:01:16.660]   that
[00:01:16.660 --> 00:01:16.830]   bad
[00:01:16.830 --> 00:01:17.000]  ,
[00:01:17.000 --> 00:01:17.280]   except
[00:01:17.280 --> 00:01:17.440]   for
[00:01:17.440 --> 00:01:17.460]   a
[00:01:17.460 --> 00:01:17.770]   couple
[00:01:17.770 --> 00:01:18.000]   years
[00:01:18.000 --> 00:01:18.420]   when
[00:01:18.420 --> 00:01:18.630]   it
[00:01:18.630 --> 00:01:18.940]   was
[00:01:18.940 --> 00:01:19.360]   like
[00:01:19.360 --> 00:01:19.570]   El
[00:01:19.570 --> 00:01:19.640]   N
[00:01:19.640 --> 00:01:20.090]  ino
[00:01:20.090 --> 00:01:20.250]   or
[00:01:20.250 --> 00:01:20.500]   El
[00:01:20.500 --> 00:01:20.620]   N
[00:01:20.620 --> 00:01:21.000]  ino
[00:01:21.000 --> 00:01:21.150]   or
[00:01:21.150 --> 00:01:21.840]   something
[00:01:21.840 --> 00:01:22.000]  ,
[00:01:22.000 --> 00:01:22.050]   I
[00:01:22.050 --> 00:01:22.220]   don
[00:01:22.220 --> 00:01:22.330]  't
[00:01:22.330 --> 00:01:22.780]   remember
[00:01:22.780 --> 00:01:23.000]  .
[00:01:23.000 --> 00:01:23.000]  
[00:01:23.000 --> 00:01:23.270]   But
[00:01:23.270 --> 00:01:23.610]   I
[00:01:23.610 --> 00:01:23.900]   wouldn
[00:01:23.900 --> 00:01:24.080]  't
[00:01:24.080 --> 00:01:24.500]   sweat
[00:01:24.500 --> 00:01:24.800]   it
[00:01:24.800 --> 00:01:25.000]  .
[00:01:25.000 --> 00:01:25.100]   It
[00:01:25.100 --> 00:01:25.240]  'll
[00:01:25.240 --> 00:01:25.340]   be
[00:01:25.340 --> 00:01:25.540]   over
[00:01:25.540 --> 00:01:25.690]   and
[00:01:25.690 --> 00:01:25.790]   it
[00:01:25.790 --> 00:01:25.930]  'll
[00:01:25.930 --> 00:01:26.030]   be
[00:01:26.030 --> 00:01:26.270]   sunny
[00:01:26.270 --> 00:01:26.420]   for
[00:01:26.420 --> 00:01:26.620]   like
[00:01:26.620 --> 00:01:26.910]   months
[00:01:26.910 --> 00:01:27.010]   on
[00:01:27.010 --> 00:01:27.160]   end
[00:01:27.160 --> 00:01:27.490]   before
[00:01:27.490 --> 00:01:27.600]   too
[00:01:27.600 --> 00:01:27.800]   long
[00:01:27.800 --> 00:01:28.000]  .
[00:01:28.000 --> 00:01:28.550]   Okay
[00:01:28.550 --> 00:01:28.700]  ,
[00:01:28.700 --> 00:01:28.930]   so
[00:01:28.930 --> 00:01:29.040]   I
[00:01:29.040 --> 00:01:29.390]   got
[00:01:29.390 --> 00:01:29.640]   in
[00:01:29.640 --> 00:01:29.970]   the
[00:01:29.970 --> 00:01:30.500]   post
[00:01:30.500 --> 00:01:31.030]   today
[00:01:31.030 --> 00:01:31.720]   your
[00:01:31.720 --> 00:01:31.850]   Mic
[00:01:31.850 --> 00:01:32.320]   Port
[00:01:32.320 --> 00:01:32.710]   Pro
[00:01:32.710 --> 00:01:33.000]  ,
[00:01:33.000 --> 00:01:33.400]   which
[00:01:33.400 --> 00:01:33.560]   is
[00:01:33.560 --> 00:01:33.880]   your
[00:01:33.880 --> 00:01:34.280]   audio
[00:01:34.280 --> 00:01:35.000]   interface
[00:01:35.000 --> 00:01:35.100]  ,
[00:01:35.100 --> 00:01:35.320]   which
[00:01:35.320 --> 00:01:35.410]   we
[00:01:35.410 --> 00:01:35.690]   bought
[00:01:35.690 --> 00:01:35.880]   with
[00:01:35.880 --> 00:01:36.020]   the
[00:01:36.020 --> 00:01:36.250]   money
[00:01:36.250 --> 00:01:36.440]   that
[00:01:36.440 --> 00:01:36.530]   we
[00:01:36.530 --> 00:01:36.600]   raised
[00:01:36.600 --> 00:01:37.000]  .
[00:01:37.000 --> 00:01:38.000]   Fantastic
[00:01:38.000 --> 00:01:38.000]  .
[00:01:38.000 --> 00:01:38.290]   Yeah
[00:01:38.290 --> 00:01:38.430]  ,
[00:01:38.430 --> 00:01:38.810]   that
[00:01:38.810 --> 00:01:38.860]  's
[00:01:38.860 --> 00:01:39.080]   one
[00:01:39.080 --> 00:01:39.110]   half
[00:01:39.110 --> 00:01:39.710]   of
[00:01:39.710 --> 00:01:39.800]   your
[00:01:39.800 --> 00:01:40.170]   audio
[00:01:40.170 --> 00:01:40.540]   stuff
[00:01:40.540 --> 00:01:40.680]  ,
[00:01:40.680 --> 00:01:40.820]   so
[00:01:40.820 --> 00:01:40.890]   I
[00:01:40.890 --> 00:01:41.030]  'm
[00:01:41.030 --> 00:01:41.550]   waiting
[00:01:41.550 --> 00:01:41.770]   for
[00:01:41.770 --> 00:01:41.990]   the
[00:01:41.990 --> 00:01:42.210]   mic
[00:01:42.210 --> 00:01:42.350]   to
[00:01:42.350 --> 00:01:42.680]   come
[00:01:42.680 --> 00:01:43.000]  .
[00:01:43.000 --> 00:01:43.330]   Now
[00:01:43.330 --> 00:01:43.370]  ,
[00:01:43.370 --> 00:01:43.530]   the
[00:01:43.530 --> 00:01:43.920]   idiot
[00:01:43.920 --> 00:01:44.070]   who
[00:01:44.070 --> 00:01:44.690]   delivered
[00:01:44.690 --> 00:01:44.850]   it
[00:01:44.850 --> 00:01:44.950]  ,
[00:01:44.950 --> 00:01:45.570]   basically
[00:01:45.570 --> 00:01:45.700]  ,
[00:01:45.700 --> 00:01:45.850]   in
[00:01:45.850 --> 00:01:46.030]   the
[00:01:46.030 --> 00:01:46.780]   pouring
[00:01:46.780 --> 00:01:46.780]   rain
[00:01:46.780 --> 00:01:47.170]  ,
[00:01:47.170 --> 00:01:47.310]   there
[00:01:47.310 --> 00:01:47.490]   was
[00:01:47.490 --> 00:01:47.550]   a
[00:01:47.550 --> 00:01:48.000]   balcony
[00:01:48.000 --> 00:01:48.000]  ,
[00:01:48.000 --> 00:01:48.200]  
[00:01:48.200 --> 00:01:48.220]   but
[00:01:48.220 --> 00:01:48.330]   he
[00:01:48.330 --> 00:01:48.810]   decided
[00:01:48.810 --> 00:01:49.080]   just
[00:01:49.080 --> 00:01:49.210]   to
[00:01:49.210 --> 00:01:49.600]   leave
[00:01:49.600 --> 00:01:49.680]   it
[00:01:49.680 --> 00:01:49.860]   on
[00:01:49.860 --> 00:01:50.230]   the
[00:01:50.230 --> 00:01:50.430]   front
[00:01:50.430 --> 00:01:50.690]   steps
[00:01:50.690 --> 00:01:51.030]  .
[00:01:51.030 --> 00:01:51.100]   So
[00:01:51.100 --> 00:01:51.240]   it
[00:01:51.240 --> 00:01:51.300]  's
[00:01:51.300 --> 00:01:51.510]   just
[00:01:51.510 --> 00:01:52.030]   completely
[00:01:52.030 --> 00:01:52.340]   soaked
[00:01:52.340 --> 00:01:52.490]   and
[00:01:52.490 --> 00:01:52.850]   covered
[00:01:52.850 --> 00:01:53.000]  ,
[00:01:53.000 --> 00:01:53.230]   the
[00:01:53.230 --> 00:01:53.520]   main
[00:01:53.520 --> 00:01:54.000]   box
[00:01:54.000 --> 00:01:54.000]  .
[00:01:54.000 --> 00:01:54.180]   But
[00:01:54.180 --> 00:01:54.300]   then
[00:01:54.300 --> 00:01:54.470]   when
[00:01:54.470 --> 00:01:54.510]   I
[00:01:54.510 --> 00:01:54.770]   opened
[00:01:54.770 --> 00:01:54.850]   it
[00:01:54.850 --> 00:01:54.930]   up
[00:01:54.930 --> 00:01:55.010]  ,
[00:01:55.010 --> 00:01:55.140]   it
[00:01:55.140 --> 00:01:55.220]   was
[00:01:55.220 --> 00:01:55.350]   all
[00:01:55.350 --> 00:01:55.560]   right
[00:01:55.560 --> 00:01:55.820]   inside
[00:01:55.820 --> 00:01:56.000]  .
[00:01:56.000 --> 00:01:56.090]   But
[00:01:56.090 --> 00:01:56.230]   just
[00:01:56.230 --> 00:01:56.300]   why
[00:01:56.300 --> 00:01:56.480]   would
[00:01:56.480 --> 00:01:56.680]   someone
[00:01:56.680 --> 00:01:56.740]   do
[00:01:56.740 --> 00:01:56.860]   that
[00:01:56.860 --> 00:01:57.000]  ?
[00:01:57.000 --> 00:01:57.130]   It
[00:01:57.130 --> 00:01:57.260]  's
[00:01:57.260 --> 00:01:57.390]   so
[00:01:57.390 --> 00:01:57.900]   stupid
[00:01:57.900 --> 00:01:58.000]  .
[00:01:58.000 --> 00:01:58.470]   Yeah
[00:01:58.470 --> 00:01:58.600]  ,
[00:01:58.600 --> 00:01:58.790]   that
[00:01:58.790 --> 00:01:58.940]  's
[00:01:58.940 --> 00:01:59.450]   pretty
[00:01:59.450 --> 00:01:59.740]   poor
[00:01:59.740 --> 00:02:00.000]  .
[00:02:00.000 --> 00:02:00.600]   Pretty
[00:02:00.600 --> 00:02:01.000]   poor
[00:02:01.000 --> 00:02:01.680]   service
[00:02:01.680 --> 00:02:02.100]  .
[00:02:02.100 --> 00:02:02.310]   Well
[00:02:02.310 --> 00:02:02.460]  ,
[00:02:02.460 --> 00:02:02.770]   yeah
[00:02:02.770 --> 00:02:02.920]  ,
[00:02:02.920 --> 00:02:03.070]   so
[00:02:03.070 --> 00:02:03.220]   we
[00:02:03.220 --> 00:02:03.760]   decided
[00:02:03.760 --> 00:02:03.910]   to
[00:02:03.910 --> 00:02:04.300]   spend
[00:02:04.300 --> 00:02:04.530]   the
[00:02:04.530 --> 00:02:04.920]   money
[00:02:04.920 --> 00:02:05.070]   on
[00:02:05.070 --> 00:02:05.300]   the
[00:02:05.300 --> 00:02:05.530]   audio
[00:02:05.530 --> 00:02:06.000]  .
[00:02:06.000 --> 00:02:06.370]   That
[00:02:06.370 --> 00:02:06.420]  's
[00:02:06.420 --> 00:02:06.770]   right
[00:02:06.770 --> 00:02:07.000]  .
[00:02:07.000 --> 00:02:07.250]   Yeah
[00:02:07.250 --> 00:02:07.370]  ,
[00:02:07.370 --> 00:02:07.490]   so
[00:02:07.490 --> 00:02:07.800]   after
[00:02:07.800 --> 00:02:08.400]   listening
[00:02:08.400 --> 00:02:08.490]   to
[00:02:08.490 --> 00:02:08.680]   our
[00:02:08.680 --> 00:02:08.930]   last
[00:02:08.930 --> 00:02:09.560]   discussion
[00:02:09.560 --> 00:02:09.810]   show
[00:02:09.810 --> 00:02:10.000]  ,
[00:02:10.000 --> 00:02:10.080]   I
[00:02:10.080 --> 00:02:10.410]   just
[00:02:10.410 --> 00:02:11.000]   noticed
[00:02:11.000 --> 00:02:11.230]   there
[00:02:11.230 --> 00:02:11.370]   was
[00:02:11.370 --> 00:02:11.410]   a
[00:02:11.410 --> 00:02:11.600]   very
[00:02:11.600 --> 00:02:12.000]   distinct
[00:02:12.000 --> 00:02:12.450]   difference
[00:02:12.450 --> 00:02:12.540]   in
[00:02:12.540 --> 00:02:12.680]   the
[00:02:12.680 --> 00:02:13.000]   quality
[00:02:13.000 --> 00:02:13.160]   of
[00:02:13.160 --> 00:02:13.490]   your
[00:02:13.490 --> 00:02:13.900]   audio
[00:02:13.900 --> 00:02:14.390]   versus
[00:02:14.390 --> 00:02:14.540]   my
[00:02:14.540 --> 00:02:14.960]   audio
[00:02:14.960 --> 00:02:15.000]  .
[00:02:15.000 --> 00:02:15.120]  
[00:02:15.120 --> 00:02:15.240]   And
[00:02:15.240 --> 00:02:15.560]   mine
[00:02:15.560 --> 00:02:16.130]   sounded
[00:02:16.130 --> 00:02:16.450]   kind
[00:02:16.450 --> 00:02:16.610]   of
[00:02:16.610 --> 00:02:17.010]   muddy
[00:02:17.010 --> 00:02:17.260]   and
[00:02:17.260 --> 00:02:17.650]   fuzzy
[00:02:17.650 --> 00:02:18.130]   compar
[00:02:18.130 --> 00:02:18.700]  atively
[00:02:18.700 --> 00:02:19.010]  .
[00:02:19.010 --> 00:02:19.120]   And
[00:02:19.120 --> 00:02:19.160]   I
[00:02:19.160 --> 00:02:19.240]  'm
[00:02:19.240 --> 00:02:19.410]   like
[00:02:19.410 --> 00:02:19.490]  ,
[00:02:19.490 --> 00:02:19.570]   we
[00:02:19.570 --> 00:02:19.740]   just
[00:02:19.740 --> 00:02:19.850]   we
[00:02:19.850 --> 00:02:19.990]   need
[00:02:19.990 --> 00:02:20.070]   to
[00:02:20.070 --> 00:02:20.190]   get
[00:02:20.190 --> 00:02:20.360]   this
[00:02:20.360 --> 00:02:20.660]   squared
[00:02:20.660 --> 00:02:20.820]   away
[00:02:20.820 --> 00:02:21.000]  .
[00:02:21.000 --> 00:02:21.960]   And
[00:02:21.960 --> 00:02:22.000]   so
[00:02:22.000 --> 00:02:22.050]   I
[00:02:22.050 --> 00:02:22.160]  'm
[00:02:22.160 --> 00:02:22.650]   actually
[00:02:22.650 --> 00:02:22.980]   really
[00:02:22.980 --> 00:02:23.210]   glad
[00:02:23.210 --> 00:02:23.620]   because
[00:02:23.620 --> 00:02:23.730]   to
[00:02:23.730 --> 00:02:23.840]   me
[00:02:23.840 --> 00:02:24.000]  ,
[00:02:24.000 --> 00:02:24.030]   I
[00:02:24.030 --> 00:02:24.180]   think
[00:02:24.180 --> 00:02:24.270]   the
[00:02:24.270 --> 00:02:24.420]   audio
[00:02:24.420 --> 00:02:24.480]   is
[00:02:24.480 --> 00:02:24.650]   way
[00:02:24.650 --> 00:02:24.690]   more
[00:02:24.690 --> 00:02:25.000]   important
[00:02:25.000 --> 00:02:25.400]   than
[00:02:25.400 --> 00:02:25.800]   what
[00:02:25.800 --> 00:02:26.080]   the
[00:02:26.080 --> 00:02:26.790]   website
[00:02:26.790 --> 00:02:27.290]   looks
[00:02:27.290 --> 00:02:27.840]   like
[00:02:27.840 --> 00:02:28.000]  .
[00:02:28.000 --> 00:02:28.050]   I
[00:02:28.050 --> 00:02:28.220]   mean
[00:02:28.220 --> 00:02:28.310]  ,
[00:02:28.310 --> 00:02:28.400]   at
[00:02:28.400 --> 00:02:28.530]   the
[00:02:28.530 --> 00:02:28.750]   end
[00:02:28.750 --> 00:02:28.880]   of
[00:02:28.880 --> 00:02:28.930]   the
[00:02:28.930 --> 00:02:29.010]   day
[00:02:29.010 --> 00:02:29.100]  ,
[00:02:29.100 --> 00:02:29.280]   that
[00:02:29.280 --> 00:02:29.410]   is
[00:02:29.410 --> 00:02:29.500]   the
[00:02:29.500 --> 00:02:30.000]   product
[00:02:30.000 --> 00:02:30.040]  .
[00:02:30.040 --> 00:02:30.210]   Right
[00:02:30.210 --> 00:02:30.410]  .
[00:02:30.410 --> 00:02:30.420]   So
[00:02:30.420 --> 00:02:30.500]   to
[00:02:30.500 --> 00:02:30.590]   me
[00:02:30.590 --> 00:02:30.660]  ,
[00:02:30.660 --> 00:02:30.830]   that
[00:02:30.830 --> 00:02:30.910]  's
[00:02:30.910 --> 00:02:31.120]   where
[00:02:31.120 --> 00:02:31.250]   the
[00:02:31.250 --> 00:02:31.460]   money
[00:02:31.460 --> 00:02:31.720]   should
[00:02:31.720 --> 00:02:31.800]   go
[00:02:31.800 --> 00:02:32.000]  .
[00:02:32.000 --> 00:02:32.040]   I
[00:02:32.040 --> 00:02:32.250]   think
[00:02:32.250 --> 00:02:32.400]   that
[00:02:32.400 --> 00:02:32.470]  's
[00:02:32.470 --> 00:02:32.630]   much
[00:02:32.630 --> 00:02:33.000]   better
