
[00:00:00.000 --> 00:00:00.500]  
[00:00:00.500 --> 00:00:00.520]   A
[00:00:37.480 --> 00:00:37.720]   here
[00:00:37.720 --> 00:00:37.840]   in
[00:00:37.840 --> 00:00:38.030]   Pas
[00:00:38.030 --> 00:00:38.170]  ad
[00:00:38.170 --> 00:00:38.300]  ena
[00:00:38.300 --> 00:00:38.440]  ,
[00:00:38.440 --> 00:00:38.520]   in
[00:00:38.520 --> 00:00:38.600]   my
[00:00:38.600 --> 00:00:38.790]   place
[00:00:38.790 --> 00:00:38.920]  .
[00:00:38.920 --> 00:00:39.120]   I
[00:00:39.120 --> 00:00:39.350]   have
[00:00:39.350 --> 00:00:40.400]   different
[00:00:40.400 --> 00:00:40.450]   sof
[00:00:40.450 --> 00:00:40.570]  as
[00:00:40.570 --> 00:00:40.830]  .
[00:00:40.830 --> 00:00:41.300]   Jason
[00:00:41.300 --> 00:00:41.790]   bitter
[00:00:41.790 --> 00:00:41.960]  ly
[00:00:41.960 --> 00:00:42.830]   complained
[00:00:42.830 --> 00:00:43.000]   at
[00:00:43.000 --> 00:00:43.320]   the
[00:00:43.320 --> 00:00:43.800]   new
[00:00:43.800 --> 00:00:44.500]   seating
[00:00:44.500 --> 00:00:45.100]   layout
[00:00:45.100 --> 00:00:45.400]  .
[00:00:45.400 --> 00:00:45.570]   You
[00:00:45.570 --> 00:00:45.890]   wanted
[00:00:45.890 --> 00:00:45.990]   me
[00:00:45.990 --> 00:00:46.110]   to
[00:00:46.110 --> 00:00:46.270]   sit
[00:00:46.270 --> 00:00:46.600]   in
[00:00:46.600 --> 00:00:46.760]   this
[00:00:46.760 --> 00:00:46.870]   chair
[00:00:46.870 --> 00:00:47.080]  .
[00:00:47.080 --> 00:00:47.140]   It
[00:00:47.140 --> 00:00:47.320]   just
[00:00:47.320 --> 00:00:47.580]   looked
[00:00:47.580 --> 00:00:47.960]   incredibly
[00:00:47.960 --> 00:00:48.840]   uncomfortable
[00:00:48.840 --> 00:00:48.840]  .
[00:00:48.840 --> 00:00:48.890]   I
[00:00:48.890 --> 00:00:49.030]  'm
[00:00:49.030 --> 00:00:49.220]   used
[00:00:49.220 --> 00:00:49.330]   to
[00:00:49.330 --> 00:00:49.550]   your
[00:00:49.550 --> 00:00:49.770]   nice
[00:00:49.770 --> 00:00:49.880]  ,
[00:00:49.880 --> 00:00:50.040]   big
[00:00:50.040 --> 00:00:50.150]  ,
[00:00:50.150 --> 00:00:50.430]   comfy
[00:00:50.430 --> 00:00:50.710]   couch
[00:00:50.710 --> 00:00:50.920]  .
[00:00:50.920 --> 00:00:50.920]  
[00:00:50.920 --> 00:00:51.270]   Well
[00:00:51.270 --> 00:00:51.440]  ,
[00:00:51.440 --> 00:00:51.760]   we
[00:00:51.760 --> 00:00:52.310]   actually
[00:00:52.310 --> 00:00:52.610]   had
[00:00:52.610 --> 00:00:52.650]   a
[00:00:52.650 --> 00:00:52.920]   bit
[00:00:52.920 --> 00:00:53.080]   of
[00:00:53.080 --> 00:00:53.160]   a
[00:00:53.160 --> 00:00:53.420]   deb
[00:00:53.420 --> 00:00:53.770]  acle
[00:00:53.770 --> 00:00:54.210]   about
[00:00:54.210 --> 00:00:55.080]  ...
[00:00:55.080 --> 00:00:55.160]   Do
[00:00:55.160 --> 00:00:55.280]   you
[00:00:55.280 --> 00:00:55.440]   call
[00:00:55.440 --> 00:00:55.600]   them
[00:00:55.600 --> 00:00:55.740]   cou
[00:00:55.740 --> 00:00:55.890]  ches
[00:00:55.890 --> 00:00:55.950]   or
[00:00:55.950 --> 00:00:56.070]   sof
[00:00:56.070 --> 00:00:56.130]  as
[00:00:56.130 --> 00:00:56.280]  ?
[00:00:56.280 --> 00:00:56.330]   I
[00:00:56.330 --> 00:00:56.380]   call
[00:00:56.380 --> 00:00:56.710]   them
[00:00:56.710 --> 00:00:57.070]   cou
[00:00:57.070 --> 00:00:57.110]  ches
[00:00:57.110 --> 00:00:57.240]  ,
[00:00:57.240 --> 00:00:57.360]   but
[00:00:57.360 --> 00:00:57.410]   I
[00:00:57.410 --> 00:00:57.720]   guess
[00:00:57.720 --> 00:00:57.820]   you
[00:00:57.820 --> 00:00:57.970]   can
[00:00:57.970 --> 00:00:58.180]   call
[00:00:58.180 --> 00:00:58.400]   them
[00:00:58.400 --> 00:00:58.700]   either
[00:00:58.700 --> 00:00:58.920]  .
[00:00:58.920 --> 00:00:59.080]   Same
[00:00:59.080 --> 00:00:59.330]   thing
[00:00:59.330 --> 00:00:59.400]  .
[00:00:59.400 --> 00:01:00.000]   So
[00:01:00.000 --> 00:01:00.050]   we
[00:01:00.050 --> 00:01:00.610]   went
[00:01:00.610 --> 00:01:01.360]   out
[00:01:01.360 --> 00:01:01.530]   and
[00:01:01.530 --> 00:01:02.860]   ordered
[00:01:02.860 --> 00:01:03.560]   custom
[00:01:03.560 --> 00:01:04.380]   cou
[00:01:04.380 --> 00:01:04.760]  ches
[00:01:04.760 --> 00:01:04.760]  .
[00:01:04.760 --> 00:01:04.810]   Oh
[00:01:04.810 --> 00:01:04.910]  ,
[00:01:04.910 --> 00:01:04.970]   good
[00:01:04.970 --> 00:01:05.080]  .
[00:01:05.080 --> 00:01:05.190]   So
[00:01:05.190 --> 00:01:05.350]   you
[00:01:05.350 --> 00:01:05.510]  're
[00:01:05.510 --> 00:01:05.840]   making
[00:01:05.840 --> 00:01:06.050]   them
[00:01:06.050 --> 00:01:06.280]   like
[00:01:06.280 --> 00:01:06.330]   a
[00:01:06.330 --> 00:01:06.550]   year
[00:01:06.550 --> 00:01:06.770]   from
[00:01:06.770 --> 00:01:06.930]   now
[00:01:06.930 --> 00:01:07.160]  ?
[00:01:07.160 --> 00:01:07.270]   No
[00:01:07.270 --> 00:01:07.380]  ,
[00:01:07.380 --> 00:01:07.600]   they
[00:01:07.600 --> 00:01:07.820]   made
[00:01:07.820 --> 00:01:08.120]   them
[00:01:08.120 --> 00:01:08.200]  .
[00:01:08.200 --> 00:01:08.630]   They
[00:01:08.630 --> 00:01:08.810]   brought
[00:01:08.810 --> 00:01:09.040]   them
[00:01:09.040 --> 00:01:09.430]  .
[00:01:09.430 --> 00:01:09.500]   They
[00:01:09.500 --> 00:01:09.620]   look
[00:01:09.620 --> 00:01:09.960]   nothing
[00:01:09.960 --> 00:01:10.130]  .
[00:01:10.130 --> 00:01:10.310]   Basically
[00:01:10.310 --> 00:01:10.370]  ,
[00:01:10.370 --> 00:01:11.000]   they
[00:01:11.000 --> 00:01:11.390]   promised
[00:01:11.390 --> 00:01:11.600]   that
[00:01:11.600 --> 00:01:11.670]   they
[00:01:11.670 --> 00:01:11.800]   would
[00:01:11.800 --> 00:01:12.030]   make
[00:01:12.030 --> 00:01:12.080]   a
[00:01:12.080 --> 00:01:12.480]   couch
[00:01:12.480 --> 00:01:12.480]  ,
[00:01:12.480 --> 00:01:12.640]   or
[00:01:12.640 --> 00:01:12.750]   I
[00:01:12.750 --> 00:01:12.760]  'm
[00:01:12.760 --> 00:01:13.040]   going
[00:01:13.040 --> 00:01:13.150]   to
[00:01:13.150 --> 00:01:13.320]   say
[00:01:13.320 --> 00:01:13.550]   sofa
[00:01:13.550 --> 00:01:13.660]  ,
[00:01:13.660 --> 00:01:13.900]   that
[00:01:13.900 --> 00:01:14.620]   looked
[00:01:14.620 --> 00:01:14.650]   exactly
[00:01:14.650 --> 00:01:14.880]   like
[00:01:14.880 --> 00:01:14.930]   a
[00:01:14.930 --> 00:01:15.340]   picture
[00:01:15.340 --> 00:01:15.740]   that
[00:01:15.740 --> 00:01:15.800]   we
[00:01:15.800 --> 00:01:15.960]   gave
[00:01:15.960 --> 00:01:16.000]   them
[00:01:16.000 --> 00:01:16.040]  .
[00:01:16.040 --> 00:01:16.180]   That
[00:01:16.180 --> 00:01:16.280]   was
[00:01:16.280 --> 00:01:16.460]   their
[00:01:16.460 --> 00:01:16.710]   promise
[00:01:16.710 --> 00:01:16.830]  .
[00:01:16.830 --> 00:01:16.950]   And
[00:01:16.950 --> 00:01:17.650]   the
[00:01:17.650 --> 00:01:17.900]   only
[00:01:17.900 --> 00:01:18.640]   reason
[00:01:18.640 --> 00:01:18.850]   why
[00:01:18.850 --> 00:01:19.060]   we
[00:01:19.060 --> 00:01:19.480]   went
[00:01:19.480 --> 00:01:19.720]  ,
[00:01:19.720 --> 00:01:19.920]   there
[00:01:19.920 --> 00:01:20.010]   was
[00:01:20.010 --> 00:01:20.200]   these
[00:01:20.200 --> 00:01:20.360]   ones
[00:01:20.360 --> 00:01:20.440]   that
[00:01:20.440 --> 00:01:20.600]   we
[00:01:20.600 --> 00:01:20.760]   knew
[00:01:20.760 --> 00:01:20.760]  
[00:01:20.760 --> 00:01:20.880]   we
[00:01:20.880 --> 00:01:21.320]   already
[00:01:21.320 --> 00:01:21.690]   wanted
[00:01:21.690 --> 00:01:22.200]   from
[00:01:22.200 --> 00:01:22.260]   Ethan
[00:01:22.260 --> 00:01:22.570]   Allen
[00:01:22.570 --> 00:01:22.690]  ,
[00:01:22.690 --> 00:01:22.750]   I
[00:01:22.750 --> 00:01:23.120]   guess
[00:01:23.120 --> 00:01:23.180]   is
[00:01:23.180 --> 00:01:23.370]   the
[00:01:23.370 --> 00:01:23.620]   name
[00:01:23.620 --> 00:01:23.750]   of
[00:01:23.750 --> 00:01:23.930]   the
[00:01:23.930 --> 00:01:24.240]   place
[00:01:24.240 --> 00:01:24.720]  .
[00:01:24.720 --> 00:01:24.790]   Georg
[00:01:24.790 --> 00:01:24.790]  ie
[00:01:24.790 --> 00:01:24.990]   loved
[00:01:24.990 --> 00:01:25.210]   these
[00:01:25.210 --> 00:01:25.390]   ones
[00:01:25.390 --> 00:01:25.480]  .
[00:01:25.480 --> 00:01:25.670]   But
[00:01:25.670 --> 00:01:26.240]   my
[00:01:26.240 --> 00:01:26.250]   family
[00:01:26.250 --> 00:01:26.450]   are
[00:01:26.450 --> 00:01:26.860]   coming
[00:01:26.860 --> 00:01:27.130]   over
[00:01:27.130 --> 00:01:27.300]   to
[00:01:27.300 --> 00:01:27.610]   spend
[00:01:27.610 --> 00:01:27.680]   a
[00:01:27.680 --> 00:01:28.090]   couple
[00:01:28.090 --> 00:01:28.320]   of
[00:01:28.320 --> 00:01:28.440]   weeks
[00:01:28.440 --> 00:01:28.600]   with
[00:01:28.600 --> 00:01:28.640]   us
[00:01:28.640 --> 00:01:28.680]  ,
[00:01:28.680 --> 00:01:28.810]   so
[00:01:28.810 --> 00:01:29.000]   she
[00:01:29.000 --> 00:01:29.390]   wanted
[00:01:29.390 --> 00:01:29.610]   to
[00:01:29.610 --> 00:01:29.730]   rush
[00:01:29.730 --> 00:01:29.900]   them
[00:01:29.900 --> 00:01:30.040]  .
[00:01:30.040 --> 00:01:30.160]   So
[00:01:30.160 --> 00:01:30.350]   she
[00:01:30.350 --> 00:01:30.590]   went
[00:01:30.590 --> 00:01:30.800]   and
[00:01:30.800 --> 00:01:31.040]   said
[00:01:31.040 --> 00:01:31.160]  ,
[00:01:31.160 --> 00:01:31.210]   "
[00:01:31.210 --> 00:01:31.420]  Can
[00:01:31.420 --> 00:01:31.600]   you
[00:01:31.600 --> 00:01:31.850]   make
[00:01:31.850 --> 00:01:32.160]   these
[00:01:32.160 --> 00:01:32.610]   customs
[00:01:32.610 --> 00:01:32.920]  ?"
[00:01:32.920 --> 00:01:33.080]   So
[00:01:33.080 --> 00:01:33.640]   basically
[00:01:33.640 --> 00:01:33.640]  ,
[00:01:33.640 --> 00:01:34.160]   they
[00:01:34.160 --> 00:01:34.160]   had
[00:01:34.160 --> 00:01:34.730]   an
[00:01:34.730 --> 00:01:34.840]   attempt
[00:01:34.840 --> 00:01:35.060]   and
[00:01:35.060 --> 00:01:35.360]   they
[00:01:35.360 --> 00:01:35.810]   looked
[00:01:35.810 --> 00:01:36.340]   nothing
[00:01:36.340 --> 00:01:36.640]   like
[00:01:36.640 --> 00:01:36.790]   it
[00:01:36.790 --> 00:01:37.160]  .
[00:01:37.160 --> 00:01:37.160]   So
[00:01:37.160 --> 00:01:37.310]   it
[00:01:37.310 --> 00:01:37.530]   was
[00:01:37.530 --> 00:01:38.270]   really
[00:01:38.270 --> 00:01:38.500]   annoying
[00:01:38.500 --> 00:01:38.680]  .
[00:01:38.680 --> 00:01:38.860]   So
[00:01:38.860 --> 00:01:38.920]   what
[00:01:38.920 --> 00:01:39.110]   happened
[00:01:39.110 --> 00:01:39.200]  ?
[00:01:39.200 --> 00:01:39.300]   Did
[00:01:39.300 --> 00:01:39.370]   you
[00:01:39.370 --> 00:01:39.470]   get
[00:01:39.470 --> 00:01:39.600]   your
[00:01:39.600 --> 00:01:39.750]   money
[00:01:39.750 --> 00:01:39.870]   back
[00:01:39.870 --> 00:01:40.040]  ?
[00:01:40.040 --> 00:01:41.740]   Unfortunately
[00:01:41.740 --> 00:01:42.000]  ,
[00:01:42.000 --> 00:01:42.660]   the
[00:01:42.660 --> 00:01:43.300]   problem
[00:01:43.300 --> 00:01:43.690]   was
[00:01:43.690 --> 00:01:43.950]  ,
[00:01:43.950 --> 00:01:44.220]   as
[00:01:44.220 --> 00:01:44.860]   usual
[00:01:44.860 --> 00:01:45.260]  ,
[00:01:45.260 --> 00:01:45.360]   in
[00:01:45.360 --> 00:01:45.460]   just
[00:01:45.460 --> 00:01:45.560]   in
[00:01:45.560 --> 00:01:45.920]   fashion
[00:01:45.920 --> 00:01:46.040]  ,
[00:01:46.040 --> 00:01:46.130]   it
[00:01:46.130 --> 00:01:46.280]   all
[00:01:46.280 --> 00:01:46.450]   went
[00:01:46.450 --> 00:01:46.650]   pear
[00:01:46.650 --> 00:01:46.690]  -
[00:01:46.690 --> 00:01:46.970]  shaped
[00:01:46.970 --> 00:01:47.160]  .
[00:01:48.520 --> 00:01:48.520]  
[00:01:48.520 --> 00:01:48.640]   So
[00:01:48.640 --> 00:01:48.890]   what
[00:01:48.890 --> 00:01:49.400]   happened
[00:01:49.400 --> 00:01:49.590]   was
[00:01:49.590 --> 00:01:49.710]  ,
[00:01:49.710 --> 00:01:50.030]   Georg
[00:01:50.030 --> 00:01:50.150]  ie
[00:01:50.150 --> 00:01:50.390]   was
[00:01:50.390 --> 00:01:50.530]   not
[00:01:50.530 --> 00:01:50.660]   in
[00:01:50.660 --> 00:01:50.840]   the
[00:01:50.840 --> 00:01:51.160]   house
[00:01:51.160 --> 00:01:51.410]   when
[00:01:51.410 --> 00:01:51.660]   they
[00:01:51.660 --> 00:01:51.910]   were
[00:01:51.910 --> 00:01:52.480]   delivered
[00:01:52.480 --> 00:01:52.760]  .
[00:01:52.760 --> 00:01:52.930]   So
[00:01:52.930 --> 00:01:53.370]   I
[00:01:53.370 --> 00:01:53.460]   didn
[00:01:53.460 --> 00:01:53.540]  't
[00:01:53.540 --> 00:01:53.860]   really
[00:01:53.860 --> 00:01:54.150]  ,
[00:01:54.150 --> 00:01:54.460]   I
[00:01:54.460 --> 00:01:54.680]   mean
[00:01:54.680 --> 00:01:54.850]  ,
[00:01:54.850 --> 00:01:54.940]   I
[00:01:54.940 --> 00:01:55.530]  'm
[00:01:55.530 --> 00:01:55.910]   obviously
[00:01:55.910 --> 00:01:56.170]   not
[00:01:56.170 --> 00:01:56.780]   paying
[00:01:56.780 --> 00:01:57.050]   much
[00:01:57.050 --> 00:01:57.850]   attention
[00:01:57.850 --> 00:01:58.110]   to
[00:01:58.110 --> 00:01:58.800]   what
[00:01:58.800 --> 00:01:59.160]   they
[00:01:59.160 --> 00:01:59.320]   look
[00:01:59.320 --> 00:01:59.410]   like
[00:01:59.410 --> 00:01:59.480]  .
[00:01:59.480 --> 00:01:59.620]   So
[00:01:59.620 --> 00:01:59.800]   they
[00:01:59.800 --> 00:02:00.410]   were
[00:02:00.410 --> 00:02:00.540]   delivered
[00:02:00.540 --> 00:02:00.710]   and
[00:02:00.710 --> 00:02:00.770]   I
[00:02:00.770 --> 00:02:00.870]  'm
[00:02:00.870 --> 00:02:01.090]   like
[00:02:01.090 --> 00:02:01.200]  ,
[00:02:01.200 --> 00:02:01.250]   "
[00:02:01.250 --> 00:02:01.470]  Okay
[00:02:01.470 --> 00:02:01.610]  ,
[00:02:01.610 --> 00:02:01.830]   fine
[00:02:01.830 --> 00:02:02.300]  ."
[00:02:02.300 --> 00:02:02.390]   Sign
[00:02:02.390 --> 00:02:02.400]  ed
[00:02:02.400 --> 00:02:02.540]   for
[00:02:02.540 --> 00:02:02.760]   them
[00:02:02.760 --> 00:02:03.800]  .
[00:02:03.800 --> 00:02:03.910]   And
[00:02:03.910 --> 00:02:03.960]   then
[00:02:03.960 --> 00:02:04.320]   they
[00:02:04.320 --> 00:02:04.660]   left
[00:02:04.660 --> 00:02:04.680]  .
[00:02:04.680 --> 00:02:04.850]   And
[00:02:04.850 --> 00:02:04.960]   so
[00:02:04.960 --> 00:02:05.010]   I
[00:02:05.010 --> 00:02:05.350]   signed
[00:02:05.350 --> 00:02:05.520]   for
[00:02:05.520 --> 00:02:05.800]   these
[00:02:05.800 --> 00:02:05.970]   sof
[00:02:05.970 --> 00:02:06.080]  as
[00:02:06.080 --> 00:02:06.280]  .
[00:02:06.280 --> 00:02:06.410]   She
[00:02:06.410 --> 00:02:06.580]   gets
[00:02:06.580 --> 00:02:06.770]   home
[00:02:06.770 --> 00:02:06.840]   and
[00:02:06.840 --> 00:02:06.960]   she
[00:02:06.960 --> 00:02:07.040]  's
[00:02:07.040 --> 00:02:07.220]   like
[00:02:07.220 --> 00:02:07.320]  ,
[00:02:07.320 --> 00:02:07.420]   "
[00:02:07.420 --> 00:02:07.460]  What
[00:02:07.460 --> 00:02:08.320]   are
[00:02:08.320 --> 00:02:08.530]   those
[00:02:08.530 --> 00:02:08.840]  ?
[00:02:08.840 --> 00:02:10.030]   What
[00:02:10.030 --> 00:02:10.110]   are
[00:02:10.110 --> 00:02:10.360]   those
[00:02:10.360 --> 00:02:10.840]  ?
[00:02:10.840 --> 00:02:11.080]   Those
[00:02:11.080 --> 00:02:11.560]   things
[00:02:11.560 --> 00:02:11.570]   that
[00:02:11.570 --> 00:02:11.750]   look
[00:02:11.750 --> 00:02:12.080]   nothing
[00:02:12.080 --> 00:02:12.310]   like
[00:02:12.310 --> 00:02:12.460]   what
[00:02:12.460 --> 00:02:12.500]   I
[00:02:12.500 --> 00:02:12.690]   want
[00:02:12.690 --> 00:02:12.920]  ?"
[00:02:12.920 --> 00:02:13.070]   I
[00:02:13.070 --> 00:02:13.200]  'm
[00:02:13.200 --> 00:02:13.640]   like
[00:02:13.640 --> 00:02:13.800]  ,
[00:02:13.800 --> 00:02:13.840]   "
[00:02:13.840 --> 00:02:13.970]  The
[00:02:13.970 --> 00:02:14.120]   sof
[00:02:14.120 --> 00:02:14.180]  as
[00:02:14.180 --> 00:02:14.310]  ,
[00:02:14.310 --> 00:02:14.490]   they
[00:02:14.490 --> 00:02:14.760]   delivered
[00:02:14.760 --> 00:02:14.920]   them
[00:02:14.920 --> 00:02:15.080]  ?"
[00:02:15.080 --> 00:02:15.080]  
[00:02:15.080 --> 00:02:15.280]   She
[00:02:15.280 --> 00:02:15.370]  's
[00:02:15.370 --> 00:02:15.640]   like
[00:02:15.640 --> 00:02:15.800]  ,
[00:02:15.800 --> 00:02:15.880]   "
[00:02:15.880 --> 00:02:15.920]  No
[00:02:15.920 --> 00:02:16.420]  ."
[00:02:16.420 --> 00:02:16.790]   So
[00:02:16.790 --> 00:02:17.090]   anyway
[00:02:17.090 --> 00:02:17.320]  ,
[00:02:17.320 --> 00:02:17.410]   so
[00:02:17.410 --> 00:02:17.510]   it
[00:02:17.510 --> 00:02:17.640]   was
[00:02:17.640 --> 00:02:18.060]   backwards
[00:02:18.060 --> 00:02:18.200]   and
[00:02:18.200 --> 00:02:18.600]   forwards
[00:02:18.600 --> 00:02:18.760]   and
[00:02:18.760 --> 00:02:18.940]   we
[00:02:18.940 --> 00:02:19.320]   got
[00:02:19.320 --> 00:02:19.620]   finally
[00:02:19.620 --> 00:02:19.790]   half
[00:02:19.790 --> 00:02:19.910]   our
[00:02:19.910 --> 00:02:20.120]   money
[00:02:20.120 --> 00:02:20.290]   back
[00:02:20.290 --> 00:02:20.440]  .
[00:02:20.440 --> 00:02:20.720]   Only
[00:02:20.720 --> 00:02:21.430]   half
[00:02:21.430 --> 00:02:21.850]  ,
[00:02:21.850 --> 00:02:22.050]   huh
[00:02:22.050 --> 00:02:22.440]  ?
[00:02:22.440 --> 00:02:22.570]   Yeah
[00:02:22.570 --> 00:02:22.680]  .
[00:02:22.680 --> 00:02:22.780]   But
[00:02:22.780 --> 00:02:23.470]   that
[00:02:23.470 --> 00:02:23.520]  's
[00:02:23.520 --> 00:02:23.790]   the
[00:02:23.790 --> 00:02:24.340]   best
[00:02:24.340 --> 00:02:24.510]   we
[00:02:24.510 --> 00:02:24.810]   could
[00:02:24.810 --> 00:02:24.990]   do
[00:02:24.990 --> 00:02:25.320]  .
[00:02:25.320 --> 00:02:26.120]   And
[00:02:26.120 --> 00:02:26.140]   now
[00:02:26.140 --> 00:02:26.260]   we
[00:02:26.260 --> 00:02:26.440]  're
[00:02:26.440 --> 00:02:26.760]   gonna
[00:02:26.760 --> 00:02:26.760]  ...
[00:02:26.760 --> 00:02:27.000]   How
[00:02:27.000 --> 00:02:27.060]   much
[00:02:27.060 --> 00:02:27.200]   did
[00:02:27.200 --> 00:02:27.320]   you
[00:02:27.320 --> 00:02:27.610]   spend
[00:02:27.610 --> 00:02:27.620]   on
[00:02:27.620 --> 00:02:27.790]   them
[00:02:27.790 --> 00:02:27.960]  ?
[00:02:27.960 --> 00:02:28.560]   Four
[00:02:28.560 --> 00:02:29.290]   thousand
[00:02:29.290 --> 00:02:29.640]  .
[00:02:29.640 --> 00:02:29.950]   Jesus
[00:02:29.950 --> 00:02:30.140]  .
[00:02:30.140 --> 00:02:30.600]   Ooh
[00:02:30.600 --> 00:02:30.910]  ,
[00:02:30.910 --> 00:02:31.580]   what
[00:02:31.580 --> 00:02:31.680]   a
[00:02:31.680 --> 00:02:32.300]   face
[00:02:32.300 --> 00:02:33.070]   plant
[00:02:33.070 --> 00:02:33.560]  !
[00:02:33.560 --> 00:02:33.940]   And
[00:02:33.940 --> 00:02:34.350]   so
[00:02:34.350 --> 00:02:34.700]   then
[00:02:34.700 --> 00:02:34.960]  ,
[00:02:34.960 --> 00:02:35.200]   so
[00:02:35.200 --> 00:02:35.710]   then
[00:02:35.710 --> 00:02:35.960]  ,
[00:02:35.960 --> 00:02:36.210]   so
[00:02:36.210 --> 00:02:36.720]   then
[00:02:36.720 --> 00:02:37.430]   she
[00:02:37.430 --> 00:02:37.610]   says
[00:02:37.610 --> 00:02:37.860]   to
[00:02:37.860 --> 00:02:38.110]   me
[00:02:38.110 --> 00:02:38.440]  ,
[00:02:38.440 --> 00:02:38.560]   "
[00:02:38.560 --> 00:02:38.900]  I
[00:02:38.900 --> 00:02:38.900]  'm
[00:02:38.900 --> 00:02:39.490]   going
[00:02:39.490 --> 00:02:39.970]   to
[00:02:39.970 --> 00:02:40.070]   be
[00:02:40.070 --> 00:02:40.440]   nice
[00:02:40.440 --> 00:02:40.680]   to
[00:02:40.680 --> 00:02:41.080]   you
[00:02:41.080 --> 00:02:41.080]  .
[00:02:42.680 --> 00:02:42.830]  
[00:02:42.830 --> 00:02:42.910]   The
[00:02:42.910 --> 00:02:43.040]   rest
[00:02:43.040 --> 00:02:43.140]   of
[00:02:43.140 --> 00:02:43.290]   our
[00:02:43.290 --> 00:02:43.710]   marriage
[00:02:43.710 --> 00:02:43.810]  ,
[00:02:43.810 --> 00:02:44.280]   there
[00:02:44.280 --> 00:02:44.280]   will
[00:02:44.280 --> 00:02:44.540]   never
[00:02:44.540 --> 00:02:44.640]   be
[00:02:44.640 --> 00:02:45.000]   another
[00:02:45.000 --> 00:02:45.480]   argument
[00:02:45.480 --> 00:02:45.650]   if
[00:02:45.650 --> 00:02:46.190]   you
[00:02:46.190 --> 00:02:46.290]   just
[00:02:46.290 --> 00:02:46.520]   let
[00:02:46.520 --> 00:02:46.690]   me
[00:02:46.690 --> 00:02:47.390]   spend
[00:02:47.390 --> 00:02:47.650]   the
[00:02:47.650 --> 00:02:47.830]   money
[00:02:47.830 --> 00:02:48.000]   on
[00:02:48.000 --> 00:02:48.600]   the
[00:02:48.600 --> 00:02:48.700]   other
[00:02:48.700 --> 00:02:48.960]   sof
[00:02:48.960 --> 00:02:49.130]  as
[00:02:49.130 --> 00:02:49.480]   that
