
[00:00:00.660 --> 00:00:09.820]   Music
[00:00:36.530 --> 00:00:36.820]   be
[00:00:36.820 --> 00:00:37.130]   back
[00:00:37.130 --> 00:00:37.170]   I
[00:00:37.170 --> 00:00:37.440]  .
[00:00:37.440 --> 00:00:37.530]   I
[00:00:37.530 --> 00:00:37.870]   don
[00:00:37.870 --> 00:00:37.980]  't
[00:00:37.980 --> 00:00:38.810]   remember
[00:00:38.810 --> 00:00:38.980]   how
[00:00:38.980 --> 00:00:39.350]   long
[00:00:39.350 --> 00:00:39.530]   it
[00:00:39.530 --> 00:00:39.770]  's
[00:00:39.770 --> 00:00:40.080]   been
[00:00:40.080 --> 00:00:40.820]   honestly
[00:00:40.820 --> 00:00:41.900]  . [SPEAKER_TURN]
[00:00:41.900 --> 00:00:42.110]   Yes
[00:00:42.110 --> 00:00:42.180]   and
[00:00:42.180 --> 00:00:42.320]   you
[00:00:42.320 --> 00:00:42.510]   have
[00:00:42.510 --> 00:00:42.550]   a
[00:00:42.550 --> 00:00:42.840]   number
[00:00:42.840 --> 00:00:42.930]   on
[00:00:42.930 --> 00:00:43.160]   that
[00:00:43.160 --> 00:00:43.260]   You
[00:00:43.260 --> 00:00:43.470]  ?
[00:00:43.470 --> 00:00:43.590]   have
[00:00:43.590 --> 00:00:43.730]   you
[00:00:43.730 --> 00:00:44.050]   looked
[00:00:44.050 --> 00:00:44.110]   uh
[00:00:44.110 --> 00:00:44.370]   see
[00:00:44.370 --> 00:00:44.900]  ? [SPEAKER_TURN]
[00:00:44.900 --> 00:00:45.190]   That
[00:00:45.190 --> 00:00:45.270]  's
[00:00:45.270 --> 00:00:45.380]   a
[00:00:45.380 --> 00:00:45.580]   good
[00:00:45.580 --> 00:00:45.830]   idea
[00:00:45.830 --> 00:00:45.890]   I
[00:00:45.890 --> 00:00:46.070]  'll
[00:00:46.070 --> 00:00:46.320]   tell
[00:00:46.320 --> 00:00:46.500]   you
[00:00:46.500 --> 00:00:46.810]   what
[00:00:46.810 --> 00:00:46.810]   I
[00:00:46.810 --> 00:00:46.990]  'll
[00:00:46.990 --> 00:00:47.170]   um
[00:00:47.170 --> 00:00:47.170]   I
[00:00:47.170 --> 00:00:47.520]  'll
[00:00:47.520 --> 00:00:47.600]   just
[00:00:47.600 --> 00:00:47.970]   search
[00:00:47.970 --> 00:00:48.220]   that
[00:00:48.220 --> 00:00:48.560]   while
[00:00:48.560 --> 00:00:48.730]   you
[00:00:48.730 --> 00:00:48.830]   do
[00:00:48.830 --> 00:00:48.980]   the
[00:00:48.980 --> 00:00:49.500]   intro
[00:00:49.500 --> 00:00:49.570]  .
[00:00:49.570 --> 00:00:49.750]   When
[00:00:49.750 --> 00:00:49.930]   you
[00:00:49.930 --> 00:00:49.990]   s
[00:00:49.990 --> 00:00:50.300]   while
[00:00:50.300 --> 00:00:50.480]   you
[00:00:50.480 --> 00:00:50.660]   say
[00:00:50.660 --> 00:00:50.780]   hi
[00:00:50.780 --> 00:00:51.160]  .
[00:00:51.220 --> 00:00:51.550]   Alright
[00:00:51.550 --> 00:00:51.710]  .
[00:00:51.710 --> 00:00:51.930]   Well
[00:00:51.930 --> 00:00:52.190]   Gabe
[00:00:52.190 --> 00:00:52.370]   it
[00:00:52.370 --> 00:00:52.410]  's
[00:00:52.410 --> 00:00:52.480]   it
[00:00:52.480 --> 00:00:52.590]  's
[00:00:52.590 --> 00:00:52.860]   great
[00:00:52.860 --> 00:00:53.010]   to
[00:00:53.010 --> 00:00:53.250]   have
[00:00:53.250 --> 00:00:53.430]   you
[00:00:53.430 --> 00:00:53.590]   back
[00:00:53.590 --> 00:00:53.760]   man
[00:00:53.760 --> 00:00:53.980]  ,
[00:00:53.980 --> 00:00:53.980]   it
[00:00:53.980 --> 00:00:54.090]  's
[00:00:54.090 --> 00:00:54.360]   been
[00:00:54.360 --> 00:00:54.420]   uh
[00:00:54.420 --> 00:00:54.530]   it
[00:00:54.530 --> 00:00:54.640]  's
[00:00:54.640 --> 00:00:54.860]   been
[00:00:54.860 --> 00:00:55.030]   too
[00:00:55.030 --> 00:00:55.360]   long
[00:00:55.360 --> 00:00:55.980]  . [SPEAKER_TURN]
[00:00:55.980 --> 00:00:56.900]   Indeed
[00:00:56.900 --> 00:00:57.100]   indeed
[00:00:57.100 --> 00:00:58.160]  . [SPEAKER_TURN]
[00:00:58.620 --> 00:00:58.680]  
[00:00:58.680 --> 00:00:58.750]   No
[00:00:58.750 --> 00:00:58.880]   so
[00:00:58.880 --> 00:00:59.160]   you
[00:00:59.160 --> 00:00:59.350]   know
[00:00:59.350 --> 00:00:59.480]   we
[00:00:59.480 --> 00:00:59.730]  're
[00:00:59.730 --> 00:00:59.810]   we
[00:00:59.810 --> 00:01:00.010]  're
[00:01:00.010 --> 00:01:00.150]   I
[00:01:00.150 --> 00:01:00.410]   guess
[00:01:00.410 --> 00:01:00.610]   the
[00:01:00.610 --> 00:01:00.840]   the
[00:01:00.840 --> 00:01:01.010]   the
[00:01:01.010 --> 00:01:01.490]   primary
[00:01:01.490 --> 00:01:01.900]   thing
[00:01:01.900 --> 00:01:01.960]   we
[00:01:01.960 --> 00:01:02.180]  're
[00:01:02.180 --> 00:01:02.560]   gonna
[00:01:02.560 --> 00:01:02.800]   talk
[00:01:02.800 --> 00:01:03.110]   about
[00:01:03.110 --> 00:01:03.530]   today
[00:01:03.530 --> 00:01:03.580]   is
[00:01:03.580 --> 00:01:03.710]   uh
[00:01:03.710 --> 00:01:03.850]   is
[00:01:03.850 --> 00:01:04.110]   your
[00:01:04.110 --> 00:01:04.310]   new
[00:01:04.310 --> 00:01:04.600]   book
[00:01:04.600 --> 00:01:04.850]   Tra
[00:01:04.850 --> 00:01:05.120]  ction
[00:01:05.120 --> 00:01:05.310]  ,
[00:01:05.310 --> 00:01:05.350]   a
[00:01:05.350 --> 00:01:05.650]   start
[00:01:05.650 --> 00:01:05.710]  -
[00:01:05.710 --> 00:01:05.840]  up
[00:01:05.840 --> 00:01:06.180]   guide
[00:01:06.180 --> 00:01:06.360]   to
[00:01:06.360 --> 00:01:07.120]   getting
[00:01:07.120 --> 00:01:07.510]   customers
[00:01:07.510 --> 00:01:07.680]   with
[00:01:07.680 --> 00:01:07.810]   uh
[00:01:07.810 --> 00:01:07.940]   co
[00:01:07.940 --> 00:01:08.050]  -
[00:01:08.050 --> 00:01:08.410]  author
[00:01:08.410 --> 00:01:08.820]   Justin
[00:01:08.820 --> 00:01:09.010]   May
[00:01:09.010 --> 00:01:09.410]  ors
[00:01:09.410 --> 00:01:09.420]  .
[00:01:09.420 --> 00:01:09.620]   And
[00:01:09.620 --> 00:01:09.830]   but
[00:01:09.830 --> 00:01:10.010]   um
[00:01:10.010 --> 00:01:10.020]   I
[00:01:10.020 --> 00:01:10.070]   w
[00:01:10.070 --> 00:01:10.130]   I
[00:01:10.130 --> 00:01:10.260]   th
[00:01:10.260 --> 00:01:10.320]   I
[00:01:10.320 --> 00:01:10.370]   think
[00:01:10.370 --> 00:01:11.170]   what
[00:01:11.170 --> 00:01:11.270]   might
[00:01:11.270 --> 00:01:11.400]   be
[00:01:11.400 --> 00:01:11.670]   good
[00:01:11.670 --> 00:01:11.800]   to
[00:01:11.800 --> 00:01:11.980]   do
[00:01:11.980 --> 00:01:12.270]   first
[00:01:12.270 --> 00:01:12.400]   is
[00:01:12.400 --> 00:01:12.530]   to
[00:01:12.530 --> 00:01:12.730]   get
[00:01:12.730 --> 00:01:12.790]   a
[00:01:12.790 --> 00:01:12.870]   a
[00:01:12.870 --> 00:01:13.450]   little
[00:01:13.450 --> 00:01:13.670]   update
[00:01:13.670 --> 00:01:13.800]   on
[00:01:13.800 --> 00:01:14.070]   Duck
[00:01:14.070 --> 00:01:14.180]  D
[00:01:14.180 --> 00:01:14.330]  uck
[00:01:14.330 --> 00:01:14.460]  Go
[00:01:14.460 --> 00:01:14.660]  .
[00:01:14.660 --> 00:01:14.780]   I
[00:01:14.780 --> 00:01:14.990]   mean
[00:01:14.990 --> 00:01:15.180]   uh
[00:01:15.180 --> 00:01:15.460]   every
[00:01:15.460 --> 00:01:15.730]   time
[00:01:15.730 --> 00:01:15.900]   we
[00:01:15.900 --> 00:01:16.130]   talk
[00:01:16.130 --> 00:01:16.260]   to
[00:01:16.260 --> 00:01:16.450]   you
[00:01:16.450 --> 00:01:16.580]   w
[00:01:16.580 --> 00:01:16.710]   w
[00:01:16.710 --> 00:01:16.710]   uh
[00:01:16.710 --> 00:01:16.770]   y
[00:01:16.770 --> 00:01:17.220]   your
[00:01:17.220 --> 00:01:17.520]   company
[00:01:17.520 --> 00:01:17.650]   is
[00:01:17.650 --> 00:01:17.920]   like
[00:01:17.920 --> 00:01:18.190]   five
[00:01:18.190 --> 00:01:18.530]   times
[00:01:18.530 --> 00:01:18.660]   as
[00:01:18.660 --> 00:01:18.860]   big
[00:01:18.860 --> 00:01:18.990]   as
[00:01:18.990 --> 00:01:19.120]   it
[00:01:19.120 --> 00:01:19.350]   was
[00:01:19.350 --> 00:01:19.860]   before
[00:01:19.860 --> 00:01:19.880]   or
[00:01:19.880 --> 00:01:20.480]   something
[00:01:20.480 --> 00:01:20.750]   like
[00:01:20.750 --> 00:01:21.020]   that
[00:01:21.020 --> 00:01:21.220]  .
[00:01:21.220 --> 00:01:21.350]   So
[00:01:21.350 --> 00:01:21.480]   wh
[00:01:21.480 --> 00:01:21.540]  a
[00:01:21.540 --> 00:01:21.810]   what
[00:01:21.810 --> 00:01:21.960]  's
[00:01:21.960 --> 00:01:22.200]   what
[00:01:22.200 --> 00:01:22.340]  's
[00:01:22.340 --> 00:01:22.610]   been
[00:01:22.610 --> 00:01:22.810]   the
[00:01:22.810 --> 00:01:23.070]   ho
[00:01:23.070 --> 00:01:23.280]   where
[00:01:23.280 --> 00:01:23.580]   are
[00:01:23.580 --> 00:01:23.680]   you
[00:01:23.680 --> 00:01:23.880]   now
[00:01:23.880 --> 00:01:24.170]  ?
[00:01:24.170 --> 00:01:24.440]   What
[00:01:24.440 --> 00:01:24.480]  's
[00:01:24.480 --> 00:01:24.750]   this
[00:01:24.750 --> 00:01:25.140]   what
[00:01:25.140 --> 00:01:25.150]  's
[00:01:25.150 --> 00:01:25.350]   the
[00:01:25.350 --> 00:01:25.690]   state
[00:01:25.690 --> 00:01:25.820]   of
[00:01:25.820 --> 00:01:26.090]   Duck
[00:01:26.090 --> 00:01:26.150]  D
[00:01:26.150 --> 00:01:26.360]  uck
[00:01:26.360 --> 00:01:26.580]  Go
[00:01:26.580 --> 00:01:27.760]  ? [SPEAKER_TURN]
[00:01:28.320 --> 00:01:28.370]  
[00:01:28.370 --> 00:01:28.390]   I
[00:01:28.390 --> 00:01:28.580]   like
[00:01:28.580 --> 00:01:28.650]   if
[00:01:28.650 --> 00:01:28.920]   that
[00:01:28.920 --> 00:01:29.070]  's
[00:01:29.070 --> 00:01:29.140]   the
[00:01:29.140 --> 00:01:29.660]   impression
[00:01:29.660 --> 00:01:29.870]   that
[00:01:29.870 --> 00:01:30.020]  's
[00:01:30.020 --> 00:01:30.100]   a
[00:01:30.100 --> 00:01:30.230]   good
[00:01:30.230 --> 00:01:30.750]   impression
[00:01:30.750 --> 00:01:31.010]  .
[00:01:31.010 --> 00:01:31.030]   I
[00:01:31.030 --> 00:01:31.180]  'm
[00:01:31.180 --> 00:01:31.380]   not
[00:01:31.380 --> 00:01:31.660]   sure
[00:01:31.660 --> 00:01:32.050]   why
[00:01:32.050 --> 00:01:32.080]   not
[00:01:32.080 --> 00:01:32.900]  . [SPEAKER_TURN]
[00:01:32.900 --> 00:01:33.040]   You
[00:01:33.040 --> 00:01:33.180]  're
[00:01:33.180 --> 00:01:33.420]   you
[00:01:33.420 --> 00:01:33.460]   got
[00:01:33.460 --> 00:01:33.550]   so
[00:01:33.550 --> 00:01:33.740]   much
[00:01:33.740 --> 00:01:34.020]   bigger
[00:01:34.020 --> 00:01:34.260]   for
[00:01:34.260 --> 00:01:34.300]   the
[00:01:34.300 --> 00:01:34.560]   first
[00:01:34.560 --> 00:01:34.670]   the
[00:01:34.670 --> 00:01:34.950]   second
[00:01:34.950 --> 00:01:35.140]   time
[00:01:35.140 --> 00:01:35.290]   we
[00:01:35.290 --> 00:01:35.560]   thought
[00:01:35.560 --> 00:01:35.870]   talked
[00:01:35.870 --> 00:01:35.930]   to
[00:01:35.930 --> 00:01:36.070]   you
[00:01:36.070 --> 00:01:36.290]   that
[00:01:36.290 --> 00:01:36.350]   we
[00:01:36.350 --> 00:01:36.390]   f
[00:01:36.390 --> 00:01:36.580]   that
[00:01:36.580 --> 00:01:36.850]   Justin
[00:01:36.850 --> 00:01:37.030]   and
[00:01:37.030 --> 00:01:37.040]   I
[00:01:37.040 --> 00:01:37.230]   didn
[00:01:37.230 --> 00:01:37.350]  't
[00:01:37.350 --> 00:01:37.510]   even
[00:01:37.510 --> 00:01:37.730]   think
[00:01:37.730 --> 00:01:37.880]   you
[00:01:37.880 --> 00:01:37.920]   w
[00:01:37.920 --> 00:01:38.150]   would
[00:01:38.150 --> 00:01:38.400]   talk
[00:01:38.400 --> 00:01:38.430]   to
[00:01:38.430 --> 00:01:38.520]   us
[00:01:38.520 --> 00:01:38.800]   again
[00:01:38.800 --> 00:01:38.910]  .
[00:01:38.910 --> 00:01:39.060]   You
[00:01:39.060 --> 00:01:39.170]  're
[00:01:39.170 --> 00:01:39.360]   like
[00:01:39.360 --> 00:01:39.450]   ah
[00:01:39.450 --> 00:01:39.540]   he
[00:01:39.540 --> 00:01:39.630]  's
[00:01:39.630 --> 00:01:39.810]   just
[00:01:39.810 --> 00:01:40.290]   being
[00:01:40.290 --> 00:01:40.410]   famous
[00:01:40.410 --> 00:01:40.420]   he
[00:01:40.420 --> 00:01:40.510]  's
[00:01:40.510 --> 00:01:40.600]  ,
[00:01:40.600 --> 00:01:40.740]   not
[00:01:40.740 --> 00:01:40.950]   even
[00:01:40.950 --> 00:01:41.160]   gonna
[00:01:41.160 --> 00:01:41.390]   wanna
[00:01:41.390 --> 00:01:41.620]   waste
[00:01:41.620 --> 00:01:42.360]  . [SPEAKER_TURN]
[00:01:43.020 --> 00:01:43.090]  
[00:01:43.090 --> 00:01:43.180]   so
[00:01:43.180 --> 00:01:43.340]   we
[00:01:43.340 --> 00:01:43.590]   are
[00:01:43.590 --> 00:01:43.670]   e
[00:01:43.670 --> 00:01:43.830]   we
[00:01:43.830 --> 00:01:44.080]  're
[00:01:44.080 --> 00:01:44.240]   at
[00:01:44.240 --> 00:01:44.660]   about
[00:01:44.660 --> 00:01:44.690]   a
[00:01:44.690 --> 00:01:45.580]   hundred
[00:01:45.580 --> 00:01:45.630]   and
[00:01:45.630 --> 00:01:46.000]   fifty
[00:01:46.000 --> 00:01:46.650]   million
[00:01:46.650 --> 00:01:47.260]   searches
[00:01:47.260 --> 00:01:47.340]   a
[00:01:47.340 --> 00:01:47.760]   month
[00:01:47.760 --> 00:01:47.920]   um
[00:01:47.920 --> 00:01:48.170]   and
[00:01:48.170 --> 00:01:48.420]   are
[00:01:48.420 --> 00:01:48.740]   kind
[00:01:48.740 --> 00:01:49.160]   of
[00:01:49.160 --> 00:01:49.240]   big
[00:01:49.240 --> 00:01:49.490]   news
[00:01:49.490 --> 00:01:49.640]  ,
[00:01:49.640 --> 00:01:50.240]   because
[00:01:50.240 --> 00:01:50.490]   the
[00:01:50.490 --> 00:01:50.910]   day
[00:01:50.910 --> 00:01:51.130]   that
[00:01:51.130 --> 00:01:51.230]   we
[00:01:51.230 --> 00:01:51.480]  're
[00:01:51.480 --> 00:01:52.240]   recording
[00:01:52.240 --> 00:01:52.560]   this
[00:01:52.560 --> 00:01:53.060]   and
[00:01:53.060 --> 00:01:53.170]   that
[00:01:53.170 --> 00:01:53.420]   was
[00:01:53.420 --> 00:01:53.890]   coming
[00:01:53.890 --> 00:01:54.140]   out
[00:01:54.140 --> 00:01:54.300]   of
[00:01:54.300 --> 00:01:54.380]   a
[00:01:54.380 --> 00:01:55.220]   recording
[00:01:55.220 --> 00:01:55.460]   this
[00:01:55.460 --> 00:01:55.620]   on
[00:01:55.620 --> 00:01:55.870]   the
[00:01:55.870 --> 00:01:56.120]   day
[00:01:56.120 --> 00:01:56.440]   that
[00:01:56.440 --> 00:01:56.940]   yeah
[00:01:56.940 --> 00:01:57.050]   um
[00:01:57.050 --> 00:01:57.440]   iPhone
[00:01:57.440 --> 00:01:57.520]   I
[00:01:57.520 --> 00:01:57.600]  _
[00:01:57.600 --> 00:01:57.670]  O
[00:01:57.670 --> 00:01:57.750]  _
[00:01:57.750 --> 00:01:57.840]  S
[00:01:57.840 --> 00:01:57.980]  _
[00:01:57.980 --> 00:01:58.000]  A
[00:01:58.000 --> 00:01:58.080]  _
[00:01:58.080 --> 00:01:58.160]  '
[00:01:58.160 --> 00:01:58.320]   is
[00:01:58.320 --> 00:01:58.820]   coming
[00:01:58.820 --> 00:01:59.230]   out
[00:01:59.230 --> 00:01:59.390]   on
[00:01:59.390 --> 00:01:59.410]   uh
[00:01:59.410 --> 00:01:59.550]   on
[00:01:59.550 --> 00:01:59.800]   the
[00:01:59.800 --> 00:02:00.190]   new
[00:02:00.190 --> 00:02:00.400]   and
[00:02:00.400 --> 00:02:00.550]   old
[00:02:00.550 --> 00:02:01.140]   iPhones
[00:02:01.140 --> 00:02:02.070]  .
[00:02:02.070 --> 00:02:02.080]   And
[00:02:02.080 --> 00:02:02.260]   so
[00:02:02.260 --> 00:02:02.450]   we
[00:02:02.450 --> 00:02:02.740]  're
[00:02:02.740 --> 00:02:03.310]   enough
[00:02:03.310 --> 00:02:03.510]   to
[00:02:03.510 --> 00:02:03.700]   go
[00:02:03.700 --> 00:02:03.930]   as
[00:02:03.930 --> 00:02:03.980]   a
[00:02:03.980 --> 00:02:04.560]   search
[00:02:04.560 --> 00:02:05.140]   option
[00:02:05.140 --> 00:02:05.330]   in
[00:02:05.330 --> 00:02:05.620]   the
[00:02:05.620 --> 00:02:05.910]   new
[00:02:05.910 --> 00:02:06.000]   I
[00:02:06.000 --> 00:02:06.180]  _
[00:02:06.180 --> 00:02:06.270]  O
[00:02:06.270 --> 00:02:06.280]  _
[00:02:06.280 --> 00:02:06.360]  S
[00:02:06.360 --> 00:02:06.450]  _
[00:02:06.450 --> 00:02:06.540]  A
[00:02:06.540 --> 00:02:06.630]  _
[00:02:06.630 --> 00:02:06.820]   of
[00:02:06.820 --> 00:02:06.910]   O
[00:02:06.910 --> 00:02:07.000]  _
[00:02:07.000 --> 00:02:07.080]  S
[00:02:07.080 --> 00:02:07.370]  _
[00:02:07.370 --> 00:02:07.390]   um
[00:02:07.390 --> 00:02:07.660]  .
[00:02:07.660 --> 00:02:07.940]   And
[00:02:07.940 --> 00:02:08.170]   so
[00:02:08.170 --> 00:02:08.430]   tha
[00:02:08.430 --> 00:02:08.960]   that
[00:02:08.960 --> 00:02:09.010]  's
[00:02:09.010 --> 00:02:09.100]   a
[00:02:09.100 --> 00:02:09.490]   that
[00:02:09.490 --> 00:02:09.820]  's
[00:02:09.820 --> 00:02:10.460]   my
[00:02:10.460 --> 00:02:10.550]   biggest
[00:02:10.550 --> 00:02:11.910]   accomplishment
[00:02:11.910 --> 00:02:12.100]   so
[00:02:12.100 --> 00:02:12.390]   far
[00:02:12.390 --> 00:02:13.020]   with
[00:02:13.020 --> 00:02:13.020]  
[00:02:13.020 --> 00:02:13.260]   guards
[00:02:13.260 --> 00:02:13.350]   to
[00:02:13.350 --> 00:02:13.560]   Duck
[00:02:13.560 --> 00:02:13.580]  D
[00:02:13.580 --> 00:02:13.730]  uck
[00:02:13.730 --> 00:02:13.760]  Go
[00:02:13.760 --> 00:02:13.890]   and
[00:02:13.890 --> 00:02:14.080]   kind
[00:02:14.080 --> 00:02:14.140]   of
[00:02:14.140 --> 00:02:14.480]   business
[00:02:14.480 --> 00:02:14.940]   development
[00:02:14.940 --> 00:02:15.160]  . [SPEAKER_TURN]
[00:02:15.160 --> 00:02:15.480]   Yeah
[00:02:15.480 --> 00:02:15.800]   ho
[00:02:15.800 --> 00:02:15.800]   so
[00:02:15.800 --> 00:02:16.280]   that
[00:02:16.280 --> 00:02:16.440]   that
[00:02:16.440 --> 00:02:16.590]   is
[00:02:16.590 --> 00:02:17.080]   kind
[00:02:17.080 --> 00:02:17.130]   of
[00:02:17.130 --> 00:02:17.160]   a
[00:02:17.160 --> 00:02:17.400]   big
[00:02:17.400 --> 00:02:17.800]   deal
[00:02:17.800 --> 00:02:17.840]   I
[00:02:17.840 --> 00:02:18.040]  .
[00:02:18.040 --> 00:02:18.360]   mean
[00:02:18.360 --> 00:02:18.520]   so
[00:02:18.520 --> 00:02:18.760]   is
[00:02:18.760 --> 00:02:18.840]   it
[00:02:18.840 --> 00:02:19.160]   what
[00:02:19.160 --> 00:02:19.320]  ,
[00:02:19.320 --> 00:02:19.660]   Bing
[00:02:19.660 --> 00:02:19.850]  ,
[00:02:19.850 --> 00:02:20.210]   Yahoo
[00:02:20.210 --> 00:02:20.370]  ,
[00:02:20.370 --> 00:02:20.910]   Google
[00:02:20.910 --> 00:02:21.020]  ,
[00:02:21.020 --> 00:02:21.340]   Duck
[00:02:21.340 --> 00:02:21.420]  D
[00:02:21.420 --> 00:02:21.660]  uck
[00:02:21.660 --> 00:02:21.820]  Go
[00:02:21.820 --> 00:02:22.900]  ? [SPEAKER_TURN]
[00:02:22.900 --> 00:02:23.280]   That
[00:02:23.280 --> 00:02:23.630]   is
[00:02:23.630 --> 00:02:23.950]   right
[00:02:23.950 --> 00:02:24.260]  . [SPEAKER_TURN]
[00:02:24.260 --> 00:02:24.260]   Wow
[00:02:24.260 --> 00:02:24.750]  ,
[00:02:24.750 --> 00:02:25.120]   that
[00:02:25.120 --> 00:02:25.960]  's
[00:02:25.960 --> 00:02:26.040]   pretty
[00:02:26.040 --> 00:02:27.010]   impressive
[00:02:27.010 --> 00:02:27.420]  .
[00:02:27.420 --> 00:02:27.580]   So
[00:02:27.580 --> 00:02:27.610]   how
[00:02:27.610 --> 00:02:28.080]   what
[00:02:28.080 --> 00:02:28.090]   what
[00:02:28.090 --> 00:02:28.260]   has
[00:02:28.260 --> 00:02:28.500]   been
[00:02:28.500 --> 00:02:28.790]   your
[00:02:28.790 --> 00:02:29.100]   growth
[00:02:29.100 --> 00:02:29.540]   rate
[00:02:29.540 --> 00:02:29.720]   over
[00:02:29.720 --> 00:02:29.760]   the
[00:02:29.760 --> 00:02:30.000]   past
[00:02:30.000 --> 00:02:30.120]   uh
[00:02:30.120 --> 00:02:30.300]   you
[00:02:30.300 --> 00:02:30.540]   know
[00:02:30.540 --> 00:02:30.660]   in
[00:02:30.660 --> 00:02:30.900]   sur
[00:02:30.900 --> 00:02:30.900]   I
[00:02:30.900 --> 00:02:31.200]   guess
[00:02:31.200 --> 00:02:31.900]   searches
[00:02:31.900 --> 00:02:31.990]   would
[00:02:31.990 --> 00:02:32.110]   be
[00:02:32.110 --> 00:02:32.660]   probably
[00:02:32.660 --> 00:02:32.780]   the
[00:02:32.780 --> 00:02:33.200]   primary
[00:02:33.200 --> 00:02:33.560]   metric
[00:02:33.560 --> 00:02:33.820]   over
[00:02:33.820 --> 00:02:33.980]   the
[00:02:33.980 --> 00:02:34.220]   past
[00:02:34.220 --> 00:02:34.400]   you
[00:02:34.400 --> 00:02:34.690]   know
[00:02:34.690 --> 00:02:35.050]   couple
[00:02:35.050 --> 00:02:35.120]   of
[00:02:35.120 --> 00:02:35.510]   years
[00:02:35.510 --> 00:02:35.540]   Do
[00:02:35.540 --> 00:02:35.720]  .
[00:02:35.720 --> 00:02:35.920]   you
[00:02:35.920 --> 00:02:36.140]   have
[00:02:36.140 --> 00:02:36.520]   that
[00:02:36.520 --> 00:02:37.260]  ? [SPEAKER_TURN]
[00:02:37.620 --> 00:02:37.720]  
[00:02:37.720 --> 00:02:37.910]   Yeah
[00:02:37.910 --> 00:02:38.130]  .
[00:02:38.130 --> 00:02:38.350]   Our
[00:02:38.350 --> 00:02:38.900]   traffic
[00:02:38.900 --> 00:02:39.000]   is
[00:02:39.000 --> 00:02:39.600]   actually
[00:02:39.600 --> 00:02:40.030]   public
[00:02:40.030 --> 00:02:40.250]  .
[00:02:40.250 --> 00:02:40.660]   Send
[00:02:40.660 --> 00:02:40.680]  ex
[00:02:40.680 --> 00:02:40.900]  ico
[00:02:40.900 --> 00:02:41.120]  .
