
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.070]   <
[00:00:05.540 --> 00:00:05.610]  -
[00:00:05.610 --> 00:00:05.680]  h
[00:00:05.680 --> 00:00:05.820]  oo
[00:00:05.820 --> 00:00:05.890]  -
[00:00:05.890 --> 00:00:05.960]  h
[00:00:05.960 --> 00:00:06.100]  oo
[00:00:06.100 --> 00:00:06.170]  -
[00:00:06.170 --> 00:00:06.240]  h
[00:00:06.240 --> 00:00:06.380]  oo
[00:00:06.380 --> 00:00:06.450]  -
[00:00:06.450 --> 00:00:06.520]  h
[00:00:06.520 --> 00:00:06.660]  oo
[00:00:06.660 --> 00:00:06.730]  -
[00:00:06.730 --> 00:00:06.800]  h
[00:00:06.800 --> 00:00:06.940]  oo
[00:00:06.940 --> 00:00:07.010]  -
[00:00:07.010 --> 00:00:07.080]  h
[00:00:07.080 --> 00:00:07.220]  oo
[00:00:07.220 --> 00:00:07.290]  -
[00:00:07.290 --> 00:00:07.360]  h
[00:00:07.360 --> 00:00:07.500]  oo
[00:00:07.500 --> 00:00:07.570]  -
[00:00:07.570 --> 00:00:07.640]  h
[00:00:07.640 --> 00:00:07.850]  oo
[00:00:07.850 --> 00:00:07.920]  -
[00:00:07.920 --> 00:00:07.950]  h
[00:00:07.950 --> 00:00:08.060]  oo
[00:00:08.060 --> 00:00:08.130]  -
[00:00:08.130 --> 00:00:08.200]  h
[00:00:08.200 --> 00:00:08.340]  oo
[00:00:08.340 --> 00:00:08.410]  -
[00:00:08.410 --> 00:00:08.480]  h
[00:00:08.480 --> 00:00:08.620]  oo
[00:00:08.620 --> 00:00:08.690]  -
[00:00:08.690 --> 00:00:08.760]  h
[00:00:08.760 --> 00:00:08.900]  oo
[00:00:08.900 --> 00:00:08.970]  -
[00:00:08.970 --> 00:00:09.040]  h
[00:00:09.040 --> 00:00:09.180]  oo
[00:00:09.180 --> 00:00:09.250]  -
[00:00:09.250 --> 00:00:09.320]  h
[00:00:09.320 --> 00:00:09.460]  oo
[00:00:09.460 --> 00:00:09.530]  -
[00:00:09.530 --> 00:00:09.600]  h
[00:00:09.600 --> 00:00:09.740]  oo
[00:00:09.740 --> 00:00:09.810]  -
[00:00:09.810 --> 00:00:09.880]  h
[00:00:09.880 --> 00:00:10.020]  oo
[00:00:10.020 --> 00:00:10.090]  -
[00:00:10.090 --> 00:00:10.160]  h
[00:00:10.160 --> 00:00:10.300]  oo
[00:00:10.300 --> 00:00:10.370]  -
[00:00:10.370 --> 00:00:10.440]  h
[00:00:10.440 --> 00:00:10.580]  oo
[00:00:10.580 --> 00:00:10.650]  -
[00:00:10.650 --> 00:00:10.720]  h
[00:00:10.720 --> 00:00:10.860]  oo
[00:00:10.860 --> 00:00:10.930]  -
[00:00:10.930 --> 00:00:11.000]  h
[00:00:11.000 --> 00:00:11.140]  oo
[00:00:11.140 --> 00:00:11.210]  -
[00:00:11.210 --> 00:00:11.280]  h
[00:00:11.280 --> 00:00:11.420]  oo
[00:00:11.420 --> 00:00:11.490]  -
[00:00:11.490 --> 00:00:11.560]  h
[00:00:11.560 --> 00:00:11.700]  oo
[00:00:11.700 --> 00:00:11.770]  -
[00:00:11.770 --> 00:00:11.840]  h
[00:00:11.840 --> 00:00:11.980]  oo
[00:00:11.980 --> 00:00:12.050]  -
[00:00:12.050 --> 00:00:12.120]  h
[00:00:12.120 --> 00:00:12.260]  oo
[00:00:12.260 --> 00:00:12.400]  ,
[00:00:12.400 --> 00:00:12.770]   which
[00:00:12.770 --> 00:00:12.920]   is
[00:00:12.920 --> 00:00:13.290]   quite
[00:00:13.290 --> 00:00:13.810]   general
[00:00:13.810 --> 00:00:14.030]  .
[00:00:14.030 --> 00:00:14.180]   So
[00:00:14.180 --> 00:00:14.400]   let
[00:00:14.400 --> 00:00:14.540]  's
[00:00:14.540 --> 00:00:14.760]   let
[00:00:14.760 --> 00:00:14.900]  's
[00:00:14.900 --> 00:00:15.120]   try
[00:00:15.120 --> 00:00:15.270]   it
[00:00:15.270 --> 00:00:15.640]   again
[00:00:15.640 --> 00:00:17.340]  . [SPEAKER_TURN]
[00:00:21.660 --> 00:00:21.660]  
[00:00:21.660 --> 00:00:22.110]   Welcome
[00:00:22.110 --> 00:00:22.230]   to
[00:00:22.230 --> 00:00:22.680]   episode
[00:00:22.680 --> 00:00:22.870]   two
[00:00:22.870 --> 00:00:23.320]   hundred
[00:00:23.320 --> 00:00:23.510]   and
[00:00:23.510 --> 00:00:23.890]   eighty
[00:00:23.890 --> 00:00:24.080]   one
[00:00:24.080 --> 00:00:24.460]   hosted
[00:00:24.460 --> 00:00:24.580]   by
[00:00:24.580 --> 00:00:24.960]   myself
[00:00:24.960 --> 00:00:25.080]  ,
[00:00:25.080 --> 00:00:25.460]   Justin
[00:00:25.460 --> 00:00:25.910]   Vincent
[00:00:25.910 --> 00:00:26.100]   and
[00:00:26.100 --> 00:00:26.540]   himself
[00:00:26.540 --> 00:00:26.680]  ,
[00:00:26.680 --> 00:00:27.000]   Jason
[00:00:27.000 --> 00:00:27.410]   Roberts
[00:00:27.410 --> 00:00:27.630]  .
[00:00:27.630 --> 00:00:27.880]   Hey
[00:00:27.880 --> 00:00:28.140]   Jason
[00:00:28.140 --> 00:00:28.260]  ,
[00:00:28.260 --> 00:00:28.450]   how
[00:00:28.450 --> 00:00:28.790]   you
[00:00:28.790 --> 00:00:28.960]   doing
[00:00:28.960 --> 00:00:29.150]  ?
[00:00:29.150 --> 00:00:29.270]   Uh
[00:00:29.270 --> 00:00:29.520]   this
[00:00:29.520 --> 00:00:29.640]   is
[00:00:29.640 --> 00:00:29.760]   uh
[00:00:29.760 --> 00:00:29.950]   our
[00:00:29.950 --> 00:00:30.270]   first
[00:00:30.270 --> 00:00:30.560]   per
[00:00:30.560 --> 00:00:30.650]  isc
[00:00:30.650 --> 00:00:30.850]  ope
[00:00:30.850 --> 00:00:31.410]   version
[00:00:31.410 --> 00:00:31.470]   of
[00:00:31.470 --> 00:00:31.530]   po
[00:00:31.530 --> 00:00:31.650]   of
[00:00:31.650 --> 00:00:31.770]   uh
[00:00:31.770 --> 00:00:32.220]   texting
[00:00:32.220 --> 00:00:32.470]   How
[00:00:32.470 --> 00:00:32.650]  .
[00:00:32.650 --> 00:00:32.790]   you
[00:00:32.790 --> 00:00:33.110]   doing
[00:00:33.110 --> 00:00:34.080]  ? [SPEAKER_TURN]
[00:00:34.080 --> 00:00:34.240]   I
[00:00:34.240 --> 00:00:34.350]  'm
[00:00:34.350 --> 00:00:34.520]   doing
[00:00:34.520 --> 00:00:34.910]   alright
[00:00:34.910 --> 00:00:35.270]   Well
[00:00:35.270 --> 00:00:35.350]  .
[00:00:35.350 --> 00:00:35.400]   so
[00:00:35.400 --> 00:00:35.450]   I
[00:00:35.450 --> 00:00:35.610]   don
[00:00:35.610 --> 00:00:35.720]  't
[00:00:35.720 --> 00:00:35.940]   even
[00:00:35.940 --> 00:00:36.160]   know
[00:00:36.160 --> 00:00:36.380]   what
[00:00:36.380 --> 00:00:36.590]   this
[00:00:36.590 --> 00:00:36.780]   per
[00:00:36.780 --> 00:00:36.920]  isc
[00:00:36.920 --> 00:00:37.080]  ope
[00:00:37.080 --> 00:00:37.360]   thing
[00:00:37.360 --> 00:00:37.470]   is
[00:00:37.470 --> 00:00:37.520]   I
[00:00:37.520 --> 00:00:37.680]  .
[00:00:37.680 --> 00:00:37.900]   just
[00:00:37.900 --> 00:00:38.060]   sat
[00:00:38.060 --> 00:00:38.280]   down
[00:00:38.280 --> 00:00:38.390]  ,
[00:00:38.390 --> 00:00:38.550]   got
[00:00:38.550 --> 00:00:38.600]   a
[00:00:38.600 --> 00:00:38.930]   camera
[00:00:38.930 --> 00:00:39.040]   in
[00:00:39.040 --> 00:00:39.180]   my
[00:00:39.180 --> 00:00:39.390]   face
[00:00:39.390 --> 00:00:39.480]  ,
[00:00:39.480 --> 00:00:39.640]   you
[00:00:39.640 --> 00:00:39.860]   have
[00:00:39.860 --> 00:00:39.990]   a
[00:00:39.990 --> 00:00:40.070]   big
[00:00:40.070 --> 00:00:40.350]   smile
[00:00:40.350 --> 00:00:40.460]   on
[00:00:40.460 --> 00:00:40.480]   your
[00:00:40.480 --> 00:00:40.860]   face
[00:00:40.860 --> 00:00:41.000]  ,
[00:00:41.000 --> 00:00:41.200]   I
[00:00:41.200 --> 00:00:41.280]   feel
[00:00:41.280 --> 00:00:41.500]   like
[00:00:41.500 --> 00:00:41.550]   I
[00:00:41.550 --> 00:00:41.660]  'm
[00:00:41.660 --> 00:00:41.940]   being
[00:00:41.940 --> 00:00:42.160]   punk
[00:00:42.160 --> 00:00:42.270]  ed
[00:00:42.270 --> 00:00:42.380]  ,
[00:00:42.380 --> 00:00:42.490]   so
[00:00:42.490 --> 00:00:42.710]   what
[00:00:42.710 --> 00:00:42.820]  's
[00:00:42.820 --> 00:00:43.180]   going
[00:00:43.180 --> 00:00:43.210]   on
[00:00:43.210 --> 00:00:43.430]   with
[00:00:43.430 --> 00:00:43.650]   that
[00:00:43.650 --> 00:00:44.560]  ? [SPEAKER_TURN]
[00:00:44.560 --> 00:00:44.640]   I
[00:00:44.640 --> 00:00:44.680]   '
[00:00:44.680 --> 00:00:45.000]  cause
[00:00:45.000 --> 00:00:45.060]   I
[00:00:45.060 --> 00:00:45.320]   told
[00:00:45.320 --> 00:00:45.510]   you
[00:00:45.510 --> 00:00:45.570]   I
[00:00:45.570 --> 00:00:45.760]   was
[00:00:45.760 --> 00:00:46.080]   gonna
[00:00:46.080 --> 00:00:46.470]   stream
[00:00:46.470 --> 00:00:46.610]   it
[00:00:46.610 --> 00:00:46.880]   live
[00:00:46.880 --> 00:00:46.990]  ,
[00:00:46.990 --> 00:00:47.310]   right
[00:00:47.310 --> 00:00:48.100]  ? [SPEAKER_TURN]
[00:00:48.100 --> 00:00:48.300]   Right
[00:00:48.300 --> 00:00:48.340]   I
[00:00:48.340 --> 00:00:48.420]  ,
[00:00:48.420 --> 00:00:48.580]   knew
[00:00:48.580 --> 00:00:48.740]   that
[00:00:48.740 --> 00:00:49.200]  . [SPEAKER_TURN]
[00:00:49.240 --> 00:00:49.300]  
[00:00:49.300 --> 00:00:49.430]   And
[00:00:49.430 --> 00:00:49.620]   you
[00:00:49.620 --> 00:00:49.810]   you
[00:00:49.810 --> 00:00:50.000]   you
[00:00:50.000 --> 00:00:50.260]   said
[00:00:50.260 --> 00:00:50.520]   okay
[00:00:50.520 --> 00:00:50.650]   we
[00:00:50.650 --> 00:00:50.840]  'll
[00:00:50.840 --> 00:00:50.970]   se
[00:00:50.970 --> 00:00:51.160]   you
[00:00:51.160 --> 00:00:51.420]   know
[00:00:51.420 --> 00:00:51.690]   send
[00:00:51.690 --> 00:00:51.810]   uh
[00:00:51.810 --> 00:00:51.940]   an
[00:00:51.940 --> 00:00:52.260]   email
[00:00:52.260 --> 00:00:52.390]   to
[00:00:52.390 --> 00:00:52.580]   the
[00:00:52.580 --> 00:00:52.720]   to
[00:00:52.720 --> 00:00:52.900]   the
[00:00:52.900 --> 00:00:53.160]   list
[00:00:53.160 --> 00:00:53.280]  ,
[00:00:53.280 --> 00:00:53.510]   but
[00:00:53.510 --> 00:00:53.850]   the
[00:00:53.850 --> 00:00:53.850]   way
[00:00:53.850 --> 00:00:54.110]   that
[00:00:54.110 --> 00:00:54.350]   I
[00:00:54.350 --> 00:00:54.430]   mean
[00:00:54.430 --> 00:00:54.750]   that
[00:00:54.750 --> 00:00:54.980]   i
[00:00:54.980 --> 00:00:55.010]   that
[00:00:55.010 --> 00:00:55.140]   is
[00:00:55.140 --> 00:00:55.400]   kind
[00:00:55.400 --> 00:00:55.530]   of
[00:00:55.530 --> 00:00:55.790]   cool
[00:00:55.790 --> 00:00:55.950]   to
[00:00:55.950 --> 00:00:56.050]   do
[00:00:56.050 --> 00:00:56.310]   that
[00:00:56.310 --> 00:00:56.890]   obviously
[00:00:56.890 --> 00:00:57.020]   to
[00:00:57.020 --> 00:00:57.450]   get
[00:00:57.450 --> 00:00:57.470]   more
[00:00:57.470 --> 00:00:58.050]   listeners
[00:00:58.050 --> 00:00:58.170]  ,
[00:00:58.170 --> 00:00:58.360]   but
[00:00:58.360 --> 00:00:58.550]   per
[00:00:58.550 --> 00:00:58.680]  isc
[00:00:58.680 --> 00:00:59.050]  ope
[00:00:59.050 --> 00:00:59.070]  's
[00:00:59.070 --> 00:00:59.110]   a
[00:00:59.110 --> 00:00:59.310]   bit
[00:00:59.310 --> 00:00:59.560]   more
[00:00:59.560 --> 00:00:59.820]   like
[00:00:59.820 --> 00:01:00.080]   just
[00:01:00.080 --> 00:01:00.210]   la
[00:01:00.210 --> 00:01:00.460]  isse
[00:01:00.460 --> 00:01:00.520]  z
[00:01:00.520 --> 00:01:00.620]  -
[00:01:00.620 --> 00:01:00.640]  f
[00:01:00.640 --> 00:01:00.970]  aire
[00:01:00.970 --> 00:01:01.190]   than
[00:01:01.190 --> 00:01:01.410]   that
[00:01:01.410 --> 00:01:02.040]   Basically
[00:01:02.040 --> 00:01:02.180]  .
[00:01:02.180 --> 00:01:02.370]   you
[00:01:02.370 --> 00:01:02.760]   open
[00:01:02.760 --> 00:01:02.760]   up
[00:01:02.760 --> 00:01:03.210]   your
[00:01:03.210 --> 00:01:03.270]   app
[00:01:03.270 --> 00:01:03.590]   either
[00:01:03.590 --> 00:01:03.720]   Me
[00:01:03.720 --> 00:01:03.920]  erk
[00:01:03.920 --> 00:01:04.030]  at
[00:01:04.030 --> 00:01:04.160]   or
[00:01:04.160 --> 00:01:04.350]   per
[00:01:04.350 --> 00:01:04.580]  isc
[00:01:04.580 --> 00:01:04.730]  ope
[00:01:04.730 --> 00:01:04.850]  ,
[00:01:04.850 --> 00:01:05.050]   you
[00:01:05.050 --> 00:01:05.400]   click
[00:01:05.400 --> 00:01:05.490]   go
[00:01:05.490 --> 00:01:05.670]   and
[00:01:05.670 --> 00:01:05.800]   it
[00:01:05.800 --> 00:01:06.200]   just
[00:01:06.200 --> 00:01:06.570]   instant
[00:01:06.570 --> 00:01:06.900]   tweets
[00:01:06.900 --> 00:01:07.030]   it
[00:01:07.030 --> 00:01:07.420]   to
[00:01:07.420 --> 00:01:07.480]   your
[00:01:07.480 --> 00:01:07.530]   s
[00:01:07.530 --> 00:01:07.610]   to
[00:01:07.610 --> 00:01:07.880]   your
[00:01:07.880 --> 00:01:07.970]   f
[00:01:07.970 --> 00:01:08.060]   uh
[00:01:08.060 --> 00:01:08.510]   Twitter
[00:01:08.510 --> 00:01:08.920]   stream
[00:01:08.920 --> 00:01:09.080]  .
[00:01:09.080 --> 00:01:09.200]   So
[00:01:09.200 --> 00:01:09.440]   you
[00:01:09.440 --> 00:01:09.660]   know
[00:01:09.660 --> 00:01:09.720]   I
[00:01:09.720 --> 00:01:09.980]   have
[00:01:09.980 --> 00:01:10.180]   the
[00:01:10.180 --> 00:01:10.600]   eleven
[00:01:10.600 --> 00:01:11.070]   thousand
[00:01:11.070 --> 00:01:11.320]   like
[00:01:11.320 --> 00:01:11.380]   I
[00:01:11.380 --> 00:01:11.570]  've
[00:01:11.570 --> 00:01:11.890]   tried
[00:01:11.890 --> 00:01:12.460]   streaming
[00:01:12.460 --> 00:01:12.520]   a
[00:01:12.520 --> 00:01:13.010]   few
[00:01:13.010 --> 00:01:13.100]   things
[00:01:13.100 --> 00:01:13.340]   and
[00:01:13.340 --> 00:01:13.590]   even
[00:01:13.590 --> 00:01:13.810]   just
[00:01:13.810 --> 00:01:14.070]   when
[00:01:14.070 --> 00:01:14.130]   I
[00:01:14.130 --> 00:01:14.390]   open
[00:01:14.390 --> 00:01:14.540]   it
[00:01:14.540 --> 00:01:14.650]   up
[00:01:14.650 --> 00:01:14.910]   like
[00:01:14.910 --> 00:01:15.230]   there
[00:01:15.230 --> 00:01:15.350]  's
[00:01:15.350 --> 00:01:15.800]   already
[00:01:15.800 --> 00:01:16.140]   five
[00:01:16.140 --> 00:01:16.440]   people
[00:01:16.440 --> 00:01:16.570]   on
[00:01:16.570 --> 00:01:16.950]   within
[00:01:16.950 --> 00:01:17.050]   a
[00:01:17.050 --> 00:01:17.390]   minute
[00:01:17.390 --> 00:01:17.590]   you
[00:01:17.590 --> 00:01:17.700]  ,
[00:01:17.700 --> 00:01:17.960]   know
[00:01:17.960 --> 00:01:18.660]  . [SPEAKER_TURN]
[00:01:18.660 --> 00:01:18.720]   Okay
[00:01:18.720 --> 00:01:18.780]  .
[00:01:18.780 --> 00:01:18.780]  
[00:01:18.780 --> 00:01:18.910]   So
[00:01:18.910 --> 00:01:19.040]   um
[00:01:19.040 --> 00:01:19.230]   I
[00:01:19.230 --> 00:01:19.370]   mean
[00:01:19.370 --> 00:01:19.500]   we
[00:01:19.500 --> 00:01:19.700]  've
[00:01:19.700 --> 00:01:19.960]   got
[00:01:19.960 --> 00:01:19.970]   s
[00:01:19.970 --> 00:01:20.090]   we
[00:01:20.090 --> 00:01:20.330]  've
[00:01:20.330 --> 00:01:20.490]   got
[00:01:20.490 --> 00:01:20.690]   six
[00:01:20.690 --> 00:01:21.150]   viewers
[00:01:21.150 --> 00:01:21.290]   at
[00:01:21.290 --> 00:01:21.630]   this
[00:01:21.630 --> 00:01:22.040]   present
[00:01:22.040 --> 00:01:22.480]   moment
[00:01:22.480 --> 00:01:22.600]   in
[00:01:22.600 --> 00:01:22.840]   time
[00:01:22.840 --> 00:01:23.070]   who
[00:01:23.070 --> 00:01:23.170]  ,
[00:01:23.170 --> 00:01:23.570]   knows
[00:01:23.570 --> 00:01:23.710]   how
[00:01:23.710 --> 00:01:23.980]   many
[00:01:23.980 --> 00:01:24.110]   we
[00:01:24.110 --> 00:01:24.320]  'll
[00:01:24.320 --> 00:01:24.580]   have
[00:01:24.580 --> 00:01:24.710]   um
[00:01:24.710 --> 00:01:24.840]   it
[00:01:24.840 --> 00:01:24.970]  's
[00:01:24.970 --> 00:01:25.240]   just
[00:01:25.240 --> 00:01:25.510]   like
[00:01:25.510 --> 00:01:25.610]   a
[00:01:25.610 --> 00:01:26.000]   thing
[00:01:26.000 --> 00:01:26.040]   to
[00:01:26.040 --> 00:01:26.300]   to
[00:01:26.300 --> 00:01:26.300]   do
[00:01:26.300 --> 00:01:26.520]   I
[00:01:26.520 --> 00:01:26.700]   guess
[00:01:26.700 --> 00:01:27.100]   just
[00:01:27.100 --> 00:01:27.100]   to
[00:01:27.100 --> 00:01:27.360]   v
[00:01:27.360 --> 00:01:27.460]   put
[00:01:27.460 --> 00:01:27.490]   it
[00:01:27.490 --> 00:01:27.620]   on
[00:01:27.620 --> 00:01:28.090]   while
[00:01:28.090 --> 00:01:28.140]   we
[00:01:28.140 --> 00:01:28.290]  're
[00:01:28.290 --> 00:01:28.980]   recording
[00:01:28.980 --> 00:01:29.100]   the
[00:01:29.100 --> 00:01:29.480]   show
[00:01:29.480 --> 00:01:29.700]  .
[00:01:29.700 --> 00:01:29.700]   Um
[00:01:29.700 --> 00:01:30.040]   maybe
[00:01:30.040 --> 00:01:30.170]   we
[00:01:30.170 --> 00:01:30.370]  'll
[00:01:30.370 --> 00:01:30.570]   get
[00:01:30.570 --> 00:01:30.640]   a
[00:01:30.640 --> 00:01:30.820]   few
[00:01:30.820 --> 00:01:31.450]   questions
[00:01:31.450 --> 00:01:31.850]   coming
[00:01:31.850 --> 00:01:31.980]   in
[00:01:31.980 --> 00:01:32.380]   which
[00:01:32.380 --> 00:01:32.400]   I
[00:01:32.400 --> 00:01:32.580]   can
[00:01:32.580 --> 00:01:32.780]   see
[00:01:32.780 --> 00:01:32.910]   on
[00:01:32.910 --> 00:01:33.110]   the
[00:01:33.110 --> 00:01:33.530]   screen
[00:01:33.530 --> 00:01:33.790]   here
[00:01:33.790 --> 00:01:34.120]  .
[00:01:34.120 --> 00:01:34.230]   Um
[00:01:34.230 --> 00:01:35.300]   and [SPEAKER_TURN]
[00:01:35.300 --> 00:01:35.760]   Oh
[00:01:35.760 --> 00:01:36.980]   great
[00:01:36.980 --> 00:01:37.380]  ,
[00:01:37.380 --> 00:01:37.840]   so
[00:01:37.840 --> 00:01:38.770]   that
[00:01:38.770 --> 00:01:39.230]  's
[00:01:39.230 --> 00:01:39.770]   uh
[00:01:39.770 --> 00:01:40.170]   we
[00:01:40.170 --> 00:01:41.310]   haven
[00:01:41.310 --> 00:01:41.770]  't
[00:01:41.770 --> 00:01:43.150]   talked
[00:01:43.150 --> 00:01:43.620]   to
[00:01:43.620 --> 00:01:45.130]   anyone
[00:01:45.130 --> 00:01:45.780]  . [SPEAKER_TURN]
[00:01:45.780 --> 00:01:46.670]   Right
[00:01:46.670 --> 00:01:47.120]  . [SPEAKER_TURN]
[00:01:47.120 --> 00:01:47.120]  
[00:01:47.120 --> 00:01:47.220]   L
[00:01:47.220 --> 00:01:47.320]  _
[00:01:47.320 --> 00:01:47.420]  O
[00:01:47.420 --> 00:01:47.520]  _
[00:01:47.520 --> 00:01:47.720]  L
[00:01:47.720 --> 00:01:48.020]  _
[00:01:48.020 --> 00:01:48.120]   and
[00:01:48.120 --> 00:01:48.290]   uh
[00:01:48.290 --> 00:01:49.260]   th [SPEAKER_TURN]
[00:01:49.260 --> 00:01:49.460]   So
[00:01:49.460 --> 00:01:49.460]   so
[00:01:49.460 --> 00:01:49.560]   is
[00:01:49.560 --> 00:01:49.990]   the
[00:01:49.990 --> 00:01:50.020]   video
[00:01:50.020 --> 00:01:50.470]   streaming
[00:01:50.470 --> 00:01:50.630]   not
[00:01:50.630 --> 00:01:50.870]   just
[00:01:50.870 --> 00:01:51.000]   the
[00:01:51.000 --> 00:01:51.270]   audio
[00:01:51.270 --> 00:01:51.430]  ?
[00:01:51.430 --> 00:01:51.590]   And
[00:01:51.590 --> 00:01:51.750]   the
[00:01:51.750 --> 00:01:52.020]   whole
[00:01:52.020 --> 00:01:52.290]   thing
[00:01:52.290 --> 00:01:52.400]  's
[00:01:52.400 --> 00:01:52.710]   coming
[00:01:52.710 --> 00:01:53.030]   across
[00:01:53.030 --> 00:01:53.240]   That
[00:01:53.240 --> 00:01:53.340]  's
[00:01:53.340 --> 00:01:53.500]  ?
[00:01:53.500 --> 00:01:53.960]   pretty
[00:01:53.960 --> 00:01:54.350]   impressive
[00:01:54.350 --> 00:01:55.040]  . [SPEAKER_TURN]
[00:01:55.040 --> 00:01:56.240]   But
[00:01:56.240 --> 00:01:57.480]   the
[00:01:57.480 --> 00:01:58.670]   way
[00:01:58.670 --> 00:02:00.280]   that
[00:02:00.280 --> 00:02:00.640]   I
[00:02:00.640 --> 00:02:02.640]   heard
[00:02:02.640 --> 00:02:03.490]   of
[00:02:03.490 --> 00:02:04.240]   it
[00:02:04.240 --> 00:02:05.440]   was
[00:02:05.440 --> 00:02:07.040]   from
[00:02:07.040 --> 00:02:08.360]   uh
[00:02:08.360 --> 00:02:09.040]   Mis
[00:02:09.040 --> 00:02:10.220]  cha
[00:02:10.220 --> 00:02:11.630]   Mis
[00:02:11.630 --> 00:02:12.620]  cha
[00:02:12.620 --> 00:02:13.420]   Al
[00:02:13.420 --> 00:02:15.200]  corn
[00:02:15.200 --> 00:02:16.260]  . [SPEAKER_TURN]
[00:02:16.980 --> 00:02:17.050]  
[00:02:17.050 --> 00:02:17.320]   Yeah
[00:02:17.320 --> 00:02:17.580]   Mic
[00:02:17.580 --> 00:02:17.750]  ah
[00:02:17.750 --> 00:02:18.210]   Mis
[00:02:18.210 --> 00:02:18.270]  cha
[00:02:18.270 --> 00:02:18.530]  .
[00:02:18.530 --> 00:02:18.700]   It
[00:02:18.700 --> 00:02:18.870]  's
[00:02:18.870 --> 00:02:19.120]   Mic
[00:02:19.120 --> 00:02:19.410]  ah
[00:02:19.410 --> 00:02:20.280]  . [SPEAKER_TURN]
[00:02:20.280 --> 00:02:20.610]   But
[00:02:20.610 --> 00:02:20.660]   um
[00:02:20.660 --> 00:02:21.130]   Philip
[00:02:21.130 --> 00:02:21.440]   says
[00:02:21.440 --> 00:02:21.880]   that
[00:02:21.880 --> 00:02:21.980]   the
[00:02:21.980 --> 00:02:22.370]   video
[00:02:22.370 --> 00:02:22.970]   quality
[00:02:22.970 --> 00:02:23.070]   is
[00:02:23.070 --> 00:02:23.760]   pretty
[00:02:23.760 --> 00:02:23.880]   good
[00:02:23.880 --> 00:02:24.170]  .
[00:02:24.170 --> 00:02:24.230]   So
[00:02:24.230 --> 00:02:25.080]   um [SPEAKER_TURN]
[00:02:25.080 --> 00:02:25.390]   Since
[00:02:25.390 --> 00:02:25.500]   we
[00:02:25.500 --> 00:02:25.680]  're
[00:02:25.680 --> 00:02:25.980]   since
[00:02:25.980 --> 00:02:26.100]   we
[00:02:26.100 --> 00:02:26.280]  're
[00:02:26.280 --> 00:02:26.400]   on
[00:02:26.400 --> 00:02:26.700]   video
[00:02:26.700 --> 00:02:26.760]   I
[00:02:26.760 --> 00:02:27.060]   could
[00:02:27.060 --> 00:02:27.210]   do
[00:02:27.210 --> 00:02:27.420]   like
