
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.310]   Just
[00:00:12.910 --> 00:00:13.030]   here
[00:00:13.030 --> 00:00:13.120]   and
[00:00:13.120 --> 00:00:13.260]   there
[00:00:13.260 --> 00:00:13.460]  .
[00:00:27.640 --> 00:00:27.640]  
[00:00:27.640 --> 00:00:28.060]   Welcome
[00:00:28.060 --> 00:00:28.180]   to
[00:00:28.180 --> 00:00:28.600]   episode
[00:00:28.600 --> 00:00:28.780]   two
[00:00:28.780 --> 00:00:29.200]   hundred
[00:00:29.200 --> 00:00:29.380]   and
[00:00:29.380 --> 00:00:29.730]   twenty
[00:00:29.730 --> 00:00:29.980]   nine
[00:00:29.980 --> 00:00:30.100]   of
[00:00:30.100 --> 00:00:30.520]   texting
[00:00:30.520 --> 00:00:30.880]   hosted
[00:00:30.880 --> 00:00:31.000]   by
[00:00:31.000 --> 00:00:31.360]   myself
[00:00:31.360 --> 00:00:31.720]   Justin
[00:00:31.720 --> 00:00:31.860]  ,
[00:00:31.860 --> 00:00:32.260]   Vincent
[00:00:32.260 --> 00:00:32.380]  ,
[00:00:32.380 --> 00:00:32.680]   Jason
[00:00:32.680 --> 00:00:33.100]   Roberts
[00:00:33.100 --> 00:00:33.300]   and
[00:00:33.300 --> 00:00:33.640]   today
[00:00:33.640 --> 00:00:33.700]   um
[00:00:33.700 --> 00:00:34.000]   Jason
[00:00:34.000 --> 00:00:34.120]  ,
[00:00:34.120 --> 00:00:34.640]   myself
[00:00:34.640 --> 00:00:34.660]   and
[00:00:34.660 --> 00:00:34.720]   U
[00:00:34.720 --> 00:00:34.840]  di
[00:00:34.840 --> 00:00:35.020]   are
[00:00:35.020 --> 00:00:35.440]   sitting
[00:00:35.440 --> 00:00:35.800]   around
[00:00:35.800 --> 00:00:35.980]   the
[00:00:35.980 --> 00:00:36.280]   table
[00:00:36.280 --> 00:00:36.520]   here
[00:00:36.520 --> 00:00:36.860]   uh
[00:00:36.860 --> 00:00:36.940]   ready
[00:00:36.940 --> 00:00:37.060]   to
[00:00:37.060 --> 00:00:37.410]   record
[00:00:37.410 --> 00:00:38.070]   another
[00:00:38.070 --> 00:00:38.260]   episode
[00:00:38.260 --> 00:00:38.380]   of
[00:00:38.380 --> 00:00:38.800]   texting
[00:00:38.800 --> 00:00:38.980]   and
[00:00:38.980 --> 00:00:39.180]   we
[00:00:39.180 --> 00:00:39.400]  're
[00:00:39.400 --> 00:00:39.510]   very
[00:00:39.510 --> 00:00:39.780]   excited
[00:00:39.780 --> 00:00:40.360]   about
[00:00:40.360 --> 00:00:40.400]   it
[00:00:40.400 --> 00:00:40.420]   I
[00:00:40.420 --> 00:00:40.720]   think
[00:00:40.720 --> 00:00:41.600]  . [SPEAKER_TURN]
[00:00:41.600 --> 00:00:42.160]   You
[00:00:42.160 --> 00:00:42.370]   think
[00:00:42.370 --> 00:00:42.560]  ?
[00:00:42.560 --> 00:00:42.820]   You
[00:00:42.820 --> 00:00:43.440]   excited
[00:00:43.440 --> 00:00:44.440]  ? [SPEAKER_TURN]
[00:00:44.440 --> 00:00:44.750]   Yeah
[00:00:44.750 --> 00:00:44.860]   why
[00:00:44.860 --> 00:00:44.980]  ,
[00:00:44.980 --> 00:00:45.010]   not
[00:00:45.010 --> 00:00:45.840]  . [SPEAKER_TURN]
[00:00:45.840 --> 00:00:45.840]   So
[00:00:45.840 --> 00:00:46.200]   uh
[00:00:46.200 --> 00:00:46.590]   you
[00:00:46.590 --> 00:00:46.890]   guys
[00:00:46.890 --> 00:00:47.110]   are
[00:00:47.110 --> 00:00:47.760]   heading
[00:00:47.760 --> 00:00:48.020]   out
[00:00:48.020 --> 00:00:48.200]   uh
[00:00:48.200 --> 00:00:48.380]   to
[00:00:48.380 --> 00:00:49.370]   Chicago
[00:00:49.370 --> 00:00:49.760]   tomorrow
[00:00:49.760 --> 00:00:50.220]   right
[00:00:50.220 --> 00:00:50.400]  ,
[00:00:50.400 --> 00:00:50.580]   So
[00:00:50.580 --> 00:00:50.750]  ?
[00:00:50.750 --> 00:00:51.400]   this
[00:00:51.400 --> 00:00:51.420]   is
[00:00:51.420 --> 00:00:51.670]   the
[00:00:51.670 --> 00:00:52.090]   last
[00:00:52.090 --> 00:00:52.220]   of
[00:00:52.220 --> 00:00:52.310]   U
[00:00:52.310 --> 00:00:52.860]  di
[00:00:52.860 --> 00:00:52.970]   Then
[00:00:52.970 --> 00:00:53.320]  .
[00:00:53.320 --> 00:00:53.400]   you
[00:00:53.400 --> 00:00:53.670]   you
[00:00:53.670 --> 00:00:53.940]  're
[00:00:53.940 --> 00:00:54.440]   r [SPEAKER_TURN]
[00:00:54.440 --> 00:00:54.780]   I
[00:00:54.780 --> 00:00:56.200]   hope
[00:00:56.200 --> 00:00:57.180]   not
[00:00:57.180 --> 00:00:57.180]  .
[00:00:57.180 --> 00:00:57.180]  
[00:00:57.180 --> 00:00:57.300]   So
[00:00:57.300 --> 00:00:57.480]   you
[00:00:57.480 --> 00:00:57.820]  're
[00:00:57.820 --> 00:00:57.960]   going
[00:00:57.960 --> 00:00:58.080]   to
[00:00:58.080 --> 00:00:58.500]   Chicago
[00:00:58.500 --> 00:00:58.720]   for
[00:00:58.720 --> 00:00:58.740]   a
[00:00:58.740 --> 00:00:58.980]   week
[00:00:58.980 --> 00:00:59.100]   to
[00:00:59.100 --> 00:00:59.230]   do
[00:00:59.230 --> 00:00:59.700]   some
[00:00:59.700 --> 00:00:59.790]   work
[00:00:59.790 --> 00:00:59.940]   with
[00:00:59.940 --> 00:01:00.000]   I
[00:01:00.000 --> 00:01:00.060]  -
[00:01:00.060 --> 00:01:00.240]   did
[00:01:00.240 --> 00:01:00.420]   you
[00:01:00.420 --> 00:01:00.540]   do
[00:01:00.540 --> 00:01:00.660]   it
[00:01:00.660 --> 00:01:01.420]  ? [SPEAKER_TURN]
[00:01:01.420 --> 00:01:01.520]   We
[00:01:01.520 --> 00:01:01.680]   go
[00:01:01.680 --> 00:01:01.830]   to
[00:01:01.830 --> 00:01:02.270]   Chicago
[00:01:02.270 --> 00:01:02.480]   for
[00:01:02.480 --> 00:01:02.540]   a
[00:01:02.540 --> 00:01:02.740]   few
[00:01:02.740 --> 00:01:03.050]   days
[00:01:03.050 --> 00:01:03.210]   and
[00:01:03.210 --> 00:01:03.470]   then
[00:01:03.470 --> 00:01:03.610]   I
[00:01:03.610 --> 00:01:03.670]  'm
[00:01:03.670 --> 00:01:04.000]   going
[00:01:04.000 --> 00:01:04.330]   to
[00:01:04.330 --> 00:01:04.340]   New
[00:01:04.340 --> 00:01:04.600]   York
[00:01:04.600 --> 00:01:05.190]   and
[00:01:05.190 --> 00:01:05.200]   Justin
[00:01:05.200 --> 00:01:05.460]   will
[00:01:05.460 --> 00:01:05.720]   be
[00:01:05.720 --> 00:01:05.870]   back
[00:01:05.870 --> 00:01:05.920]  .
[00:01:05.920 --> 00:01:06.390]   Uh
[00:01:06.390 --> 00:01:06.470]   yeah
[00:01:06.470 --> 00:01:06.600]   we
[00:01:06.600 --> 00:01:06.800]  'll
[00:01:06.800 --> 00:01:07.030]   we
[00:01:07.030 --> 00:01:07.130]  'll
[00:01:07.130 --> 00:01:07.260]   be
[00:01:07.260 --> 00:01:07.390]   in
[00:01:07.390 --> 00:01:07.590]   the
[00:01:07.590 --> 00:01:08.060]   schools
[00:01:08.060 --> 00:01:08.230]   that
[00:01:08.230 --> 00:01:08.670]   have
[00:01:08.670 --> 00:01:09.060]   digital
[00:01:09.060 --> 00:01:09.940]  . [SPEAKER_TURN]
[00:01:09.940 --> 00:01:10.040]   How
[00:01:10.040 --> 00:01:10.300]   many
[00:01:10.300 --> 00:01:10.420]   schools
[00:01:10.420 --> 00:01:10.520]   are
[00:01:10.520 --> 00:01:10.690]   there
[00:01:10.690 --> 00:01:11.100]  ? [SPEAKER_TURN]
[00:01:11.100 --> 00:01:11.120]   It
[00:01:11.120 --> 00:01:11.280]  's
[00:01:11.280 --> 00:01:11.660]   three
[00:01:11.660 --> 00:01:11.810]   schools
[00:01:11.810 --> 00:01:11.900]   at
[00:01:11.900 --> 00:01:12.080]   this
[00:01:12.080 --> 00:01:12.300]   stage
[00:01:12.300 --> 00:01:12.820]  . [SPEAKER_TURN]
[00:01:12.820 --> 00:01:13.080]   Okay
[00:01:13.080 --> 00:01:13.150]   so
[00:01:13.150 --> 00:01:13.260]   it
[00:01:13.260 --> 00:01:13.380]  's
[00:01:13.380 --> 00:01:13.620]   your
[00:01:13.620 --> 00:01:13.890]   beta
[00:01:13.890 --> 00:01:14.030]   beta
[00:01:14.030 --> 00:01:14.310]   group
[00:01:14.310 --> 00:01:14.520]   test
[00:01:14.520 --> 00:01:14.780]   team
[00:01:14.780 --> 00:01:15.380]  . [SPEAKER_TURN]
[00:01:15.380 --> 00:01:15.630]   Yeah
[00:01:15.630 --> 00:01:15.720]   still
[00:01:15.720 --> 00:01:16.020]   still
[00:01:16.020 --> 00:01:16.100]   group
[00:01:16.100 --> 00:01:16.320]   yeah
[00:01:16.320 --> 00:01:16.440]   still
[00:01:16.440 --> 00:01:16.700]   working
[00:01:16.700 --> 00:01:16.770]   it
[00:01:16.770 --> 00:01:16.880]   out
[00:01:16.880 --> 00:01:17.320]  . [SPEAKER_TURN]
[00:01:17.320 --> 00:01:17.390]   Okay
[00:01:17.390 --> 00:01:17.830]   so
[00:01:17.830 --> 00:01:17.870]   that
[00:01:17.870 --> 00:01:18.180]   good
[00:01:18.180 --> 00:01:18.200]   so
[00:01:18.200 --> 00:01:18.400]   you
[00:01:18.400 --> 00:01:18.560]   can
[00:01:18.560 --> 00:01:18.710]   see
[00:01:18.710 --> 00:01:18.930]   what
[00:01:18.930 --> 00:01:19.040]  's
[00:01:19.040 --> 00:01:19.440]   working
[00:01:19.440 --> 00:01:19.660]   what
[00:01:19.660 --> 00:01:19.770]  's
[00:01:19.770 --> 00:01:19.970]   not
[00:01:19.970 --> 00:01:20.050]   or
[00:01:20.050 --> 00:01:20.490]   anything
[00:01:20.490 --> 00:01:20.670]   and
[00:01:20.670 --> 00:01:20.890]   then
[00:01:20.890 --> 00:01:21.050]   why
[00:01:21.050 --> 00:01:21.390]   you
[00:01:21.390 --> 00:01:21.510]   going
[00:01:21.510 --> 00:01:21.620]   to
[00:01:21.620 --> 00:01:21.790]   New
[00:01:21.790 --> 00:01:22.010]   York
[00:01:22.010 --> 00:01:22.780]  ? [SPEAKER_TURN]
[00:01:22.780 --> 00:01:23.000]   Uh
[00:01:23.000 --> 00:01:23.090]   visit
[00:01:23.090 --> 00:01:23.180]   my
[00:01:23.180 --> 00:01:23.270]   uh
[00:01:23.270 --> 00:01:23.540]   family
[00:01:23.540 --> 00:01:23.580]   I
[00:01:23.580 --> 00:01:23.670]  ,
[00:01:23.670 --> 00:01:23.850]   have
[00:01:23.850 --> 00:01:24.120]   family
[00:01:24.120 --> 00:01:24.200]   in
[00:01:24.200 --> 00:01:24.430]   New
[00:01:24.430 --> 00:01:24.520]   York
[00:01:24.520 --> 00:01:25.060]  . [SPEAKER_TURN]
[00:01:25.780 --> 00:01:25.820]  
[00:01:25.820 --> 00:01:25.830]   Oh
[00:01:25.830 --> 00:01:25.900]   okay
[00:01:25.900 --> 00:01:25.960]  .
[00:01:25.960 --> 00:01:26.000]   So
[00:01:26.000 --> 00:01:26.100]   um
[00:01:26.100 --> 00:01:26.180]   you
[00:01:26.180 --> 00:01:26.200]   guys
[00:01:26.200 --> 00:01:26.260]   were
[00:01:26.260 --> 00:01:26.350]   just
[00:01:26.350 --> 00:01:26.400]   at
[00:01:26.400 --> 00:01:26.500]   Target
[00:01:26.500 --> 00:01:26.640]   buying
[00:01:26.640 --> 00:01:26.680]   U
[00:01:26.680 --> 00:01:26.700]  di
[00:01:26.700 --> 00:01:26.820]   clothes
[00:01:26.820 --> 00:01:26.880]  ?
[00:01:26.880 --> 00:01:27.100]   Very
[00:01:27.100 --> 00:01:27.120]   very
[00:01:27.120 --> 00:01:29.120]   popular
[00:01:29.120 --> 00:01:32.240]  . [SPEAKER_TURN]
[00:01:32.240 --> 00:01:32.530]   In
[00:01:32.530 --> 00:01:32.540]   uh
[00:01:32.540 --> 00:01:33.160]   Pasadena
[00:01:33.160 --> 00:01:33.620]   have
[00:01:33.620 --> 00:01:33.690]   no
[00:01:33.690 --> 00:01:33.850]   hot
[00:01:33.850 --> 00:01:34.000]   ha
[00:01:34.000 --> 00:01:34.310]   have
[00:01:34.310 --> 00:01:34.460]   no
[00:01:34.460 --> 00:01:34.770]   warm
[00:01:34.770 --> 00:01:35.310]   clothes
[00:01:35.310 --> 00:01:36.240]  . [SPEAKER_TURN]
[00:01:36.240 --> 00:01:36.370]   Yeah
[00:01:36.370 --> 00:01:36.470]   why
[00:01:36.470 --> 00:01:36.600]   were
[00:01:36.600 --> 00:01:36.700]   you
[00:01:36.700 --> 00:01:36.870]   going
[00:01:36.870 --> 00:01:37.040]   there
[00:01:37.040 --> 00:01:37.440]  ? [SPEAKER_TURN]
[00:01:37.440 --> 00:01:37.600]   Uh
[00:01:37.600 --> 00:01:37.760]   it
[00:01:37.760 --> 00:01:38.220]   was
[00:01:38.220 --> 00:01:38.320]   just
[00:01:38.320 --> 00:01:38.560]   the
[00:01:38.560 --> 00:01:39.050]   first
[00:01:39.050 --> 00:01:39.330]   place
[00:01:39.330 --> 00:01:39.740]   we
[00:01:39.740 --> 00:01:39.820]   sort
[00:01:39.820 --> 00:01:40.100]   of
[00:01:40.100 --> 00:01:40.140]   go
[00:01:40.140 --> 00:01:41.040]  . [SPEAKER_TURN]
[00:01:41.040 --> 00:01:41.300]   Very
[00:01:41.300 --> 00:01:41.420]   R
[00:01:41.420 --> 00:01:41.480]  _
[00:01:41.480 --> 00:01:41.530]  E
[00:01:41.530 --> 00:01:41.540]  _
[00:01:41.540 --> 00:01:41.600]  I
[00:01:41.600 --> 00:01:42.440]  _. [SPEAKER_TURN]
[00:01:42.440 --> 00:01:42.660]   Oh
[00:01:42.660 --> 00:01:42.730]   yeah
[00:01:42.730 --> 00:01:43.080]  ? [SPEAKER_TURN]
[00:01:43.440 --> 00:01:43.500]  
[00:01:43.500 --> 00:01:43.510]   Yeah
[00:01:43.510 --> 00:01:43.540]   if
[00:01:43.540 --> 00:01:43.590]   you
[00:01:43.590 --> 00:01:43.670]   wanna
[00:01:43.670 --> 00:01:43.720]   get
[00:01:43.720 --> 00:01:43.860]   like
[00:01:43.860 --> 00:01:43.870]   some
[00:01:43.870 --> 00:01:43.960]   winter
[00:01:43.960 --> 00:01:44.040]   stuff
[00:01:44.040 --> 00:01:44.070]   um
[00:01:44.070 --> 00:01:44.120]   you
[00:01:44.120 --> 00:01:44.200]   could
[00:01:44.200 --> 00:01:44.300]   either
[00:01:44.300 --> 00:01:44.330]   go
[00:01:44.330 --> 00:01:44.360]   to
[00:01:44.360 --> 00:01:44.380]   R
[00:01:44.380 --> 00:01:44.390]  _
[00:01:44.390 --> 00:01:44.400]  E
[00:01:44.400 --> 00:01:44.400]  _
[00:01:44.400 --> 00:01:44.410]  I
[00:01:44.410 --> 00:01:44.420]  _
[00:01:44.420 --> 00:01:44.440]   or
[00:01:44.440 --> 00:01:44.500]   you
[00:01:44.500 --> 00:01:44.580]   could
[00:01:44.580 --> 00:01:44.610]   go
[00:01:44.610 --> 00:01:44.640]   to
[00:01:44.640 --> 00:01:44.690]   the
[00:01:44.690 --> 00:01:44.790]   sports
[00:01:44.790 --> 00:01:45.000]   cell
[00:01:45.000 --> 00:01:45.340]   they
[00:01:45.340 --> 00:01:45.670]   have
[00:01:45.670 --> 00:01:45.760]   a
[00:01:45.760 --> 00:01:46.190]   lot
[00:01:46.190 --> 00:01:46.260]   of
[00:01:46.260 --> 00:01:46.620]   stuff
[00:01:46.620 --> 00:01:46.880]   for
[00:01:46.880 --> 00:01:47.140]   you
[00:01:47.140 --> 00:01:47.480]   know
[00:01:47.480 --> 00:01:47.740]   ski
[00:01:47.740 --> 00:01:48.080]   snow
[00:01:48.080 --> 00:01:48.770]  boarding
[00:01:48.770 --> 00:01:49.200]   kinda
[00:01:49.200 --> 00:01:49.630]   stuff
[00:01:49.630 --> 00:01:49.910]   and
[00:01:49.910 --> 00:01:50.590]   related
[00:01:50.590 --> 00:01:50.670]   so
[00:01:50.670 --> 00:01:50.750]   I
[00:01:50.750 --> 00:01:51.180]   would
[00:01:51.180 --> 00:01:51.570]   head
[00:01:51.570 --> 00:01:51.690]   up
[00:01:51.690 --> 00:01:52.120]   there
[00:01:52.120 --> 00:01:52.400]  .
[00:01:52.400 --> 00:01:52.720]   Yeah
[00:01:52.720 --> 00:01:53.240]   Target
[00:01:53.240 --> 00:01:53.490]   I
[00:01:53.490 --> 00:01:53.660]   mean
[00:01:53.660 --> 00:01:54.030]   you
[00:01:54.030 --> 00:01:54.520]   know
[00:01:54.520 --> 00:01:54.570]   you
[00:01:54.570 --> 00:01:54.860]   know
[00:01:54.860 --> 00:01:55.030]   it
[00:01:55.030 --> 00:01:55.200]  's
[00:01:55.200 --> 00:01:55.510]   not
[00:01:55.510 --> 00:01:56.020]   gonna
[00:01:56.020 --> 00:01:56.220]   be
[00:01:56.220 --> 00:01:56.320]   any
[00:01:56.320 --> 00:01:57.100]   selection
[00:01:57.100 --> 00:01:57.360]   for
[00:01:57.360 --> 00:01:57.700]   cold
[00:01:57.700 --> 00:01:58.400]   weather
[00:01:58.400 --> 00:01:59.140]   clothing
[00:01:59.140 --> 00:01:59.870]   especially
[00:01:59.870 --> 00:02:00.480]   the
[00:02:00.480 --> 00:02:00.650]   winter
[00:02:00.650 --> 00:02:00.820]  's
[00:02:00.820 --> 00:02:01.330]   almost
[00:02:01.330 --> 00:02:01.370]   over
[00:02:01.370 --> 00:02:02.090]   you
[00:02:02.090 --> 00:02:02.580]   know
[00:02:02.580 --> 00:02:03.510]   my
[00:02:03.510 --> 00:02:03.710]   guess
[00:02:03.710 --> 00:02:04.350]  .
[00:02:04.350 --> 00:02:04.360]   So
[00:02:04.360 --> 00:02:04.500]   uh
[00:02:04.500 --> 00:02:04.810]   cool
[00:02:04.810 --> 00:02:05.150]   so
[00:02:05.150 --> 00:02:05.270]   what
[00:02:05.270 --> 00:02:05.500]   was
[00:02:05.500 --> 00:02:05.650]   it
[00:02:05.650 --> 00:02:06.030]   like
[00:02:06.030 --> 00:02:06.110]   to
[00:02:06.110 --> 00:02:06.420]   live
[00:02:06.420 --> 00:02:06.950]   inside
[00:02:06.950 --> 00:02:07.020]   a
[00:02:07.020 --> 00:02:07.490]   texting
[00:02:07.490 --> 00:02:08.030]   episode
[00:02:08.030 --> 00:02:08.980]  ? [SPEAKER_TURN]
[00:02:08.980 --> 00:02:11.180]   Um [SPEAKER_TURN]
[00:02:11.180 --> 00:02:11.270]   Or
[00:02:11.270 --> 00:02:11.280]   at
[00:02:11.280 --> 00:02:11.410]   least
[00:02:11.410 --> 00:02:11.570]   Justin
[00:02:11.570 --> 00:02:11.640]  's
[00:02:11.640 --> 00:02:11.730]   half
[00:02:11.730 --> 00:02:11.780]   of
[00:02:11.780 --> 00:02:11.860]   it
[00:02:11.860 --> 00:02:12.180]  . [SPEAKER_TURN]
[00:02:12.260 --> 00:02:12.310]  
[00:02:12.310 --> 00:02:12.750]   Yeah
[00:02:12.750 --> 00:02:12.840]   well
[00:02:12.840 --> 00:02:12.980]   it
[00:02:12.980 --> 00:02:13.110]   it
[00:02:13.110 --> 00:02:13.260]   it
[00:02:13.260 --> 00:02:13.480]   was
[00:02:13.480 --> 00:02:13.770]   good
[00:02:13.770 --> 00:02:13.990]  .
[00:02:13.990 --> 00:02:14.130]   Uh
[00:02:14.130 --> 00:02:14.270]   as
[00:02:14.270 --> 00:02:14.340]   I
[00:02:14.340 --> 00:02:14.640]   said
[00:02:14.640 --> 00:02:15.070]   before
[00:02:15.070 --> 00:02:15.230]   it
[00:02:15.230 --> 00:02:15.350]  's
[00:02:15.350 --> 00:02:15.790]   really
[00:02:15.790 --> 00:02:15.990]   it
[00:02:15.990 --> 00:02:16.080]  's
[00:02:16.080 --> 00:02:16.510]   really
[00:02:16.510 --> 00:02:16.930]   real
[00:02:16.930 --> 00:02:17.020]   you
[00:02:17.020 --> 00:02:17.310]   have
[00:02:17.310 --> 00:02:17.530]   the
[00:02:17.530 --> 00:02:17.820]   same
[00:02:17.820 --> 00:02:18.710]   relationship
[00:02:18.710 --> 00:02:19.230]   outside
[00:02:19.230 --> 00:02:19.370]   of
[00:02:19.370 --> 00:02:19.890]   texting
[00:02:19.890 --> 00:02:20.110]   and
[00:02:20.110 --> 00:02:20.550]   inside
[00:02:20.550 --> 00:02:20.880]   so
[00:02:20.880 --> 00:02:21.220]   that
[00:02:21.220 --> 00:02:21.750]  's
[00:02:21.750 --> 00:02:21.920]   good
[00:02:21.920 --> 00:02:21.950]   it
[00:02:21.950 --> 00:02:22.090]  's
[00:02:22.090 --> 00:02:22.170]   i
[00:02:22.170 --> 00:02:22.340]   we
[00:02:22.340 --> 00:02:22.680]   know
[00:02:22.680 --> 00:02:23.270]   that
[00:02:23.270 --> 00:02:23.360]   you
[00:02:23.360 --> 00:02:23.520]   don
[00:02:23.520 --> 00:02:23.690]  't
[00:02:23.690 --> 00:02:24.030]   fake
[00:02:24.030 --> 00:02:24.280]   any
[00:02:24.280 --> 00:02:24.430]   of
[00:02:24.430 --> 00:02:25.250]   those
[00:02:25.250 --> 00:02:25.810]   discussions
[00:02:25.810 --> 00:02:26.030]  .
[00:02:26.030 --> 00:02:26.260]   Uh
[00:02:26.260 --> 00:02:26.490]   and
[00:02:26.490 --> 00:02:26.960]   it
[00:02:26.960 --> 00:02:27.080]   was
[00:02:27.080 --> 00:02:27.900]   interesting
[00:02:27.900 --> 00:02:28.070]   it
[00:02:28.070 --> 00:02:28.240]  's
[00:02:28.240 --> 00:02:28.690]   still
[00:02:28.690 --> 00:02:29.700]   unbelievable
[00:02:29.700 --> 00:02:29.950]   and
[00:02:29.950 --> 00:02:30.120]   it
[00:02:30.120 --> 00:02:30.340]  's
[00:02:30.340 --> 00:02:30.630]   like
[00:02:30.630 --> 00:02:30.930]   not
[00:02:30.930 --> 00:02:31.640]   realistic
[00:02:31.640 --> 00:02:32.000]   with
[00:02:32.000 --> 00:02:32.440]   stuff
[00:02:32.440 --> 00:02:33.460]  . [SPEAKER_TURN]
[00:02:33.460 --> 00:02:34.700]   Yeah
[00:02:34.700 --> 00:02:38.120]  . [SPEAKER_TURN]
[00:02:40.540 --> 00:02:40.580]  
[00:02:40.580 --> 00:02:40.670]   Um
[00:02:40.670 --> 00:02:40.730]   I
[00:02:40.730 --> 00:02:40.920]   don
[00:02:40.920 --> 00:02:41.050]  't
[00:02:41.050 --> 00:02:41.460]   know
[00:02:41.460 --> 00:02:41.640]   maybe
[00:02:41.640 --> 00:02:41.960]   maybe
[00:02:41.960 --> 00:02:42.160]   I
[00:02:42.160 --> 00:02:42.220]  'll
[00:02:42.220 --> 00:02:42.480]   come
[00:02:42.480 --> 00:02:42.770]   back
[00:02:42.770 --> 00:02:43.000]   this
[00:02:43.000 --> 00:02:43.390]   summer
[00:02:43.390 --> 00:02:43.620]   co
[00:02:43.620 --> 00:02:44.340]  o [SPEAKER_TURN]
[00:02:44.340 --> 00:02:44.610]   Ah
[00:02:44.610 --> 00:02:44.850]   cool
[00:02:44.850 --> 00:02:45.820]  . [SPEAKER_TURN]
[00:02:45.820 --> 00:02:45.950]   Yeah
[00:02:45.950 --> 00:02:45.980]   '
[00:02:45.980 --> 00:02:46.190]  cause
[00:02:46.190 --> 00:02:46.280]   your
[00:02:46.280 --> 00:02:46.420]   dad
[00:02:46.420 --> 00:02:46.440]  's
[00:02:46.440 --> 00:02:46.650]   coming
[00:02:46.650 --> 00:02:46.770]   over
[00:02:46.770 --> 00:02:46.900]   this
[00:02:46.900 --> 00:02:47.100]   summer
[00:02:47.100 --> 00:02:47.310]   right
[00:02:47.310 --> 00:02:47.700]  ? [SPEAKER_TURN]
[00:02:47.700 --> 00:02:47.800]   Supp
[00:02:47.800 --> 00:02:47.900]  osed
[00:02:47.900 --> 00:02:47.950]   to
[00:02:47.950 --> 00:02:48.070]   yeah
[00:02:48.070 --> 00:02:48.380]  . [SPEAKER_TURN]
[00:02:48.380 --> 00:02:48.460]   So
[00:02:48.460 --> 00:02:48.860]   you
[00:02:48.860 --> 00:02:48.960]  've
[00:02:48.960 --> 00:02:49.100]   been
[00:02:49.100 --> 00:02:49.420]   here
[00:02:49.420 --> 00:02:49.580]   what
[00:02:49.580 --> 00:02:49.890]   three
[00:02:49.890 --> 00:02:50.250]   weeks
[00:02:50.250 --> 00:02:50.380]  ?
[00:02:50.380 --> 00:02:50.620]   Two
[00:02:50.620 --> 00:02:51.050]   weeks
[00:02:51.050 --> 00:02:51.620]  . [SPEAKER_TURN]
[00:02:51.620 --> 00:02:51.720]   Uh
[00:02:51.720 --> 00:02:51.970]   three
[00:02:51.970 --> 00:02:52.580]  . [SPEAKER_TURN]
[00:02:52.580 --> 00:02:52.850]   Three
[00:02:52.850 --> 00:02:53.210]   weeks
[00:02:53.210 --> 00:02:53.660]   and
[00:02:53.660 --> 00:02:53.720]   then
