
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:01.440]   All
[00:00:50.540 --> 00:00:50.880]   guess
[00:00:50.880 --> 00:00:51.080]   two
[00:00:51.080 --> 00:00:51.440]   week
[00:00:51.440 --> 00:00:51.740]   break
[00:00:51.740 --> 00:00:51.830]   or
[00:00:51.830 --> 00:00:52.450]   something
[00:00:52.450 --> 00:00:52.490]   like
[00:00:52.490 --> 00:00:53.180]   that
[00:00:53.180 --> 00:00:53.400]   before
[00:00:53.400 --> 00:00:54.020]   releasing
[00:00:54.020 --> 00:00:54.290]   this
[00:00:54.290 --> 00:00:54.810]   episode
[00:00:54.810 --> 00:00:54.910]   uh
[00:00:54.910 --> 00:00:55.050]   so
[00:00:55.050 --> 00:00:55.560]   so
[00:00:55.560 --> 00:00:55.600]   Justin
[00:00:55.600 --> 00:00:55.800]   and
[00:00:55.800 --> 00:00:55.870]   I
[00:00:55.870 --> 00:00:56.420]   recorded
[00:00:56.420 --> 00:00:56.690]   what
[00:00:56.690 --> 00:00:56.890]   we
[00:00:56.890 --> 00:00:57.100]   feel
[00:00:57.100 --> 00:00:57.240]   is
[00:00:57.240 --> 00:00:57.860]   probably
[00:00:57.860 --> 00:00:57.930]   if
[00:00:57.930 --> 00:00:58.210]   not
[00:00:58.210 --> 00:00:58.330]   the
[00:00:58.330 --> 00:00:58.600]   best
[00:00:58.600 --> 00:00:58.800]   one
[00:00:58.800 --> 00:00:59.140]   of
[00:00:59.140 --> 00:00:59.190]   the
[00:00:59.190 --> 00:00:59.450]   best
[00:00:59.450 --> 00:00:59.750]   shows
[00:00:59.750 --> 00:00:59.890]   we
[00:00:59.890 --> 00:01:00.090]   had
[00:01:00.090 --> 00:01:00.360]   done
[00:01:00.360 --> 00:01:00.560]  .
[00:01:00.560 --> 00:01:00.700]   It
[00:01:00.700 --> 00:01:00.900]   was
[00:01:00.900 --> 00:01:01.250]   about
[00:01:01.250 --> 00:01:01.720]   a
[00:01:01.720 --> 00:01:01.800]   Friday
[00:01:01.800 --> 00:01:02.260]   before
[00:01:02.260 --> 00:01:02.400]   last
[00:01:02.400 --> 00:01:02.540]   is
[00:01:02.540 --> 00:01:02.700]  ,
[00:01:02.700 --> 00:01:03.150]   that
[00:01:03.150 --> 00:01:03.280]   right
[00:01:03.280 --> 00:01:04.210]  ?
[00:01:04.210 --> 00:01:04.210]   And
[00:01:04.210 --> 00:01:04.540]   uh
[00:01:04.540 --> 00:01:04.850]   right
[00:01:04.850 --> 00:01:04.930]   at
[00:01:04.930 --> 00:01:05.060]   the
[00:01:05.060 --> 00:01:05.270]   end
[00:01:05.270 --> 00:01:05.410]   of
[00:01:05.410 --> 00:01:05.620]   the
[00:01:05.620 --> 00:01:05.900]   show
[00:01:05.900 --> 00:01:06.110]   you
[00:01:06.110 --> 00:01:06.890]   realise
[00:01:06.890 --> 00:01:06.960]   that
[00:01:06.960 --> 00:01:07.100]   you
[00:01:07.100 --> 00:01:07.310]   had
[00:01:07.310 --> 00:01:08.080]   forgotten
[00:01:08.080 --> 00:01:08.090]   to
[00:01:08.090 --> 00:01:08.230]   uh
[00:01:08.230 --> 00:01:08.440]   hit
[00:01:08.440 --> 00:01:08.510]   a
[00:01:08.510 --> 00:01:09.060]   record
[00:01:09.060 --> 00:01:09.370]   button
[00:01:09.370 --> 00:01:09.810]   right
[00:01:09.810 --> 00:01:10.580]  , [SPEAKER_TURN]
[00:01:14.140 --> 00:01:14.140]  
[00:01:14.140 --> 00:01:14.310]   to
[00:01:14.310 --> 00:01:14.820]   remind
[00:01:14.820 --> 00:01:15.150]   you
[00:01:15.150 --> 00:01:15.240]   or
[00:01:15.240 --> 00:01:15.580]   even
[00:01:15.580 --> 00:01:15.870]   ask
[00:01:15.870 --> 00:01:16.150]   you
[00:01:16.150 --> 00:01:16.250]   or
[00:01:16.250 --> 00:01:16.620]   even
[00:01:16.620 --> 00:01:17.020]   take
[00:01:17.020 --> 00:01:17.210]   any
[00:01:17.210 --> 00:01:18.370]   responsibility
[00:01:18.370 --> 00:01:19.250]   whatsoever
[00:01:19.250 --> 00:01:19.630]   with
[00:01:19.630 --> 00:01:19.810]   God
[00:01:19.810 --> 00:01:20.140]  . [SPEAKER_TURN]
[00:01:20.140 --> 00:01:20.820]   Basically
[00:01:20.820 --> 00:01:20.940]   and
[00:01:20.940 --> 00:01:21.060]   uh
[00:01:21.060 --> 00:01:21.310]   it
[00:01:21.310 --> 00:01:21.600]   really
[00:01:21.600 --> 00:01:21.800]   was
[00:01:21.800 --> 00:01:21.860]   a
[00:01:21.860 --> 00:01:22.120]   good
[00:01:22.120 --> 00:01:22.380]   show
[00:01:22.380 --> 00:01:22.580]  .
[00:01:22.580 --> 00:01:22.710]   It
[00:01:22.710 --> 00:01:22.910]   was
[00:01:22.910 --> 00:01:23.040]   it
[00:01:23.040 --> 00:01:23.170]  's
[00:01:23.170 --> 00:01:23.230]   I
[00:01:23.230 --> 00:01:23.550]   think
[00:01:23.550 --> 00:01:23.690]   we
[00:01:23.690 --> 00:01:24.140]   should
[00:01:24.140 --> 00:01:24.350]   call
[00:01:24.350 --> 00:01:24.480]   it
[00:01:24.480 --> 00:01:24.740]   from
[00:01:24.740 --> 00:01:25.000]   from
[00:01:25.000 --> 00:01:25.300]   here
[00:01:25.300 --> 00:01:25.390]   on
[00:01:25.390 --> 00:01:25.590]   out
[00:01:25.590 --> 00:01:25.790]   the
[00:01:25.790 --> 00:01:26.050]   lost
[00:01:26.050 --> 00:01:26.520]   episode
[00:01:26.520 --> 00:01:27.400]  . [SPEAKER_TURN]
[00:01:27.400 --> 00:01:27.400]   That
[00:01:27.400 --> 00:01:27.970]  's
[00:01:27.970 --> 00:01:28.070]   right
[00:01:28.070 --> 00:01:28.130]   the
[00:01:28.130 --> 00:01:28.250]  ,
[00:01:28.250 --> 00:01:28.510]   lost
[00:01:28.510 --> 00:01:28.810]   episode
[00:01:28.810 --> 00:01:29.440]  . [SPEAKER_TURN]
[00:01:29.440 --> 00:01:29.590]   In
[00:01:29.590 --> 00:01:29.900]   that
[00:01:29.900 --> 00:01:30.210]   lost
[00:01:30.210 --> 00:01:30.760]   episode
[00:01:30.760 --> 00:01:31.070]   when
[00:01:31.070 --> 00:01:31.530]   we
[00:01:31.530 --> 00:01:31.590]   said
[00:01:31.590 --> 00:01:31.680]   it
[00:01:31.680 --> 00:01:32.010]   was
[00:01:32.010 --> 00:01:32.280]   just
[00:01:32.280 --> 00:01:32.370]   oh
[00:01:32.370 --> 00:01:32.520]   it
[00:01:32.520 --> 00:01:32.750]   was
[00:01:32.750 --> 00:01:32.830]   a
[00:01:32.830 --> 00:01:33.150]   good
[00:01:33.150 --> 00:01:33.450]   show
[00:01:33.450 --> 00:01:34.460]  . [SPEAKER_TURN]
[00:01:34.800 --> 00:01:34.850]  
[00:01:34.850 --> 00:01:34.860]   I
[00:01:34.860 --> 00:01:35.060]   kept
[00:01:35.060 --> 00:01:35.490]   thinking
[00:01:35.490 --> 00:01:35.750]   about
[00:01:35.750 --> 00:01:35.850]   it
[00:01:35.850 --> 00:01:36.030]   the
[00:01:36.030 --> 00:01:36.220]   next
[00:01:36.220 --> 00:01:36.570]   couple
[00:01:36.570 --> 00:01:36.750]   days
[00:01:36.750 --> 00:01:37.060]   after
[00:01:37.060 --> 00:01:37.170]   and
[00:01:37.170 --> 00:01:37.210]   I
[00:01:37.210 --> 00:01:37.380]   was
[00:01:37.380 --> 00:01:37.590]   just
[00:01:37.590 --> 00:01:37.820]   like
[00:01:37.820 --> 00:01:37.900]   oh
[00:01:37.900 --> 00:01:38.180]   you
[00:01:38.180 --> 00:01:38.270]   know
[00:01:38.270 --> 00:01:38.320]   I
[00:01:38.320 --> 00:01:38.420]  'm
[00:01:38.420 --> 00:01:38.520]   we
[00:01:38.520 --> 00:01:38.680]   the
[00:01:38.680 --> 00:01:38.730]   '
[00:01:38.730 --> 00:01:38.990]  cause
[00:01:38.990 --> 00:01:39.250]   there
[00:01:39.250 --> 00:01:39.350]  's
[00:01:39.350 --> 00:01:39.550]   all
[00:01:39.550 --> 00:01:40.040]   these
[00:01:40.040 --> 00:01:40.090]   topics
[00:01:40.090 --> 00:01:40.300]   that
[00:01:40.300 --> 00:01:40.410]   we
[00:01:40.410 --> 00:01:40.800]   covered
[00:01:40.800 --> 00:01:40.980]   that
[00:01:40.980 --> 00:01:41.200]   were
[00:01:41.200 --> 00:01:41.450]   gonna
[00:01:41.450 --> 00:01:41.550]   be
[00:01:41.550 --> 00:01:41.710]   fun
[00:01:41.710 --> 00:01:42.050]   that
[00:01:42.050 --> 00:01:42.080]   you
[00:01:42.080 --> 00:01:42.240]  're
[00:01:42.240 --> 00:01:42.400]   you
[00:01:42.400 --> 00:01:42.640]  're
[00:01:42.640 --> 00:01:42.910]   gonna
[00:01:42.910 --> 00:01:42.920]   be
[00:01:42.920 --> 00:01:43.290]   tending
[00:01:43.290 --> 00:01:43.400]   to
[00:01:43.400 --> 00:01:43.700]   want
[00:01:43.700 --> 00:01:43.700]   to
[00:01:43.700 --> 00:01:44.090]   refer
[00:01:44.090 --> 00:01:44.170]   back
[00:01:44.170 --> 00:01:44.270]   to
[00:01:44.270 --> 00:01:44.430]   and
[00:01:44.430 --> 00:01:44.640]   then
[00:01:44.640 --> 00:01:44.820]   you
[00:01:44.820 --> 00:01:44.960]  're
[00:01:44.960 --> 00:01:45.210]   but
[00:01:45.210 --> 00:01:45.280]   you
[00:01:45.280 --> 00:01:45.440]  're
[00:01:45.440 --> 00:01:45.580]   but
[00:01:45.580 --> 00:01:45.760]   the
[00:01:45.760 --> 00:01:46.130]   reality
[00:01:46.130 --> 00:01:46.230]   is
[00:01:46.230 --> 00:01:46.440]   that
[00:01:46.440 --> 00:01:46.760]   nobody
[00:01:46.760 --> 00:01:47.080]  's
[00:01:47.080 --> 00:01:47.120]   gonna
[00:01:47.120 --> 00:01:47.330]   know
[00:01:47.330 --> 00:01:47.540]   what
[00:01:47.540 --> 00:01:47.640]   we
[00:01:47.640 --> 00:01:47.800]  're
[00:01:47.800 --> 00:01:48.170]   talking
[00:01:48.170 --> 00:01:48.430]   about
[00:01:48.430 --> 00:01:48.480]   '
[00:01:48.480 --> 00:01:48.740]  cause
[00:01:48.740 --> 00:01:48.950]   they
[00:01:48.950 --> 00:01:49.210]   never
[00:01:49.210 --> 00:01:49.570]   heard
[00:01:49.570 --> 00:01:49.570]   it
[00:01:49.570 --> 00:01:50.580]  . [SPEAKER_TURN]
[00:01:50.580 --> 00:01:50.890]   I
[00:01:50.890 --> 00:01:50.960]   mean
[00:01:50.960 --> 00:01:51.010]   at
[00:01:51.010 --> 00:01:51.320]   least
[00:01:51.320 --> 00:01:51.500]   the
[00:01:51.500 --> 00:01:51.610]   th
[00:01:51.610 --> 00:01:51.830]   I
[00:01:51.830 --> 00:01:51.990]   guess
[00:01:51.990 --> 00:01:52.360]   what
[00:01:52.360 --> 00:01:52.380]   it
[00:01:52.380 --> 00:01:52.740]   kinda
[00:01:52.740 --> 00:01:52.920]   goes
[00:01:52.920 --> 00:01:53.050]   to
[00:01:53.050 --> 00:01:53.350]   prove
[00:01:53.350 --> 00:01:53.470]   is
[00:01:53.470 --> 00:01:53.720]   that
[00:01:53.720 --> 00:01:53.860]   we
[00:01:53.860 --> 00:01:54.110]   just
[00:01:54.110 --> 00:01:54.360]   kind
[00:01:54.360 --> 00:01:54.460]   of
[00:01:54.460 --> 00:01:54.770]   enjoy
[00:01:54.770 --> 00:01:55.200]   talking
[00:01:55.200 --> 00:01:55.320]   to
[00:01:55.320 --> 00:01:55.570]   each
[00:01:55.570 --> 00:01:55.880]   other
[00:01:55.880 --> 00:01:56.440]   anyway
[00:01:56.440 --> 00:01:56.720]  .
[00:01:56.720 --> 00:01:57.720]   Because
[00:01:57.720 --> 00:01:57.870]   oh
[00:01:57.870 --> 00:01:58.130]   no
[00:01:58.130 --> 00:01:58.370]  ,
[00:01:58.370 --> 00:01:58.880]   that
[00:01:58.880 --> 00:01:59.160]  's
[00:01:59.160 --> 00:02:00.740]   like [SPEAKER_TURN]
[00:02:03.220 --> 00:02:03.260]  
[00:02:03.260 --> 00:02:03.500]   this
[00:02:03.500 --> 00:02:03.720]   fun
[00:02:03.720 --> 00:02:04.050]   stuff
[00:02:04.050 --> 00:02:04.400]  .
[00:02:04.400 --> 00:02:04.410]   So
[00:02:04.410 --> 00:02:04.690]   that
[00:02:04.690 --> 00:02:05.150]   sucked
[00:02:05.150 --> 00:02:05.460]   but
[00:02:05.460 --> 00:02:05.500]   uh
[00:02:05.500 --> 00:02:05.600]   we
[00:02:05.600 --> 00:02:05.920]  'll
[00:02:05.920 --> 00:02:06.150]   just
[00:02:06.150 --> 00:02:06.370]   this
[00:02:06.370 --> 00:02:06.510]   is
[00:02:06.510 --> 00:02:06.720]   the
[00:02:06.720 --> 00:02:06.860]   n
[00:02:06.860 --> 00:02:07.010]   the
[00:02:07.010 --> 00:02:07.460]   title
[00:02:07.460 --> 00:02:07.490]   of
[00:02:07.490 --> 00:02:07.820]   this
[00:02:07.820 --> 00:02:07.910]   uh
[00:02:07.910 --> 00:02:08.400]   episode
[00:02:08.400 --> 00:02:08.820]   should
[00:02:08.820 --> 00:02:09.000]   be
[00:02:09.000 --> 00:02:09.310]   Redux
[00:02:09.310 --> 00:02:09.520]  .
[00:02:09.520 --> 00:02:09.970]   Thirty
[00:02:09.970 --> 00:02:10.210]   one
[00:02:10.210 --> 00:02:10.430]   re
[00:02:10.430 --> 00:02:10.470]  ed
[00:02:10.470 --> 00:02:10.660]   it
[00:02:10.660 --> 00:02:10.710]  's
[00:02:10.710 --> 00:02:11.420]   episode
[00:02:11.420 --> 00:02:11.620]   thirty
[00:02:11.620 --> 00:02:11.830]   one
[00:02:11.830 --> 00:02:12.180]   Redux
[00:02:12.180 --> 00:02:12.320]  ,
[00:02:12.320 --> 00:02:12.530]   the
[00:02:12.530 --> 00:02:12.950]   second
[00:02:12.950 --> 00:02:13.220]   time
[00:02:13.220 --> 00:02:14.220]  . [SPEAKER_TURN]
[00:02:14.220 --> 00:02:14.660]   M
[00:02:14.660 --> 00:02:14.760]  m
[00:02:14.760 --> 00:02:14.880]  -
[00:02:14.880 --> 00:02:15.100]  h
[00:02:15.100 --> 00:02:15.540]  mm
[00:02:15.540 --> 00:02:18.000]  . [SPEAKER_TURN]
[00:02:18.000 --> 00:02:18.290]   M
[00:02:18.290 --> 00:02:18.520]  m
[00:02:18.520 --> 00:02:18.730]  -
[00:02:18.730 --> 00:02:18.970]  h
[00:02:18.970 --> 00:02:19.460]  mm
[00:02:19.460 --> 00:02:20.240]  . [SPEAKER_TURN]
[00:02:26.700 --> 00:02:26.760]  
[00:02:26.760 --> 00:02:27.140]   Because
[00:02:27.140 --> 00:02:27.190]   we
[00:02:27.190 --> 00:02:27.350]  've
[00:02:27.350 --> 00:02:27.460]   we
[00:02:27.460 --> 00:02:27.620]  've
[00:02:27.620 --> 00:02:28.000]   noticed
[00:02:28.000 --> 00:02:28.220]   that
[00:02:28.220 --> 00:02:28.660]   recently
[00:02:28.660 --> 00:02:28.770]   we
[00:02:28.770 --> 00:02:28.930]  've
[00:02:28.930 --> 00:02:29.310]   started
[00:02:29.310 --> 00:02:29.420]   to
[00:02:29.420 --> 00:02:29.800]   me
[00:02:29.800 --> 00:02:29.890]  ander
[00:02:29.890 --> 00:02:29.960]   off
[00:02:29.960 --> 00:02:30.120]   the
[00:02:30.120 --> 00:02:30.390]   topic
[00:02:30.390 --> 00:02:30.500]   of
[00:02:30.500 --> 00:02:30.720]   tech
[00:02:30.720 --> 00:02:30.880]   and
[00:02:30.880 --> 00:02:31.260]   onto
[00:02:31.260 --> 00:02:31.440]   the
[00:02:31.440 --> 00:02:31.530]   topic
[00:02:31.530 --> 00:02:31.640]   of
[00:02:31.640 --> 00:02:31.950]   other
[00:02:31.950 --> 00:02:32.180]   stuff
[00:02:32.180 --> 00:02:32.430]   that
[00:02:32.430 --> 00:02:32.670]   maybe
[00:02:32.670 --> 00:02:33.170]   interests
[00:02:33.170 --> 00:02:33.270]   us
[00:02:33.270 --> 00:02:33.380]   in
[00:02:33.380 --> 00:02:33.540]   our
[00:02:33.540 --> 00:02:33.990]   personal
[00:02:33.990 --> 00:02:34.260]   lives
[00:02:34.260 --> 00:02:34.410]  .
[00:02:34.410 --> 00:02:34.570]   But
[00:02:34.570 --> 00:02:34.680]   uh
[00:02:34.680 --> 00:02:34.840]   you
[00:02:34.840 --> 00:02:35.110]   you
[00:02:35.110 --> 00:02:35.160]   had
[00:02:35.160 --> 00:02:35.270]   an
[00:02:35.270 --> 00:02:35.480]   analogy
[00:02:35.480 --> 00:02:35.720]   of
[00:02:35.720 --> 00:02:36.060]   uh
[00:02:36.060 --> 00:02:36.090]   like
[00:02:36.090 --> 00:02:36.250]   you
[00:02:36.250 --> 00:02:36.410]   you
[00:02:36.410 --> 00:02:36.570]  're
[00:02:36.570 --> 00:02:36.950]   sitting
[00:02:36.950 --> 00:02:37.060]   in
[00:02:37.060 --> 00:02:37.170]   an
[00:02:37.170 --> 00:02:37.620]   office
[00:02:37.620 --> 00:02:37.720]   with
[00:02:37.720 --> 00:02:37.770]   a
[00:02:37.770 --> 00:02:38.100]   couple
[00:02:38.100 --> 00:02:38.210]   of
[00:02:38.210 --> 00:02:38.430]   guys
[00:02:38.430 --> 00:02:38.540]   or
[00:02:38.540 --> 00:02:39.030]   something
[00:02:39.030 --> 00:02:39.190]   How
[00:02:39.190 --> 00:02:39.410]  .
[00:02:39.410 --> 00:02:39.510]   did
[00:02:39.510 --> 00:02:39.730]   that
[00:02:39.730 --> 00:02:40.220]   analogy
[00:02:40.220 --> 00:02:40.370]   go
[00:02:40.370 --> 00:02:41.080]  ? [SPEAKER_TURN]
[00:02:41.120 --> 00:02:41.190]  
[00:02:41.190 --> 00:02:41.440]   Right
[00:02:41.440 --> 00:02:41.660]  ?
[00:02:41.660 --> 00:02:41.890]   Well
[00:02:41.890 --> 00:02:42.020]  ,
[00:02:42.020 --> 00:02:42.270]   the
[00:02:42.270 --> 00:02:42.400]   way
[00:02:42.400 --> 00:02:42.460]   I
[00:02:42.460 --> 00:02:42.700]   sort
[00:02:42.700 --> 00:02:42.910]   of
[00:02:42.910 --> 00:02:42.920]   I
[00:02:42.920 --> 00:02:43.190]   feel
[00:02:43.190 --> 00:02:43.530]   like
[00:02:43.530 --> 00:02:43.680]   this
[00:02:43.680 --> 00:02:43.990]   show
[00:02:43.990 --> 00:02:44.140]   has
[00:02:44.140 --> 00:02:44.600]   evolved
[00:02:44.600 --> 00:02:44.730]  ,
[00:02:44.730 --> 00:02:44.850]   at
[00:02:44.850 --> 00:02:45.180]   least
[00:02:45.180 --> 00:02:45.370]   the
[00:02:45.370 --> 00:02:45.830]   content
[00:02:45.830 --> 00:02:45.960]   of
[00:02:45.960 --> 00:02:46.250]   this
[00:02:46.250 --> 00:02:46.460]   show
[00:02:46.460 --> 00:02:46.720]   is
[00:02:46.720 --> 00:02:46.740]  ,
[00:02:46.740 --> 00:02:46.870]   it
[00:02:46.870 --> 00:02:47.000]  's
[00:02:47.000 --> 00:02:47.190]   not
[00:02:47.190 --> 00:02:47.380]   one
[00:02:47.380 --> 00:02:47.840]   hundred
[00:02:47.840 --> 00:02:48.030]   per
[00:02:48.030 --> 00:02:48.290]   cent
[00:02:48.290 --> 00:02:48.550]   cent
[00:02:48.550 --> 00:02:48.810]  red
[00:02:48.810 --> 00:02:48.870]   on
[00:02:48.870 --> 00:02:49.130]   tech
[00:02:49.130 --> 00:02:49.260]   or
[00:02:49.260 --> 00:02:49.410]   at
[00:02:49.410 --> 00:02:49.560]   least
[00:02:49.560 --> 00:02:50.010]   you
[00:02:50.010 --> 00:02:50.170]   know
[00:02:50.170 --> 00:02:50.290]   we
[00:02:50.290 --> 00:02:50.480]   get
[00:02:50.480 --> 00:02:50.680]   off
[00:02:50.680 --> 00:02:50.990]   topic
[00:02:50.990 --> 00:02:51.380]   enough
[00:02:51.380 --> 00:02:51.510]   so
[00:02:51.510 --> 00:02:51.780]   that
[00:02:51.780 --> 00:02:51.900]   it
[00:02:51.900 --> 00:02:52.030]  's
[00:02:52.030 --> 00:02:52.220]   not
[00:02:52.220 --> 00:02:52.480]   even
[00:02:52.480 --> 00:02:52.960]   before
[00:02:52.960 --> 00:02:53.010]   we
[00:02:53.010 --> 00:02:53.490]   start
[00:02:53.490 --> 00:02:53.510]  .
[00:02:53.510 --> 00:02:53.640]   Um
[00:02:53.640 --> 00:02:53.770]   it
[00:02:53.770 --> 00:02:53.900]  's
[00:02:53.900 --> 00:02:54.160]   sort
[00:02:54.160 --> 00:02:54.490]   of
[00:02:54.490 --> 00:02:54.550]   like
[00:02:54.550 --> 00:02:54.680]   if
[00:02:54.680 --> 00:02:54.870]   you
[00:02:54.870 --> 00:02:55.060]   had
[00:02:55.060 --> 00:02:55.250]   you
[00:02:55.250 --> 00:02:55.510]   know
[00:02:55.510 --> 00:02:55.700]   you
[00:02:55.700 --> 00:02:55.890]  're
[00:02:55.890 --> 00:02:56.020]   in
[00:02:56.020 --> 00:02:56.080]   a
[00:02:56.080 --> 00:02:56.340]   room
[00:02:56.340 --> 00:02:56.600]   with
[00:02:56.600 --> 00:02:56.660]   a
[00:02:56.660 --> 00:02:57.040]   bunch
[00:02:57.040 --> 00:02:57.110]   of
[00:02:57.110 --> 00:02:57.430]   other
[00:02:57.430 --> 00:02:57.560]   uh
[00:02:57.560 --> 00:02:57.700]  ,
[00:02:57.700 --> 00:02:57.750]   I
[00:02:57.750 --> 00:02:57.940]   don
[00:02:57.940 --> 00:02:58.070]  't
[00:02:58.070 --> 00:02:58.460]   know
[00:02:58.460 --> 00:02:58.590]   uh
[00:02:58.590 --> 00:02:58.660]  ,
[00:02:58.660 --> 00:02:59.050]   hackers
[00:02:59.050 --> 00:02:59.180]  ,
[00:02:59.180 --> 00:02:59.370]   you
[00:02:59.370 --> 00:02:59.620]   know
[00:02:59.620 --> 00:02:59.890]   or
[00:02:59.890 --> 00:02:59.960]  ,
[00:02:59.960 --> 00:03:00.080]   cod
[00:03:00.080 --> 00:03:00.270]  ers
[00:03:00.270 --> 00:03:00.410]   or
[00:03:00.410 --> 00:03:01.090]   whatever
[00:03:01.090 --> 00:03:01.110]   and
[00:03:01.110 --> 00:03:01.240]  ,
[00:03:01.240 --> 00:03:01.430]   you
[00:03:01.430 --> 00:03:01.690]   know
[00:03:01.690 --> 00:03:02.260]  ,
[00:03:02.260 --> 00:03:02.290]   certain
[00:03:02.290 --> 00:03:02.930]   percentage
[00:03:02.930 --> 00:03:03.060]   of
[00:03:03.060 --> 00:03:03.590]   your
[00:03:03.590 --> 00:03:04.190]   conversations
[00:03:04.190 --> 00:03:04.360]   are
[00:03:04.360 --> 00:03:04.880]   probably
[00:03:04.880 --> 00:03:05.260]   gonna
[00:03:05.260 --> 00:03:05.330]   be
[00:03:05.330 --> 00:03:05.590]   cent
[00:03:05.590 --> 00:03:05.780]  red
[00:03:05.780 --> 00:03:05.910]   on
[00:03:05.910 --> 00:03:06.170]   tech
[00:03:06.170 --> 00:03:06.360]   but
[00:03:06.360 --> 00:03:06.490]  ,
[00:03:06.490 --> 00:03:07.570]   conversations
[00:03:07.570 --> 00:03:07.600]   that
[00:03:07.600 --> 00:03:07.990]   aren
[00:03:07.990 --> 00:03:08.200]  't
[00:03:08.200 --> 00:03:08.250]   cent
[00:03:08.250 --> 00:03:08.440]  red
[00:03:08.440 --> 00:03:08.570]   on
[00:03:08.570 --> 00:03:08.900]   tech
[00:03:08.900 --> 00:03:09.020]   are
[00:03:09.020 --> 00:03:09.530]   probably
[00:03:09.530 --> 00:03:10.000]   other
