
[00:00:00.000 --> 00:00:00.070]  
[00:00:00.070 --> 00:00:00.160]   J
[00:02:03.140 --> 00:02:03.490]   money
[00:02:03.490 --> 00:02:03.640]   on
[00:02:03.640 --> 00:02:03.850]   the
[00:02:03.850 --> 00:02:03.990]   uh
[00:02:03.990 --> 00:02:04.130]   on
[00:02:04.130 --> 00:02:04.340]   the
[00:02:04.340 --> 00:02:04.700]   audio
[00:02:04.700 --> 00:02:05.600]  . [SPEAKER_TURN]
[00:02:05.600 --> 00:02:05.730]   That
[00:02:05.730 --> 00:02:05.870]  's
[00:02:05.870 --> 00:02:06.370]   right
[00:02:06.370 --> 00:02:06.880]  . [SPEAKER_TURN]
[00:02:06.880 --> 00:02:07.040]  
[00:02:07.040 --> 00:02:07.140]   Yeah
[00:02:07.140 --> 00:02:07.270]   so
[00:02:07.270 --> 00:02:07.400]   uh
[00:02:07.400 --> 00:02:07.710]   after
[00:02:07.710 --> 00:02:08.300]   listening
[00:02:08.300 --> 00:02:08.430]   to
[00:02:08.430 --> 00:02:08.630]   our
[00:02:08.630 --> 00:02:08.900]   last
[00:02:08.900 --> 00:02:09.520]   discussion
[00:02:09.520 --> 00:02:09.780]   show
[00:02:09.780 --> 00:02:09.840]   I
[00:02:09.840 --> 00:02:10.100]   just
[00:02:10.100 --> 00:02:10.550]   noticed
[00:02:10.550 --> 00:02:10.870]   there
[00:02:10.870 --> 00:02:11.060]   was
[00:02:11.060 --> 00:02:11.120]   a
[00:02:11.120 --> 00:02:11.180]   a
[00:02:11.180 --> 00:02:11.440]   very
[00:02:11.440 --> 00:02:11.970]   distinct
[00:02:11.970 --> 00:02:12.620]   difference
[00:02:12.620 --> 00:02:12.720]   in
[00:02:12.720 --> 00:02:12.910]   the
[00:02:12.910 --> 00:02:13.360]   quality
[00:02:13.360 --> 00:02:13.490]   of
[00:02:13.490 --> 00:02:13.750]   your
[00:02:13.750 --> 00:02:14.070]   audio
[00:02:14.070 --> 00:02:14.460]   versus
[00:02:14.460 --> 00:02:14.860]   my
[00:02:14.860 --> 00:02:15.100]   audio
[00:02:15.100 --> 00:02:15.120]   and
[00:02:15.120 --> 00:02:15.360]   mine
[00:02:15.360 --> 00:02:15.810]   sounded
[00:02:15.810 --> 00:02:16.070]   kind
[00:02:16.070 --> 00:02:16.200]   of
[00:02:16.200 --> 00:02:16.520]   muddy
[00:02:16.520 --> 00:02:16.710]   and
[00:02:16.710 --> 00:02:17.030]   fuzzy
[00:02:17.030 --> 00:02:17.870]   comparatively
[00:02:17.870 --> 00:02:18.060]   and
[00:02:18.060 --> 00:02:18.120]   I
[00:02:18.120 --> 00:02:18.240]  'm
[00:02:18.240 --> 00:02:18.500]   like
[00:02:18.500 --> 00:02:18.950]   alright
[00:02:18.950 --> 00:02:19.080]   we
[00:02:19.080 --> 00:02:19.340]   just
[00:02:19.340 --> 00:02:19.480]   we
[00:02:19.480 --> 00:02:19.730]   need
[00:02:19.730 --> 00:02:19.860]   to
[00:02:19.860 --> 00:02:20.050]   get
[00:02:20.050 --> 00:02:20.310]   this
[00:02:20.310 --> 00:02:20.760]   squared
[00:02:20.760 --> 00:02:21.020]   away
[00:02:21.020 --> 00:02:21.210]   and
[00:02:21.210 --> 00:02:21.520]   so [SPEAKER_TURN]
[00:02:21.520 --> 00:02:21.570]   I
[00:02:21.570 --> 00:02:21.960]  'm
[00:02:21.960 --> 00:02:22.070]   actually
[00:02:22.070 --> 00:02:22.370]   really
[00:02:22.370 --> 00:02:22.570]   glad
[00:02:22.570 --> 00:02:22.920]   because
[00:02:22.920 --> 00:02:23.020]   to
[00:02:23.020 --> 00:02:23.150]   to
[00:02:23.150 --> 00:02:23.220]   me
[00:02:23.220 --> 00:02:23.360]   I
[00:02:23.360 --> 00:02:23.520]   think
[00:02:23.520 --> 00:02:23.670]   the
[00:02:23.670 --> 00:02:23.960]   audio
[00:02:23.960 --> 00:02:24.020]   is
[00:02:24.020 --> 00:02:24.170]   way
[00:02:24.170 --> 00:02:24.370]   more
[00:02:24.370 --> 00:02:24.830]   important
[00:02:24.830 --> 00:02:25.020]   than
[00:02:25.020 --> 00:02:25.180]   the
[00:02:25.180 --> 00:02:25.280]   um
[00:02:25.280 --> 00:02:25.480]   than
[00:02:25.480 --> 00:02:25.680]   what
[00:02:25.680 --> 00:02:25.830]   the
[00:02:25.830 --> 00:02:25.980]   web
[00:02:25.980 --> 00:02:26.430]   site
[00:02:26.430 --> 00:02:26.600]   looks
[00:02:26.600 --> 00:02:26.630]   like
[00:02:26.630 --> 00:02:26.780]  .
[00:02:26.780 --> 00:02:26.840]   I
[00:02:26.840 --> 00:02:27.060]   mean
[00:02:27.060 --> 00:02:27.140]   at
[00:02:27.140 --> 00:02:27.280]   the
[00:02:27.280 --> 00:02:27.480]   end
[00:02:27.480 --> 00:02:27.530]   of
[00:02:27.530 --> 00:02:27.830]   the
[00:02:27.830 --> 00:02:27.840]   day
[00:02:27.840 --> 00:02:28.050]   that
[00:02:28.050 --> 00:02:28.130]   is
[00:02:28.130 --> 00:02:28.310]   the
[00:02:28.310 --> 00:02:28.620]   product
[00:02:28.620 --> 00:02:28.930]   right
[00:02:28.930 --> 00:02:28.980]  ,
[00:02:28.980 --> 00:02:29.080]   So
[00:02:29.080 --> 00:02:29.180]   to
[00:02:29.180 --> 00:02:29.280]   me
[00:02:29.280 --> 00:02:29.480]   that
[00:02:29.480 --> 00:02:29.580]  's
[00:02:29.580 --> 00:02:29.980]   where
[00:02:29.980 --> 00:02:30.040]   the
[00:02:30.040 --> 00:02:30.410]   money
[00:02:30.410 --> 00:02:30.590]   should
[00:02:30.590 --> 00:02:30.630]   go
[00:02:30.630 --> 00:02:30.680]   I
[00:02:30.680 --> 00:02:30.830]  .
[00:02:30.830 --> 00:02:31.090]   think
[00:02:31.090 --> 00:02:31.280]   that
[00:02:31.280 --> 00:02:31.380]  's
[00:02:31.380 --> 00:02:31.610]   much
[00:02:31.610 --> 00:02:31.880]   better
[00:02:31.880 --> 00:02:32.700]  . [SPEAKER_TURN]
[00:02:33.060 --> 00:02:33.110]  
[00:02:33.110 --> 00:02:33.280]   Yeah
[00:02:33.280 --> 00:02:33.500]   well
[00:02:33.500 --> 00:02:33.550]   I
[00:02:33.550 --> 00:02:33.770]   yeah
[00:02:33.770 --> 00:02:33.820]   I
[00:02:33.820 --> 00:02:34.100]   think
[00:02:34.100 --> 00:02:34.320]   that
[00:02:34.320 --> 00:02:34.430]  's
[00:02:34.430 --> 00:02:34.760]   right
[00:02:34.760 --> 00:02:34.760]   I
[00:02:34.760 --> 00:02:34.930]  .
[00:02:34.930 --> 00:02:35.150]   mean
[00:02:35.150 --> 00:02:35.320]   why
[00:02:35.320 --> 00:02:35.490]   not
[00:02:35.490 --> 00:02:35.660]   let
[00:02:35.660 --> 00:02:35.770]  's
[00:02:35.770 --> 00:02:35.940]   not
[00:02:35.940 --> 00:02:36.110]   get
[00:02:36.110 --> 00:02:36.410]   the
[00:02:36.410 --> 00:02:36.560]   audio
[00:02:36.560 --> 00:02:36.730]   set
[00:02:36.730 --> 00:02:36.900]   and
[00:02:36.900 --> 00:02:37.120]   then
[00:02:37.120 --> 00:02:37.230]   we
[00:02:37.230 --> 00:02:37.400]  'll
[00:02:37.400 --> 00:02:37.680]   worry
[00:02:37.680 --> 00:02:37.960]   about
[00:02:37.960 --> 00:02:38.240]   other
[00:02:38.240 --> 00:02:38.590]   things
[00:02:38.590 --> 00:02:39.320]   so [SPEAKER_TURN]
[00:02:39.320 --> 00:02:39.470]   And
[00:02:39.470 --> 00:02:39.620]   put
[00:02:39.620 --> 00:02:39.720]   it
[00:02:39.720 --> 00:02:39.920]   this
[00:02:39.920 --> 00:02:40.070]   way
[00:02:40.070 --> 00:02:40.170]   it
[00:02:40.170 --> 00:02:40.270]  's
[00:02:40.270 --> 00:02:40.420]   not
[00:02:40.420 --> 00:02:40.620]   like
[00:02:40.620 --> 00:02:40.780]   we
[00:02:40.780 --> 00:02:40.870]   can
[00:02:40.870 --> 00:02:41.030]  't
[00:02:41.030 --> 00:02:41.120]   get
[00:02:41.120 --> 00:02:41.340]   big
[00:02:41.340 --> 00:02:41.460]   fish
[00:02:41.460 --> 00:02:41.720]   with
[00:02:41.720 --> 00:02:41.870]   with
[00:02:41.870 --> 00:02:42.100]   the
[00:02:42.100 --> 00:02:42.120]   uh
[00:02:42.120 --> 00:02:42.270]   the
[00:02:42.270 --> 00:02:42.420]   way
[00:02:42.420 --> 00:02:42.620]   that
[00:02:42.620 --> 00:02:42.730]   it
[00:02:42.730 --> 00:02:42.970]   looks
[00:02:42.970 --> 00:02:43.020]   I
[00:02:43.020 --> 00:02:43.230]  .
[00:02:43.230 --> 00:02:43.370]   mean
[00:02:43.370 --> 00:02:43.420]   I
[00:02:43.420 --> 00:02:43.870]   just
[00:02:43.870 --> 00:02:43.960]   asked
[00:02:43.960 --> 00:02:44.150]   Jason
[00:02:44.150 --> 00:02:44.320]   Call
[00:02:44.320 --> 00:02:44.490]  ick
[00:02:44.490 --> 00:02:44.520]  -
[00:02:44.520 --> 00:02:44.570]  H
[00:02:44.570 --> 00:02:44.780]  ann
[00:02:44.780 --> 00:02:44.820]  es
[00:02:44.820 --> 00:02:45.010]   and
[00:02:45.010 --> 00:02:45.070]   he
[00:02:45.070 --> 00:02:45.300]   said
[00:02:45.300 --> 00:02:45.420]   yes
[00:02:45.420 --> 00:02:46.120]  . [SPEAKER_TURN]
[00:02:46.120 --> 00:02:46.700]   Yeah
[00:02:46.700 --> 00:02:47.060]   that
[00:02:47.060 --> 00:02:47.240]   was
[00:02:47.240 --> 00:02:47.650]   good
[00:02:47.650 --> 00:02:48.060]   that
[00:02:48.060 --> 00:02:48.260]  's
[00:02:48.260 --> 00:02:48.560]   the
[00:02:48.560 --> 00:02:49.170]   second
[00:02:49.170 --> 00:02:49.780]   really
[00:02:49.780 --> 00:02:50.080]   big
[00:02:50.080 --> 00:02:50.490]   fish
[00:02:50.490 --> 00:02:50.790]   you
[00:02:50.790 --> 00:02:51.090]  've
[00:02:51.090 --> 00:02:51.190]   c
[00:02:51.190 --> 00:02:51.490]   you
[00:02:51.490 --> 00:02:51.790]  've
[00:02:51.790 --> 00:02:52.440]   landed
[00:02:52.440 --> 00:02:52.600]   or
[00:02:52.600 --> 00:02:52.900]   you
[00:02:52.900 --> 00:02:53.200]  've
[00:02:53.200 --> 00:02:53.810]   caught
[00:02:53.810 --> 00:02:54.370]   right
[00:02:54.370 --> 00:02:54.520]  ,
[00:02:54.520 --> 00:02:54.710]   So
[00:02:54.710 --> 00:02:55.020]   the
[00:02:55.020 --> 00:02:55.530]   first
[00:02:55.530 --> 00:02:55.830]   was
[00:02:55.830 --> 00:02:56.130]   was
[00:02:56.130 --> 00:02:56.740]   Mister
[00:02:56.740 --> 00:02:57.150]   John
[00:02:57.150 --> 00:02:57.440]   C
[00:02:57.440 --> 00:02:57.490]  .
[00:02:57.490 --> 00:02:57.500]   D
[00:02:57.500 --> 00:02:57.550]  vor
