
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.330]   Oh
[00:00:46.730 --> 00:00:46.900]   for
[00:00:46.900 --> 00:00:46.980]   uh
[00:00:46.980 --> 00:00:47.160]   you
[00:00:47.160 --> 00:00:47.510]   know
[00:00:47.510 --> 00:00:48.120]   getting
[00:00:48.120 --> 00:00:48.470]   used
[00:00:48.470 --> 00:00:48.720]   to
[00:00:48.720 --> 00:00:49.100]   b
[00:00:49.100 --> 00:00:49.330]   getting
[00:00:49.330 --> 00:00:49.760]   up
[00:00:49.760 --> 00:00:49.930]   early
[00:00:49.930 --> 00:00:50.270]   for
[00:00:50.270 --> 00:00:50.450]   the
[00:00:50.450 --> 00:00:50.710]   the
[00:00:50.710 --> 00:00:50.970]   new
[00:00:50.970 --> 00:00:51.880]   c [SPEAKER_TURN]
[00:00:51.880 --> 00:00:52.860]   No
[00:00:52.860 --> 00:00:54.340]  .
[00:00:54.480 --> 00:00:54.510]   The
[00:00:54.510 --> 00:00:54.600]   l
[00:00:54.600 --> 00:00:54.670]   we
[00:00:54.670 --> 00:00:54.840]  've
[00:00:54.840 --> 00:00:55.070]   been
[00:00:55.070 --> 00:00:55.470]   getting
[00:00:55.470 --> 00:00:55.590]   up
[00:00:55.590 --> 00:00:55.880]   early
[00:00:55.880 --> 00:00:56.170]   every
[00:00:56.170 --> 00:00:56.340]   day
[00:00:56.340 --> 00:00:56.450]   we
[00:00:56.450 --> 00:00:56.680]   have
[00:00:56.680 --> 00:00:57.270]   definitely
[00:00:57.270 --> 00:00:57.440]   it
[00:00:57.440 --> 00:00:57.490]   is
[00:00:57.490 --> 00:00:57.540]   I
[00:00:57.540 --> 00:00:57.650]   th
[00:00:57.650 --> 00:00:57.830]   I
[00:00:57.830 --> 00:00:57.990]   think
[00:00:57.990 --> 00:00:58.100]   we
[00:00:58.100 --> 00:00:58.260]  're
[00:00:58.260 --> 00:00:58.420]   in
[00:00:58.420 --> 00:00:59.030]   preparation
[00:00:59.030 --> 00:00:59.150]   for
[00:00:59.150 --> 00:00:59.360]   for
[00:00:59.360 --> 00:00:59.630]   a
[00:00:59.630 --> 00:00:59.650]   baby
[00:00:59.650 --> 00:00:59.820]  .
[00:00:59.820 --> 00:00:59.990]   The
[00:00:59.990 --> 00:01:00.040]   I
[00:01:00.040 --> 00:01:00.450]   guess
[00:01:00.450 --> 00:01:00.500]   the
[00:01:00.500 --> 00:01:00.870]   other
[00:01:00.870 --> 00:01:01.080]   thing
[00:01:01.080 --> 00:01:01.190]   is
[00:01:01.190 --> 00:01:01.300]   is
[00:01:01.300 --> 00:01:01.530]   that
[00:01:01.530 --> 00:01:01.640]   um
[00:01:01.640 --> 00:01:01.810]   our
[00:01:01.810 --> 00:01:01.980]   cat
[00:01:01.980 --> 00:01:02.210]   just
[00:01:02.210 --> 00:01:02.450]   for
[00:01:02.450 --> 00:01:02.850]   whatever
[00:01:02.850 --> 00:01:03.370]   reason
[00:01:03.370 --> 00:01:03.610]   has
[00:01:03.610 --> 00:01:03.780]   started
[00:01:03.780 --> 00:01:04.130]   really
[00:01:04.130 --> 00:01:04.240]   bu
[00:01:04.240 --> 00:01:04.530]  gging
[00:01:04.530 --> 00:01:04.640]   us
[00:01:04.640 --> 00:01:04.930]   early
[00:01:04.930 --> 00:01:05.040]   in
[00:01:05.040 --> 00:01:05.210]   the
[00:01:05.210 --> 00:01:05.620]   morning
[00:01:05.620 --> 00:01:05.910]   these
[00:01:05.910 --> 00:01:06.140]   days
[00:01:06.140 --> 00:01:07.260]  . [SPEAKER_TURN]
[00:01:07.260 --> 00:01:09.640]   Yeah
[00:01:09.640 --> 00:01:16.200]  . [SPEAKER_TURN]
[00:01:16.200 --> 00:01:16.410]   It
[00:01:16.410 --> 00:01:16.620]  's
[00:01:16.620 --> 00:01:17.040]   only
[00:01:17.040 --> 00:01:17.880]   what
[00:01:17.880 --> 00:01:18.020]   yeah
[00:01:18.020 --> 00:01:18.960]  , [SPEAKER_TURN]
[00:01:19.120 --> 00:01:19.190]  
[00:01:19.190 --> 00:01:19.400]   Well
[00:01:19.400 --> 00:01:19.590]   you
[00:01:19.590 --> 00:01:19.900]   know
[00:01:19.900 --> 00:01:20.130]   what
[00:01:20.130 --> 00:01:20.330]   it
[00:01:20.330 --> 00:01:20.670]   really
[00:01:20.670 --> 00:01:21.150]   depends
[00:01:21.150 --> 00:01:21.210]   I
[00:01:21.210 --> 00:01:21.410]  've
[00:01:21.410 --> 00:01:21.540]  ,
[00:01:21.540 --> 00:01:21.740]   had
[00:01:21.740 --> 00:01:22.220]   friends
[00:01:22.220 --> 00:01:22.420]   who
[00:01:22.420 --> 00:01:22.820]  've
[00:01:22.820 --> 00:01:22.870]   had
[00:01:22.870 --> 00:01:23.090]   been
[00:01:23.090 --> 00:01:23.500]   really
[00:01:23.500 --> 00:01:23.840]   lucky
[00:01:23.840 --> 00:01:24.090]   and
[00:01:24.090 --> 00:01:24.240]   and
[00:01:24.240 --> 00:01:24.510]   they
[00:01:24.510 --> 00:01:24.780]  've
[00:01:24.780 --> 00:01:25.140]   had
[00:01:25.140 --> 00:01:25.320]   babies
[00:01:25.320 --> 00:01:25.590]   that
[00:01:25.590 --> 00:01:25.850]   have
[00:01:25.850 --> 00:01:26.200]   slept
[00:01:26.200 --> 00:01:26.610]   really
[00:01:26.610 --> 00:01:26.990]   well
[00:01:26.990 --> 00:01:27.080]   for
[00:01:27.080 --> 00:01:27.280]   the
[00:01:27.280 --> 00:01:27.620]   night
[00:01:27.620 --> 00:01:27.750]  ,
[00:01:27.750 --> 00:01:28.150]   and
[00:01:28.150 --> 00:01:28.190]   you
[00:01:28.190 --> 00:01:28.280]  ,
[00:01:28.280 --> 00:01:28.570]   know
[00:01:28.570 --> 00:01:28.680]  ,
[00:01:28.680 --> 00:01:28.880]   you
[00:01:28.880 --> 00:01:29.220]   never
[00:01:29.220 --> 00:01:29.760]   know
[00:01:29.760 --> 00:01:29.900]   what
[00:01:29.900 --> 00:01:30.070]   you
[00:01:30.070 --> 00:01:30.160]  're
[00:01:30.160 --> 00:01:30.500]   gonna
[00:01:30.500 --> 00:01:30.790]   get
[00:01:30.790 --> 00:01:30.900]  .
[00:01:30.900 --> 00:01:31.030]   So
[00:01:31.030 --> 00:01:31.160]   uh
[00:01:31.160 --> 00:01:31.420]   well
[00:01:31.420 --> 00:01:31.450]   we
[00:01:31.450 --> 00:01:31.580]   got
[00:01:31.580 --> 00:01:32.030]   back
[00:01:32.030 --> 00:01:32.300]   from
[00:01:32.300 --> 00:01:32.430]   um
[00:01:32.430 --> 00:01:32.700]   uh
[00:01:32.700 --> 00:01:33.250]   Disneyland
[00:01:33.250 --> 00:01:33.690]   couple
[00:01:33.690 --> 00:01:34.050]   days
[00:01:34.050 --> 00:01:34.130]   ago
[00:01:34.130 --> 00:01:34.330]   and
[00:01:34.330 --> 00:01:34.460]  ,
[00:01:34.460 --> 00:01:34.520]   I
[00:01:34.520 --> 00:01:34.780]   just
[00:01:34.780 --> 00:01:35.060]   like
[00:01:35.060 --> 00:01:35.390]   to
[00:01:35.390 --> 00:01:35.530]   point
[00:01:35.530 --> 00:01:35.730]   out
[00:01:35.730 --> 00:01:35.790]   a
[00:01:35.790 --> 00:01:36.240]   couple
[00:01:36.240 --> 00:01:36.400]   of
[00:01:36.400 --> 00:01:36.740]   things
[00:01:36.740 --> 00:01:37.470]  .
[00:01:37.470 --> 00:01:38.070]   One
[00:01:38.070 --> 00:01:38.080]   it
[00:01:38.080 --> 00:01:38.320]   is
[00:01:38.320 --> 00:01:39.770]   unbelievable
[00:01:39.770 --> 00:01:40.130]   how
[00:01:40.130 --> 00:01:41.130]   people
[00:01:41.130 --> 00:01:41.330]   have
[00:01:41.330 --> 00:01:42.170]   adapted
[00:01:42.170 --> 00:01:42.440]   to
[00:01:42.440 --> 00:01:43.040]   these
[00:01:43.040 --> 00:01:43.500]   long
[00:01:43.500 --> 00:01:44.090]   lines
[00:01:44.090 --> 00:01:44.210]   I
[00:01:44.210 --> 00:01:44.570]  .
[00:01:44.570 --> 00:01:45.530]   remember
[00:01:45.530 --> 00:01:46.010]   when
[00:01:46.010 --> 00:01:46.130]   I
[00:01:46.130 --> 00:01:46.490]   was
[00:01:46.490 --> 00:01:46.610]   a
[00:01:46.610 --> 00:01:47.340]   kid
[00:01:47.340 --> 00:01:47.590]   going
[00:01:47.590 --> 00:01:47.810]   to
[00:01:47.810 --> 00:01:48.170]   Six
[00:01:48.170 --> 00:01:48.770]   Flags
[00:01:48.770 --> 00:01:49.120]   in
[00:01:49.120 --> 00:01:49.230]  
[00:01:49.230 --> 00:01:49.230]   Uh
[00:01:49.230 --> 00:01:49.280]  -
[00:01:49.280 --> 00:01:49.330]  h
[00:01:49.330 --> 00:01:49.440]  uh
[00:01:49.440 --> 00:01:49.640]  .
[00:01:49.640 --> 00:01:49.640]  
[00:01:49.640 --> 00:01:49.980]   And
[00:01:49.980 --> 00:01:50.380]   like
[00:01:50.380 --> 00:01:50.610]   a
[00:01:50.610 --> 00:01:50.800]   forty
[00:01:50.800 --> 00:01:51.010]   five
[00:01:51.010 --> 00:01:51.390]   minute
[00:01:51.390 --> 00:01:51.640]   line
[00:01:51.640 --> 00:01:51.830]   was
[00:01:51.830 --> 00:01:52.080]   like
[00:01:52.080 --> 00:01:52.710]   outrageous
[00:01:52.710 --> 00:01:52.830]  ,
[00:01:52.830 --> 00:01:53.080]   like
[00:01:53.080 --> 00:01:53.330]   that
[00:01:53.330 --> 00:01:53.520]   was
[00:01:53.520 --> 00:01:53.710]   the
[00:01:53.710 --> 00:01:53.970]   huge
[00:01:53.970 --> 00:01:54.230]   new
[00:01:54.230 --> 00:01:54.780]   attraction
[00:01:54.780 --> 00:01:54.970]   and
[00:01:54.970 --> 00:01:55.090]   uh
[00:01:55.090 --> 00:01:55.280]   you
[00:01:55.280 --> 00:01:55.590]   might
[00:01:55.590 --> 00:01:55.840]   have
[00:01:55.840 --> 00:01:55.960]   to
[00:01:55.960 --> 00:01:56.210]   wait
[00:01:56.210 --> 00:01:56.400]   for
[00:01:56.400 --> 00:01:56.710]   forty
[00:01:56.710 --> 00:01:56.950]   five
[00:01:56.950 --> 00:01:57.400]   minutes
[00:01:57.400 --> 00:01:57.590]   and
[00:01:57.590 --> 00:01:57.710]   it
[00:01:57.710 --> 00:01:57.900]   was
[00:01:57.900 --> 00:01:57.960]   a
[00:01:57.960 --> 00:01:58.540]   nightmare
[00:01:58.540 --> 00:01:58.650]  ,
[00:01:58.650 --> 00:01:58.970]   right
[00:01:58.970 --> 00:01:59.300]  ?
[00:02:00.380 --> 00:02:00.380]  
[00:02:00.380 --> 00:02:00.630]   Um
[00:02:00.630 --> 00:02:00.930]   we
[00:02:00.930 --> 00:02:01.450]   get
[00:02:01.450 --> 00:02:01.970]   there
[00:02:01.970 --> 00:02:02.630]   and
[00:02:02.630 --> 00:02:02.810]   we
[00:02:02.810 --> 00:02:03.030]   get
[00:02:03.030 --> 00:02:03.700]   there
[00:02:03.700 --> 00:02:04.500]   pretty
[00:02:04.500 --> 00:02:05.170]   early
[00:02:05.170 --> 00:02:05.600]   and
[00:02:05.600 --> 00:02:05.830]   it
[00:02:05.830 --> 00:02:06.520]  's
[00:02:06.520 --> 00:02:06.890]   during
[00:02:06.890 --> 00:02:07.290]   the
[00:02:07.290 --> 00:02:08.200]   weekday
[00:02:08.200 --> 00:02:08.800]   and
[00:02:08.800 --> 00:02:08.880]   so
[00:02:08.880 --> 00:02:09.140]   we
[00:02:09.140 --> 00:02:09.940]   figure
[00:02:09.940 --> 00:02:10.200]   we
[00:02:10.200 --> 00:02:10.860]  'll
[00:02:10.860 --> 00:02:10.950]   be
[00:02:10.950 --> 00:02:11.790]   alright
[00:02:11.790 --> 00:02:12.190]  .
[00:02:12.190 --> 00:02:12.450]   We
[00:02:12.450 --> 00:02:12.970]   wait
[00:02:12.970 --> 00:02:13.460]   an
[00:02:13.460 --> 00:02:13.810]   hour
[00:02:13.810 --> 00:02:14.190]   and
[00:02:14.190 --> 00:02:14.840]   forty
[00:02:14.840 --> 00:02:15.770]   minutes
[00:02:15.770 --> 00:02:16.170]   for
[00:02:16.170 --> 00:02:16.220]   the
[00:02:16.220 --> 00:02:17.270]   cars
[00:02:17.270 --> 00:02:17.770]   right
[00:02:17.770 --> 00:02:18.170]   you
[00:02:18.170 --> 00:02:18.740]   know
[00:02:18.740 --> 00:02:19.310]   the
[00:02:19.310 --> 00:02:19.500]   new
[00:02:19.500 --> 00:02:20.030]   like
[00:02:20.030 --> 00:02:20.860]   you
[00:02:20.860 --> 00:02:20.980]   know
[00:02:20.980 --> 00:02:21.360]   the
[00:02:21.360 --> 00:02:21.620]   te
[00:02:21.620 --> 00:02:22.150]   they
[00:02:22.150 --> 00:02:22.680]   know
[00:02:22.680 --> 00:02:23.080]   the
[00:02:23.080 --> 00:02:23.340]   um
[00:02:23.340 --> 00:02:24.010]   movie
[00:02:24.010 --> 00:02:24.540]   cars
[00:02:24.540 --> 00:02:25.210]   based
[00:02:25.210 --> 00:02:25.470]   on
[00:02:25.470 --> 00:02:26.000]   that
[00:02:26.000 --> 00:02:26.400]  .
[00:02:26.400 --> 00:02:26.870]   So
[00:02:26.870 --> 00:02:27.330]   after
[00:02:27.330 --> 00:02:27.860]   that
[00:02:27.860 --> 00:02:28.560]   after
[00:02:28.560 --> 00:02:28.740]   I
[00:02:28.740 --> 00:02:29.480]   told
[00:02:29.480 --> 00:02:29.480]   S
[00:02:29.480 --> 00:02:29.490]  ane
[00:02:29.490 --> 00:02:29.490]   I
[00:02:29.490 --> 00:02:29.510]   said
[00:02:29.510 --> 00:02:29.510]   that
[00:02:29.510 --> 00:02:29.510]  's
[00:02:29.510 --> 00:02:29.510]   I
[00:02:29.510 --> 00:02:29.510]  'd
[00:02:29.510 --> 00:02:29.510]   I
[00:02:29.510 --> 00:02:29.510]  'm
[00:02:29.510 --> 00:02:29.520]   not
[00:02:29.520 --> 00:02:29.540]   doing
[00:02:29.540 --> 00:02:29.550]   any
[00:02:29.550 --> 00:02:29.560]   more
[00:02:29.560 --> 00:02:29.560]   r
[00:02:29.560 --> 00:02:29.580]   rides
[00:02:29.580 --> 00:02:29.590]   this
[00:02:29.590 --> 00:02:29.600]   long
[00:02:29.600 --> 00:02:29.610]  .
[00:02:29.610 --> 00:02:29.610]   I
[00:02:29.610 --> 00:02:29.620]   mean
[00:02:29.620 --> 00:02:29.620]   we
[00:02:29.620 --> 00:02:29.640]   gotta
[00:02:29.640 --> 00:02:29.670]   figure
[00:02:29.670 --> 00:02:29.670]   out
[00:02:29.670 --> 00:02:29.690]   a
[00:02:29.690 --> 00:02:29.700]   different
[00:02:29.700 --> 00:02:29.720]   thing
[00:02:29.720 --> 00:02:29.720]   '
[00:02:29.720 --> 00:02:29.740]  cause
[00:02:29.740 --> 00:02:29.750]   this
[00:02:29.750 --> 00:02:29.750]   is
[00:02:29.750 --> 00:02:29.750]   a
[00:02:29.750 --> 00:02:29.780]   nightmare
[00:02:29.780 --> 00:02:29.790]  .
[00:02:29.790 --> 00:02:29.800]   And
[00:02:29.800 --> 00:02:29.800]   '
[00:02:29.800 --> 00:02:29.830]  cause
[00:02:29.830 --> 00:02:29.840]   you
[00:02:29.840 --> 00:02:29.850]   know
[00:02:29.850 --> 00:02:29.860]   what
[00:02:29.860 --> 00:02:29.870]   you
[00:02:29.870 --> 00:02:29.870]   can
[00:02:29.870 --> 00:02:29.870]   do
[00:02:29.870 --> 00:02:29.870]   is
[00:02:29.870 --> 00:02:29.880]   if
[00:02:29.880 --> 00:02:29.880]   you
[00:02:29.880 --> 00:02:29.880]   I
[00:02:29.880 --> 00:02:29.880]  'm
[00:02:29.880 --> 00:02:29.890]   not
[00:02:29.890 --> 00:02:29.910]   exactly
[00:02:29.910 --> 00:02:29.920]   sure
[00:02:29.920 --> 00:02:29.930]   what
[00:02:29.930 --> 00:02:29.940]   the
[00:02:29.940 --> 00:02:29.950]   the
[00:02:29.950 --> 00:02:29.960]   the
[00:02:29.960 --> 00:02:29.960]   m
[00:02:29.960 --> 00:02:29.970]   the
[00:02:29.970 --> 00:02:30.000]   mechanics
[00:02:30.000 --> 00:02:30.010]   are
[00:02:30.010 --> 00:02:30.030]   exactly
[00:02:30.030 --> 00:02:30.030]  ,
[00:02:30.030 --> 00:02:30.040]   but
[00:02:30.040 --> 00:02:30.050]   you
[00:02:30.050 --> 00:02:30.380]   can
[00:02:30.380 --> 00:02:30.380]  
[00:02:30.380 --> 00:02:30.640]   fast
[00:02:30.640 --> 00:02:30.960]   pass
[00:02:30.960 --> 00:02:31.100]   for
[00:02:31.100 --> 00:02:31.160]   a
[00:02:31.160 --> 00:02:31.420]   ride
[00:02:31.420 --> 00:02:31.880]   one
[00:02:31.880 --> 00:02:31.970]   ride
[00:02:31.970 --> 00:02:32.010]   at
[00:02:32.010 --> 00:02:32.070]   a
[00:02:32.070 --> 00:02:32.330]   time
[00:02:32.330 --> 00:02:32.390]   I
[00:02:32.390 --> 00:02:32.590]  .
[00:02:32.590 --> 00:02:32.790]   don
[00:02:32.790 --> 00:02:32.930]  't
[00:02:32.930 --> 00:02:33.180]   know
[00:02:33.180 --> 00:02:33.310]   if
[00:02:33.310 --> 00:02:33.440]   it
[00:02:33.440 --> 00:02:33.570]  's
[00:02:33.570 --> 00:02:33.830]   once
[00:02:33.830 --> 00:02:33.890]   a
[00:02:33.890 --> 00:02:34.100]   day
[00:02:34.100 --> 00:02:34.220]  ,
[00:02:34.220 --> 00:02:34.350]   or
[00:02:34.350 --> 00:02:34.710]   twice
[00:02:34.710 --> 00:02:34.740]   a
[00:02:34.740 --> 00:02:34.970]   day
[00:02:34.970 --> 00:02:35.140]   but
[00:02:35.140 --> 00:02:35.300]  ,
[00:02:35.300 --> 00:02:35.730]   then
[00:02:35.730 --> 00:02:35.730]   you
[00:02:35.730 --> 00:02:35.930]   can
[00:02:35.930 --> 00:02:36.060]   go
[00:02:36.060 --> 00:02:36.270]   on
[00:02:36.270 --> 00:02:36.390]   the
[00:02:36.390 --> 00:02:36.740]   short
[00:02:36.740 --> 00:02:36.980]   line
[00:02:36.980 --> 00:02:37.310]   which
[00:02:37.310 --> 00:02:37.440]  ,
[00:02:37.440 --> 00:02:37.770]   might
[00:02:37.770 --> 00:02:37.900]   be
[00:02:37.900 --> 00:02:38.360]   fifteen
[00:02:38.360 --> 00:02:38.490]  ,
[00:02:38.490 --> 00:02:38.910]   twenty
[00:02:38.910 --> 00:02:39.350]   minutes
[00:02:39.350 --> 00:02:39.460]   as
[00:02:39.460 --> 00:02:39.590]   opposed
[00:02:39.590 --> 00:02:40.070]   to
[00:02:40.070 --> 00:02:40.400]   an
[00:02:40.400 --> 00:02:40.460]   hour
[00:02:40.460 --> 00:02:40.680]   and
[00:02:40.680 --> 00:02:40.710]   a
[00:02:40.710 --> 00:02:40.990]   half
[00:02:40.990 --> 00:02:41.310]   right
[00:02:41.310 --> 00:02:41.440]  ,
[00:02:41.440 --> 00:02:41.570]   So
[00:02:41.570 --> 00:02:41.770]   you
[00:02:41.770 --> 00:02:42.370]   obviously
[00:02:42.370 --> 00:02:42.780]   wanna
