
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:05.390]   â™
[00:00:43.760 --> 00:00:43.850]   on
[00:00:43.850 --> 00:00:44.000]   the
[00:00:44.000 --> 00:00:44.310]   bottom
[00:00:44.310 --> 00:00:44.520]   that
[00:00:44.520 --> 00:00:44.570]   I
[00:00:44.570 --> 00:00:44.720]   was
[00:00:44.720 --> 00:00:45.090]   looking
[00:00:45.090 --> 00:00:45.240]   for
[00:00:45.240 --> 00:00:45.610]   someone
[00:00:45.610 --> 00:00:45.700]   to
[00:00:45.700 --> 00:00:45.920]   help
[00:00:45.920 --> 00:00:46.230]   me
[00:00:46.230 --> 00:00:46.310]   make
[00:00:46.310 --> 00:00:46.380]   the
[00:00:46.380 --> 00:00:46.430]   A
[00:00:46.430 --> 00:00:46.480]  _
[00:00:46.480 --> 00:00:46.560]  I
[00:00:46.560 --> 00:00:46.580]  _
[00:00:46.580 --> 00:00:46.760]   and
[00:00:46.760 --> 00:00:47.050]   posted
[00:00:47.050 --> 00:00:47.250]   that
[00:00:47.250 --> 00:00:47.350]   on
[00:00:47.350 --> 00:00:47.920]   Twitter
[00:00:47.920 --> 00:00:48.190]   Sebastian
[00:00:48.190 --> 00:00:48.290]  ,
[00:00:48.290 --> 00:00:48.440]   was
[00:00:48.440 --> 00:00:48.590]   one
[00:00:48.590 --> 00:00:48.690]   of
[00:00:48.690 --> 00:00:48.820]   my
[00:00:48.820 --> 00:00:49.260]   followers
[00:00:49.260 --> 00:00:49.410]   and
[00:00:49.410 --> 00:00:49.560]   got
[00:00:49.560 --> 00:00:49.660]   in
[00:00:49.660 --> 00:00:50.030]   contact
[00:00:50.030 --> 00:00:50.240]   with
[00:00:50.240 --> 00:00:50.700]   me
[00:00:50.700 --> 00:00:50.720]  .
[00:00:50.720 --> 00:00:50.820]   And
[00:00:50.820 --> 00:00:50.820]  
[00:00:50.820 --> 00:00:50.970]   that
[00:00:50.970 --> 00:00:51.040]  's
[00:00:51.040 --> 00:00:51.270]   really
[00:00:51.270 --> 00:00:51.380]   how
[00:00:51.380 --> 00:00:51.450]   we
[00:00:51.450 --> 00:00:51.550]   met
[00:00:51.550 --> 00:00:51.740]  .
[00:00:51.740 --> 00:00:51.850]   So
[00:00:51.850 --> 00:00:52.020]   hey
[00:00:52.020 --> 00:00:52.200]   Sebastian
[00:00:52.200 --> 00:00:52.270]  ,
[00:00:52.270 --> 00:00:52.490]   thanks
[00:00:52.490 --> 00:00:52.530]   a
[00:00:52.530 --> 00:00:52.640]   lot
[00:00:52.640 --> 00:00:52.750]   for
[00:00:52.750 --> 00:00:53.030]   joining
[00:00:53.030 --> 00:00:53.090]   us
[00:00:53.090 --> 00:00:53.160]   on
[00:00:53.160 --> 00:00:53.270]   the
[00:00:53.270 --> 00:00:53.420]   show
[00:00:53.420 --> 00:00:54.020]  . [SPEAKER_TURN]
[00:00:54.020 --> 00:00:54.270]   Oh
[00:00:54.270 --> 00:00:54.330]   you
[00:00:54.330 --> 00:00:54.420]  're
[00:00:54.420 --> 00:00:54.780]   welcome
[00:00:54.780 --> 00:00:55.090]   Justin
[00:00:55.090 --> 00:00:55.240]  .
[00:00:55.240 --> 00:00:55.650]   Yeah
[00:00:55.650 --> 00:00:55.800]   well
[00:00:55.800 --> 00:00:55.860]   that
[00:00:55.860 --> 00:00:56.010]   was
[00:00:56.010 --> 00:00:56.060]   a
[00:00:56.060 --> 00:00:56.260]   good
[00:00:56.260 --> 00:00:56.460]   that
[00:00:56.460 --> 00:00:56.620]   was
[00:00:56.620 --> 00:00:56.660]   a
[00:00:56.660 --> 00:00:56.860]   good
[00:00:56.860 --> 00:00:57.060]   that
[00:00:57.060 --> 00:00:57.210]   was
[00:00:57.210 --> 00:00:57.260]   a
[00:00:57.260 --> 00:00:57.310]   g
[00:00:57.310 --> 00:00:57.410]   uh
[00:00:57.410 --> 00:00:57.690]   much
[00:00:57.690 --> 00:00:57.920]   better
[00:00:57.920 --> 00:00:58.170]   intro
[00:00:58.170 --> 00:00:58.400]   than
[00:00:58.400 --> 00:00:58.630]   last
[00:00:58.630 --> 00:00:58.770]   week
[00:00:58.770 --> 00:00:58.820]   '
[00:00:58.820 --> 00:00:59.070]  cause
[00:00:59.070 --> 00:00:59.120]   I
[00:00:59.120 --> 00:00:59.270]   don
[00:00:59.270 --> 00:00:59.370]  't
[00:00:59.370 --> 00:00:59.630]   think
[00:00:59.630 --> 00:00:59.720]   we
[00:00:59.720 --> 00:00:59.940]   even
[00:00:59.940 --> 00:01:00.070]   did
[00:01:00.070 --> 00:01:00.170]   an
[00:01:00.170 --> 00:01:00.420]   intro
[00:01:00.420 --> 00:01:00.570]   for
[00:01:00.570 --> 00:01:00.600]   D
[00:01:00.600 --> 00:01:00.760]  vor
[00:01:00.760 --> 00:01:01.010]  ak
[00:01:01.010 --> 00:01:01.020]   and
[00:01:01.020 --> 00:01:01.270]   there
[00:01:01.270 --> 00:01:01.370]  's
[00:01:01.370 --> 00:01:01.730]   several
[00:01:01.730 --> 00:01:02.040]   people
[00:01:02.040 --> 00:01:02.500]   commented
[00:01:02.500 --> 00:01:02.740]   like
[00:01:02.740 --> 00:01:02.850]   who
[00:01:02.850 --> 00:01:02.950]   we
[00:01:02.950 --> 00:01:03.000]   I
[00:01:03.000 --> 00:01:03.200]   didn
[00:01:03.200 --> 00:01:03.300]  't
[00:01:03.300 --> 00:01:03.500]   know
[00:01:03.500 --> 00:01:03.650]   who
[00:01:03.650 --> 00:01:03.850]   that
[00:01:03.850 --> 00:01:04.000]   guy
[00:01:04.000 --> 00:01:04.150]   was
[00:01:04.150 --> 00:01:05.000]  . [SPEAKER_TURN]
[00:01:05.000 --> 00:01:05.150]   How
[00:01:05.150 --> 00:01:05.460]   could
[00:01:05.460 --> 00:01:05.460]   n
[00:01:05.460 --> 00:01:05.610]   how
[00:01:05.610 --> 00:01:05.870]   could
[00:01:05.870 --> 00:01:06.220]   people
[00:01:06.220 --> 00:01:06.410]   not
[00:01:06.410 --> 00:01:06.580]   know
[00:01:06.580 --> 00:01:06.690]   who
[00:01:06.690 --> 00:01:06.910]   John
[00:01:06.910 --> 00:01:06.950]   D
[00:01:06.950 --> 00:01:07.100]  vor
[00:01:07.100 --> 00:01:07.200]  ak
[00:01:07.200 --> 00:01:07.350]   was
[00:01:07.350 --> 00:01:07.500]  ?
[00:01:07.500 --> 00:01:07.550]   I
[00:01:07.550 --> 00:01:07.760]   mean
[00:01:07.760 --> 00:01:07.890]   he
[00:01:07.890 --> 00:01:07.960]  's
[00:01:07.960 --> 00:01:08.170]   like
[00:01:08.170 --> 00:01:08.270]   he
[00:01:08.270 --> 00:01:08.370]  's
[00:01:08.370 --> 00:01:08.580]   like
[00:01:08.580 --> 00:01:08.680]   he
[00:01:08.680 --> 00:01:08.780]  's
[00:01:08.780 --> 00:01:08.880]   he
[00:01:08.880 --> 00:01:08.980]  's
[00:01:08.980 --> 00:01:09.190]   tech
[00:01:09.190 --> 00:01:09.550]   royalty
[00:01:09.550 --> 00:01:10.320]  . [SPEAKER_TURN]
[00:01:10.440 --> 00:01:10.440]  
[00:01:10.440 --> 00:01:10.740]   You
[00:01:10.740 --> 00:01:10.850]  'd
[00:01:10.850 --> 00:01:11.060]   think
[00:01:11.060 --> 00:01:11.170]   so
[00:01:11.170 --> 00:01:11.350]   but
[00:01:11.350 --> 00:01:11.470]   uh
[00:01:11.470 --> 00:01:11.650]   you
[00:01:11.650 --> 00:01:11.890]   know
[00:01:11.890 --> 00:01:12.010]   it
[00:01:12.010 --> 00:01:12.130]  's
[00:01:12.130 --> 00:01:12.290]   it
[00:01:12.290 --> 00:01:12.370]  's
[00:01:12.370 --> 00:01:12.680]   funny
[00:01:12.680 --> 00:01:12.740]   I
[00:01:12.740 --> 00:01:12.980]   mean
[00:01:12.980 --> 00:01:13.290]   there
[00:01:13.290 --> 00:01:13.410]  's
[00:01:13.410 --> 00:01:13.820]   always
[00:01:13.820 --> 00:01:14.150]   things
[00:01:14.150 --> 00:01:14.390]   that
[00:01:14.390 --> 00:01:14.630]   slip
[00:01:14.630 --> 00:01:15.000]   behind
[00:01:15.000 --> 00:01:15.370]   people
[00:01:15.370 --> 00:01:15.610]   just
[00:01:15.610 --> 00:01:15.920]   focus
[00:01:15.920 --> 00:01:16.040]   on
[00:01:16.040 --> 00:01:16.750]   different
[00:01:16.750 --> 00:01:16.910]   stuff
[00:01:16.910 --> 00:01:17.090]   and
[00:01:17.090 --> 00:01:17.240]   uh
[00:01:17.240 --> 00:01:17.390]   you
[00:01:17.390 --> 00:01:17.630]   know
[00:01:17.630 --> 00:01:17.710]   B
[00:01:17.710 --> 00:01:17.870]  ams
[00:01:17.870 --> 00:01:18.050]   was
[00:01:18.050 --> 00:01:18.230]   the
[00:01:18.230 --> 00:01:18.460]   one
[00:01:18.460 --> 00:01:18.590]   who
[00:01:18.590 --> 00:01:18.900]   first
[00:01:18.900 --> 00:01:19.020]   uh
[00:01:19.020 --> 00:01:19.080]   I
[00:01:19.080 --> 00:01:19.390]   think
[00:01:19.390 --> 00:01:19.950]   commented
[00:01:19.950 --> 00:01:20.190]   that
[00:01:20.190 --> 00:01:20.410]   and
[00:01:20.410 --> 00:01:20.490]   he
[00:01:20.490 --> 00:01:20.610]  's
[00:01:20.610 --> 00:01:21.100]   clearly
[00:01:21.100 --> 00:01:21.100]   a
[00:01:21.100 --> 00:01:21.160]   b
[00:01:21.160 --> 00:01:21.220]   a
[00:01:21.220 --> 00:01:21.590]   bright
[00:01:21.590 --> 00:01:21.770]   guy
[00:01:21.770 --> 00:01:21.950]   and
[00:01:21.950 --> 00:01:22.260]   knows
[00:01:22.260 --> 00:01:22.320]   a
[00:01:22.320 --> 00:01:22.490]   lot
[00:01:22.490 --> 00:01:22.810]   about
[00:01:22.810 --> 00:01:23.150]   tech
[00:01:23.150 --> 00:01:23.230]   but
[00:01:23.230 --> 00:01:23.290]   I
[00:01:23.290 --> 00:01:23.470]   don
[00:01:23.470 --> 00:01:23.590]  't
[00:01:23.590 --> 00:01:23.840]   know
[00:01:23.840 --> 00:01:23.940]   it
[00:01:23.940 --> 00:01:24.070]  's
[00:01:24.070 --> 00:01:24.310]   just
[00:01:24.310 --> 00:01:25.300]   uh [SPEAKER_TURN]
[00:01:25.300 --> 00:01:26.990]   Okay
[00:01:26.990 --> 00:01:28.680]   cool
[00:01:28.680 --> 00:01:32.920]  , [SPEAKER_TURN]
[00:01:32.920 --> 00:01:32.920]  
[00:01:32.920 --> 00:01:33.050]   uh
[00:01:33.050 --> 00:01:33.110]   g
[00:01:33.110 --> 00:01:33.170]   I
[00:01:33.170 --> 00:01:33.490]   wanna
[00:01:33.490 --> 00:01:33.750]   just
[00:01:33.750 --> 00:01:33.940]   say
[00:01:33.940 --> 00:01:34.130]   one
[00:01:34.130 --> 00:01:34.450]   thing
[00:01:34.450 --> 00:01:34.580]   um
[00:01:34.580 --> 00:01:35.070]   before
[00:01:35.070 --> 00:01:35.420]   before
[00:01:35.420 --> 00:01:35.550]   get
[00:01:35.550 --> 00:01:35.810]   into
[00:01:35.810 --> 00:01:35.990]   it
[00:01:35.990 --> 00:01:36.070]   uh
[00:01:36.070 --> 00:01:36.650]   Sebastian
[00:01:36.650 --> 00:01:36.780]   it
[00:01:36.780 --> 00:01:36.980]  's
[00:01:36.980 --> 00:01:37.230]   funny
[00:01:37.230 --> 00:01:37.350]   uh
[00:01:37.350 --> 00:01:37.420]   y
[00:01:37.420 --> 00:01:37.600]   you
[00:01:37.600 --> 00:01:37.910]   know
[00:01:37.910 --> 00:01:37.930]   I
[00:01:37.930 --> 00:01:38.120]   had
[00:01:38.120 --> 00:01:38.380]   been
[00:01:38.380 --> 00:01:38.520]   uh
[00:01:38.520 --> 00:01:38.570]   w
[00:01:38.570 --> 00:01:38.830]   when
[00:01:38.830 --> 00:01:39.220]   Justin
[00:01:39.220 --> 00:01:39.540]   first
[00:01:39.540 --> 00:01:39.860]   told
[00:01:39.860 --> 00:01:39.930]   me
[00:01:39.930 --> 00:01:40.400]   about
[00:01:40.400 --> 00:01:40.440]   the
[00:01:40.440 --> 00:01:40.730]   idea
[00:01:40.730 --> 00:01:40.830]   of
[00:01:40.830 --> 00:01:41.210]   Swarm
[00:01:41.210 --> 00:01:41.340]   and
[00:01:41.340 --> 00:01:41.470]   it
[00:01:41.470 --> 00:01:41.660]   was
[00:01:41.660 --> 00:01:41.920]   that
[00:01:41.920 --> 00:01:42.300]   about
[00:01:42.300 --> 00:01:42.310]   a
[00:01:42.310 --> 00:01:42.570]   year
[00:01:42.570 --> 00:01:42.750]   ago
[00:01:42.750 --> 00:01:42.880]   he
[00:01:42.880 --> 00:01:43.070]   had
[00:01:43.070 --> 00:01:43.460]   worked
[00:01:43.460 --> 00:01:43.760]   on
[00:01:43.760 --> 00:01:43.850]   this
[00:01:43.850 --> 00:01:44.160]   game
[00:01:44.160 --> 00:01:44.170]   I
[00:01:44.170 --> 00:01:44.490]   guess
[00:01:44.490 --> 00:01:44.790]   how
[00:01:44.790 --> 00:01:44.940]   many
[00:01:44.940 --> 00:01:45.260]   years
[00:01:45.260 --> 00:01:45.450]   ago
[00:01:45.450 --> 00:01:45.770]   would
[00:01:45.770 --> 00:01:45.960]   you
[00:01:45.960 --> 00:01:46.100]   do
[00:01:46.100 --> 00:01:46.400]   first
[00:01:46.400 --> 00:01:46.600]   was
[00:01:46.600 --> 00:01:46.990]   it
[00:01:46.990 --> 00:01:47.020]   when
[00:01:47.020 --> 00:01:47.180]   you
[00:01:47.180 --> 00:01:47.610]   first
[00:01:47.610 --> 00:01:47.950]   created
[00:01:47.950 --> 00:01:48.140]   the
[00:01:48.140 --> 00:01:48.610]   concept
[00:01:48.610 --> 00:01:48.790]  ?
[00:01:48.790 --> 00:01:48.970]   Yes
[00:01:48.970 --> 00:01:49.420]  . [SPEAKER_TURN]
[00:01:51.500 --> 00:01:49.640]   Yeah
[00:01:49.640 --> 00:01:49.800]   and
[00:01:49.800 --> 00:01:49.910]   so
[00:01:49.910 --> 00:01:50.130]   then
[00:01:50.130 --> 00:01:50.170]   I
[00:01:50.170 --> 00:01:50.220]   g
[00:01:50.220 --> 00:01:50.280]   I
[00:01:50.280 --> 00:01:50.330]   w
[00:01:50.330 --> 00:01:50.710]   not
[00:01:50.710 --> 00:01:50.710]   long
[00:01:50.710 --> 00:01:50.980]   after
[00:01:50.980 --> 00:01:51.090]   we
[00:01:51.090 --> 00:01:51.360]   met
[00:01:51.360 --> 00:01:51.460]  ,
[00:01:51.460 --> 00:01:51.520]   and
[00:01:51.520 --> 00:01:51.790]   right
[00:01:51.790 --> 00:01:52.120]   around
[00:01:52.120 --> 00:01:52.290]   the
[00:01:52.290 --> 00:01:52.500]   time
[00:01:52.500 --> 00:01:52.610]   we
[00:01:52.610 --> 00:01:52.990]   started
[00:01:52.990 --> 00:01:53.270]   doing
[00:01:53.270 --> 00:01:53.420]   the
[00:01:53.420 --> 00:01:53.800]   podcast
[00:01:53.800 --> 00:01:53.910]  ,
[00:01:53.910 --> 00:01:54.020]   he
[00:01:54.020 --> 00:01:54.240]   said
[00:01:54.240 --> 00:01:54.400]   hey
[00:01:54.400 --> 00:01:54.560]   let
[00:01:54.560 --> 00:01:54.670]   me
[00:01:54.670 --> 00:01:54.890]   show
[00:01:54.890 --> 00:01:55.050]   you
[00:01:55.050 --> 00:01:55.540]   something
[00:01:55.540 --> 00:01:55.730]   and
[00:01:55.730 --> 00:01:55.810]   he
[00:01:55.810 --> 00:01:55.860]   d
[00:01:55.860 --> 00:01:55.970]   he
[00:01:55.970 --> 00:01:56.130]   had
[00:01:56.130 --> 00:01:56.240]  ,
[00:01:56.240 --> 00:01:56.290]   I
[00:01:56.290 --> 00:01:56.450]   don
[00:01:56.450 --> 00:01:56.560]  't
[00:01:56.560 --> 00:01:56.780]   know
[00:01:56.780 --> 00:01:56.890]  ,
[00:01:56.890 --> 00:01:56.970]   I
[00:01:56.970 --> 00:01:57.210]   think
[00:01:57.210 --> 00:01:57.320]   it
[00:01:57.320 --> 00:01:57.540]   was
[00:01:57.540 --> 00:01:57.700]   like
[00:01:57.700 --> 00:01:57.750]   a
[00:01:57.750 --> 00:01:58.030]   Flash
[00:01:58.030 --> 00:01:58.120]  -
[00:01:58.120 --> 00:01:58.340]  based
[00:01:58.340 --> 00:01:58.670]   little
[00:01:58.670 --> 00:01:58.720]   v
[00:01:58.720 --> 00:01:58.930]   uh
[00:01:58.930 --> 00:01:59.280]   version
[00:01:59.280 --> 00:01:59.320]   of
[00:01:59.320 --> 00:01:59.480]   the
[00:01:59.480 --> 00:01:59.700]   game
[00:01:59.700 --> 00:01:59.860]   And
[00:01:59.860 --> 00:02:00.010]  .
[00:02:00.010 --> 00:02:00.140]   I
[00:02:00.140 --> 00:02:00.230]   was
[00:02:00.230 --> 00:02:00.450]   like
[00:02:00.450 --> 00:02:00.670]   well
[00:02:00.670 --> 00:02:00.830]   you
[00:02:00.830 --> 00:02:01.160]   really
[00:02:01.160 --> 00:02:01.380]   need
[00:02:01.380 --> 00:02:01.430]   A
[00:02:01.430 --> 00:02:01.480]  _
[00:02:01.480 --> 00:02:01.530]  I
[00:02:01.530 --> 00:02:01.700]  _
[00:02:01.700 --> 00:02:01.740]   for
[00:02:01.740 --> 00:02:01.960]   this
[00:02:01.960 --> 00:02:02.070]  ,
[00:02:02.070 --> 00:02:02.240]   and
[00:02:02.240 --> 00:02:02.340]   he
[00:02:02.340 --> 00:02:02.450]  's
[00:02:02.450 --> 00:02:02.670]   like
[00:02:02.670 --> 00:02:02.780]   ah
[00:02:02.780 --> 00:02:02.940]   you
[00:02:02.940 --> 00:02:03.050]  ,
[00:02:03.050 --> 00:02:03.270]   know
[00:02:03.270 --> 00:02:03.380]  ,
[00:02:03.380 --> 00:02:03.430]   I
[00:02:03.430 --> 00:02:03.590]   don
[00:02:03.590 --> 00:02:03.700]  't
[00:02:03.700 --> 00:02:04.030]   really
[00:02:04.030 --> 00:02:04.250]   know
[00:02:04.250 --> 00:02:04.410]   how
[00:02:04.410 --> 00:02:04.520]   to
[00:02:04.520 --> 00:02:04.630]   do
[00:02:04.630 --> 00:02:04.850]   that
[00:02:04.850 --> 00:02:05.010]   and
[00:02:05.010 --> 00:02:05.120]  ,
[00:02:05.120 --> 00:02:05.170]   I
[00:02:05.170 --> 00:02:05.440]   think
[00:02:05.440 --> 00:02:05.550]   it
[00:02:05.550 --> 00:02:05.660]  'd
[00:02:05.660 --> 00:02:05.850]   be
[00:02:05.850 --> 00:02:06.320]   impossible
[00:02:06.320 --> 00:02:06.650]   anyway
[00:02:06.650 --> 00:02:06.810]   and
[00:02:06.810 --> 00:02:06.860]   I
[00:02:06.860 --> 00:02:07.080]   said
[00:02:07.080 --> 00:02:07.300]   well
[00:02:07.300 --> 00:02:07.410]  ,
[00:02:07.410 --> 00:02:07.460]   I
[00:02:07.460 --> 00:02:07.570]  'm
[00:02:07.570 --> 00:02:07.730]   you
[00:02:07.730 --> 00:02:07.950]   know
[00:02:07.950 --> 00:02:08.060]  ,
[00:02:08.060 --> 00:02:08.110]   I
[00:02:08.110 --> 00:02:08.330]   just
[00:02:08.330 --> 00:02:08.380]   I
[00:02:08.380 --> 00:02:08.540]   don
[00:02:08.540 --> 00:02:08.650]  't
[00:02:08.650 --> 00:02:08.810]   see
[00:02:08.810 --> 00:02:08.970]   how
[00:02:08.970 --> 00:02:09.080]   it
[00:02:09.080 --> 00:02:09.190]  's
[00:02:09.190 --> 00:02:09.460]   gonna
[00:02:09.460 --> 00:02:09.680]   grow
[00:02:09.680 --> 00:02:09.790]   in
[00:02:09.790 --> 00:02:10.010]   much
[00:02:10.010 --> 00:02:10.490]   traction
[00:02:10.490 --> 00:02:10.780]   unless
[00:02:10.780 --> 00:02:10.940]   you
[00:02:10.940 --> 00:02:11.160]   give
[00:02:11.160 --> 00:02:11.540]   people
[00:02:11.540 --> 00:02:11.650]   the
[00:02:11.650 --> 00:02:12.250]   opportunity
[00:02:12.250 --> 00:02:12.360]   to
[00:02:12.360 --> 00:02:12.580]   play
[00:02:12.580 --> 00:02:12.960]   against
[00:02:12.960 --> 00:02:13.120]   the
[00:02:13.120 --> 00:02:13.550]   computer
[00:02:13.550 --> 00:02:13.770]   um
[00:02:13.770 --> 00:02:14.000]   before
[00:02:14.000 --> 00:02:14.220]   they
[00:02:14.220 --> 00:02:14.270]   s
[00:02:14.270 --> 00:02:14.430]   you
[00:02:14.430 --> 00:02:14.730]   know
[00:02:14.730 --> 00:02:14.870]   that
[00:02:14.870 --> 00:02:14.980]  's
[00:02:14.980 --> 00:02:15.200]   just
[00:02:15.200 --> 00:02:15.420]   what
[00:02:15.420 --> 00:02:15.640]   they
[00:02:15.640 --> 00:02:15.800]  're
[00:02:15.800 --> 00:02:16.070]   gonna
[00:02:16.070 --> 00:02:16.340]   wanna
[00:02:16.340 --> 00:02:16.450]   do
[00:02:16.450 --> 00:02:16.780]   before
[00:02:16.780 --> 00:02:17.030]   they
[00:02:17.030 --> 00:02:17.160]   try
[00:02:17.160 --> 00:02:17.320]   and
[00:02:17.320 --> 00:02:17.540]   pull
[00:02:17.540 --> 00:02:17.810]   their
[00:02:17.810 --> 00:02:17.830]   friends
[00:02:17.830 --> 00:02:18.520]   into
[00:02:18.520 --> 00:02:18.550]   it
[00:02:18.550 --> 00:02:18.850]   Anyway
[00:02:18.850 --> 00:02:19.010]  .
[00:02:19.010 --> 00:02:19.210]   and
[00:02:19.210 --> 00:02:19.270]   so
[00:02:19.270 --> 00:02:19.330]   I
[00:02:19.330 --> 00:02:19.460]   I
[00:02:19.460 --> 00:02:19.540]   got
[00:02:19.540 --> 00:02:20.460]   kind
[00:02:20.460 --> 00:02:20.460]  
[00:02:20.460 --> 00:02:20.560]   of
[00:02:20.560 --> 00:02:20.920]   excited
[00:02:20.920 --> 00:02:21.170]   about
[00:02:21.170 --> 00:02:21.330]   the
[00:02:21.330 --> 00:02:21.520]   idea
[00:02:21.520 --> 00:02:22.010]   initially
[00:02:22.010 --> 00:02:22.030]   I
[00:02:22.030 --> 00:02:22.130]  ,
[00:02:22.130 --> 00:02:22.530]   said
[00:02:22.530 --> 00:02:22.680]   well
[00:02:22.680 --> 00:02:22.690]   you
[00:02:22.690 --> 00:02:22.780]  ,
[00:02:22.780 --> 00:02:22.980]   know
[00:02:22.980 --> 00:02:23.080]  ,
[00:02:23.080 --> 00:02:23.130]   I
[00:02:23.130 --> 00:02:23.280]  'll
[00:02:23.280 --> 00:02:23.560]   build
[00:02:23.560 --> 00:02:23.680]   the
[00:02:23.680 --> 00:02:23.730]   A
[00:02:23.730 --> 00:02:23.790]  _
[00:02:23.790 --> 00:02:23.830]  I
[00:02:23.830 --> 00:02:23.880]  _
