
[00:00:00.000 --> 00:00:00.010]  
[00:00:00.010 --> 00:00:00.540]   '
[00:00:39.580 --> 00:00:39.640]  in
[00:00:39.640 --> 00:00:39.740]  ero
[00:00:39.740 --> 00:00:39.850]   dot
[00:00:39.850 --> 00:00:39.970]   com
[00:00:39.970 --> 00:00:40.070]   okay
[00:00:40.070 --> 00:00:40.460]  . [SPEAKER_TURN]
[00:00:41.000 --> 00:00:41.040]  
[00:00:41.040 --> 00:00:41.140]   So
[00:00:41.140 --> 00:00:41.660]   Jessica
[00:00:41.660 --> 00:00:41.730]   I
[00:00:41.730 --> 00:00:42.100]   first
[00:00:42.100 --> 00:00:42.390]   came
[00:00:42.390 --> 00:00:42.830]   across
[00:00:42.830 --> 00:00:42.970]   uh
[00:00:42.970 --> 00:00:43.260]   your
[00:00:43.260 --> 00:00:43.330]   b
[00:00:43.330 --> 00:00:43.620]   your
[00:00:43.620 --> 00:00:43.900]   blog
[00:00:43.900 --> 00:00:44.080]   I
[00:00:44.080 --> 00:00:44.350]   think
[00:00:44.350 --> 00:00:44.490]   it
[00:00:44.490 --> 00:00:44.730]   was
[00:00:44.730 --> 00:00:45.300]   probably
[00:00:45.300 --> 00:00:45.440]   on
[00:00:45.440 --> 00:00:45.880]   Hacker
[00:00:45.880 --> 00:00:46.170]   News
[00:00:46.170 --> 00:00:46.310]   as
[00:00:46.310 --> 00:00:46.530]   which
[00:00:46.530 --> 00:00:46.940]   is
[00:00:46.940 --> 00:00:47.260]   pretty
[00:00:47.260 --> 00:00:47.580]   much
[00:00:47.580 --> 00:00:47.770]   how
[00:00:47.770 --> 00:00:47.840]   I
[00:00:47.840 --> 00:00:48.130]   come
[00:00:48.130 --> 00:00:48.570]   across
[00:00:48.570 --> 00:00:49.310]   everything
[00:00:49.310 --> 00:00:49.720]   these
[00:00:49.720 --> 00:00:49.970]   days
[00:00:49.970 --> 00:00:50.110]   um
[00:00:50.110 --> 00:00:50.330]   and
[00:00:50.330 --> 00:00:50.550]   you
[00:00:50.550 --> 00:00:50.770]   had
[00:00:50.770 --> 00:00:51.290]   written
[00:00:51.290 --> 00:00:51.430]   uh
[00:00:51.430 --> 00:00:51.500]   a
[00:00:51.500 --> 00:00:51.940]   number
[00:00:51.940 --> 00:00:52.080]   of
[00:00:52.080 --> 00:00:52.890]   interesting
[00:00:52.890 --> 00:00:53.180]   blog
[00:00:53.180 --> 00:00:53.790]   posts
[00:00:53.790 --> 00:00:53.920]   about
[00:00:53.920 --> 00:00:54.510]   startups
[00:00:54.510 --> 00:00:54.730]   and
[00:00:54.730 --> 00:00:54.870]   uh
[00:00:54.870 --> 00:00:55.160]   what
[00:00:55.160 --> 00:00:55.380]   was
[00:00:55.380 --> 00:00:55.670]   what
[00:00:55.670 --> 00:00:55.890]   was
[00:00:55.890 --> 00:00:56.430]   really
[00:00:56.430 --> 00:00:56.920]   shocking
[00:00:56.920 --> 00:00:57.060]   is
[00:00:57.060 --> 00:00:57.350]   when
[00:00:57.350 --> 00:00:57.420]   I
[00:00:57.420 --> 00:00:58.160]   discovered
[00:00:58.160 --> 00:00:58.380]   how
[00:00:58.380 --> 00:00:58.600]   old
[00:00:58.600 --> 00:00:58.820]   you
[00:00:58.820 --> 00:00:59.040]   are
[00:00:59.040 --> 00:00:59.260]   and
[00:00:59.260 --> 00:00:59.470]   how
[00:00:59.470 --> 00:00:59.910]   much
[00:00:59.910 --> 00:01:00.510]   experience
[00:01:00.510 --> 00:01:00.950]   you
[00:01:00.950 --> 00:01:01.010]  've
[00:01:01.010 --> 00:01:01.170]   you
[00:01:01.170 --> 00:01:01.690]   already
[00:01:01.690 --> 00:01:01.980]   have
[00:01:01.980 --> 00:01:02.120]   at
[00:01:02.120 --> 00:01:02.410]   this
[00:01:02.410 --> 00:01:02.790]   stage
[00:01:02.790 --> 00:01:03.400]  .
[00:01:03.400 --> 00:01:03.510]   So
[00:01:03.510 --> 00:01:03.680]   you
[00:01:03.680 --> 00:01:03.860]   are
[00:01:03.860 --> 00:01:04.360]   currently
[00:01:04.360 --> 00:01:04.860]   seventeen
[00:01:04.860 --> 00:01:05.150]   years
[00:01:05.150 --> 00:01:05.320]   old
[00:01:05.320 --> 00:01:05.430]   is
[00:01:05.430 --> 00:01:05.540]  ,
[00:01:05.540 --> 00:01:05.760]   that
[00:01:05.760 --> 00:01:06.040]   right
[00:01:06.040 --> 00:01:06.700]  ? [SPEAKER_TURN]
[00:01:06.700 --> 00:01:06.910]   No
[00:01:06.910 --> 00:01:07.230]   I
[00:01:07.230 --> 00:01:07.320]  'm
[00:01:07.320 --> 00:01:07.440]  ,
[00:01:07.440 --> 00:01:08.300]   nineteen
[00:01:08.300 --> 00:01:08.630]   now
[00:01:08.630 --> 00:01:09.640]  . [SPEAKER_TURN]
[00:01:09.640 --> 00:01:09.640]  
[00:01:09.640 --> 00:01:10.190]   nineteen
[00:01:10.190 --> 00:01:10.320]   oh
[00:01:10.320 --> 00:01:10.870]   nineteen
[00:01:10.870 --> 00:01:11.210]   years
[00:01:11.210 --> 00:01:11.410]   old
[00:01:11.410 --> 00:01:11.640]  .
[00:01:11.640 --> 00:01:12.230]   Nin
[00:01:12.230 --> 00:01:12.470]  eteen
[00:01:12.470 --> 00:01:12.780]   and
[00:01:12.780 --> 00:01:13.110]   you
[00:01:13.110 --> 00:01:13.400]   are
[00:01:13.400 --> 00:01:13.710]   you
[00:01:13.710 --> 00:01:14.230]   still
[00:01:14.230 --> 00:01:14.440]   at
[00:01:14.440 --> 00:01:15.410]   Berkeley
[00:01:15.410 --> 00:01:15.580]  ?
[00:01:15.580 --> 00:01:15.890]   You
[00:01:15.890 --> 00:01:16.830]   graduated
[00:01:16.830 --> 00:01:18.040]  . [SPEAKER_TURN]
[00:01:37.140 --> 00:01:37.180]  
[00:01:37.180 --> 00:01:37.490]   Yeah
[00:01:37.490 --> 00:01:37.630]   I
[00:01:37.630 --> 00:01:37.650]  ,
[00:01:37.650 --> 00:01:37.980]   might
[00:01:37.980 --> 00:01:38.260]   make
[00:01:38.260 --> 00:01:38.540]   some
[00:01:38.540 --> 00:01:38.890]   money
[00:01:38.890 --> 00:01:39.170]   here
[00:01:39.170 --> 00:01:39.380]   and
[00:01:39.380 --> 00:01:39.730]   there
[00:01:39.730 --> 00:01:40.080]   but
[00:01:40.080 --> 00:01:40.080]  ,
[00:01:40.080 --> 00:01:40.440]   I
[00:01:40.440 --> 00:01:40.500]   never
[00:01:40.500 --> 00:01:40.780]   took
[00:01:40.780 --> 00:01:40.920]   it
[00:01:40.920 --> 00:01:41.550]   seriously
[00:01:41.550 --> 00:01:41.690]   as
[00:01:41.690 --> 00:01:41.760]   a
[00:01:41.760 --> 00:01:42.110]   money
[00:01:42.110 --> 00:01:42.810]   generating
[00:01:42.810 --> 00:01:43.370]   business
[00:01:43.370 --> 00:01:44.240]  . [SPEAKER_TURN]
[00:01:44.240 --> 00:01:44.880]   Okay
[00:01:44.880 --> 00:01:44.900]   well
[00:01:44.900 --> 00:01:45.230]   then
[00:01:45.230 --> 00:01:45.470]   you
[00:01:45.470 --> 00:01:45.700]  're
[00:01:45.700 --> 00:01:46.280]   already
[00:01:46.280 --> 00:01:46.690]   ahead
[00:01:46.690 --> 00:01:46.850]   of
[00:01:46.850 --> 00:01:47.010]   uh
[00:01:47.010 --> 00:01:47.170]   me
[00:01:47.170 --> 00:01:47.410]   and
[00:01:47.410 --> 00:01:47.900]   Justin
[00:01:47.900 --> 00:01:48.110]   so
[00:01:48.110 --> 00:01:48.160]  , [SPEAKER_TURN]
[00:01:48.160 --> 00:01:48.390]   No
[00:01:48.390 --> 00:01:48.480]   it
[00:01:48.480 --> 00:01:48.580]  's
[00:01:48.580 --> 00:01:48.720]  ,
[00:01:48.720 --> 00:01:48.860]   uh
[00:01:48.860 --> 00:01:49.000]   it
[00:01:49.000 --> 00:01:49.120]  's
[00:01:49.120 --> 00:01:49.440]   that
[00:01:49.440 --> 00:01:49.620]  's
[00:01:49.620 --> 00:01:49.930]   great
[00:01:49.930 --> 00:01:50.150]  .
[00:01:50.150 --> 00:01:50.290]   So
[00:01:50.290 --> 00:01:50.510]   you
[00:01:50.510 --> 00:01:50.730]  're
[00:01:50.730 --> 00:01:51.340]   nineteen
[00:01:51.340 --> 00:01:51.540]   now
[00:01:51.540 --> 00:01:51.790]   you
[00:01:51.790 --> 00:01:52.050]   okay
[00:01:52.050 --> 00:01:52.270]   let
[00:01:52.270 --> 00:01:52.410]  's
[00:01:52.410 --> 00:01:52.630]   see
[00:01:52.630 --> 00:01:52.770]   so
[00:01:52.770 --> 00:01:52.910]  ,
[00:01:52.910 --> 00:01:53.350]   you
[00:01:53.350 --> 00:01:53.470]  're
[00:01:53.470 --> 00:01:53.940]   nineteen
[00:01:53.940 --> 00:01:54.070]   so
[00:01:54.070 --> 00:01:54.540]   what
[00:01:54.540 --> 00:01:54.590]   how
[00:01:54.590 --> 00:01:54.810]   old
[00:01:54.810 --> 00:01:55.100]   were
[00:01:55.100 --> 00:01:55.320]   you
[00:01:55.320 --> 00:01:55.610]   when
[00:01:55.610 --> 00:01:55.830]   you
[00:01:55.830 --> 00:01:56.070]   uh
[00:01:56.070 --> 00:01:56.630]   graduated
[00:01:56.630 --> 00:01:56.920]   high
[00:01:56.920 --> 00:01:57.360]   school
[00:01:57.360 --> 00:01:58.360]  ? [SPEAKER_TURN]
[00:01:58.360 --> 00:01:58.930]   I
[00:01:58.930 --> 00:01:59.230]   finished
[00:01:59.230 --> 00:01:59.330]   high
[00:01:59.330 --> 00:01:59.890]   school
[00:01:59.890 --> 00:02:00.080]   when
[00:02:00.080 --> 00:02:00.150]   I
[00:02:00.150 --> 00:02:00.370]   was
[00:02:00.370 --> 00:02:00.870]   fifteen
[00:02:00.870 --> 00:02:01.740]  . [SPEAKER_TURN]
[00:02:02.560 --> 00:02:02.630]  
[00:02:02.630 --> 00:02:02.730]   Wow
[00:02:02.730 --> 00:02:02.900]   now
[00:02:02.900 --> 00:02:03.010]  ,
[00:02:03.010 --> 00:02:03.180]   how
[00:02:03.180 --> 00:02:03.360]  'd
[00:02:03.360 --> 00:02:03.460]   you
[00:02:03.460 --> 00:02:03.630]   get
[00:02:03.630 --> 00:02:04.030]   through
[00:02:04.030 --> 00:02:04.260]   high
[00:02:04.260 --> 00:02:04.610]   school
[00:02:04.610 --> 00:02:04.710]   so
[00:02:04.710 --> 00:02:05.120]   quickly
[00:02:05.120 --> 00:02:05.320]   or
[00:02:05.320 --> 00:02:05.560]   school
[00:02:05.560 --> 00:02:05.790]   in
[00:02:05.790 --> 00:02:06.070]   general
[00:02:06.070 --> 00:02:06.120]   I
[00:02:06.120 --> 00:02:06.410]   guess
[00:02:06.410 --> 00:02:07.160]  . [SPEAKER_TURN]
[00:02:07.380 --> 00:02:07.470]  
[00:02:07.470 --> 00:02:07.550]   Um
[00:02:07.550 --> 00:02:07.630]   I
[00:02:07.630 --> 00:02:07.970]   mean
[00:02:07.970 --> 00:02:08.790]   basically
[00:02:08.790 --> 00:02:08.810]   I
[00:02:08.810 --> 00:02:09.150]   didn
[00:02:09.150 --> 00:02:09.310]  't
[00:02:09.310 --> 00:02:09.650]   like
[00:02:09.650 --> 00:02:10.380]   high
[00:02:10.380 --> 00:02:10.500]   school
[00:02:10.500 --> 00:02:10.840]   that
[00:02:10.840 --> 00:02:11.210]   much
[00:02:11.210 --> 00:02:11.260]   I
[00:02:11.260 --> 00:02:11.850]   thought
[00:02:11.850 --> 00:02:12.040]   it
[00:02:12.040 --> 00:02:12.270]   was
[00:02:12.270 --> 00:02:12.790]   pretty
[00:02:12.790 --> 00:02:13.540]   redundant
[00:02:13.540 --> 00:02:14.050]   pretty
[00:02:14.050 --> 00:02:14.210]  ,
[00:02:14.210 --> 00:02:14.740]   boring
[00:02:14.740 --> 00:02:14.970]   and
[00:02:14.970 --> 00:02:15.480]   pretty
[00:02:15.480 --> 00:02:15.820]   much
[00:02:15.820 --> 00:02:15.900]   a
[00:02:15.900 --> 00:02:16.320]   waste
[00:02:16.320 --> 00:02:16.490]   of
[00:02:16.490 --> 00:02:16.660]   my
[00:02:16.660 --> 00:02:17.000]   time
[00:02:17.000 --> 00:02:17.320]   and
[00:02:17.320 --> 00:02:17.320]   I
[00:02:17.320 --> 00:02:17.750]   think
[00:02:17.750 --> 00:02:18.090]   most
[00:02:18.090 --> 00:02:18.430]   most
[00:02:18.430 --> 00:02:18.940]   people
[00:02:18.940 --> 00:02:19.110]   on
[00:02:19.110 --> 00:02:19.630]   Hacker
[00:02:19.630 --> 00:02:19.960]   News
[00:02:19.960 --> 00:02:20.470]   going
[00:02:20.470 --> 00:02:20.990]   through
[00:02:20.990 --> 00:02:21.310]   high
[00:02:21.310 --> 00:02:21.820]   school
[00:02:21.820 --> 00:02:22.240]   would
[00:02:22.240 --> 00:02:22.580]   feel
[00:02:22.580 --> 00:02:22.880]   the
[00:02:22.880 --> 00:02:23.170]   same
[00:02:23.170 --> 00:02:23.420]   way
[00:02:23.420 --> 00:02:23.800]  .
[00:02:23.800 --> 00:02:23.930]   Um
[00:02:23.930 --> 00:02:24.140]   so
[00:02:24.140 --> 00:02:24.440]   I
[00:02:24.440 --> 00:02:24.740]   looked
[00:02:24.740 --> 00:02:25.170]   into
[00:02:25.170 --> 00:02:25.180]   a
[00:02:25.180 --> 00:02:25.430]   few
[00:02:25.430 --> 00:02:26.040]   options
[00:02:26.040 --> 00:02:26.300]   and
[00:02:26.300 --> 00:02:26.560]   one
[00:02:26.560 --> 00:02:26.820]   was
[00:02:26.820 --> 00:02:27.550]   just
[00:02:27.550 --> 00:02:27.600]   going
[00:02:27.600 --> 00:02:28.210]   through
[00:02:28.210 --> 00:02:28.380]   an
[00:02:28.380 --> 00:02:28.810]   early
[00:02:28.810 --> 00:02:29.420]   college
[00:02:29.420 --> 00:02:30.030]   program
[00:02:30.030 --> 00:02:30.200]   so
[00:02:30.200 --> 00:02:30.520]  ,
[00:02:30.520 --> 00:02:30.530]   you
[00:02:30.530 --> 00:02:31.000]  're
[00:02:31.000 --> 00:02:31.870]   accelerated
[00:02:31.870 --> 00:02:32.110]   you
[00:02:32.110 --> 00:02:32.280]  ,
[00:02:32.280 --> 00:02:32.760]   think
[00:02:32.760 --> 00:02:33.060]   high
[00:02:33.060 --> 00:02:33.580]   school
[00:02:33.580 --> 00:02:33.750]  's
[00:02:33.750 --> 00:02:34.260]   stupid
[00:02:34.260 --> 00:02:34.670]   they
[00:02:34.670 --> 00:02:34.840]  ,
[00:02:34.840 --> 00:02:35.220]   agree
[00:02:35.220 --> 00:02:35.570]   with
[00:02:35.570 --> 00:02:35.830]   you
[00:02:35.830 --> 00:02:36.000]   so
[00:02:36.000 --> 00:02:36.170]  ,
[00:02:36.170 --> 00:02:36.460]   you
[00:02:36.460 --> 00:02:37.080]   apply
[00:02:37.380 --> 00:02:37.430]   and
[00:02:37.430 --> 00:02:37.730]   then
[00:02:37.730 --> 00:02:37.910]   um
[00:02:37.910 --> 00:02:38.170]   and
[00:02:38.170 --> 00:02:38.550]   then
[00:02:38.550 --> 00:02:38.820]   I
[00:02:38.820 --> 00:02:38.930]   got
[00:02:38.930 --> 00:02:39.110]   in
[00:02:39.110 --> 00:02:39.290]   so
[00:02:39.290 --> 00:02:39.470]  ,
[00:02:39.470 --> 00:02:39.560]   I
[00:02:39.560 --> 00:02:39.930]   went
[00:02:39.930 --> 00:02:40.110]   to
[00:02:40.110 --> 00:02:40.480]   this
[00:02:40.480 --> 00:02:40.940]   early
[00:02:40.940 --> 00:02:41.590]   college
[00:02:41.590 --> 00:02:42.240]   program
[00:02:42.240 --> 00:02:42.520]   for
[00:02:42.520 --> 00:02:42.830]   two
[00:02:42.830 --> 00:02:43.260]   years
[00:02:43.260 --> 00:02:43.540]   and
[00:02:43.540 --> 00:02:44.050]   then
[00:02:44.050 --> 00:02:44.370]   after
[00:02:44.370 --> 00:02:44.650]   two
[00:02:44.650 --> 00:02:45.110]   years
[00:02:45.110 --> 00:02:45.290]   um
[00:02:45.290 --> 00:02:45.470]   my
[00:02:45.470 --> 00:02:45.650]   my
[00:02:45.650 --> 00:02:46.480]   roommate
[00:02:46.480 --> 00:02:46.570]   in
[00:02:46.570 --> 00:02:47.220]   college
[00:02:47.220 --> 00:02:47.780]   wanted
[00:02:47.780 --> 00:02:47.960]   to
[00:02:47.960 --> 00:02:48.330]   come
[00:02:48.330 --> 00:02:48.510]   to
[00:02:48.510 --> 00:02:49.230]   Berkeley
[00:02:49.230 --> 00:02:49.620]   and
[00:02:49.620 --> 00:02:49.700]   I
[00:02:49.700 --> 00:02:49.900]   was
[00:02:49.900 --> 00:02:50.680]   thinking
[00:02:50.680 --> 00:02:50.820]   of
[00:02:50.820 --> 00:02:51.210]   just
[00:02:51.210 --> 00:02:51.650]   going
[00:02:51.650 --> 00:02:51.830]   to
[00:02:51.830 --> 00:02:52.200]   like
[00:02:52.200 --> 00:02:52.290]   a
[00:02:52.290 --> 00:02:52.940]   typical
[00:02:52.940 --> 00:02:53.590]   private
[00:02:53.590 --> 00:02:54.150]   school
[00:02:54.150 --> 00:02:54.330]   on
[00:02:54.330 --> 00:02:54.610]   the
[00:02:54.610 --> 00:02:54.980]   East
[00:02:54.980 --> 00:02:55.440]   Coast
[00:02:55.440 --> 00:02:55.720]   but
[00:02:55.720 --> 00:02:55.900]  ,
[00:02:55.900 --> 00:02:56.230]   she
[00:02:56.230 --> 00:02:56.830]   somehow
[00:02:56.830 --> 00:02:57.480]   dragged
[00:02:57.480 --> 00:02:57.660]   me
[00:02:57.660 --> 00:02:57.940]   out
[00:02:57.940 --> 00:02:58.120]   to
[00:02:58.120 --> 00:02:58.860]   Berkeley
[00:02:58.860 --> 00:02:59.040]   so
[00:02:59.040 --> 00:02:59.220]  ,
[00:02:59.220 --> 00:02:59.590]   here
[00:02:59.590 --> 00:02:59.680]   I
[00:02:59.680 --> 00:02:59.860]   am
[00:02:59.860 --> 00:03:01.200]  . [SPEAKER_TURN]
[00:03:01.200 --> 00:03:01.320]   That
[00:03:01.320 --> 00:03:01.380]  's
[00:03:01.380 --> 00:03:01.500]   more
[00:03:01.500 --> 00:03:01.720]   trouble
[00:03:01.720 --> 00:03:01.810]   for
[00:03:01.810 --> 00:03:01.900]   you
[00:03:01.900 --> 00:03:02.280]  . [SPEAKER_TURN]
[00:03:03.280 --> 00:03:03.280]  
[00:03:03.280 --> 00:03:03.500]   Okay
[00:03:03.500 --> 00:03:03.720]   okay
[00:03:03.720 --> 00:03:03.830]  ,
[00:03:03.830 --> 00:03:03.940]   uh
[00:03:03.940 --> 00:03:04.380]   before
[00:03:04.380 --> 00:03:04.400]   we
[00:03:04.400 --> 00:03:04.610]   move
[00:03:04.610 --> 00:03:04.710]   on
[00:03:04.710 --> 00:03:04.820]   to
[00:03:04.820 --> 00:03:04.970]   the
[00:03:04.970 --> 00:03:05.260]   start
[00:03:05.260 --> 00:03:05.310]  -
[00:03:05.310 --> 00:03:05.470]  ups
[00:03:05.470 --> 00:03:05.520]   I
[00:03:05.520 --> 00:03:05.740]   just
[00:03:05.740 --> 00:03:05.800]   I
[00:03:05.800 --> 00:03:05.900]  'm
[00:03:05.900 --> 00:03:06.120]   just
[00:03:06.120 --> 00:03:06.340]   kind
[00:03:06.340 --> 00:03:06.450]   of
[00:03:06.450 --> 00:03:06.840]   curious
[00:03:06.840 --> 00:03:07.060]   about
[00:03:07.060 --> 00:03:07.450]   this
[00:03:07.450 --> 00:03:07.460]   so
[00:03:07.460 --> 00:03:07.560]  ,
[00:03:07.560 --> 00:03:07.780]   were
[00:03:07.780 --> 00:03:07.930]   you
[00:03:07.930 --> 00:03:08.220]   ahead
[00:03:08.220 --> 00:03:08.320]   in
[00:03:08.320 --> 00:03:08.700]   junior
[00:03:08.700 --> 00:03:09.040]   high
[00:03:09.040 --> 00:03:09.240]   and
[00:03:09.240 --> 00:03:09.260]   high
[00:03:09.260 --> 00:03:09.590]   school
[00:03:09.590 --> 00:03:09.760]   or
[00:03:09.760 --> 00:03:09.920]   were
[00:03:09.920 --> 00:03:10.080]   you
[00:03:10.080 --> 00:03:10.300]   were
[00:03:10.300 --> 00:03:10.460]   you
[00:03:10.460 --> 00:03:10.680]   like
[00:03:10.680 --> 00:03:10.850]   say
[00:03:10.850 --> 00:03:11.280]   fourteen
[00:03:11.280 --> 00:03:11.670]   fifteen
[00:03:11.670 --> 00:03:11.780]   as
[00:03:11.780 --> 00:03:11.830]   a
[00:03:11.830 --> 00:03:12.270]   freshman
[00:03:12.270 --> 00:03:12.420]   in
[00:03:12.420 --> 00:03:12.600]   high
[00:03:12.600 --> 00:03:12.930]   school
[00:03:12.930 --> 00:03:13.120]   and
[00:03:13.120 --> 00:03:13.310]   then
[00:03:13.310 --> 00:03:13.470]   you
[00:03:13.470 --> 00:03:13.690]   just
[00:03:13.690 --> 00:03:13.850]   got
[00:03:13.850 --> 00:03:14.010]   the
[00:03:14.010 --> 00:03:14.230]   hell
[00:03:14.230 --> 00:03:14.360]   out
[00:03:14.360 --> 00:03:14.420]   of
[00:03:14.420 --> 00:03:14.980]   there
[00:03:14.980 --> 00:03:15.060]   after
[00:03:15.060 --> 00:03:15.220]   two
[00:03:15.220 --> 00:03:15.490]   years
[00:03:15.490 --> 00:03:16.420]  ? [SPEAKER_TURN]
[00:03:16.420 --> 00:03:16.600]   Um
[00:03:16.600 --> 00:03:17.060]   I
[00:03:17.060 --> 00:03:17.090]   mean
[00:03:17.090 --> 00:03:17.150]   I
[00:03:17.150 --> 00:03:17.420]   was
[00:03:17.420 --> 00:03:17.510]   a
[00:03:17.510 --> 00:03:18.260]   freshman
[00:03:18.260 --> 00:03:19.260]   technically
[00:03:19.260 --> 00:03:19.660]   when
[00:03:19.660 --> 00:03:19.720]   I
[00:03:19.720 --> 00:03:19.990]   was
[00:03:19.990 --> 00:03:20.730]   fourteen
[00:03:20.730 --> 00:03:21.010]   but
[00:03:21.010 --> 00:03:21.270]  ,
[00:03:21.270 --> 00:03:21.280]   I
[00:03:21.280 --> 00:03:21.540]   was
[00:03:21.540 --> 00:03:21.880]   in
[00:03:21.880 --> 00:03:22.730]   accelerated
[00:03:22.730 --> 00:03:23.370]   classes
[00:03:23.370 --> 00:03:23.640]   and
[00:03:23.640 --> 00:03:23.820]   so
[00:03:23.820 --> 00:03:23.910]   I
[00:03:23.910 --> 00:03:24.700]   was
[00:03:24.700 --> 00:03:24.730]   taking
[00:03:24.730 --> 00:03:25.100]   like
[00:03:25.100 --> 00:03:25.470]   like
[00:03:25.470 --> 00:03:26.220]   stuff
[00:03:26.220 --> 00:03:26.300]   like
[00:03:26.300 --> 00:03:26.660]   a
[00:03:26.660 --> 00:03:26.660]   few
[00:03:26.660 --> 00:03:27.470]   grade
[00:03:27.470 --> 00:03:27.670]   levels
[00:03:27.670 --> 00:03:28.220]   beyond
[00:03:28.220 --> 00:03:28.400]   me
[00:03:28.400 --> 00:03:28.610]   so
[00:03:28.610 --> 00:03:28.760]  ,
[00:03:28.760 --> 00:03:29.130]   kind
[00:03:29.130 --> 00:03:29.330]   of
[00:03:29.330 --> 00:03:29.680]   half
[00:03:29.680 --> 00:03:29.720]   and
[00:03:29.720 --> 00:03:30.480]   half
[00:03:30.480 --> 00:03:31.540]  . [SPEAKER_TURN]
[00:03:32.060 --> 00:03:32.060]  
[00:03:32.060 --> 00:03:32.110]   I
[00:03:32.110 --> 00:03:32.220]  'm
[00:03:32.220 --> 00:03:32.440]   just
[00:03:32.440 --> 00:03:33.000]   suggesting
[00:03:33.000 --> 00:03:33.280]   Jason
[00:03:33.280 --> 00:03:33.670]   because
[00:03:33.670 --> 00:03:33.810]   we
[00:03:33.810 --> 00:03:34.000]   were
[00:03:34.000 --> 00:03:34.390]   talking
[00:03:34.390 --> 00:03:34.670]   about
[00:03:34.670 --> 00:03:34.890]   this
[00:03:34.890 --> 00:03:35.100]   last
