
[00:00:00.000 --> 00:00:00.820]  
[00:00:00.820 --> 00:00:09.710]   ðŸ
[00:00:37.280 --> 00:00:37.280]   is
[00:00:37.280 --> 00:00:37.280]   a
[00:00:37.280 --> 00:00:37.290]   an
[00:00:37.290 --> 00:00:37.290]   imp
[00:00:37.290 --> 00:00:37.290]  r
[00:00:37.290 --> 00:00:37.300]   a
[00:00:37.300 --> 00:00:37.310]   very
[00:00:37.310 --> 00:00:37.310]   imp
[00:00:37.310 --> 00:00:37.330]  romptu
[00:00:37.330 --> 00:00:37.340]   Text
[00:00:37.340 --> 00:00:37.350]  ing
[00:00:37.350 --> 00:00:37.360]   show
[00:00:37.360 --> 00:00:37.370]   and
[00:00:37.370 --> 00:00:37.370]   um
[00:00:37.370 --> 00:00:37.370]   it
[00:00:37.370 --> 00:00:37.380]   came
[00:00:37.380 --> 00:00:37.400]   about
[00:00:37.400 --> 00:00:37.430]   because
[00:00:37.430 --> 00:00:37.430]   as
[00:00:37.430 --> 00:00:37.440]   many
[00:00:37.440 --> 00:00:37.480]   listeners
[00:00:37.480 --> 00:00:37.490]   will
[00:00:37.490 --> 00:00:37.500]   know
[00:00:37.500 --> 00:00:37.500]   I
[00:00:37.500 --> 00:00:37.520]  've
[00:00:37.520 --> 00:00:37.520]   been
[00:00:37.520 --> 00:00:37.550]   working
[00:00:37.550 --> 00:00:37.550]   on
[00:00:37.550 --> 00:00:37.550]   a
[00:00:37.550 --> 00:00:37.580]   product
[00:00:37.580 --> 00:00:37.600]   called
[00:00:37.600 --> 00:00:37.620]   disco
[00:00:37.620 --> 00:00:37.630]   with
[00:00:37.630 --> 00:00:37.650]   um
[00:00:37.650 --> 00:00:37.650]   Lance
[00:00:37.650 --> 00:00:37.660]   and
[00:00:37.660 --> 00:00:37.660]   Jo
[00:00:37.660 --> 00:00:37.660]   uh
[00:00:37.660 --> 00:00:37.680]   Lance
[00:00:37.680 --> 00:00:37.680]   um
[00:00:37.680 --> 00:00:37.690]   Arm
[00:00:37.690 --> 00:00:37.690]  st
[00:00:37.690 --> 00:00:37.700]  ree
[00:00:37.700 --> 00:00:37.700]   no
[00:00:37.700 --> 00:00:38.060]   not
[00:00:38.060 --> 00:00:39.640]  ,
[00:00:39.640 --> 00:00:41.830]   the
[00:00:41.830 --> 00:00:45.040]   last
[00:00:45.040 --> 00:00:47.650]   one
[00:00:47.650 --> 00:00:55.440]  . [SPEAKER_TURN]
[00:00:55.440 --> 00:00:55.770]   It
[00:00:55.770 --> 00:00:56.080]  's
[00:00:56.080 --> 00:00:56.890]   Jones
[00:00:56.890 --> 00:00:58.680]  . [SPEAKER_TURN]
[00:00:58.680 --> 00:00:58.680]  
[00:00:58.680 --> 00:00:59.090]   Lars
[00:00:59.090 --> 00:00:59.560]   Jones
[00:00:59.560 --> 00:00:59.860]   and
[00:00:59.860 --> 00:01:00.040]   Jo
[00:01:00.040 --> 00:01:00.430]  anna
[00:01:00.430 --> 00:01:00.720]   We
[00:01:00.720 --> 00:01:00.810]  eb
[00:01:00.810 --> 00:01:01.200]  .
[00:01:01.200 --> 00:01:01.350]   And
[00:01:01.350 --> 00:01:01.480]   uh
[00:01:01.480 --> 00:01:01.610]   we
[00:01:01.610 --> 00:01:01.800]  're
[00:01:01.800 --> 00:01:01.980]   we
[00:01:01.980 --> 00:01:02.120]  're
[00:01:02.120 --> 00:01:02.500]   making
[00:01:02.500 --> 00:01:02.650]   uh
[00:01:02.650 --> 00:01:02.760]   uh
[00:01:02.760 --> 00:01:02.820]   a
[00:01:02.820 --> 00:01:03.200]   widget
[00:01:03.200 --> 00:01:03.330]   um
[00:01:03.330 --> 00:01:03.580]   that
[00:01:03.580 --> 00:01:03.920]   goes
[00:01:03.920 --> 00:01:03.960]   on
[00:01:03.960 --> 00:01:04.340]   people
[00:01:04.340 --> 00:01:04.760]  's
[00:01:04.760 --> 00:01:04.970]   websites
[00:01:04.970 --> 00:01:05.100]  ,
[00:01:05.100 --> 00:01:05.280]   and
[00:01:05.280 --> 00:01:05.470]   you
[00:01:05.470 --> 00:01:05.740]   guys
[00:01:05.740 --> 00:01:05.970]   from
[00:01:05.970 --> 00:01:06.030]   D
[00:01:06.030 --> 00:01:06.190]  rip
[00:01:06.190 --> 00:01:06.480]   make
[00:01:06.480 --> 00:01:06.650]   a
[00:01:06.650 --> 00:01:06.910]   widget
[00:01:06.910 --> 00:01:07.160]   that
[00:01:07.160 --> 00:01:07.410]   goes
[00:01:07.410 --> 00:01:07.570]   on
[00:01:07.570 --> 00:01:08.020]   people
[00:01:08.020 --> 00:01:08.040]  's
[00:01:08.040 --> 00:01:08.550]   websites
[00:01:08.550 --> 00:01:08.690]  ,
[00:01:08.690 --> 00:01:08.860]   and
[00:01:08.860 --> 00:01:08.920]   I
[00:01:08.920 --> 00:01:09.170]   know
[00:01:09.170 --> 00:01:09.420]   that
[00:01:09.420 --> 00:01:09.610]   you
[00:01:09.610 --> 00:01:09.880]  've
[00:01:09.880 --> 00:01:10.050]   been
[00:01:10.050 --> 00:01:10.890]   tremendously
[00:01:10.890 --> 00:01:11.450]   successful
[00:01:11.450 --> 00:01:11.710]   with
[00:01:11.710 --> 00:01:12.030]   your
[00:01:12.030 --> 00:01:12.340]   widget
[00:01:12.340 --> 00:01:13.000]  .
[00:01:13.000 --> 00:01:13.010]   So
[00:01:13.010 --> 00:01:13.100]   I
[00:01:13.100 --> 00:01:13.500]   just
[00:01:13.500 --> 00:01:13.890]   wanted
[00:01:13.890 --> 00:01:14.050]   to
[00:01:14.050 --> 00:01:14.210]   be
[00:01:14.210 --> 00:01:14.530]   very
[00:01:14.530 --> 00:01:15.100]   selfish
[00:01:15.100 --> 00:01:15.340]   and
[00:01:15.340 --> 00:01:15.660]   pick
[00:01:15.660 --> 00:01:15.980]   your
[00:01:15.980 --> 00:01:16.470]   brains
[00:01:16.470 --> 00:01:16.880]   about
[00:01:16.880 --> 00:01:17.200]   your
[00:01:17.200 --> 00:01:17.460]   um
[00:01:18.280 --> 00:01:18.330]  
[00:01:18.330 --> 00:01:18.840]   technical
[00:01:18.840 --> 00:01:19.720]   infrastructure
[00:01:19.720 --> 00:01:20.270]   really
[00:01:20.270 --> 00:01:20.310]   and
[00:01:20.310 --> 00:01:20.450]   you
[00:01:20.450 --> 00:01:20.700]   know
[00:01:20.700 --> 00:01:20.910]   how
[00:01:20.910 --> 00:01:21.060]   you
[00:01:21.060 --> 00:01:21.240]   put
[00:01:21.240 --> 00:01:21.420]   the
[00:01:21.420 --> 00:01:21.950]   whole
[00:01:21.950 --> 00:01:22.070]   thing
[00:01:22.070 --> 00:01:22.540]   together
[00:01:22.540 --> 00:01:22.770]  .
[00:01:22.770 --> 00:01:22.960]   So
[00:01:22.960 --> 00:01:23.050]   um
[00:01:23.050 --> 00:01:23.190]   but
[00:01:23.190 --> 00:01:23.510]   before
[00:01:23.510 --> 00:01:23.630]   we
[00:01:23.630 --> 00:01:23.810]   get
[00:01:23.810 --> 00:01:24.070]   into
[00:01:24.070 --> 00:01:24.310]   that
[00:01:24.310 --> 00:01:24.740]   uh
[00:01:24.740 --> 00:01:24.780]   Derek
[00:01:24.780 --> 00:01:24.860]   um
[00:01:24.860 --> 00:01:24.980]   le
[00:01:24.980 --> 00:01:25.090]   uh
[00:01:25.090 --> 00:01:25.250]   I
[00:01:25.250 --> 00:01:25.280]  'd
[00:01:25.280 --> 00:01:25.650]   really
[00:01:25.650 --> 00:01:25.770]   be
[00:01:25.770 --> 00:01:26.400]   interested
[00:01:26.400 --> 00:01:26.510]   to
[00:01:26.510 --> 00:01:26.810]   just
[00:01:26.810 --> 00:01:26.910]   uh
[00:01:26.910 --> 00:01:27.200]   hear
[00:01:27.200 --> 00:01:27.250]   a
[00:01:27.250 --> 00:01:27.570]   little
[00:01:27.570 --> 00:01:27.750]   bit
[00:01:27.750 --> 00:01:28.060]   about
[00:01:28.060 --> 00:01:28.560]   yourself
[00:01:28.560 --> 00:01:28.920]   and
[00:01:28.920 --> 00:01:29.100]   how
[00:01:29.100 --> 00:01:29.130]   you
[00:01:29.130 --> 00:01:29.410]   ended
[00:01:29.410 --> 00:01:29.530]   up
[00:01:29.530 --> 00:01:29.970]   working
[00:01:29.970 --> 00:01:30.220]   with
[00:01:30.220 --> 00:01:30.650]   with
[00:01:30.650 --> 00:01:30.710]   Rob
[00:01:30.710 --> 00:01:31.200]  . [SPEAKER_TURN]
[00:01:31.480 --> 00:01:31.550]  
[00:01:31.550 --> 00:01:31.850]   Sure
[00:01:31.850 --> 00:01:32.160]  .
[00:01:32.160 --> 00:01:32.300]   So
[00:01:32.300 --> 00:01:32.480]   um
[00:01:32.480 --> 00:01:32.570]   I
[00:01:32.570 --> 00:01:33.500]   originally
[00:01:33.500 --> 00:01:33.870]   met
[00:01:33.870 --> 00:01:34.040]   Rob
[00:01:34.040 --> 00:01:34.310]  ,
[00:01:34.310 --> 00:01:34.390]   I
[00:01:34.390 --> 00:01:34.770]   think
[00:01:34.770 --> 00:01:34.950]   it
[00:01:34.950 --> 00:01:35.220]   was
[00:01:35.220 --> 00:01:35.690]   about
[00:01:35.690 --> 00:01:36.340]   four
[00:01:36.340 --> 00:01:36.510]   years
[00:01:36.510 --> 00:01:36.780]   ago
[00:01:36.780 --> 00:01:36.960]   Um
[00:01:36.960 --> 00:01:37.230]  .
[00:01:37.230 --> 00:01:37.480]   Rob
[00:01:37.480 --> 00:01:37.860]   was
[00:01:37.860 --> 00:01:37.960]   a
[00:01:37.960 --> 00:01:38.320]   judge
[00:01:38.320 --> 00:01:38.500]   at
[00:01:38.500 --> 00:01:38.590]   a
[00:01:38.590 --> 00:01:38.680]   f
[00:01:38.680 --> 00:01:39.140]   local
[00:01:39.140 --> 00:01:39.530]   tech
[00:01:39.530 --> 00:01:40.530]   competition
[00:01:40.530 --> 00:01:40.710]   in
[00:01:40.710 --> 00:01:41.260]   Fresno
[00:01:41.260 --> 00:01:41.530]  .
[00:01:41.530 --> 00:01:41.800]   And
[00:01:41.800 --> 00:01:41.890]   I
[00:01:41.890 --> 00:01:42.260]   live
[00:01:42.260 --> 00:01:42.630]   just
[00:01:42.630 --> 00:01:43.090]   about
[00:01:43.090 --> 00:01:43.610]   thirty
[00:01:43.610 --> 00:01:44.190]   miles
[00:01:44.190 --> 00:01:44.560]   south
[00:01:44.560 --> 00:01:44.740]   of
[00:01:44.740 --> 00:01:45.330]   Fresno
[00:01:45.330 --> 00:01:45.470]   So
[00:01:45.470 --> 00:01:45.740]  .
[00:01:45.740 --> 00:01:45.830]   I
[00:01:45.830 --> 00:01:46.040]  'm
[00:01:46.040 --> 00:01:46.190]   in
[00:01:46.190 --> 00:01:46.370]   in
[00:01:46.370 --> 00:01:46.740]   town
[00:01:46.740 --> 00:01:47.280]   often
[00:01:47.280 --> 00:01:47.470]  .
[00:01:47.470 --> 00:01:47.740]   And
[00:01:47.740 --> 00:01:47.920]   um
[00:01:47.920 --> 00:01:48.190]   and
[00:01:48.190 --> 00:01:48.370]   so
[00:01:48.370 --> 00:01:48.640]   Rob
[00:01:48.640 --> 00:01:48.980]   was
[00:01:48.980 --> 00:01:49.000]   a
[00:01:49.000 --> 00:01:49.460]   judge
[00:01:49.460 --> 00:01:49.640]  ,
[00:01:49.640 --> 00:01:49.910]   and
[00:01:49.910 --> 00:01:50.180]   I
[00:01:50.180 --> 00:01:50.270]   was
[00:01:50.270 --> 00:01:50.460]   a
[00:01:50.460 --> 00:01:51.290]   competitor
[00:01:51.290 --> 00:01:51.560]   and
[00:01:51.560 --> 00:01:51.740]   um
[00:01:51.740 --> 00:01:51.830]   I
[00:01:51.830 --> 00:01:52.290]   ended
[00:01:52.290 --> 00:01:52.460]   up
[00:01:52.460 --> 00:01:53.130]   winning
[00:01:53.130 --> 00:01:53.390]   the
[00:01:53.390 --> 00:01:54.410]   competition
[00:01:54.410 --> 00:01:54.840]   that
[00:01:54.840 --> 00:01:55.150]   year
[00:01:55.150 --> 00:01:55.410]   and
[00:01:55.410 --> 00:01:55.600]   so
[00:01:55.600 --> 00:01:55.870]   you
[00:01:55.870 --> 00:01:56.240]   know
[00:01:56.240 --> 00:01:56.330]   I
[00:01:56.330 --> 00:01:56.600]   had
[00:01:56.600 --> 00:01:56.690]   a
[00:01:56.690 --> 00:01:57.320]   chance
[00:01:57.320 --> 00:01:57.420]   to
[00:01:57.420 --> 00:01:57.600]   um
[00:01:57.600 --> 00:01:58.180]   have
[00:01:58.180 --> 00:01:58.620]   several
[00:01:58.620 --> 00:01:59.820]   conversations
[00:01:59.820 --> 00:02:00.260]   with
[00:02:00.260 --> 00:02:00.460]   Rob
[00:02:00.460 --> 00:02:00.730]   and
[00:02:00.730 --> 00:02:01.480]   we
[00:02:01.480 --> 00:02:01.480]  
[00:02:01.480 --> 00:02:01.970]   kinda
[00:02:01.970 --> 00:02:02.360]   kept
[00:02:02.360 --> 00:02:02.560]   in
[00:02:02.560 --> 00:02:03.050]   touch
[00:02:03.050 --> 00:02:03.340]   and
[00:02:03.340 --> 00:02:03.540]   um
[00:02:03.540 --> 00:02:04.130]   couple
[00:02:04.130 --> 00:02:04.620]   years
[00:02:04.620 --> 00:02:05.100]   later
[00:02:05.100 --> 00:02:05.310]   I
[00:02:05.310 --> 00:02:05.500]   was
[00:02:05.500 --> 00:02:05.800]   at
[00:02:05.800 --> 00:02:05.800]   a
[00:02:05.800 --> 00:02:06.290]   point
[00:02:06.290 --> 00:02:06.770]   where
[00:02:06.770 --> 00:02:06.880]   I
[00:02:06.880 --> 00:02:07.290]   was
[00:02:07.290 --> 00:02:07.760]   either
[00:02:07.760 --> 00:02:08.250]   gonna
[00:02:08.250 --> 00:02:08.740]   start
[00:02:08.740 --> 00:02:09.330]   taking
[00:02:09.330 --> 00:02:09.530]   on
[00:02:09.530 --> 00:02:09.920]   some
[00:02:09.920 --> 00:02:10.910]   consulting
[00:02:10.910 --> 00:02:11.600]   clients
[00:02:11.600 --> 00:02:12.060]   or
[00:02:12.060 --> 00:02:12.120]   or
[00:02:12.120 --> 00:02:12.760]   possibly
[00:02:12.760 --> 00:02:13.160]   start
[00:02:13.160 --> 00:02:13.720]   looking
[00:02:13.720 --> 00:02:14.030]   for
[00:02:14.030 --> 00:02:14.120]   um
[00:02:14.120 --> 00:02:14.360]   for
[00:02:14.360 --> 00:02:14.440]   a
[00:02:14.440 --> 00:02:14.900]   place
[00:02:14.900 --> 00:02:15.080]   to
[00:02:15.080 --> 00:02:15.320]   work
[00:02:15.320 --> 00:02:15.560]   and
[00:02:15.560 --> 00:02:15.880]   that
[00:02:15.880 --> 00:02:16.040]  's
[00:02:16.040 --> 00:02:16.360]   when
[00:02:16.360 --> 00:02:16.590]   Rob
[00:02:16.590 --> 00:02:16.840]   had
[00:02:16.840 --> 00:02:17.150]   a
[00:02:17.150 --> 00:02:17.240]   need
[00:02:17.240 --> 00:02:17.480]   for
[00:02:17.480 --> 00:02:18.120]   somebody
[00:02:18.120 --> 00:02:18.280]   to
[00:02:18.280 --> 00:02:18.650]   help
[00:02:18.650 --> 00:02:19.080]   manage
[00:02:19.080 --> 00:02:19.320]   Hit
[00:02:19.320 --> 00:02:19.620]   Tale
[00:02:19.620 --> 00:02:20.020]  .
[00:02:20.020 --> 00:02:20.090]   So
[00:02:20.090 --> 00:02:20.220]   that
[00:02:20.220 --> 00:02:20.330]  's
[00:02:20.330 --> 00:02:20.570]   kinda
[00:02:20.570 --> 00:02:20.720]   how
[00:02:20.720 --> 00:02:20.770]   I
[00:02:20.770 --> 00:02:20.920]   got
[00:02:20.920 --> 00:02:21.290]   started
[00:02:21.290 --> 00:02:21.380]   uh
[00:02:21.380 --> 00:02:21.740]   working
[00:02:21.740 --> 00:02:21.940]   with
[00:02:21.940 --> 00:02:22.080]   Rob
[00:02:22.080 --> 00:02:22.320]  . [SPEAKER_TURN]
[00:02:22.320 --> 00:02:22.570]   So
[00:02:22.570 --> 00:02:22.740]   do
[00:02:22.740 --> 00:02:22.850]   y
[00:02:22.850 --> 00:02:22.950]   do
[00:02:22.950 --> 00:02:23.170]   you
[00:02:23.170 --> 00:02:23.390]   um
[00:02:23.390 --> 00:02:23.670]   also
[00:02:23.670 --> 00:02:24.010]   have
[00:02:24.010 --> 00:02:24.180]   an
[00:02:24.180 --> 00:02:25.460]   entrepreneurial
[00:02:25.460 --> 00:02:25.970]   streak
[00:02:25.970 --> 00:02:26.940]  ? [SPEAKER_TURN]
[00:02:27.320 --> 00:02:27.380]  
[00:02:27.380 --> 00:02:27.390]   I
[00:02:27.390 --> 00:02:27.530]   do
[00:02:27.530 --> 00:02:27.820]   yeah
[00:02:27.820 --> 00:02:27.960]  ,
[00:02:27.960 --> 00:02:28.030]   I
[00:02:28.030 --> 00:02:28.170]   um
[00:02:28.170 --> 00:02:28.240]   i
[00:02:28.240 --> 00:02:28.440]   it
[00:02:28.440 --> 00:02:28.600]   was
[00:02:28.600 --> 00:02:28.890]   kind
[00:02:28.890 --> 00:02:29.030]   of
[00:02:29.030 --> 00:02:29.470]   the
[00:02:29.470 --> 00:02:29.770]   the
[00:02:29.770 --> 00:02:30.620]   entrepreneurial
[00:02:30.620 --> 00:02:31.020]   aspect
[00:02:31.020 --> 00:02:31.310]   that
[00:02:31.310 --> 00:02:31.600]   drew
[00:02:31.600 --> 00:02:31.760]   me
[00:02:31.760 --> 00:02:32.030]   into
[00:02:32.030 --> 00:02:32.250]   the
[00:02:32.250 --> 00:02:32.840]   software
[00:02:32.840 --> 00:02:33.460]   industry
[00:02:33.460 --> 00:02:33.570]   um
[00:02:33.570 --> 00:02:33.780]  ,
[00:02:33.780 --> 00:02:33.930]   you
[00:02:33.930 --> 00:02:34.220]   know
[00:02:34.220 --> 00:02:34.360]  ,
[00:02:34.360 --> 00:02:34.580]   the
[00:02:34.580 --> 00:02:35.400]   opportunity
[00:02:35.400 --> 00:02:35.540]   to
[00:02:35.540 --> 00:02:35.910]   build
[00:02:35.910 --> 00:02:36.190]   apps
[00:02:36.190 --> 00:02:36.410]   and
[00:02:36.410 --> 00:02:37.060]   market
[00:02:37.060 --> 00:02:37.150]   them
[00:02:37.150 --> 00:02:37.290]   as
[00:02:37.290 --> 00:02:37.880]   products
[00:02:37.880 --> 00:02:38.100]   and
[00:02:38.100 --> 00:02:38.170]   I
[00:02:38.170 --> 00:02:38.390]   was
[00:02:38.390 --> 00:02:38.980]   actually
[00:02:38.980 --> 00:02:39.050]   I
[00:02:39.050 --> 00:02:39.480]   have
[00:02:39.480 --> 00:02:39.630]   been
[00:02:39.630 --> 00:02:39.920]   kind
[00:02:39.920 --> 00:02:40.060]   of
[00:02:40.060 --> 00:02:40.130]   a
[00:02:40.130 --> 00:02:40.650]   student
[00:02:40.650 --> 00:02:40.780]   of
[00:02:40.780 --> 00:02:41.000]   Rob
[00:02:41.000 --> 00:02:41.220]  's
[00:02:41.220 --> 00:02:41.290]   um
[00:02:41.290 --> 00:02:41.510]   you
[00:02:41.510 --> 00:02:41.800]   know
[00:02:41.800 --> 00:02:41.870]   I
[00:02:41.870 --> 00:02:42.170]   read
[00:02:42.170 --> 00:02:42.380]   his
[00:02:42.380 --> 00:02:42.670]   book
[00:02:42.670 --> 00:02:43.140]   before
[00:02:43.140 --> 00:02:43.180]   I
[00:02:43.180 --> 00:02:43.770]   actually
[00:02:43.770 --> 00:02:43.990]   met
[00:02:43.990 --> 00:02:44.210]   him
[00:02:44.210 --> 00:02:44.530]   and
[00:02:44.530 --> 00:02:44.800]   kinda
[00:02:44.800 --> 00:02:45.120]   had
[00:02:45.120 --> 00:02:45.310]   come
[00:02:45.310 --> 00:02:45.750]   across
[00:02:45.750 --> 00:02:45.970]   his
[00:02:45.970 --> 00:02:46.260]   blog
[00:02:46.260 --> 00:02:46.400]   so
[00:02:46.400 --> 00:02:46.540]   it
[00:02:46.540 --> 00:02:46.760]   was
[00:02:46.760 --> 00:02:47.200]   really
[00:02:47.200 --> 00:02:47.490]   cool
[00:02:47.490 --> 00:02:47.670]   to
[00:02:47.670 --> 00:02:47.770]   to
[00:02:47.770 --> 00:02:47.910]   be
[00:02:47.910 --> 00:02:48.200]   able
[00:02:48.200 --> 00:02:48.340]   to
[00:02:48.340 --> 00:02:48.710]   meet
[00:02:48.710 --> 00:02:48.850]   him
[00:02:48.850 --> 00:02:48.990]   in
[00:02:48.990 --> 00:02:49.500]   person
[00:02:49.500 --> 00:02:49.840]   you
[00:02:49.840 --> 00:02:49.940]   know
[00:02:49.940 --> 00:02:50.080]  ,
[00:02:50.080 --> 00:02:50.300]   but
[00:02:50.300 --> 00:02:50.440]   um
[00:02:50.440 --> 00:02:50.730]   yeah
[00:02:50.730 --> 00:02:51.020]   that
[00:02:51.020 --> 00:02:51.160]  's
[00:02:51.160 --> 00:02:51.530]   kinda
[00:02:51.530 --> 00:02:51.820]   what
[00:02:51.820 --> 00:02:52.110]   drew
[00:02:52.110 --> 00:02:52.250]   me
[00:02:52.250 --> 00:02:52.590]   into
[00:02:52.590 --> 00:02:52.800]   the
[00:02:52.800 --> 00:02:53.660]   software
[00:02:53.660 --> 00:02:53.980]   industry
[00:02:53.980 --> 00:02:54.080]   in
[00:02:54.080 --> 00:02:54.600]   general
[00:02:54.600 --> 00:02:56.140]  . [SPEAKER_TURN]
[00:02:56.140 --> 00:02:56.320]   M
[00:02:56.320 --> 00:02:56.390]  m
[00:02:56.390 --> 00:02:56.510]  -
[00:02:56.510 --> 00:02:56.630]  h
[00:02:56.630 --> 00:02:56.880]  mm
[00:02:56.880 --> 00:02:57.300]  . [SPEAKER_TURN]
[00:02:57.300 --> 00:02:57.300]  
[00:02:57.300 --> 00:02:57.450]   M
[00:02:57.450 --> 00:02:57.480]  m
[00:02:57.480 --> 00:02:57.570]  -
[00:02:57.570 --> 00:02:57.660]  h
[00:02:57.660 --> 00:02:57.840]  mm
[00:02:57.840 --> 00:03:00.880]  . [SPEAKER_TURN]
[00:03:00.880 --> 00:03:00.980]   I
[00:03:00.980 --> 00:03:01.250]   have
[00:03:01.250 --> 00:03:01.550]   yeah
[00:03:01.550 --> 00:03:01.700]  ,
[00:03:01.700 --> 00:03:01.770]   I
[00:03:01.770 --> 00:03:01.920]   um
[00:03:01.920 --> 00:03:02.070]   it
[00:03:02.070 --> 00:03:02.290]   was
[00:03:02.290 --> 00:03:02.810]   through
[00:03:02.810 --> 00:03:03.330]   this
[00:03:03.330 --> 00:03:03.420]   this
[00:03:03.420 --> 00:03:03.880]   coding
[00:03:03.880 --> 00:03:04.700]   competition
[00:03:04.700 --> 00:03:04.850]   is
[00:03:04.850 --> 00:03:05.230]   where
[00:03:05.230 --> 00:03:05.300]   I
[00:03:05.300 --> 00:03:05.680]   first
[00:03:05.680 --> 00:03:06.060]   built
[00:03:06.060 --> 00:03:06.360]   like
[00:03:06.360 --> 00:03:06.430]   a
[00:03:06.430 --> 00:03:06.730]   full
[00:03:06.730 --> 00:03:07.110]   scale
[00:03:07.110 --> 00:03:08.020]   application
[00:03:08.020 --> 00:03:08.170]   and
[00:03:08.170 --> 00:03:08.380]   and
[00:03:08.380 --> 00:03:08.450]   I
[00:03:08.450 --> 00:03:09.050]   actually
[00:03:09.050 --> 00:03:09.270]   did
[00:03:09.270 --> 00:03:09.720]   launch
[00:03:09.720 --> 00:03:09.870]   it
[00:03:09.870 --> 00:03:10.100]   the
[00:03:10.100 --> 00:03:10.470]   first
[00:03:10.470 --> 00:03:11.000]   product
[00:03:11.000 --> 00:03:11.160]   I
[00:03:11.160 --> 00:03:11.420]   made
[00:03:11.420 --> 00:03:11.590]   was
[00:03:11.590 --> 00:03:11.660]   a
[00:03:11.660 --> 00:03:11.820]   um
[00:03:11.820 --> 00:03:11.880]   a
[00:03:11.880 --> 00:03:12.180]   tool
[00:03:12.180 --> 00:03:12.490]   for
