
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:01.030]  ced
[00:00:43.460 --> 00:00:43.600]   he
[00:00:43.600 --> 00:00:43.820]   was
[00:00:43.820 --> 00:00:44.260]   asking
[00:00:44.260 --> 00:00:44.400]   us
[00:00:44.400 --> 00:00:44.520]   if
[00:00:44.520 --> 00:00:44.590]   we
[00:00:44.590 --> 00:00:45.090]   were
[00:00:45.090 --> 00:00:45.340]   gonna
[00:00:45.340 --> 00:00:45.480]   do
[00:00:45.480 --> 00:00:45.690]   any
[00:00:45.690 --> 00:00:46.360]   more
[00:00:46.360 --> 00:00:46.380]   shows
[00:00:46.380 --> 00:00:46.580]   and
[00:00:46.580 --> 00:00:46.780]   if
[00:00:46.780 --> 00:00:46.860]   we
[00:00:46.860 --> 00:00:47.230]   weren
[00:00:47.230 --> 00:00:47.390]  't
[00:00:47.390 --> 00:00:47.660]   that
[00:00:47.660 --> 00:00:47.800]   he
[00:00:47.800 --> 00:00:48.020]   you
[00:00:48.020 --> 00:00:48.310]   know
[00:00:48.310 --> 00:00:48.670]   would
[00:00:48.670 --> 00:00:49.050]   thank
[00:00:49.050 --> 00:00:49.340]   this
[00:00:49.340 --> 00:00:49.650]   for
[00:00:49.650 --> 00:00:49.780]   all
[00:00:49.780 --> 00:00:50.000]   you
[00:00:50.000 --> 00:00:50.340]   know
[00:00:50.340 --> 00:00:50.710]   doing
[00:00:50.710 --> 00:00:50.880]   the
[00:00:50.880 --> 00:00:51.370]   shows
[00:00:51.370 --> 00:00:51.470]   all
[00:00:51.470 --> 00:00:51.910]   those
[00:00:51.910 --> 00:00:52.210]   years
[00:00:52.210 --> 00:00:52.430]   and
[00:00:52.430 --> 00:00:52.670]   he
[00:00:52.670 --> 00:00:53.010]   really
[00:00:53.010 --> 00:00:53.530]   enjoyed
[00:00:53.530 --> 00:00:53.670]   it
[00:00:53.670 --> 00:00:53.890]   and
[00:00:53.890 --> 00:00:54.030]   so
[00:00:54.030 --> 00:00:54.100]   I
[00:00:54.100 --> 00:00:54.400]   was
[00:00:54.400 --> 00:00:54.830]   like
[00:00:54.830 --> 00:00:55.030]   you
[00:00:55.030 --> 00:00:55.800]   know
[00:00:55.800 --> 00:00:55.800]   we
[00:00:55.800 --> 00:00:56.230]   should
[00:00:56.230 --> 00:00:56.440]   get
[00:00:56.440 --> 00:00:56.840]   off
[00:00:56.840 --> 00:00:56.870]   our
[00:00:56.870 --> 00:00:57.210]   asses
[00:00:57.210 --> 00:00:57.450]   and
[00:00:57.450 --> 00:00:57.630]   get
[00:00:57.630 --> 00:00:58.240]   something
[00:00:58.240 --> 00:00:58.610]   going
[00:00:58.610 --> 00:00:58.970]   you
[00:00:58.970 --> 00:00:59.180]   know
[00:00:59.180 --> 00:00:59.270]   I
[00:00:59.270 --> 00:00:59.460]   mean
[00:00:59.460 --> 00:00:59.540]   I
[00:00:59.540 --> 00:00:59.970]   haven
[00:00:59.970 --> 00:01:00.020]  't
[00:01:00.020 --> 00:01:00.090]   I
[00:01:00.090 --> 00:01:00.370]   didn
[00:01:00.370 --> 00:01:00.510]  't
[00:01:00.510 --> 00:01:00.940]   really
[00:01:00.940 --> 00:01:01.370]   notice
[00:01:01.370 --> 00:01:01.650]   that
[00:01:01.650 --> 00:01:01.970]   much
[00:01:01.970 --> 00:01:02.330]   time
[00:01:02.330 --> 00:01:02.420]   had
[00:01:02.420 --> 00:01:02.700]   gone
[00:01:02.700 --> 00:01:02.840]   by
[00:01:02.840 --> 00:01:03.220]  . [SPEAKER_TURN]
[00:01:03.820 --> 00:01:03.870]  
[00:01:03.870 --> 00:01:04.130]   Yeah
[00:01:04.130 --> 00:01:04.200]   I
[00:01:04.200 --> 00:01:04.740]   there
[00:01:04.740 --> 00:01:04.760]  's
[00:01:04.760 --> 00:01:05.130]   there
[00:01:05.130 --> 00:01:05.270]  's
[00:01:05.270 --> 00:01:05.500]   no
[00:01:05.500 --> 00:01:05.850]   plans
[00:01:05.850 --> 00:01:05.970]   to
[00:01:05.970 --> 00:01:06.320]   end
[00:01:06.320 --> 00:01:06.430]   the
[00:01:06.430 --> 00:01:06.810]   show
[00:01:06.810 --> 00:01:07.130]   there
[00:01:07.130 --> 00:01:07.280]  's
[00:01:07.280 --> 00:01:07.590]   just
[00:01:07.590 --> 00:01:07.980]   there
[00:01:07.980 --> 00:01:08.170]  's
[00:01:08.170 --> 00:01:08.420]   just
[00:01:08.420 --> 00:01:08.830]   also
[00:01:08.830 --> 00:01:08.960]   no
[00:01:08.960 --> 00:01:09.290]   plans
[00:01:09.290 --> 00:01:09.440]   to
[00:01:09.440 --> 00:01:09.590]   to
[00:01:09.590 --> 00:01:09.900]   well
[00:01:09.900 --> 00:01:10.510]   actually
[00:01:10.510 --> 00:01:11.150]   starting
[00:01:11.150 --> 00:01:11.670]   this
[00:01:11.670 --> 00:01:11.760]   week
[00:01:11.760 --> 00:01:11.910]   we
[00:01:11.910 --> 00:01:12.060]   do
[00:01:12.060 --> 00:01:12.440]   have
[00:01:12.440 --> 00:01:12.450]   a
[00:01:12.450 --> 00:01:12.740]   plan
[00:01:12.740 --> 00:01:13.050]   to
[00:01:13.050 --> 00:01:13.090]   do
[00:01:13.090 --> 00:01:13.200]   it
[00:01:13.200 --> 00:01:13.510]   more
[00:01:13.510 --> 00:01:14.210]   regularly
[00:01:14.210 --> 00:01:14.430]   and
[00:01:14.430 --> 00:01:14.750]   that
[00:01:14.750 --> 00:01:14.900]   is
[00:01:14.900 --> 00:01:15.600]   basically
[00:01:15.600 --> 00:01:15.680]   I
[00:01:15.680 --> 00:01:15.880]   am
[00:01:15.880 --> 00:01:16.210]   gonna
[00:01:16.210 --> 00:01:16.520]   turn
[00:01:16.520 --> 00:01:16.770]   up
[00:01:16.770 --> 00:01:16.980]   here
[00:01:16.980 --> 00:01:17.360]   at
[00:01:17.360 --> 00:01:17.430]   ten
[00:01:17.430 --> 00:01:17.500]   A
[00:01:17.500 --> 00:01:17.520]  _
[00:01:17.520 --> 00:01:17.570]  M
[00:01:17.570 --> 00:01:17.650]  _
[00:01:17.650 --> 00:01:18.030]   every
[00:01:18.030 --> 00:01:18.420]   other
[00:01:18.420 --> 00:01:19.040]   Saturday
[00:01:19.040 --> 00:01:19.270]  .
[00:01:19.270 --> 00:01:19.730]   That
[00:01:19.730 --> 00:01:19.770]   is
[00:01:19.770 --> 00:01:19.960]   the
[00:01:19.960 --> 00:01:20.390]   plan
[00:01:20.390 --> 00:01:20.660]   right
[00:01:20.660 --> 00:01:20.810]  ,
[00:01:20.810 --> 00:01:20.960]   Um
[00:01:20.960 --> 00:01:21.300]   but
[00:01:21.300 --> 00:01:21.340]   he
[00:01:21.340 --> 00:01:21.700]   Col
[00:01:21.700 --> 00:01:21.720]  by
[00:01:21.720 --> 00:01:21.870]  's
[00:01:21.870 --> 00:01:22.110]   playing
[00:01:22.110 --> 00:01:22.600]   a
[00:01:22.600 --> 00:01:22.790]   game
[00:01:22.790 --> 00:01:23.160]   at
[00:01:23.160 --> 00:01:23.400]   eleven
[00:01:23.400 --> 00:01:23.790]   today
[00:01:23.790 --> 00:01:24.180]   right
[00:01:24.180 --> 00:01:25.360]  , [SPEAKER_TURN]
[00:01:25.360 --> 00:01:25.730]   Well
[00:01:25.730 --> 00:01:25.840]   he
[00:01:25.840 --> 00:01:25.920]   has
[00:01:25.920 --> 00:01:25.980]   a
[00:01:25.980 --> 00:01:26.490]   baseball
[00:01:26.490 --> 00:01:26.740]   game
[00:01:26.740 --> 00:01:26.860]   at
[00:01:26.860 --> 00:01:26.980]   uh
[00:01:26.980 --> 00:01:27.440]   eleven
[00:01:27.440 --> 00:01:27.550]   and
[00:01:27.550 --> 00:01:27.610]   I
[00:01:27.610 --> 00:01:27.800]   don
[00:01:27.800 --> 00:01:27.910]  't
[00:01:27.910 --> 00:01:28.260]   even
[00:01:28.260 --> 00:01:28.420]   know
[00:01:28.420 --> 00:01:28.540]   if
[00:01:28.540 --> 00:01:28.660]   he
[00:01:28.660 --> 00:01:28.780]   if
[00:01:28.780 --> 00:01:28.900]   he
[00:01:28.900 --> 00:01:29.020]  's
[00:01:29.020 --> 00:01:29.470]   playing
[00:01:29.470 --> 00:01:29.580]   or
[00:01:29.580 --> 00:01:29.810]   not
[00:01:29.810 --> 00:01:30.030]   they
[00:01:30.030 --> 00:01:30.280]   have
[00:01:30.280 --> 00:01:30.540]   like
[00:01:30.540 --> 00:01:30.920]   roster
[00:01:30.920 --> 00:01:31.160]   kind
[00:01:31.160 --> 00:01:31.290]   of
[00:01:31.290 --> 00:01:31.790]   rotation
[00:01:31.790 --> 00:01:32.200]   stuff
[00:01:32.200 --> 00:01:32.230]   so
[00:01:32.230 --> 00:01:32.350]   we
[00:01:32.350 --> 00:01:32.540]  'll
[00:01:32.540 --> 00:01:32.730]   see
[00:01:32.730 --> 00:01:32.920]  .
[00:01:32.920 --> 00:01:33.050]   So
[00:01:33.050 --> 00:01:33.100]   I
[00:01:33.100 --> 00:01:33.800]   just [SPEAKER_TURN]
[00:01:33.800 --> 00:01:33.800]  
[00:01:33.800 --> 00:01:34.370]   happening
[00:01:34.370 --> 00:01:34.690]   every
[00:01:34.690 --> 00:01:35.390]   Saturday
[00:01:35.390 --> 00:01:35.450]  ?
[00:01:35.450 --> 00:01:35.510]   So
[00:01:35.510 --> 00:01:35.760]   that
[00:01:35.760 --> 00:01:35.940]   one
[00:01:35.940 --> 00:01:36.200]   oh
[00:01:36.200 --> 00:01:36.320]   okay
[00:01:36.320 --> 00:01:36.570]   fair
[00:01:36.570 --> 00:01:36.940]   enough
[00:01:36.940 --> 00:01:37.200]   okay
[00:01:37.200 --> 00:01:37.320]  ,
[00:01:37.320 --> 00:01:37.760]   yeah
[00:01:37.760 --> 00:01:37.800]  .
[00:01:37.800 --> 00:01:37.880]   So
[00:01:37.880 --> 00:01:37.960]   I
[00:01:37.960 --> 00:01:38.260]   think
[00:01:38.260 --> 00:01:38.380]   we
[00:01:38.380 --> 00:01:38.700]   might
[00:01:38.700 --> 00:01:38.820]   be
[00:01:38.820 --> 00:01:39.070]   able
[00:01:39.070 --> 00:01:39.200]   to
[00:01:39.200 --> 00:01:39.440]   make
[00:01:39.440 --> 00:01:39.550]   it
[00:01:39.550 --> 00:01:39.990]   work
[00:01:39.990 --> 00:01:40.000]   you
[00:01:40.000 --> 00:01:40.280]   know
[00:01:40.280 --> 00:01:40.370]   at
[00:01:40.370 --> 00:01:40.810]   least
[00:01:40.810 --> 00:01:41.110]   at
[00:01:41.110 --> 00:01:41.130]   least
[00:01:41.130 --> 00:01:41.380]   more
[00:01:41.380 --> 00:01:41.630]   than
[00:01:41.630 --> 00:01:41.880]   once
[00:01:41.880 --> 00:01:42.140]   every
[00:01:42.140 --> 00:01:42.800]   three
[00:01:42.800 --> 00:01:42.960]   months
[00:01:42.960 --> 00:01:43.800]  . [SPEAKER_TURN]
[00:01:43.800 --> 00:01:49.650]   Right
[00:01:49.650 --> 00:01:53.290]  .
[00:01:53.290 --> 00:01:53.370]   And
[00:01:53.370 --> 00:01:53.510]   uh
[00:01:53.510 --> 00:01:53.720]   and
[00:01:53.720 --> 00:01:54.000]   then
[00:01:54.000 --> 00:01:54.140]   we
[00:01:54.140 --> 00:01:54.380]   did
[00:01:54.380 --> 00:01:54.560]   the
[00:01:54.560 --> 00:01:54.730]   uh
[00:01:54.730 --> 00:01:54.910]   the
[00:01:54.910 --> 00:01:55.120]   the
[00:01:55.120 --> 00:01:55.400]   lady
[00:01:55.400 --> 00:01:55.680]   from
[00:01:55.680 --> 00:01:55.820]   uh
[00:01:55.820 --> 00:01:55.890]   J
[00:01:55.890 --> 00:01:55.960]  _
[00:01:55.960 --> 00:01:56.030]  P
[00:01:56.030 --> 00:01:56.100]  _
[00:01:56.100 --> 00:01:56.170]  L
[00:01:56.170 --> 00:01:56.240]  _
[00:01:56.240 --> 00:01:56.380]   we
[00:01:56.380 --> 00:01:56.650]   did
[00:01:56.650 --> 00:01:56.940]   those
[00:01:56.940 --> 00:01:57.150]   two
[00:01:57.150 --> 00:01:57.850]   interviews
[00:01:57.850 --> 00:01:58.060]   but
[00:01:58.060 --> 00:01:58.550]   we
[00:01:58.550 --> 00:01:58.590]   haven
[00:01:58.590 --> 00:01:58.690]  't
[00:01:58.690 --> 00:01:58.970]   done
[00:01:58.970 --> 00:01:59.040]   a
[00:01:59.040 --> 00:01:59.740]   discussion
[00:01:59.740 --> 00:02:00.230]   podcast
[00:02:00.230 --> 00:02:00.570]   since
[00:02:00.570 --> 00:02:00.870]   when
[00:02:00.870 --> 00:02:01.760]  . [SPEAKER_TURN]
[00:02:01.760 --> 00:02:01.920]   Oh
[00:02:01.920 --> 00:02:02.320]   man
[00:02:02.320 --> 00:02:02.430]   it
[00:02:02.430 --> 00:02:02.480]  's
[00:02:02.480 --> 00:02:02.640]  ,
[00:02:02.640 --> 00:02:02.960]   been
[00:02:02.960 --> 00:02:03.040]   a
[00:02:03.040 --> 00:02:03.440]   while
[00:02:03.440 --> 00:02:03.700]  . [SPEAKER_TURN]
[00:02:03.700 --> 00:02:03.760]  
[00:02:03.760 --> 00:02:04.060]   November
[00:02:04.060 --> 00:02:04.150]   or
[00:02:04.150 --> 00:02:04.550]   something
[00:02:04.550 --> 00:02:04.760]  ?
[00:02:04.760 --> 00:02:04.890]   Well
[00:02:04.890 --> 00:02:05.380]   so
[00:02:05.380 --> 00:02:05.450]   alright
[00:02:05.450 --> 00:02:05.730]   well
[00:02:05.730 --> 00:02:05.730]   I
[00:02:05.730 --> 00:02:05.840]  'm
[00:02:05.840 --> 00:02:06.020]   I
[00:02:06.020 --> 00:02:06.050]   pr
[00:02:06.050 --> 00:02:06.080]   I
[00:02:06.080 --> 00:02:06.250]   you
[00:02:06.250 --> 00:02:06.500]   know
[00:02:06.500 --> 00:02:06.540]   I
[00:02:06.540 --> 00:02:07.160]   appreciate
[00:02:07.160 --> 00:02:07.270]   uh
[00:02:07.270 --> 00:02:07.300]   I
[00:02:07.300 --> 00:02:07.890]   appreciate
[00:02:07.890 --> 00:02:08.060]   Ken
[00:02:08.060 --> 00:02:08.470]   sending
[00:02:08.470 --> 00:02:08.700]   that
[00:02:08.700 --> 00:02:08.990]   email
[00:02:08.990 --> 00:02:09.160]  .
[00:02:09.160 --> 00:02:09.270]   It
[00:02:09.270 --> 00:02:09.480]   was
[00:02:09.480 --> 00:02:09.680]   nice
[00:02:09.680 --> 00:02:09.780]   it
[00:02:09.780 --> 00:02:09.950]   was
[00:02:09.950 --> 00:02:10.240]   a
[00:02:10.240 --> 00:02:10.440]   nice
[00:02:10.440 --> 00:02:10.530]   email
[00:02:10.530 --> 00:02:10.590]   I
[00:02:10.590 --> 00:02:10.760]   was
[00:02:10.760 --> 00:02:10.990]   like
[00:02:10.990 --> 00:02:11.240]   yeah
[00:02:11.240 --> 00:02:11.570]   you
[00:02:11.570 --> 00:02:11.640]   know
[00:02:11.640 --> 00:02:12.090]   actually
[00:02:12.090 --> 00:02:12.440]   people
[00:02:12.440 --> 00:02:12.500]   d
[00:02:12.500 --> 00:02:12.560]   I
[00:02:12.560 --> 00:02:12.850]   guess
[00:02:12.850 --> 00:02:13.140]   there
[00:02:13.140 --> 00:02:13.310]   are
[00:02:13.310 --> 00:02:13.540]   some
[00:02:13.540 --> 00:02:13.890]   people
[00:02:13.890 --> 00:02:14.050]   out
[00:02:14.050 --> 00:02:14.350]   there
[00:02:14.350 --> 00:02:14.580]   care
[00:02:14.580 --> 00:02:14.680]   w
[00:02:14.680 --> 00:02:15.080]   whether
[00:02:15.080 --> 00:02:15.160]   we
[00:02:15.160 --> 00:02:15.330]  're
[00:02:15.330 --> 00:02:15.620]   doing
[00:02:15.620 --> 00:02:16.000]   these
[00:02:16.000 --> 00:02:16.070]   or
[00:02:16.070 --> 00:02:16.220]   not
[00:02:16.220 --> 00:02:16.300]   so
[00:02:16.300 --> 00:02:16.530]   well
[00:02:16.530 --> 00:02:16.700]   why
[00:02:16.700 --> 00:02:16.870]   don
[00:02:16.870 --> 00:02:16.980]  't
[00:02:16.980 --> 00:02:17.090]   we
[00:02:17.090 --> 00:02:17.200]   do
[00:02:17.200 --> 00:02:17.610]   another
[00:02:17.610 --> 00:02:17.880]   one
[00:02:17.880 --> 00:02:18.010]   Plus
[00:02:18.010 --> 00:02:18.180]  .
[00:02:18.180 --> 00:02:18.290]   we
[00:02:18.290 --> 00:02:18.580]   haven
[00:02:18.580 --> 00:02:18.690]  't
[00:02:18.690 --> 00:02:19.210]   really
[00:02:19.210 --> 00:02:19.390]   talked
[00:02:19.390 --> 00:02:19.500]   in
[00:02:19.500 --> 00:02:19.550]   a
[00:02:19.550 --> 00:02:19.850]   while
[00:02:19.850 --> 00:02:20.060]   have
[00:02:20.060 --> 00:02:20.150]  ,
[00:02:20.150 --> 00:02:20.300]   we
[00:02:20.300 --> 00:02:21.560]  ? [SPEAKER_TURN]
[00:02:21.560 --> 00:02:22.980]   This
[00:02:22.980 --> 00:02:23.940]   sofa
[00:02:23.940 --> 00:02:25.180]   used
[00:02:25.180 --> 00:02:25.730]   to
[00:02:25.730 --> 00:02:26.360]   be
[00:02:26.360 --> 00:02:26.930]   on
[00:02:26.930 --> 00:02:28.120]   that
[00:02:28.120 --> 00:02:29.320]   side
[00:02:29.320 --> 00:02:32.640]  . [SPEAKER_TURN]
[00:02:32.660 --> 00:02:32.720]  
[00:02:32.720 --> 00:02:32.740]   Oh
[00:02:32.740 --> 00:02:32.870]   did
[00:02:32.870 --> 00:02:33.080]   Sandy
[00:02:33.080 --> 00:02:33.350]   switch
[00:02:33.350 --> 00:02:33.420]   '
[00:02:33.420 --> 00:02:33.460]  em
[00:02:33.460 --> 00:02:33.720]   around
[00:02:33.720 --> 00:02:33.850]  ?
[00:02:33.850 --> 00:02:33.890]   I
[00:02:33.890 --> 00:02:34.140]   didn
[00:02:34.140 --> 00:02:34.230]  't
[00:02:34.230 --> 00:02:34.350]   enter
[00:02:34.350 --> 00:02:34.610]   around
[00:02:34.610 --> 00:02:35.140]  . [SPEAKER_TURN]
[00:02:35.140 --> 00:02:39.480]   Okay
[00:02:39.480 --> 00:02:51.360]  . [SPEAKER_TURN]
[00:02:51.360 --> 00:02:53.190]   So
[00:02:53.190 --> 00:02:53.380]   if
[00:02:53.380 --> 00:02:53.410]   you
[00:02:53.410 --> 00:02:53.630]   just
[00:02:53.630 --> 00:02:53.950]   wanna
[00:02:53.950 --> 00:02:54.080]   do
[00:02:54.080 --> 00:02:54.210]   my
[00:02:54.210 --> 00:02:54.530]   quick
[00:02:54.530 --> 00:02:54.590]   n
[00:02:54.590 --> 00:02:54.760]  ug
[00:02:54.760 --> 00:02:54.900]  get
[00:02:54.900 --> 00:02:55.300]   update
[00:02:55.300 --> 00:02:55.470]   you
[00:02:55.470 --> 00:02:55.720]   know
[00:02:55.720 --> 00:02:56.060]  . [SPEAKER_TURN]
[00:02:56.060 --> 00:02:56.060]  
[00:02:56.060 --> 00:02:56.420]   that
[00:02:56.420 --> 00:02:56.930]   intro
[00:02:56.930 --> 00:02:57.360]  verse
[00:02:57.360 --> 00:02:57.630]   first
[00:02:57.630 --> 00:02:58.120]   otherwise
[00:02:58.120 --> 00:02:58.170]   I
[00:02:58.170 --> 00:02:58.270]  'm
[00:02:58.270 --> 00:02:58.540]   gonna
[00:02:58.540 --> 00:02:58.700]   mon
[00:02:58.700 --> 00:02:59.020]  ologue
[00:02:59.020 --> 00:02:59.180]   for
[00:02:59.180 --> 00:02:59.390]   like
[00:02:59.390 --> 00:02:59.500]   an
[00:02:59.500 --> 00:02:59.710]   hour
[00:02:59.710 --> 00:02:59.820]   so
[00:02:59.820 --> 00:02:59.980]   let
[00:02:59.980 --> 00:03:00.070]  's
[00:03:00.070 --> 00:03:00.240]   let
[00:03:00.240 --> 00:03:00.340]  's
[00:03:00.340 --> 00:03:00.540]   try
[00:03:00.540 --> 00:03:00.710]   and
[00:03:00.710 --> 00:03:00.910]   stop
[00:03:00.910 --> 00:03:01.080]   that
[00:03:01.080 --> 00:03:01.240]  .
[00:03:01.240 --> 00:03:01.400]   And
[00:03:01.400 --> 00:03:01.500]   if
[00:03:01.500 --> 00:03:01.710]   you
[00:03:01.710 --> 00:03:01.940]   have
[00:03:01.940 --> 00:03:02.150]   any
[00:03:02.150 --> 00:03:02.360]   topics
[00:03:02.360 --> 00:03:02.540]   or
[00:03:02.540 --> 00:03:02.790]   things
[00:03:02.790 --> 00:03:02.950]   you
[00:03:02.950 --> 00:03:03.220]   wanna
[00:03:03.220 --> 00:03:03.380]   you
[00:03:03.380 --> 00:03:03.850]   wanna
[00:03:03.850 --> 00:03:03.920]   bring
[00:03:03.920 --> 00:03:04.030]   up
[00:03:04.030 --> 00:03:04.190]   any
[00:03:04.190 --> 00:03:04.460]   stuff
[00:03:04.460 --> 00:03:04.660]   that
[00:03:04.660 --> 00:03:04.830]   you
[00:03:04.830 --> 00:03:04.990]  've
[00:03:04.990 --> 00:03:05.200]   read
[00:03:05.200 --> 00:03:05.980]   or [SPEAKER_TURN]
[00:03:05.980 --> 00:03:07.580]   Okay
[00:03:07.580 --> 00:03:09.230]   dude
[00:03:09.230 --> 00:03:09.940]  ,
[00:03:09.940 --> 00:03:10.620]   it
[00:03:10.620 --> 00:03:12.170]   okay
[00:03:12.170 --> 00:03:14.370]   good
[00:03:14.370 --> 00:03:15.270]   good
[00:03:15.270 --> 00:03:16.820]   that
[00:03:16.820 --> 00:03:17.590]  's
[00:03:17.590 --> 00:03:18.090]   a
[00:03:18.090 --> 00:03:19.730]   good
[00:03:19.730 --> 00:03:20.830]   idea
[00:03:20.830 --> 00:03:25.360]  . [SPEAKER_TURN]
[00:03:25.360 --> 00:03:25.450]   Okay
[00:03:25.450 --> 00:03:25.720]  . [SPEAKER_TURN]
[00:03:25.720 --> 00:03:25.720]  
[00:03:25.720 --> 00:03:26.130]   turned
[00:03:26.130 --> 00:03:26.720]   into
[00:03:26.720 --> 00:03:27.020]   operation
[00:03:27.020 --> 00:03:27.720]   operating
[00:03:27.720 --> 00:03:27.980]   table
[00:03:27.980 --> 00:03:28.760]  . [SPEAKER_TURN]
[00:03:28.760 --> 00:03:30.630]   Operation
[00:03:30.630 --> 00:03:32.000]   operation
[00:03:32.000 --> 00:03:33.980]  ? [SPEAKER_TURN]
[00:03:33.980 --> 00:03:34.040]  
[00:03:34.040 --> 00:03:34.240]   So
[00:03:34.240 --> 00:03:34.560]   yeah
[00:03:34.560 --> 00:03:34.930]   so
[00:03:34.930 --> 00:03:35.040]   let
[00:03:35.040 --> 00:03:35.230]  's
[00:03:35.230 --> 00:03:35.490]   just
[00:03:35.490 --> 00:03:36.010]   talk
[00:03:36.010 --> 00:03:36.570]   a
[00:03:36.570 --> 00:03:36.700]   little
[00:03:36.700 --> 00:03:37.710]   background
[00:03:37.710 --> 00:03:38.000]  .
[00:03:38.000 --> 00:03:38.250]   So
