
[00:00:00.000 --> 00:00:00.880]  
[00:00:00.880 --> 00:00:02.000]   ordinary
[00:00:29.520 --> 00:00:29.570]   On
[00:00:29.570 --> 00:00:29.900]   today
[00:00:29.900 --> 00:00:30.050]  's
[00:00:30.050 --> 00:00:30.370]   show
[00:00:30.370 --> 00:00:30.500]   we
[00:00:30.500 --> 00:00:30.800]   have
[00:00:30.800 --> 00:00:31.120]   once
[00:00:31.120 --> 00:00:31.480]   again
[00:00:31.480 --> 00:00:31.710]   the
[00:00:31.710 --> 00:00:32.390]   guest
[00:00:32.390 --> 00:00:32.400]   Phil
[00:00:32.400 --> 00:00:32.540]  ,
[00:00:32.540 --> 00:00:32.610]   A
[00:00:32.610 --> 00:00:32.930]  iman
[00:00:32.930 --> 00:00:33.130]  .
[00:00:33.130 --> 00:00:33.380]   He
[00:00:33.380 --> 00:00:33.430]   is
[00:00:33.430 --> 00:00:33.660]   the
[00:00:33.660 --> 00:00:33.960]   only
[00:00:33.960 --> 00:00:34.340]   guest
[00:00:34.340 --> 00:00:34.560]  .
[00:00:34.560 --> 00:00:34.790]   And
[00:00:34.790 --> 00:00:34.940]   uh
[00:00:34.940 --> 00:00:35.100]   we
[00:00:35.100 --> 00:00:35.320]   are
[00:00:35.320 --> 00:00:36.010]   recording
[00:00:36.010 --> 00:00:36.240]   the
[00:00:36.240 --> 00:00:36.540]   show
[00:00:36.540 --> 00:00:36.850]   from
[00:00:36.850 --> 00:00:37.160]   Phil
[00:00:37.160 --> 00:00:37.290]  's
[00:00:37.290 --> 00:00:37.440]   um
[00:00:37.440 --> 00:00:38.310]   apartment
[00:00:38.310 --> 00:00:38.350]  .
[00:00:38.350 --> 00:00:38.730]   Jason
[00:00:38.730 --> 00:00:38.910]  's
[00:00:38.910 --> 00:00:39.440]   sitting
[00:00:39.440 --> 00:00:39.560]   on
[00:00:39.560 --> 00:00:39.840]   the
[00:00:39.840 --> 00:00:40.020]   big
[00:00:40.020 --> 00:00:40.400]   chair
[00:00:40.400 --> 00:00:40.730]   with
[00:00:40.730 --> 00:00:40.930]   the
[00:00:40.930 --> 00:00:41.470]   bare
[00:00:41.470 --> 00:00:41.600]   skin
[00:00:41.600 --> 00:00:41.750]  .
[00:00:41.750 --> 00:00:41.990]   He
[00:00:41.990 --> 00:00:42.070]  's
[00:00:42.070 --> 00:00:42.620]   looking
[00:00:42.620 --> 00:00:42.730]   at
[00:00:42.730 --> 00:00:42.960]   his
[00:00:42.960 --> 00:00:43.340]   phone
[00:00:43.340 --> 00:00:43.490]   in
[00:00:43.490 --> 00:00:43.560]   a
[00:00:43.560 --> 00:00:43.860]   very
[00:00:43.860 --> 00:00:44.010]   gr
[00:00:44.010 --> 00:00:44.310]  umpy
[00:00:44.310 --> 00:00:44.770]   manner
[00:00:44.770 --> 00:00:45.960]  . [SPEAKER_TURN]
[00:00:45.960 --> 00:00:46.900]   That
[00:00:46.900 --> 00:00:47.320]  's
[00:00:47.320 --> 00:00:48.290]   right
[00:00:48.290 --> 00:00:48.940]  .
[00:00:48.940 --> 00:00:49.320]   That
[00:00:49.320 --> 00:00:49.620]  's
[00:00:49.620 --> 00:00:49.980]   right
[00:00:49.980 --> 00:00:50.280]  .
[00:00:50.280 --> 00:00:50.280]  
[00:00:50.280 --> 00:00:50.580]   Just
[00:00:50.580 --> 00:00:51.250]   therefore
[00:00:51.250 --> 00:00:51.320]   I
[00:00:51.320 --> 00:00:51.850]   claimed
[00:00:51.850 --> 00:00:51.990]   it
[00:00:51.990 --> 00:00:52.140]  's
[00:00:52.140 --> 00:00:52.440]   mine
[00:00:52.440 --> 00:00:53.040]   whenever
[00:00:53.040 --> 00:00:53.110]   I
[00:00:53.110 --> 00:00:53.480]   visit
[00:00:53.480 --> 00:00:54.360]  . [SPEAKER_TURN]
[00:00:54.360 --> 00:00:54.560]   Take
[00:00:54.560 --> 00:00:54.620]   a
[00:00:54.620 --> 00:00:55.000]   picture
[00:00:55.000 --> 00:00:55.100]   of
[00:00:55.100 --> 00:00:55.310]   that
[00:00:55.310 --> 00:00:55.580]   chair
[00:00:55.580 --> 00:00:55.800]   and
[00:00:55.800 --> 00:00:55.900]   put
[00:00:55.900 --> 00:00:56.000]   it
[00:00:56.000 --> 00:00:56.100]   on
[00:00:56.100 --> 00:00:56.270]   the
[00:00:56.270 --> 00:00:56.470]   site
[00:00:56.470 --> 00:00:56.780]  . [SPEAKER_TURN]
[00:00:56.780 --> 00:00:56.900]   Yep
[00:00:56.900 --> 00:00:57.040]  . [SPEAKER_TURN]
[00:00:57.040 --> 00:00:59.280]   So [SPEAKER_TURN]
[00:00:59.280 --> 00:00:59.340]   So
[00:00:59.340 --> 00:00:59.510]   what
[00:00:59.510 --> 00:00:59.960]   you
[00:00:59.960 --> 00:01:00.000]   got
[00:01:00.000 --> 00:01:00.290]   for
[00:01:00.290 --> 00:01:00.300]   us
[00:01:00.300 --> 00:01:00.540]   this
[00:01:00.540 --> 00:01:00.840]   week
[00:01:00.840 --> 00:01:01.460]  ? [SPEAKER_TURN]
[00:01:01.460 --> 00:01:01.460]  
[00:01:01.460 --> 00:01:01.740]   Well
[00:01:01.740 --> 00:01:01.950]   you
[00:01:01.950 --> 00:01:02.230]   know
[00:01:02.230 --> 00:01:02.510]   what
[00:01:02.510 --> 00:01:02.580]   I
[00:01:02.580 --> 00:01:02.650]   I
[00:01:02.650 --> 00:01:02.790]   th
[00:01:02.790 --> 00:01:03.040]   th
[00:01:03.040 --> 00:01:03.070]   it
[00:01:03.070 --> 00:01:03.230]  's
[00:01:03.230 --> 00:01:03.630]   always
[00:01:03.630 --> 00:01:03.770]   me
[00:01:03.770 --> 00:01:03.970]  .
[00:01:03.970 --> 00:01:04.240]   But
[00:01:04.240 --> 00:01:04.300]   I
[00:01:04.300 --> 00:01:04.430]  'm
[00:01:04.430 --> 00:01:04.470]   I
[00:01:04.470 --> 00:01:04.820]   wanna
[00:01:04.820 --> 00:01:05.170]   start
[00:01:05.170 --> 00:01:05.460]   with
[00:01:05.460 --> 00:01:05.660]   you
[00:01:05.660 --> 00:01:05.870]   now
[00:01:05.870 --> 00:01:06.080]  .
[00:01:06.080 --> 00:01:06.150]   I
[00:01:06.150 --> 00:01:06.500]   wanna
[00:01:06.500 --> 00:01:06.960]   start
[00:01:06.960 --> 00:01:07.130]   with
[00:01:07.130 --> 00:01:07.350]   you
[00:01:07.350 --> 00:01:07.550]  .
[00:01:07.550 --> 00:01:07.690]   No
[00:01:07.690 --> 00:01:07.970]   wait
[00:01:07.970 --> 00:01:08.250]   wait
[00:01:08.250 --> 00:01:08.530]   wait
[00:01:08.530 --> 00:01:08.810]   wait
[00:01:08.810 --> 00:01:09.090]   wait
[00:01:09.090 --> 00:01:09.360]   wait
[00:01:09.360 --> 00:01:09.510]   no
[00:01:09.510 --> 00:01:09.650]   no
[00:01:09.650 --> 00:01:09.790]   no
[00:01:09.790 --> 00:01:09.930]   no
[00:01:09.930 --> 00:01:10.160]  .
[00:01:10.160 --> 00:01:10.280]   It
[00:01:10.280 --> 00:01:10.420]  's
[00:01:10.420 --> 00:01:10.760]   just
[00:01:10.760 --> 00:01:10.840]   it
[00:01:10.840 --> 00:01:10.980]  's
[00:01:10.980 --> 00:01:11.260]   just
[00:01:11.260 --> 00:01:11.330]   a
[00:01:11.330 --> 00:01:11.470]   it
[00:01:11.470 --> 00:01:11.610]  's
[00:01:11.610 --> 00:01:12.000]   just
[00:01:12.000 --> 00:01:12.240]   wanna
[00:01:12.240 --> 00:01:12.310]   I
[00:01:12.310 --> 00:01:12.590]   just
[00:01:12.590 --> 00:01:12.940]   wanna
[00:01:12.940 --> 00:01:13.220]   hear
[00:01:13.220 --> 00:01:13.500]   what
[00:01:13.500 --> 00:01:13.710]   you
[00:01:13.710 --> 00:01:13.990]   have
[00:01:13.990 --> 00:01:14.130]   to
[00:01:14.130 --> 00:01:14.340]   say
[00:01:14.340 --> 00:01:14.760]   about
[00:01:14.760 --> 00:01:14.940]   the
[00:01:14.940 --> 00:01:15.250]   stuff
[00:01:15.250 --> 00:01:15.530]   that
[00:01:15.530 --> 00:01:15.740]   you
[00:01:15.740 --> 00:01:15.950]  've
[00:01:15.950 --> 00:01:16.390]   got
[00:01:16.390 --> 00:01:16.510]   going
[00:01:16.510 --> 00:01:16.650]   on
[00:01:16.650 --> 00:01:16.790]   '
[00:01:16.790 --> 00:01:17.070]  cause
[00:01:17.070 --> 00:01:17.140]   I
[00:01:17.140 --> 00:01:17.350]  've
[00:01:17.350 --> 00:01:17.480]   we
[00:01:17.480 --> 00:01:17.870]   haven
[00:01:17.870 --> 00:01:17.980]  't
[00:01:17.980 --> 00:01:18.390]   spoken
[00:01:18.390 --> 00:01:18.680]   for
[00:01:18.680 --> 00:01:18.680]   a
[00:01:18.680 --> 00:01:19.030]   while
[00:01:19.030 --> 00:01:19.200]   as
[00:01:19.200 --> 00:01:19.660]   friends
[00:01:19.660 --> 00:01:19.870]   and
[00:01:19.870 --> 00:01:19.940]   I
[00:01:19.940 --> 00:01:20.080]  'm
[00:01:20.080 --> 00:01:20.430]   very
[00:01:20.430 --> 00:01:21.060]   interested
[00:01:21.060 --> 00:01:21.200]   to
[00:01:21.200 --> 00:01:21.480]   hear
[00:01:21.480 --> 00:01:21.690]   how
[00:01:21.690 --> 00:01:21.790]   um
[00:01:21.790 --> 00:01:21.880]   how
[00:01:21.880 --> 00:01:22.600]   catalyst
[00:01:22.600 --> 00:01:22.920]   is
[00:01:22.920 --> 00:01:23.090]   going
[00:01:23.090 --> 00:01:24.160]  . [SPEAKER_TURN]
[00:01:24.160 --> 00:01:24.170]   I
[00:01:24.170 --> 00:01:25.140]   was
[00:01:25.140 --> 00:01:25.190]   gonna
[00:01:25.190 --> 00:01:25.520]   say
[00:01:25.520 --> 00:01:26.440]   catalyst
[00:01:26.440 --> 00:01:26.780]  .
[00:01:26.780 --> 00:01:27.010]   Oh
[00:01:27.010 --> 00:01:28.320]  . [SPEAKER_TURN]
[00:01:28.320 --> 00:01:28.340]   I
[00:01:28.340 --> 00:01:28.410]   don
[00:01:28.410 --> 00:01:28.460]  't
[00:01:28.460 --> 00:01:28.560]   know
[00:01:28.560 --> 00:01:28.660]   what
[00:01:28.660 --> 00:01:28.730]   you
[00:01:28.730 --> 00:01:28.800]  're
[00:01:28.800 --> 00:01:28.970]   talking
[00:01:28.970 --> 00:01:29.090]   about
[00:01:29.090 --> 00:01:29.400]  . [SPEAKER_TURN]
[00:01:30.600 --> 00:01:30.600]  
[00:01:30.600 --> 00:01:30.850]   Even
[00:01:30.850 --> 00:01:30.910]   I
[00:01:30.910 --> 00:01:31.160]   know
[00:01:31.160 --> 00:01:31.410]   that
[00:01:31.410 --> 00:01:31.620]  .
[00:01:31.620 --> 00:01:31.710]   My
[00:01:31.710 --> 00:01:32.240]   catalyst
[00:01:32.240 --> 00:01:32.480]   that
[00:01:32.480 --> 00:01:32.600]  's
[00:01:32.600 --> 00:01:32.660]   a
[00:01:32.660 --> 00:01:32.980]   blast
[00:01:32.980 --> 00:01:33.100]   in
[00:01:33.100 --> 00:01:33.290]   the
[00:01:33.290 --> 00:01:33.540]   past
[00:01:33.540 --> 00:01:34.340]  . [SPEAKER_TURN]
[00:01:34.340 --> 00:01:34.550]   Math
[00:01:34.550 --> 00:01:34.920]   academy
[00:01:34.920 --> 00:01:35.520]  . [SPEAKER_TURN]
[00:01:35.520 --> 00:01:35.850]   See
[00:01:35.850 --> 00:01:35.870]   this
[00:01:35.870 --> 00:01:35.970]   is
[00:01:35.970 --> 00:01:36.120]   all
[00:01:36.120 --> 00:01:36.270]   def
[00:01:36.270 --> 00:01:36.620]  lection
[00:01:36.620 --> 00:01:37.080]   technique
[00:01:37.080 --> 00:01:37.140]   '
[00:01:37.140 --> 00:01:37.370]  cause
[00:01:37.370 --> 00:01:37.670]   Justin
[00:01:37.670 --> 00:01:37.850]   has
[00:01:37.850 --> 00:01:37.920]   no
[00:01:37.920 --> 00:01:38.190]   links
[00:01:38.190 --> 00:01:38.740]  . [SPEAKER_TURN]
[00:01:38.740 --> 00:01:38.980]   Well
[00:01:38.980 --> 00:01:39.090]   no
[00:01:39.090 --> 00:01:39.220]   he
[00:01:39.220 --> 00:01:39.420]   has
[00:01:39.420 --> 00:01:39.940]   something
[00:01:39.940 --> 00:01:40.060]   he
[00:01:40.060 --> 00:01:40.360]   doesn
[00:01:40.360 --> 00:01:40.540]  't
[00:01:40.540 --> 00:01:40.780]   wanna
[00:01:40.780 --> 00:01:41.020]   talk
[00:01:41.020 --> 00:01:41.320]   about
[00:01:41.320 --> 00:01:41.500]  .
[00:01:41.500 --> 00:01:41.620]   So
[00:01:41.620 --> 00:01:41.800]   now
[00:01:41.800 --> 00:01:41.920]   we
[00:01:41.920 --> 00:01:42.100]  're
[00:01:42.100 --> 00:01:42.220]   uh
[00:01:42.220 --> 00:01:42.340]   uh
[00:01:42.340 --> 00:01:42.700]   obfusc
[00:01:42.700 --> 00:01:43.000]  ation
[00:01:43.000 --> 00:01:43.700]  . [SPEAKER_TURN]
[00:01:43.700 --> 00:01:43.780]   I
[00:01:43.780 --> 00:01:44.120]   my
[00:01:44.120 --> 00:01:44.270]   links
[00:01:44.270 --> 00:01:44.340]   I
[00:01:44.340 --> 00:01:44.560]  've
[00:01:44.560 --> 00:01:44.780]   got
[00:01:44.780 --> 00:01:45.000]   I
[00:01:45.000 --> 00:01:45.070]  've
[00:01:45.070 --> 00:01:45.290]   got
[00:01:45.290 --> 00:01:45.360]   a
[00:01:45.360 --> 00:01:45.720]   bunch
[00:01:45.720 --> 00:01:45.930]   of
[00:01:45.930 --> 00:01:46.270]   links
[00:01:46.270 --> 00:01:46.440]  .
[00:01:46.440 --> 00:01:46.730]   Yeah
[00:01:46.730 --> 00:01:47.620]  . [SPEAKER_TURN]
[00:01:47.620 --> 00:01:47.770]   On
[00:01:47.770 --> 00:01:48.220]   Hacker
[00:01:48.220 --> 00:01:48.520]   News
[00:01:48.520 --> 00:01:49.380]  . [SPEAKER_TURN]
[00:01:49.380 --> 00:01:49.710]   Look
[00:01:49.710 --> 00:01:49.920]   the
[00:01:49.920 --> 00:01:50.300]   links
[00:01:50.300 --> 00:01:50.470]   that
[00:01:50.470 --> 00:01:50.800]   I
[00:01:50.800 --> 00:01:50.980]   get
[00:01:50.980 --> 00:01:50.990]   I
[00:01:50.990 --> 00:01:51.650]   collect
[00:01:51.650 --> 00:01:52.020]   during
[00:01:52.020 --> 00:01:52.210]   the
[00:01:52.210 --> 00:01:52.520]   time
[00:01:52.520 --> 00:01:52.860]   that
[00:01:52.860 --> 00:01:52.980]   we
[00:01:52.980 --> 00:01:53.150]   are
[00:01:53.150 --> 00:01:53.710]   not
[00:01:53.710 --> 00:01:54.060]   together
[00:01:54.060 --> 00:01:54.290]  .
[00:01:54.290 --> 00:01:54.440]   So
[00:01:54.440 --> 00:01:54.590]   it
[00:01:54.590 --> 00:01:54.740]  's
[00:01:54.740 --> 00:01:54.970]   not
[00:01:54.970 --> 00:01:55.280]   like
[00:01:55.280 --> 00:01:55.350]   I
[00:01:55.350 --> 00:01:55.660]   just
[00:01:55.660 --> 00:01:56.120]   opened
[00:01:56.120 --> 00:01:56.270]   up
[00:01:56.270 --> 00:01:56.730]   Hacker
[00:01:56.730 --> 00:01:57.070]   News
[00:01:57.070 --> 00:01:58.020]   and [SPEAKER_TURN]
[00:01:59.800 --> 00:01:59.850]  
[00:01:59.850 --> 00:02:00.230]   Exactly
[00:02:00.230 --> 00:02:00.640]  .
[00:02:00.640 --> 00:02:00.660]   That
[00:02:00.660 --> 00:02:00.820]  's
[00:02:00.820 --> 00:02:00.840]   a
[00:02:00.840 --> 00:02:01.210]   really
[00:02:01.210 --> 00:02:01.460]   good
[00:02:01.460 --> 00:02:01.570]   um
[00:02:01.570 --> 00:02:02.080]   imperson
[00:02:02.080 --> 00:02:02.380]  ation
[00:02:02.380 --> 00:02:02.500]   of
[00:02:02.500 --> 00:02:02.630]   me
[00:02:02.630 --> 00:02:02.740]   by
[00:02:02.740 --> 00:02:02.990]   the
[00:02:02.990 --> 00:02:03.100]   way
[00:02:03.100 --> 00:02:03.270]  .
[00:02:03.270 --> 00:02:03.500]   Yeah
[00:02:03.500 --> 00:02:04.300]  . [SPEAKER_TURN]
[00:02:04.300 --> 00:02:04.480]   I
[00:02:04.480 --> 00:02:04.670]   wanna
[00:02:04.670 --> 00:02:04.800]   be
[00:02:04.800 --> 00:02:05.170]   trying
[00:02:05.170 --> 00:02:05.230]   '
[00:02:05.230 --> 00:02:05.570]  cause
[00:02:05.570 --> 00:02:05.600]   I
[00:02:05.600 --> 00:02:05.790]   got
[00:02:05.790 --> 00:02:05.850]   I
[00:02:05.850 --> 00:02:06.040]   got
[00:02:06.040 --> 00:02:06.540]   mediocre
[00:02:06.540 --> 00:02:06.980]   reviews
[00:02:06.980 --> 00:02:07.230]   last
[00:02:07.230 --> 00:02:07.480]   time
[00:02:07.480 --> 00:02:07.530]   on
[00:02:07.530 --> 00:02:07.710]   my
[00:02:07.710 --> 00:02:08.030]   it
[00:02:08.030 --> 00:02:08.110]   was
[00:02:08.110 --> 00:02:08.340]   close
[00:02:08.340 --> 00:02:08.460]   to
[00:02:08.460 --> 00:02:08.650]   him
[00:02:08.650 --> 00:02:08.840]  .
[00:02:08.840 --> 00:02:08.960]   So
[00:02:08.960 --> 00:02:09.020]   I
[00:02:09.020 --> 00:02:09.210]  'll
[00:02:09.210 --> 00:02:09.520]   keep
[00:02:09.520 --> 00:02:09.580]   I
[00:02:09.580 --> 00:02:09.710]  'll
[00:02:09.710 --> 00:02:10.060]   keep
[00:02:10.060 --> 00:02:10.400]   hacking
[00:02:10.400 --> 00:02:10.530]   on
[00:02:10.530 --> 00:02:10.640]   it
[00:02:10.640 --> 00:02:10.830]  .
[00:02:10.830 --> 00:02:11.220]   Pers
[00:02:11.220 --> 00:02:11.520]  istence
[00:02:11.520 --> 00:02:11.770]   wins
[00:02:11.770 --> 00:02:12.640]  . [SPEAKER_TURN]
[00:02:26.140 --> 00:02:26.230]  
[00:02:26.230 --> 00:02:26.260]   go
[00:02:26.260 --> 00:02:26.450]   and
[00:02:26.450 --> 00:02:26.500]   I
[00:02:26.500 --> 00:02:26.750]   said
[00:02:26.750 --> 00:02:26.930]   how
[00:02:26.930 --> 00:02:27.050]  's
[00:02:27.050 --> 00:02:27.230]   how
[00:02:27.230 --> 00:02:27.360]  's
[00:02:27.360 --> 00:02:27.630]   math
[00:02:27.630 --> 00:02:28.100]   academy
[00:02:28.100 --> 00:02:28.520]   going
[00:02:28.520 --> 00:02:28.520]   and
[00:02:28.520 --> 00:02:28.800]   you
[00:02:28.800 --> 00:02:28.880]  're
[00:02:28.880 --> 00:02:29.250]   saying
[00:02:29.250 --> 00:02:29.310]   I
[00:02:29.310 --> 00:02:29.480]   don
[00:02:29.480 --> 00:02:29.610]  't
[00:02:29.610 --> 00:02:29.920]   wanna
[00:02:29.920 --> 00:02:30.170]   talk
[00:02:30.170 --> 00:02:30.480]   about
[00:02:30.480 --> 00:02:30.600]   it
[00:02:30.600 --> 00:02:30.910]   until
[00:02:30.910 --> 00:02:31.030]   we
[00:02:31.030 --> 00:02:31.150]   do
[00:02:31.150 --> 00:02:31.330]   the
[00:02:31.330 --> 00:02:31.580]   show
[00:02:31.580 --> 00:02:31.760]  .
[00:02:31.760 --> 00:02:31.880]   So
[00:02:31.880 --> 00:02:32.060]   now
[00:02:32.060 --> 00:02:32.120]   I
[00:02:32.120 --> 00:02:32.240]  'm
[00:02:32.240 --> 00:02:32.610]   asking
[00:02:32.610 --> 00:02:32.790]   you
[00:02:32.790 --> 00:02:33.640]  . [SPEAKER_TURN]
[00:02:33.640 --> 00:02:33.730]   I
[00:02:33.730 --> 00:02:33.910]  'm
[00:02:33.910 --> 00:02:34.310]   like
[00:02:34.310 --> 00:02:34.630]   what
[00:02:34.630 --> 00:02:34.810]   am
[00:02:34.810 --> 00:02:34.900]   I
[00:02:34.900 --> 00:02:35.090]   to
[00:02:35.090 --> 00:02:35.440]   send
[00:02:35.440 --> 00:02:35.820]   this
[00:02:35.820 --> 00:02:35.980]   up
[00:02:35.980 --> 00:02:36.160]   in
[00:02:36.160 --> 00:02:36.760]   thirty
[00:02:36.760 --> 00:02:37.330]   seconds
[00:02:37.330 --> 00:02:37.630]  ?
[00:02:37.630 --> 00:02:37.860]   No
[00:02:37.860 --> 00:02:37.860]   s
[00:02:37.860 --> 00:02:38.230]   what
[00:02:38.230 --> 00:02:38.410]  's
[00:02:38.410 --> 00:02:38.910]   the
[00:02:38.910 --> 00:02:39.130]   point
[00:02:39.130 --> 00:02:39.150]   Um
[00:02:39.150 --> 00:02:40.400]  ? [SPEAKER_TURN]
[00:02:40.400 --> 00:02:40.490]   M
[00:02:40.490 --> 00:02:40.580]  m
[00:02:40.580 --> 00:02:40.750]  -
[00:02:40.750 --> 00:02:40.750]  h
[00:02:40.750 --> 00:02:40.940]  mm
[00:02:40.940 --> 00:02:41.600]  . [SPEAKER_TURN]
[00:02:41.600 --> 00:02:42.010]   Well
[00:02:42.010 --> 00:02:42.320]   there
[00:02:42.320 --> 00:02:42.480]  's
[00:02:42.480 --> 00:02:42.710]   you
[00:02:42.710 --> 00:02:43.050]   know
[00:02:43.050 --> 00:02:43.280]   the
[00:02:43.280 --> 00:02:43.350]   w
[00:02:43.350 --> 00:02:43.750]   there
[00:02:43.750 --> 00:02:43.920]  's
[00:02:43.920 --> 00:02:44.280]   my
[00:02:44.280 --> 00:02:44.480]   class
[00:02:44.480 --> 00:02:44.720]   and
[00:02:44.720 --> 00:02:45.080]   then
[00:02:45.080 --> 00:02:45.540]   there
[00:02:45.540 --> 00:02:45.600]  's
[00:02:45.600 --> 00:02:45.890]   the
[00:02:45.890 --> 00:02:46.450]   program
[00:02:46.450 --> 00:02:46.650]   the
[00:02:46.650 --> 00:02:47.460]   pilot
[00:02:47.460 --> 00:02:47.620]   program
[00:02:47.620 --> 00:02:47.860]   the
[00:02:47.860 --> 00:02:48.510]   district
[00:02:48.510 --> 00:02:49.110]   program
[00:02:49.110 --> 00:02:49.610]   right
[00:02:49.610 --> 00:02:50.400]  , [SPEAKER_TURN]
[00:02:50.400 --> 00:02:50.550]   And
[00:02:50.550 --> 00:02:50.580]   the
[00:02:50.580 --> 00:02:50.820]   software
[00:02:50.820 --> 00:02:51.160]  . [SPEAKER_TURN]
[00:02:51.840 --> 00:02:51.910]  
[00:02:51.910 --> 00:02:52.110]   And
[00:02:52.110 --> 00:02:52.420]   the
[00:02:52.420 --> 00:02:53.120]   software
[00:02:53.120 --> 00:02:53.380]  .
[00:02:53.380 --> 00:02:53.660]   So
[00:02:53.660 --> 00:02:54.030]   there
[00:02:54.030 --> 00:02:54.220]  's
[00:02:54.220 --> 00:02:54.670]   three
[00:02:54.670 --> 00:02:55.050]   sort
[00:02:55.050 --> 00:02:55.220]   of
[00:02:55.220 --> 00:02:55.310]   s
[00:02:55.310 --> 00:02:55.680]   sort
[00:02:55.680 --> 00:02:55.860]   of
[00:02:55.860 --> 00:02:56.230]   semi
[00:02:56.230 --> 00:02:56.320]  -
[00:02:56.320 --> 00:02:56.800]  separ
[00:02:56.800 --> 00:02:57.050]  ate
[00:02:57.050 --> 00:02:57.970]   inter
[00:02:57.970 --> 00:02:58.150]  related
[00:02:58.150 --> 00:02:58.820]   things
[00:02:58.820 --> 00:02:58.970]  .
[00:02:58.970 --> 00:02:59.150]   Um
[00:02:59.150 --> 00:02:59.310]   so
[00:02:59.310 --> 00:02:59.770]   my
[00:02:59.770 --> 00:02:59.970]   class
[00:02:59.970 --> 00:03:00.150]   is
[00:03:00.150 --> 00:03:00.610]   going
[00:03:00.610 --> 00:03:00.980]   well
[00:03:00.980 --> 00:03:01.470]   um
[00:03:01.470 --> 00:03:01.530]   you
[00:03:01.530 --> 00:03:01.810]   know
[00:03:01.810 --> 00:03:02.110]   we
[00:03:02.110 --> 00:03:02.190]   got
[00:03:02.190 --> 00:03:02.410]   our
[00:03:02.410 --> 00:03:02.780]   super
[00:03:02.780 --> 00:03:03.070]   late
[00:03:03.070 --> 00:03:03.440]   start
[00:03:03.440 --> 00:03:03.810]   right
[00:03:03.810 --> 00:03:03.950]  ,
[00:03:03.950 --> 00:03:04.090]   we
[00:03:04.090 --> 00:03:04.520]   didn
[00:03:04.520 --> 00:03:04.740]  't
[00:03:04.740 --> 00:03:04.800]   get
[00:03:04.800 --> 00:03:04.880]   go
[00:03:04.880 --> 00:03:05.250]   until
[00:03:05.250 --> 00:03:05.910]   Christmas
[00:03:05.910 --> 00:03:06.270]   which
[00:03:06.270 --> 00:03:06.400]   um
[00:03:06.400 --> 00:03:06.760]   kind
[00:03:06.760 --> 00:03:06.890]   of
[00:03:06.890 --> 00:03:07.200]   put
[00:03:07.200 --> 00:03:07.250]   us
[00:03:07.250 --> 00:03:07.580]   behind
[00:03:07.580 --> 00:03:07.840]   the
[00:03:07.840 --> 00:03:08.090]   eight
[00:03:08.090 --> 00:03:08.340]   ball
[00:03:08.340 --> 00:03:09.040]   considering
[00:03:09.040 --> 00:03:09.330]   what
[00:03:09.330 --> 00:03:09.350]   I
[00:03:09.350 --> 00:03:09.740]   wanted
[00:03:09.740 --> 00:03:09.980]   to
[00:03:09.980 --> 00:03:10.040]   try
[00:03:10.040 --> 00:03:10.220]   and
[00:03:10.220 --> 00:03:10.870]   accomplish
[00:03:10.870 --> 00:03:11.060]  .
[00:03:11.060 --> 00:03:11.370]   But
