
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.210]   Hey
[00:00:43.360 --> 00:00:43.360]   and
[00:00:43.360 --> 00:00:43.360]   Jason
[00:00:43.360 --> 00:00:43.360]   Roberts
[00:00:43.360 --> 00:00:43.360]  .
[00:00:43.360 --> 00:00:43.360]   On
[00:00:43.360 --> 00:00:43.360]   today
[00:00:43.360 --> 00:00:43.360]  's
[00:00:43.360 --> 00:00:43.360]   show
[00:00:43.360 --> 00:00:43.360]   our
[00:00:43.360 --> 00:00:43.360]   very
[00:00:43.360 --> 00:00:43.360]   special
[00:00:43.360 --> 00:00:43.360]   guest
[00:00:43.360 --> 00:00:43.360]   is
[00:00:43.360 --> 00:00:43.360]   Dan
[00:00:43.360 --> 00:00:43.360]   South
[00:00:43.360 --> 00:00:43.360]  worth
[00:00:43.360 --> 00:00:43.360]   who
[00:00:43.360 --> 00:00:43.360]   is
[00:00:43.360 --> 00:00:43.360]   a
[00:00:43.360 --> 00:00:43.360]   stunt
[00:00:43.360 --> 00:00:43.360]  man
[00:00:43.360 --> 00:00:43.360]  ,
[00:00:43.360 --> 00:00:43.360]   a
[00:00:43.360 --> 00:00:43.360]   quantum
[00:00:43.360 --> 00:00:43.360]   ranger
[00:00:43.360 --> 00:00:43.360]  ,
[00:00:43.360 --> 00:00:43.360]   founder
[00:00:43.360 --> 00:00:43.360]   of
[00:00:43.360 --> 00:00:43.360]   the
[00:00:43.360 --> 00:00:43.360]   web
[00:00:43.360 --> 00:00:43.360]   series
[00:00:43.360 --> 00:00:43.360]   Diver
[00:00:43.360 --> 00:00:43.360]  gence
[00:00:43.360 --> 00:00:43.360]   and
[00:00:43.360 --> 00:00:43.360]   last
[00:00:43.360 --> 00:00:43.360]   but
[00:00:43.360 --> 00:00:43.360]   not
[00:00:43.360 --> 00:00:43.360]   least
[00:00:43.360 --> 00:00:43.360]   Jason
[00:00:43.360 --> 00:00:43.360]  's
[00:00:43.360 --> 00:00:43.360]   friend
[00:00:43.360 --> 00:00:43.520]  . [SPEAKER_TURN]
[00:00:43.520 --> 00:00:43.950]   First
[00:00:43.950 --> 00:00:44.130]   of
[00:00:44.130 --> 00:00:44.380]   all
[00:00:44.380 --> 00:00:44.550]   he
[00:00:44.550 --> 00:00:44.720]  's
[00:00:44.720 --> 00:00:44.980]   not
[00:00:44.980 --> 00:00:45.060]   a
[00:00:45.060 --> 00:00:45.660]   quantum
[00:00:45.660 --> 00:00:46.170]   ranger
[00:00:46.170 --> 00:00:46.340]   he
[00:00:46.340 --> 00:00:46.510]  ,
[00:00:46.510 --> 00:00:46.680]   is
[00:00:46.680 --> 00:00:46.940]   the
[00:00:46.940 --> 00:00:47.540]   quantum
[00:00:47.540 --> 00:00:48.050]   ranger
[00:00:48.050 --> 00:00:48.220]   It
[00:00:48.220 --> 00:00:48.390]  's
[00:00:48.390 --> 00:00:48.640]  .
[00:00:48.640 --> 00:00:48.980]   like
[00:00:48.980 --> 00:00:49.240]   it
[00:00:49.240 --> 00:00:49.320]  's
[00:00:49.320 --> 00:00:49.660]   like
[00:00:49.660 --> 00:00:50.170]   saying
[00:00:50.170 --> 00:00:50.430]   you
[00:00:50.430 --> 00:00:50.680]  're
[00:00:50.680 --> 00:00:50.890]   a
[00:00:50.890 --> 00:00:51.270]   Batman
[00:00:51.270 --> 00:00:51.520]  .
[00:00:51.520 --> 00:00:51.860]   What
[00:00:51.860 --> 00:00:52.120]   the
[00:00:52.120 --> 00:00:52.480]   hell
[00:00:52.480 --> 00:00:52.630]   is
[00:00:52.630 --> 00:00:53.100]   that
[00:00:53.100 --> 00:00:55.400]  ? [SPEAKER_TURN]
[00:00:55.400 --> 00:00:55.420]  
[00:00:55.420 --> 00:00:55.440]   I
[00:00:55.440 --> 00:00:55.630]   didn
[00:00:55.630 --> 00:00:55.720]  't
[00:00:55.720 --> 00:00:55.910]   even
[00:00:55.910 --> 00:00:56.250]   realise
[00:00:56.250 --> 00:00:56.530]   that
[00:00:56.530 --> 00:00:56.680]   there
[00:00:56.680 --> 00:00:56.820]   was
[00:00:56.820 --> 00:00:57.200]   there
[00:00:57.200 --> 00:00:57.210]   was
[00:00:57.210 --> 00:00:57.390]   only
[00:00:57.390 --> 00:00:57.530]   one
[00:00:57.530 --> 00:00:57.870]   quantum
[00:00:57.870 --> 00:00:58.170]   ranger
[00:00:58.170 --> 00:00:58.300]  .
[00:00:58.300 --> 00:00:58.390]   It
[00:00:58.390 --> 00:00:58.680]   sounds
[00:00:58.680 --> 00:00:58.870]   like
[00:00:58.870 --> 00:00:58.910]   a
[00:00:58.910 --> 00:00:59.200]   plural
[00:00:59.200 --> 00:00:59.880]  . [SPEAKER_TURN]
[00:00:59.880 --> 00:01:00.130]   What
[00:01:00.130 --> 00:01:00.280]   kind
[00:01:00.280 --> 00:01:00.380]   of
[00:01:00.380 --> 00:01:00.580]   show
[00:01:00.580 --> 00:01:00.680]   we
[00:01:00.680 --> 00:01:00.830]   run
[00:01:00.830 --> 00:01:00.930]   in
[00:01:00.930 --> 00:01:01.130]   here
[00:01:01.130 --> 00:01:01.280]  ?
[00:01:01.280 --> 00:01:01.630]   Alright
[00:01:01.630 --> 00:01:01.800]  .
[00:01:01.800 --> 00:01:02.040]   Yeah
[00:01:02.040 --> 00:01:02.150]   so
[00:01:02.150 --> 00:01:02.270]   uh
[00:01:02.270 --> 00:01:02.460]   let
[00:01:02.460 --> 00:01:02.600]   me
[00:01:02.600 --> 00:01:02.760]   get
[00:01:02.760 --> 00:01:02.820]   a
[00:01:02.820 --> 00:01:03.420]   little
[00:01:03.420 --> 00:01:03.430]   back
[00:01:03.430 --> 00:01:03.550]   uh
[00:01:03.550 --> 00:01:03.920]   little
[00:01:03.920 --> 00:01:04.530]   background
[00:01:04.530 --> 00:01:04.770]   here
[00:01:04.770 --> 00:01:04.950]   and
[00:01:04.950 --> 00:01:05.190]   then
[00:01:05.190 --> 00:01:05.310]   we
[00:01:05.310 --> 00:01:05.540]  'll
[00:01:05.540 --> 00:01:05.600]   we
[00:01:05.600 --> 00:01:05.920]  'll
[00:01:05.920 --> 00:01:05.970]   dig
[00:01:05.970 --> 00:01:06.330]   into
[00:01:06.330 --> 00:01:06.330]   it
[00:01:06.330 --> 00:01:06.570]  .
[00:01:06.570 --> 00:01:06.630]   So
[00:01:06.630 --> 00:01:06.750]   um
[00:01:06.750 --> 00:01:06.930]   Dan
[00:01:06.930 --> 00:01:07.300]   thanks
[00:01:07.300 --> 00:01:07.480]   for
[00:01:07.480 --> 00:01:07.780]   first
[00:01:07.780 --> 00:01:07.900]   of
[00:01:07.900 --> 00:01:08.080]   all
[00:01:08.080 --> 00:01:08.450]   thanks
[00:01:08.450 --> 00:01:08.630]   for
[00:01:08.630 --> 00:01:09.000]   coming
[00:01:09.000 --> 00:01:09.120]   on
[00:01:09.120 --> 00:01:09.400]   the
[00:01:09.400 --> 00:01:09.540]   show
[00:01:09.540 --> 00:01:09.720]  .
[00:01:09.720 --> 00:01:09.890]   It
[00:01:09.890 --> 00:01:09.960]  's
[00:01:09.960 --> 00:01:10.340]   really
[00:01:10.340 --> 00:01:10.600]   cool
[00:01:10.600 --> 00:01:10.690]   to
[00:01:10.690 --> 00:01:10.930]   have
[00:01:10.930 --> 00:01:11.110]   you
[00:01:11.110 --> 00:01:11.350]   here
[00:01:11.350 --> 00:01:12.260]  . [SPEAKER_TURN]
[00:01:12.260 --> 00:01:12.570]   Well
[00:01:12.570 --> 00:01:12.800]   let
[00:01:12.800 --> 00:01:12.950]   me
[00:01:12.950 --> 00:01:13.330]   just
[00:01:13.330 --> 00:01:13.490]   say
[00:01:13.490 --> 00:01:13.720]   let
[00:01:13.720 --> 00:01:13.870]   me
[00:01:13.870 --> 00:01:14.180]   just
[00:01:14.180 --> 00:01:14.410]   say
[00:01:14.410 --> 00:01:14.590]   to
[00:01:14.590 --> 00:01:15.200]   Justin
[00:01:15.200 --> 00:01:15.340]   that
[00:01:15.340 --> 00:01:15.730]   all
[00:01:15.730 --> 00:01:15.890]   cars
[00:01:15.890 --> 00:01:16.150]   are
[00:01:16.150 --> 00:01:16.180]   f
[00:01:16.180 --> 00:01:16.430]   all
[00:01:16.430 --> 00:01:16.740]   cars
[00:01:16.740 --> 00:01:16.950]   can
[00:01:16.950 --> 00:01:17.140]   be
[00:01:17.140 --> 00:01:17.170]   F
[00:01:17.170 --> 00:01:17.480]  ords
[00:01:17.480 --> 00:01:17.710]   but
[00:01:17.710 --> 00:01:17.940]   not
[00:01:17.940 --> 00:01:18.240]   all
[00:01:18.240 --> 00:01:18.270]   F
[00:01:18.270 --> 00:01:18.550]  ords
[00:01:18.550 --> 00:01:18.780]   are
[00:01:18.780 --> 00:01:19.090]   cars
[00:01:19.090 --> 00:01:20.120]  . [SPEAKER_TURN]
[00:01:20.120 --> 00:01:20.150]   Ah
[00:01:20.150 --> 00:01:20.210]   okay
[00:01:20.210 --> 00:01:20.270]   fair
[00:01:20.270 --> 00:01:20.400]   enough
[00:01:20.400 --> 00:01:20.560]  . [SPEAKER_TURN]
[00:01:20.600 --> 00:01:20.630]  
[00:01:20.630 --> 00:01:21.040]   Right
[00:01:21.040 --> 00:01:21.330]  .
[00:01:21.330 --> 00:01:21.480]   So
[00:01:21.480 --> 00:01:21.650]   um
[00:01:21.650 --> 00:01:21.930]   let
[00:01:21.930 --> 00:01:22.100]  's
[00:01:22.100 --> 00:01:22.370]   see
[00:01:22.370 --> 00:01:22.820]   let
[00:01:22.820 --> 00:01:22.820]   me
[00:01:22.820 --> 00:01:23.360]   go
[00:01:23.360 --> 00:01:23.400]   back
[00:01:23.400 --> 00:01:23.630]   now
[00:01:23.630 --> 00:01:23.900]   how
[00:01:23.900 --> 00:01:24.170]   did
[00:01:24.170 --> 00:01:24.350]   we
[00:01:24.350 --> 00:01:24.710]   meet
[00:01:24.710 --> 00:01:24.890]   we
[00:01:24.890 --> 00:01:24.980]   m
[00:01:24.980 --> 00:01:25.240]   Dan
[00:01:25.240 --> 00:01:25.520]   and
[00:01:25.520 --> 00:01:25.690]   I
[00:01:25.690 --> 00:01:26.050]   first
[00:01:26.050 --> 00:01:26.320]   met
[00:01:26.320 --> 00:01:26.410]   I
[00:01:26.410 --> 00:01:26.580]  'm
[00:01:26.580 --> 00:01:27.290]   thinking
[00:01:27.290 --> 00:01:27.650]   like
[00:01:27.650 --> 00:01:28.360]   nineteen
[00:01:28.360 --> 00:01:28.890]   ninety
[00:01:28.890 --> 00:01:29.330]   seven
[00:01:29.330 --> 00:01:29.600]   Six
[00:01:29.600 --> 00:01:29.770]  us
[00:01:29.770 --> 00:01:30.290]   ninety
[00:01:30.290 --> 00:01:30.750]   seven
[00:01:30.750 --> 00:01:31.010]   and
[00:01:31.010 --> 00:01:31.370]   that
[00:01:31.370 --> 00:01:31.540]  's
[00:01:31.540 --> 00:01:31.980]   right
[00:01:31.980 --> 00:01:32.250]   now
[00:01:32.250 --> 00:01:32.430]   we
[00:01:32.430 --> 00:01:32.790]   that
[00:01:32.790 --> 00:01:33.290]  's
[00:01:33.290 --> 00:01:33.320]   when
[00:01:33.320 --> 00:01:33.500]   I
[00:01:33.500 --> 00:01:33.860]   moved
[00:01:33.860 --> 00:01:34.030]   in
[00:01:34.030 --> 00:01:34.420]   with
[00:01:34.420 --> 00:01:34.850]   you
[00:01:34.850 --> 00:01:34.930]   and
[00:01:34.930 --> 00:01:35.370]   three
[00:01:35.370 --> 00:01:35.810]   other
[00:01:35.810 --> 00:01:36.250]   stunt
[00:01:36.250 --> 00:01:36.610]  men
[00:01:36.610 --> 00:01:37.140]   Carlton
[00:01:37.140 --> 00:01:37.300]  ,
[00:01:37.300 --> 00:01:37.350]   B
[00:01:37.350 --> 00:01:37.940]  itch
[00:01:37.940 --> 00:01:38.010]   and
[00:01:38.010 --> 00:01:38.450]   Billy
[00:01:38.450 --> 00:01:38.860]   Wong
[00:01:38.860 --> 00:01:40.040]  . [SPEAKER_TURN]
[00:01:40.040 --> 00:01:40.060]   That
[00:01:40.060 --> 00:01:40.670]  's
[00:01:40.670 --> 00:01:40.780]   correct
[00:01:40.780 --> 00:01:40.950]   and
[00:01:40.950 --> 00:01:41.120]   and
[00:01:41.120 --> 00:01:41.580]   Mitchell
[00:01:41.580 --> 00:01:41.860]   Gould
[00:01:41.860 --> 00:01:42.520]  . [SPEAKER_TURN]
[00:01:42.520 --> 00:01:42.520]   Yeah
[00:01:42.520 --> 00:01:43.150]   and
[00:01:43.150 --> 00:01:43.150]   that
[00:01:43.150 --> 00:01:43.260]  's
[00:01:43.260 --> 00:01:43.370]   an
[00:01:43.370 --> 00:01:43.940]   experience
[00:01:43.940 --> 00:01:44.400]   everyone
[00:01:44.400 --> 00:01:44.740]   should
[00:01:44.740 --> 00:01:45.350]   experience
[00:01:45.350 --> 00:01:45.420]   is
[00:01:45.420 --> 00:01:45.650]   live
[00:01:45.650 --> 00:01:45.890]   with
[00:01:45.890 --> 00:01:46.110]   four
[00:01:46.110 --> 00:01:46.390]   stunt
[00:01:46.390 --> 00:01:46.560]  men
[00:01:46.560 --> 00:01:46.660]   in
[00:01:46.660 --> 00:01:46.840]   one
[00:01:46.840 --> 00:01:47.120]   house
[00:01:47.120 --> 00:01:47.340]   here
[00:01:47.340 --> 00:01:48.080]  . [SPEAKER_TURN]
[00:01:48.080 --> 00:01:48.410]   Yeah
[00:01:48.410 --> 00:01:48.600]  .
[00:01:48.600 --> 00:01:48.610]  
[00:01:48.610 --> 00:01:48.820]   You
[00:01:48.820 --> 00:01:49.280]   have
[00:01:49.280 --> 00:01:49.770]   stories
[00:01:49.770 --> 00:01:49.910]   you
[00:01:49.910 --> 00:01:50.160]   have
[00:01:50.160 --> 00:01:50.680]   stories
[00:01:50.680 --> 00:01:50.910]  .
[00:01:50.910 --> 00:01:51.050]   So
[00:01:51.050 --> 00:01:51.200]   we
[00:01:51.200 --> 00:01:51.570]   moved
[00:01:51.570 --> 00:01:51.720]   in
[00:01:51.720 --> 00:01:52.380]   together
[00:01:52.380 --> 00:01:52.540]   are
[00:01:52.540 --> 00:01:52.760]   you
[00:01:52.760 --> 00:01:53.310]   already
[00:01:53.310 --> 00:01:53.730]   living
[00:01:53.730 --> 00:01:54.090]   there
[00:01:54.090 --> 00:01:54.310]  ?
[00:01:54.310 --> 00:01:54.630]   No
[00:01:54.630 --> 00:01:54.770]   wait
[00:01:54.770 --> 00:01:54.840]   a
[00:01:54.840 --> 00:01:54.990]   ma
[00:01:54.990 --> 00:01:55.230]   how
[00:01:55.230 --> 00:01:55.360]  'd
[00:01:55.360 --> 00:01:55.660]   this
[00:01:55.660 --> 00:01:55.960]   work
[00:01:55.960 --> 00:01:56.180]  ?
[00:01:56.180 --> 00:01:56.250]   I
[00:01:56.250 --> 00:01:56.320]   l
[00:01:56.320 --> 00:01:56.390]   I
[00:01:56.390 --> 00:01:56.610]   was
[00:01:56.610 --> 00:01:57.100]   living
[00:01:57.100 --> 00:01:57.210]   in
[00:01:57.210 --> 00:01:57.580]   this
[00:01:57.580 --> 00:01:57.960]   closet
[00:01:57.960 --> 00:01:58.110]   of
[00:01:58.110 --> 00:01:58.180]   a
[00:01:58.180 --> 00:01:58.700]   bedroom
[00:01:58.700 --> 00:01:58.840]   we
[00:01:58.840 --> 00:01:59.300]   kicked
[00:01:59.300 --> 00:01:59.820]   someone
[00:01:59.820 --> 00:02:00.040]   out
[00:02:00.040 --> 00:02:00.350]   then
[00:02:00.350 --> 00:02:00.410]   I
[00:02:00.410 --> 00:02:00.710]   took
[00:02:00.710 --> 00:02:01.330]   another
[00:02:01.330 --> 00:02:01.750]   bedroom
[00:02:01.750 --> 00:02:02.040]   and
[00:02:02.040 --> 00:02:02.190]   you
[00:02:02.190 --> 00:02:02.490]   took
[00:02:02.490 --> 00:02:02.640]   my
[00:02:02.640 --> 00:02:02.860]   old
[00:02:02.860 --> 00:02:03.160]   room
[00:02:03.160 --> 00:02:04.280]  . [SPEAKER_TURN]
[00:02:04.280 --> 00:02:04.450]   That
[00:02:04.450 --> 00:02:04.720]  's
[00:02:04.720 --> 00:02:04.740]   right
[00:02:04.740 --> 00:02:05.130]   something
[00:02:05.130 --> 00:02:05.360]  ,
[00:02:05.360 --> 00:02:05.380]   like
[00:02:05.380 --> 00:02:05.550]   that
[00:02:05.550 --> 00:02:06.080]  . [SPEAKER_TURN]
[00:02:06.620 --> 00:02:06.710]  
[00:02:06.710 --> 00:02:06.970]   Right
[00:02:06.970 --> 00:02:07.200]   and
[00:02:07.200 --> 00:02:07.320]   so
[00:02:07.320 --> 00:02:07.530]   you
[00:02:07.530 --> 00:02:07.740]   you
[00:02:07.740 --> 00:02:07.850]   were
[00:02:07.850 --> 00:02:08.620]   friends
[00:02:08.620 --> 00:02:08.930]   you
[00:02:08.930 --> 00:02:08.950]   and
[00:02:08.950 --> 00:02:09.140]   you
[00:02:09.140 --> 00:02:09.350]   and
[00:02:09.350 --> 00:02:09.420]   I
[00:02:09.420 --> 00:02:09.650]   are
[00:02:09.650 --> 00:02:09.910]   both
[00:02:09.910 --> 00:02:10.400]   friends
[00:02:10.400 --> 00:02:10.680]   with
[00:02:10.680 --> 00:02:11.250]   Mitchell
[00:02:11.250 --> 00:02:11.450]  .
[00:02:11.450 --> 00:02:12.010]   Mitchell
[00:02:12.010 --> 00:02:12.230]   and
[00:02:12.230 --> 00:02:12.290]   I
[00:02:12.290 --> 00:02:12.570]   grew
[00:02:12.570 --> 00:02:12.710]   up
[00:02:12.710 --> 00:02:13.270]   together
[00:02:13.270 --> 00:02:13.800]   in
[00:02:13.800 --> 00:02:13.900]   Atlanta
[00:02:13.900 --> 00:02:14.110]   and
[00:02:14.110 --> 00:02:14.450]   after
[00:02:14.450 --> 00:02:14.720]   co
[00:02:14.720 --> 00:02:14.810]   and
[00:02:14.810 --> 00:02:14.990]   ca
[00:02:14.990 --> 00:02:15.510]   Mitchell
[00:02:15.510 --> 00:02:15.860]   moved
[00:02:15.860 --> 00:02:15.870]   out
[00:02:15.870 --> 00:02:16.280]   to
[00:02:16.280 --> 00:02:16.350]   L
[00:02:16.350 --> 00:02:16.350]  _
[00:02:16.350 --> 00:02:16.420]  A
[00:02:16.420 --> 00:02:16.490]  _
[00:02:16.490 --> 00:02:16.700]   for
[00:02:16.700 --> 00:02:17.190]   college
[00:02:17.190 --> 00:02:17.400]   and
[00:02:17.400 --> 00:02:17.870]   stayed
[00:02:17.870 --> 00:02:18.170]   there
[00:02:18.170 --> 00:02:18.420]   and
[00:02:18.420 --> 00:02:18.590]   and
[00:02:18.590 --> 00:02:19.020]   became
[00:02:19.020 --> 00:02:19.080]   a
[00:02:19.080 --> 00:02:19.430]   stunt
[00:02:19.430 --> 00:02:19.640]  man
[00:02:19.640 --> 00:02:19.800]   of
[00:02:19.800 --> 00:02:19.990]   all
[00:02:19.990 --> 00:02:20.430]   things
[00:02:20.430 --> 00:02:21.240]  . [SPEAKER_TURN]
[00:02:21.240 --> 00:02:21.400]   And
[00:02:21.400 --> 00:02:21.610]   that
[00:02:21.610 --> 00:02:21.710]  's
[00:02:21.710 --> 00:02:21.870]   how
[00:02:21.870 --> 00:02:21.970]   he
[00:02:21.970 --> 00:02:22.130]   and
[00:02:22.130 --> 00:02:22.180]   I
[00:02:22.180 --> 00:02:22.340]   met
[00:02:22.340 --> 00:02:22.440]   we
[00:02:22.440 --> 00:02:22.600]   met
[00:02:22.600 --> 00:02:23.100]   training
[00:02:23.100 --> 00:02:23.130]   in
[00:02:23.130 --> 00:02:23.290]   the
[00:02:23.290 --> 00:02:23.500]   same
[00:02:23.500 --> 00:02:23.930]   facility
[00:02:23.930 --> 00:02:24.250]   where
[00:02:24.250 --> 00:02:24.300]   a
[00:02:24.300 --> 00:02:24.410]   lot
[00:02:24.410 --> 00:02:24.510]   of
[00:02:24.510 --> 00:02:24.780]   stunt
[00:02:24.780 --> 00:02:25.100]   people
[00:02:25.100 --> 00:02:25.370]   train
[00:02:25.370 --> 00:02:25.740]   and
[00:02:25.740 --> 00:02:25.800]   stunt
[00:02:25.800 --> 00:02:26.120]   people
[00:02:26.120 --> 00:02:26.280]   and
[00:02:26.280 --> 00:02:26.610]   stunt
[00:02:26.610 --> 00:02:26.920]   actors
[00:02:26.920 --> 00:02:26.970]   or
[00:02:26.970 --> 00:02:27.290]   action
[00:02:27.290 --> 00:02:27.600]   actors
[00:02:27.600 --> 00:02:28.050]   whatever
[00:02:28.050 --> 00:02:28.200]   you
[00:02:28.200 --> 00:02:28.470]   wanna
[00:02:28.470 --> 00:02:28.680]   call
[00:02:28.680 --> 00:02:28.780]   it
[00:02:28.780 --> 00:02:29.520]  . [SPEAKER_TURN]
[00:02:30.080 --> 00:02:30.100]  
[00:02:30.100 --> 00:02:30.380]   Right
[00:02:30.380 --> 00:02:30.560]   and
[00:02:30.560 --> 00:02:30.740]   you
[00:02:30.740 --> 00:02:30.980]   guys
[00:02:30.980 --> 00:02:31.340]   are
[00:02:31.340 --> 00:02:31.400]   all
[00:02:31.400 --> 00:02:31.660]   both
[00:02:31.660 --> 00:02:31.820]   like
[00:02:31.820 --> 00:02:32.240]   martial
[00:02:32.240 --> 00:02:32.690]   artists
[00:02:32.690 --> 00:02:32.960]   slash
[00:02:32.960 --> 00:02:33.350]   gymn
[00:02:33.350 --> 00:02:33.380]  ast
[00:02:33.380 --> 00:02:33.680]   slash
[00:02:33.680 --> 00:02:33.980]   stunt
[00:02:33.980 --> 00:02:34.160]  men
[00:02:34.160 --> 00:02:34.470]   that
[00:02:34.470 --> 00:02:34.640]   kind
[00:02:34.640 --> 00:02:34.760]   of
[00:02:34.760 --> 00:02:35.190]   thing
[00:02:35.190 --> 00:02:35.360]   right
[00:02:35.360 --> 00:02:35.480]  ,
[00:02:35.480 --> 00:02:35.590]   Is
[00:02:35.590 --> 00:02:35.840]   that
[00:02:35.840 --> 00:02:36.880]   probably [SPEAKER_TURN]
[00:02:36.880 --> 00:02:37.300]   Yeah
[00:02:37.300 --> 00:02:37.540]   that
[00:02:37.540 --> 00:02:37.890]  's
[00:02:37.890 --> 00:02:38.200]   pretty
[00:02:38.200 --> 00:02:39.340]   good
[00:02:39.340 --> 00:02:39.450]   description
[00:02:39.450 --> 00:02:39.610]   of
[00:02:39.610 --> 00:02:40.100]   what
[00:02:40.100 --> 00:02:40.100]   we
[00:02:40.100 --> 00:02:40.260]   do
[00:02:40.260 --> 00:02:41.240]  . [SPEAKER_TURN]
[00:02:41.240 --> 00:02:41.380]   So
[00:02:41.380 --> 00:02:41.460]   so
[00:02:41.460 --> 00:02:41.570]   in
[00:02:41.570 --> 00:02:41.740]   the
[00:02:41.740 --> 00:02:42.080]   movies
[00:02:42.080 --> 00:02:42.310]   when
[00:02:42.310 --> 00:02:42.460]   you
[00:02:42.460 --> 00:02:42.770]   see
[00:02:42.770 --> 00:02:42.940]   these
[00:02:42.940 --> 00:02:43.270]   people
[00:02:43.270 --> 00:02:43.610]   flying
[00:02:43.610 --> 00:02:43.960]   around
[00:02:43.960 --> 00:02:44.250]   doing
[00:02:44.250 --> 00:02:44.540]   these
[00:02:44.540 --> 00:02:44.710]   con
[00:02:44.710 --> 00:02:44.880]   con
[00:02:44.880 --> 00:02:45.330]   twists
[00:02:45.330 --> 00:02:45.390]   and
[00:02:45.390 --> 00:02:45.680]   these
[00:02:45.680 --> 00:02:45.910]   kind
[00:02:45.910 --> 00:02:46.020]   of
[00:02:46.020 --> 00:02:46.360]   Jackie
[00:02:46.360 --> 00:02:46.590]   Chan
[00:02:46.590 --> 00:02:46.930]   kind
[00:02:46.930 --> 00:02:46.930]   of
[00:02:46.930 --> 00:02:47.450]   stuff
[00:02:47.450 --> 00:02:47.510]   that
[00:02:47.510 --> 00:02:47.560]  's
[00:02:47.560 --> 00:02:47.740]   the
[00:02:47.740 --> 00:02:47.960]   kind
[00:02:47.960 --> 00:02:48.070]   of
[00:02:48.070 --> 00:02:48.440]   stuff
[00:02:48.440 --> 00:02:48.590]   that
[00:02:48.590 --> 00:02:48.740]   uh
[00:02:48.740 --> 00:02:48.870]   you
[00:02:48.870 --> 00:02:49.040]   and
[00:02:49.040 --> 00:02:49.440]   Mitch
[00:02:49.440 --> 00:02:49.550]   do
[00:02:49.550 --> 00:02:50.280]  . [SPEAKER_TURN]
[00:02:50.280 --> 00:02:50.460]   That
[00:02:50.460 --> 00:02:50.550]  's
[00:02:50.550 --> 00:02:50.800]   Mitch
[00:02:50.800 --> 00:02:51.010]   Mitch
[00:02:51.010 --> 00:02:51.150]   and
[00:02:51.150 --> 00:02:51.190]   I
[00:02:51.190 --> 00:02:51.560]   worked
[00:02:51.560 --> 00:02:51.610]   for
[00:02:51.610 --> 00:02:51.750]   one
[00:02:51.750 --> 00:02:51.840]   of
[00:02:51.840 --> 00:02:52.120]   Jackie
[00:02:52.120 --> 00:02:52.300]   Chan
[00:02:52.300 --> 00:02:52.390]  's
[00:02:52.390 --> 00:02:52.620]   chore
[00:02:52.620 --> 00:02:53.040]  ographers
[00:02:53.040 --> 00:02:53.180]   for
[00:02:53.180 --> 00:02:53.410]   quite
[00:02:53.410 --> 00:02:53.450]   a
[00:02:53.450 --> 00:02:53.780]   while
[00:02:53.780 --> 00:02:54.000]   helping
[00:02:54.000 --> 00:02:54.140]   him
[00:02:54.140 --> 00:02:54.370]   build
[00:02:54.370 --> 00:02:54.520]   his
[00:02:54.520 --> 00:02:54.940]   directing
[00:02:54.940 --> 00:02:55.210]   career
