
[00:00:00.000 --> 00:00:00.010]  
[00:00:00.010 --> 00:00:00.110]   '
[00:00:28.590 --> 00:00:29.000]   founder
[00:00:29.000 --> 00:00:29.110]  ,
[00:00:29.110 --> 00:00:29.220]   of
[00:00:29.220 --> 00:00:29.570]   Growth
[00:00:29.570 --> 00:00:30.040]   Sciences
[00:00:30.040 --> 00:00:30.800]   International
[00:00:30.800 --> 00:00:31.180]  .
[00:00:31.180 --> 00:00:31.740]   Welcome
[00:00:31.740 --> 00:00:31.790]   to
[00:00:31.790 --> 00:00:31.920]   the
[00:00:31.920 --> 00:00:32.170]   show
[00:00:32.170 --> 00:00:32.540]   Thomas
[00:00:32.540 --> 00:00:32.820]  . [SPEAKER_TURN]
[00:00:32.820 --> 00:00:33.060]   Thank
[00:00:33.060 --> 00:00:33.330]   you
[00:00:33.330 --> 00:00:33.370]   nice
[00:00:33.370 --> 00:00:33.490]  ,
[00:00:33.490 --> 00:00:33.550]   to
[00:00:33.550 --> 00:00:33.640]   be
[00:00:33.640 --> 00:00:33.820]   here
[00:00:33.820 --> 00:00:34.360]  . [SPEAKER_TURN]
[00:00:34.820 --> 00:00:34.890]  
[00:00:34.890 --> 00:00:34.930]   So
[00:00:34.930 --> 00:00:35.310]   Thomas
[00:00:35.310 --> 00:00:35.680]   based
[00:00:35.680 --> 00:00:35.690]   on
[00:00:35.690 --> 00:00:35.910]   what
[00:00:35.910 --> 00:00:35.970]   I
[00:00:35.970 --> 00:00:36.140]  've
[00:00:36.140 --> 00:00:36.370]   read
[00:00:36.370 --> 00:00:36.540]   you
[00:00:36.540 --> 00:00:36.710]  've
[00:00:36.710 --> 00:00:37.250]   developed
[00:00:37.250 --> 00:00:37.350]   an
[00:00:37.350 --> 00:00:37.880]   extremely
[00:00:37.880 --> 00:00:38.410]   accurate
[00:00:38.410 --> 00:00:38.460]   uh
[00:00:38.460 --> 00:00:39.170]   mathematical
[00:00:39.170 --> 00:00:39.460]   model
[00:00:39.460 --> 00:00:39.630]   for
[00:00:39.630 --> 00:00:40.220]   predicting
[00:00:40.220 --> 00:00:40.630]   whether
[00:00:40.630 --> 00:00:40.740]   or
[00:00:40.740 --> 00:00:40.910]   not
[00:00:40.910 --> 00:00:40.990]   a
[00:00:40.990 --> 00:00:41.260]   start
[00:00:41.260 --> 00:00:41.310]  -
[00:00:41.310 --> 00:00:41.420]  up
[00:00:41.420 --> 00:00:41.650]   will
[00:00:41.650 --> 00:00:42.060]   succeed
[00:00:42.060 --> 00:00:42.170]   uh
[00:00:42.170 --> 00:00:42.830]   something
[00:00:42.830 --> 00:00:42.930]   that
[00:00:42.930 --> 00:00:43.220]   would
[00:00:43.220 --> 00:00:43.450]   seem
[00:00:43.450 --> 00:00:43.560]   to
[00:00:43.560 --> 00:00:43.670]   be
[00:00:43.670 --> 00:00:44.020]   pretty
[00:00:44.020 --> 00:00:44.080]   a
[00:00:44.080 --> 00:00:44.420]   pretty
[00:00:44.420 --> 00:00:44.660]   hard
[00:00:44.660 --> 00:00:44.950]   thing
[00:00:44.950 --> 00:00:45.060]   to
[00:00:45.060 --> 00:00:45.170]   do
[00:00:45.170 --> 00:00:45.280]   so
[00:00:45.280 --> 00:00:45.570]   could
[00:00:45.570 --> 00:00:45.740]   you
[00:00:45.740 --> 00:00:46.030]   maybe
[00:00:46.030 --> 00:00:46.320]   start
[00:00:46.320 --> 00:00:46.600]   out
[00:00:46.600 --> 00:00:46.600]   by
[00:00:46.600 --> 00:00:47.020]   telling
[00:00:47.020 --> 00:00:47.120]   us
[00:00:47.120 --> 00:00:47.180]   a
[00:00:47.180 --> 00:00:47.530]   little
[00:00:47.530 --> 00:00:47.700]   bit
[00:00:47.700 --> 00:00:47.990]   about
[00:00:47.990 --> 00:00:48.160]   the
[00:00:48.160 --> 00:00:48.450]   model
[00:00:48.450 --> 00:00:48.620]   and
[00:00:48.620 --> 00:00:48.790]   how
[00:00:48.790 --> 00:00:48.960]   you
[00:00:48.960 --> 00:00:49.300]   came
[00:00:49.300 --> 00:00:49.350]   up
[00:00:49.350 --> 00:00:49.530]   with
[00:00:49.530 --> 00:00:49.700]   the
[00:00:49.700 --> 00:00:49.930]   idea
[00:00:49.930 --> 00:00:50.040]   in
[00:00:50.040 --> 00:00:50.210]   the
[00:00:50.210 --> 00:00:50.500]   first
[00:00:50.500 --> 00:00:50.790]   place
[00:00:50.790 --> 00:00:52.020]  ? [SPEAKER_TURN]
[00:00:52.820 --> 00:00:52.900]  
[00:00:52.900 --> 00:00:53.070]   You
[00:00:53.070 --> 00:00:53.330]   bet
[00:00:53.330 --> 00:00:53.560]  .
[00:00:53.560 --> 00:00:53.640]   I
[00:00:53.640 --> 00:00:54.050]   think
[00:00:54.050 --> 00:00:54.710]   probably
[00:00:54.710 --> 00:00:54.960]   the
[00:00:54.960 --> 00:00:55.290]   best
[00:00:55.290 --> 00:00:55.700]   place
[00:00:55.700 --> 00:00:55.860]   to
[00:00:55.860 --> 00:00:56.270]   start
[00:00:56.270 --> 00:00:56.680]   would
[00:00:56.680 --> 00:00:56.840]   be
[00:00:56.840 --> 00:00:57.000]   uh
[00:00:57.000 --> 00:00:57.080]   I
[00:00:57.080 --> 00:00:57.330]   was
[00:00:57.330 --> 00:00:57.980]   working
[00:00:57.980 --> 00:00:58.070]   at
[00:00:58.070 --> 00:00:58.480]   Intel
[00:00:58.480 --> 00:00:58.640]   uh
[00:00:58.640 --> 00:00:58.800]   in
[00:00:58.800 --> 00:00:59.300]   Intel
[00:00:59.300 --> 00:00:59.790]   Capital
[00:00:59.790 --> 00:00:59.950]   in
[00:00:59.950 --> 00:01:00.030]   O
[00:01:00.030 --> 00:01:00.110]  _
[00:01:00.110 --> 00:01:00.440]   five
[00:01:00.440 --> 00:01:00.810]  .
[00:01:00.810 --> 00:01:01.340]   And
[00:01:01.340 --> 00:01:01.520]   actually
[00:01:01.520 --> 00:01:01.640]   at
[00:01:01.640 --> 00:01:01.830]   the
[00:01:01.830 --> 00:01:02.080]   time
[00:01:02.080 --> 00:01:02.200]   um
[00:01:02.200 --> 00:01:02.260]   I
[00:01:02.260 --> 00:01:02.450]   was
[00:01:02.450 --> 00:01:02.820]   tasked
[00:01:02.820 --> 00:01:03.160]   with
[00:01:03.160 --> 00:01:03.200]   uh
[00:01:03.200 --> 00:01:03.500]   with
[00:01:03.500 --> 00:01:03.700]   some
[00:01:03.700 --> 00:01:04.020]   other
[00:01:04.020 --> 00:01:04.590]   coworkers
[00:01:04.590 --> 00:01:04.710]   to
[00:01:04.710 --> 00:01:04.900]   try
[00:01:04.900 --> 00:01:05.090]   and
[00:01:05.090 --> 00:01:05.410]   start
[00:01:05.410 --> 00:01:05.470]   a
[00:01:05.470 --> 00:01:05.660]   new
[00:01:05.660 --> 00:01:06.170]   business
[00:01:06.170 --> 00:01:06.550]   inside
[00:01:06.550 --> 00:01:06.670]   of
[00:01:06.670 --> 00:01:06.990]   Intel
[00:01:06.990 --> 00:01:07.110]   So
[00:01:07.110 --> 00:01:07.350]  .
[00:01:07.350 --> 00:01:07.630]   there
[00:01:07.630 --> 00:01:07.810]   was
[00:01:07.810 --> 00:01:07.870]   a
[00:01:07.870 --> 00:01:08.500]   technology
[00:01:08.500 --> 00:01:08.750]   that
[00:01:08.750 --> 00:01:08.870]   we
[00:01:08.870 --> 00:01:09.190]   found
[00:01:09.190 --> 00:01:09.440]   that
[00:01:09.440 --> 00:01:09.620]   was
[00:01:09.620 --> 00:01:09.880]   kind
[00:01:09.880 --> 00:01:10.030]   of
[00:01:10.030 --> 00:01:10.700]   interesting
[00:01:10.700 --> 00:01:10.910]   And
[00:01:10.910 --> 00:01:11.110]  .
[00:01:11.110 --> 00:01:11.340]   the
[00:01:11.340 --> 00:01:11.460]   idea
[00:01:11.460 --> 00:01:11.860]   was
[00:01:11.860 --> 00:01:11.900]   hey
[00:01:11.900 --> 00:01:12.020]  ,
[00:01:12.020 --> 00:01:12.080]   I
[00:01:12.080 --> 00:01:12.460]   wonder
[00:01:12.460 --> 00:01:12.580]   if
[00:01:12.580 --> 00:01:12.700]   we
[00:01:12.700 --> 00:01:12.890]   can
[00:01:12.890 --> 00:01:13.260]   use
[00:01:13.260 --> 00:01:13.330]   this
[00:01:13.330 --> 00:01:13.450]   to
[00:01:13.450 --> 00:01:13.770]   build
[00:01:13.770 --> 00:01:13.830]   a
[00:01:13.830 --> 00:01:14.340]   business
[00:01:14.340 --> 00:01:14.720]   inside
[00:01:14.720 --> 00:01:14.840]   of
[00:01:14.840 --> 00:01:15.170]   Intel
[00:01:15.170 --> 00:01:15.540]   rather
[00:01:15.540 --> 00:01:15.790]   than
[00:01:15.790 --> 00:01:16.180]   invest
[00:01:16.180 --> 00:01:16.290]   in
[00:01:16.290 --> 00:01:16.410]   an
[00:01:16.410 --> 00:01:16.920]   external
[00:01:16.920 --> 00:01:17.360]   company
[00:01:17.360 --> 00:01:17.840]  .
[00:01:17.840 --> 00:01:17.940]   Uh
[00:01:17.940 --> 00:01:18.460]   so
[00:01:18.460 --> 00:01:18.490]   with
[00:01:18.490 --> 00:01:18.650]   uh
[00:01:18.650 --> 00:01:18.960]   with
[00:01:18.960 --> 00:01:19.200]   the
[00:01:19.200 --> 00:01:19.610]   other
[00:01:19.610 --> 00:01:20.220]   founders
[00:01:20.220 --> 00:01:20.380]   we
[00:01:20.380 --> 00:01:20.540]   we
[00:01:20.540 --> 00:01:21.010]   raised
[00:01:21.010 --> 00:01:21.320]   some
[00:01:21.320 --> 00:01:21.710]   money
[00:01:21.710 --> 00:01:22.180]   inside
[00:01:22.180 --> 00:01:22.340]   of
[00:01:22.340 --> 00:01:22.820]   Intel
[00:01:22.820 --> 00:01:22.850]  
[00:01:22.850 --> 00:01:23.040]   and
[00:01:23.040 --> 00:01:23.370]   we
[00:01:23.370 --> 00:01:23.410]   did
[00:01:23.410 --> 00:01:23.710]   this
[00:01:23.710 --> 00:01:24.090]   start
[00:01:24.090 --> 00:01:24.160]  -
[00:01:24.160 --> 00:01:24.310]  up
[00:01:24.310 --> 00:01:24.460]  ,
[00:01:24.460 --> 00:01:24.610]   if
[00:01:24.610 --> 00:01:24.830]   you
[00:01:24.830 --> 00:01:25.130]   will
[00:01:25.130 --> 00:01:25.580]   inside
[00:01:25.580 --> 00:01:25.740]  ,
[00:01:25.740 --> 00:01:25.890]   of
[00:01:25.890 --> 00:01:25.950]   a
[00:01:25.950 --> 00:01:26.850]   larger
[00:01:26.850 --> 00:01:26.930]   company
[00:01:26.930 --> 00:01:27.260]  .
[00:01:27.260 --> 00:01:27.440]  
[00:01:27.440 --> 00:01:27.460]   And
[00:01:27.460 --> 00:01:27.590]   at
[00:01:27.590 --> 00:01:27.790]   the
[00:01:27.790 --> 00:01:28.060]   time
[00:01:28.060 --> 00:01:28.230]   you
[00:01:28.230 --> 00:01:28.520]   know
[00:01:28.520 --> 00:01:28.770]  ,
[00:01:28.770 --> 00:01:28.790]   we
[00:01:28.790 --> 00:01:29.150]   went
[00:01:29.150 --> 00:01:29.530]   through
[00:01:29.530 --> 00:01:29.700]   um
[00:01:29.700 --> 00:01:30.340]   ultimately
[00:01:30.340 --> 00:01:30.640]   that
[00:01:30.640 --> 00:01:30.950]   start
[00:01:30.950 --> 00:01:31.010]  -
[00:01:31.010 --> 00:01:31.140]  up
[00:01:31.140 --> 00:01:31.340]   got
[00:01:31.340 --> 00:01:31.880]   acquired
[00:01:31.880 --> 00:01:32.350]   outside
[00:01:32.350 --> 00:01:32.490]   of
[00:01:32.490 --> 00:01:32.830]   Intel
[00:01:32.830 --> 00:01:32.950]  ,
[00:01:32.950 --> 00:01:33.080]   so
[00:01:33.080 --> 00:01:33.210]   it
[00:01:33.210 --> 00:01:33.410]   was
[00:01:33.410 --> 00:01:33.950]   somewhat
[00:01:33.950 --> 00:01:34.010]   a
[00:01:34.010 --> 00:01:34.480]   success
[00:01:34.480 --> 00:01:34.840]  .
[00:01:34.880 --> 00:01:34.880]  
[00:01:34.880 --> 00:01:35.090]   but
[00:01:35.090 --> 00:01:35.260]   in
[00:01:35.260 --> 00:01:35.490]   the
[00:01:35.490 --> 00:01:35.860]   course
[00:01:35.860 --> 00:01:35.990]   of
[00:01:35.990 --> 00:01:36.210]   you
[00:01:36.210 --> 00:01:36.760]   know
[00:01:36.760 --> 00:01:37.030]   trying
[00:01:37.030 --> 00:01:37.050]   to
[00:01:37.050 --> 00:01:37.610]   actually
[00:01:37.610 --> 00:01:37.960]   start
[00:01:37.960 --> 00:01:38.030]   a
[00:01:38.030 --> 00:01:38.590]   business
[00:01:38.590 --> 00:01:38.730]   um
[00:01:38.730 --> 00:01:39.170]   and
[00:01:39.170 --> 00:01:39.360]   facing
[00:01:39.360 --> 00:01:39.570]   all
[00:01:39.570 --> 00:01:39.780]   the
[00:01:39.780 --> 00:01:40.480]   challenges
[00:01:40.480 --> 00:01:40.620]   uh
[00:01:40.620 --> 00:01:41.110]   that
[00:01:41.110 --> 00:01:41.180]   that
[00:01:41.180 --> 00:01:41.390]   are
[00:01:41.390 --> 00:01:41.950]   inherent
[00:01:41.950 --> 00:01:42.090]   in
[00:01:42.090 --> 00:01:42.370]   that
[00:01:42.370 --> 00:01:42.510]  ,
[00:01:42.510 --> 00:01:42.710]   um
[00:01:42.710 --> 00:01:42.720]   I
[00:01:42.720 --> 00:01:43.030]   I
[00:01:43.030 --> 00:01:43.280]   started
[00:01:43.280 --> 00:01:43.690]   to
[00:01:43.690 --> 00:01:43.700]   look
[00:01:43.700 --> 00:01:44.120]   around
[00:01:44.120 --> 00:01:44.330]   and
[00:01:44.330 --> 00:01:44.540]   ask
[00:01:44.540 --> 00:01:44.820]   some
[00:01:44.820 --> 00:01:45.240]   simple
[00:01:45.240 --> 00:01:45.870]   questions
[00:01:45.870 --> 00:01:46.080]   and
[00:01:46.080 --> 00:01:46.290]   say
[00:01:46.290 --> 00:01:46.360]   g
[00:01:46.360 --> 00:01:46.570]  osh
[00:01:46.570 --> 00:01:46.780]   you
[00:01:46.780 --> 00:01:46.920]  ,
[00:01:46.920 --> 00:01:47.200]   know
[00:01:47.200 --> 00:01:47.340]  ,
[00:01:47.340 --> 00:01:47.480]   w
[00:01:47.480 --> 00:01:47.550]   we
[00:01:47.550 --> 00:01:47.830]   seem
[00:01:47.830 --> 00:01:47.970]   to
[00:01:47.970 --> 00:01:48.110]   be
[00:01:48.110 --> 00:01:48.530]   having
[00:01:48.530 --> 00:01:48.740]   all
[00:01:48.740 --> 00:01:48.880]   of
[00:01:48.880 --> 00:01:49.230]   these
[00:01:49.230 --> 00:01:49.920]   challenges
[00:01:49.920 --> 00:01:50.260]  .
[00:01:50.260 --> 00:01:50.290]   I
[00:01:50.290 --> 00:01:50.580]   would
[00:01:50.580 --> 00:01:50.840]   love
[00:01:50.840 --> 00:01:50.950]   to
[00:01:50.950 --> 00:01:51.200]   find
[00:01:51.200 --> 00:01:51.390]   out
[00:01:51.390 --> 00:01:51.710]   about
[00:01:51.710 --> 00:01:52.030]   other
[00:01:52.030 --> 00:01:52.670]   businesses
[00:01:52.670 --> 00:01:53.120]   that
[00:01:53.120 --> 00:01:53.170]   have
[00:01:53.170 --> 00:01:53.420]   been
[00:01:53.420 --> 00:01:53.540]   in
[00:01:53.540 --> 00:01:53.730]   the
[00:01:53.730 --> 00:01:53.980]   same
[00:01:53.980 --> 00:01:54.550]   situation
[00:01:54.550 --> 00:01:54.670]  ,
[00:01:54.670 --> 00:01:54.790]   in
[00:01:54.790 --> 00:01:55.220]   other
[00:01:55.220 --> 00:01:55.430]   words
[00:01:55.430 --> 00:01:55.660]   um
[00:01:55.660 --> 00:01:55.740]   you
[00:01:55.740 --> 00:01:55.990]   know
[00:01:55.990 --> 00:01:56.240]   what
[00:01:56.240 --> 00:01:56.430]   can
[00:01:56.430 --> 00:01:56.490]   I
[00:01:56.490 --> 00:01:56.810]   learn
[00:01:56.810 --> 00:01:57.060]   from
[00:01:57.060 --> 00:01:57.290]   the
[00:01:57.290 --> 00:01:57.570]   other
[00:01:57.570 --> 00:01:57.820]   data
[00:01:57.820 --> 00:01:58.200]   around
[00:01:58.200 --> 00:01:58.390]   the
[00:01:58.390 --> 00:01:58.830]   company
[00:01:58.830 --> 00:01:59.020]   and
[00:01:59.020 --> 00:01:59.710]   externally
[00:01:59.710 --> 00:01:59.780]   to
[00:01:59.780 --> 00:01:59.910]   to
[00:01:59.910 --> 00:02:00.470]   hopefully
[00:02:00.470 --> 00:02:00.590]   do
[00:02:00.590 --> 00:02:00.640]   a
[00:02:00.640 --> 00:02:01.030]   better
[00:02:01.030 --> 00:02:01.420]   job
[00:02:01.420 --> 00:02:01.620]  .
[00:02:01.620 --> 00:02:01.660]  
[00:02:01.660 --> 00:02:01.760]   Um
[00:02:01.760 --> 00:02:01.890]   it
[00:02:01.890 --> 00:02:02.330]   was
[00:02:02.330 --> 00:02:02.630]   really
[00:02:02.630 --> 00:02:02.690]   in
[00:02:02.690 --> 00:02:02.910]   the
[00:02:02.910 --> 00:02:03.340]   course
[00:02:03.340 --> 00:02:03.480]   of
[00:02:03.480 --> 00:02:03.780]   that
[00:02:03.780 --> 00:02:04.060]   that
[00:02:04.060 --> 00:02:04.130]   I
[00:02:04.130 --> 00:02:04.200]   I
[00:02:04.200 --> 00:02:04.710]   started
[00:02:04.710 --> 00:02:04.840]   to
[00:02:04.840 --> 00:02:05.140]   look
[00:02:05.140 --> 00:02:05.300]   at
[00:02:05.300 --> 00:02:05.600]   some
[00:02:05.600 --> 00:02:06.240]   academic
[00:02:06.240 --> 00:02:06.730]   research
[00:02:06.730 --> 00:02:06.870]   on
[00:02:06.870 --> 00:02:07.010]   um
[00:02:07.010 --> 00:02:07.660]   different
[00:02:07.660 --> 00:02:07.950]   ways
[00:02:07.950 --> 00:02:08.090]   of
[00:02:08.090 --> 00:02:08.820]   evaluating
[00:02:08.820 --> 00:02:09.420]   businesses
[00:02:09.420 --> 00:02:09.760]   and
[00:02:09.760 --> 00:02:10.280]   I
[00:02:10.280 --> 00:02:10.350]   thought
[00:02:10.350 --> 00:02:10.640]   well
[00:02:10.640 --> 00:02:11.070]   wouldn
[00:02:11.070 --> 00:02:11.210]  't
[00:02:11.210 --> 00:02:11.350]   it
[00:02:11.350 --> 00:02:11.490]   be
[00:02:11.490 --> 00:02:12.290]   interesting
[00:02:12.290 --> 00:02:12.430]   to
[00:02:12.430 --> 00:02:13.250]   actually
[00:02:13.250 --> 00:02:13.440]   take
[00:02:13.440 --> 00:02:13.680]   some
[00:02:13.680 --> 00:02:13.800]   of
[00:02:13.800 --> 00:02:14.040]   this
[00:02:14.040 --> 00:02:14.560]   academic
[00:02:14.560 --> 00:02:15.020]   research
[00:02:15.020 --> 00:02:15.260]   from
[00:02:15.260 --> 00:02:15.320]   a
[00:02:15.320 --> 00:02:15.690]   number
[00:02:15.690 --> 00:02:15.800]   of
[00:02:15.800 --> 00:02:16.340]   different
[00:02:16.340 --> 00:02:16.920]   sources
[00:02:16.920 --> 00:02:16.990]   and
[00:02:16.990 --> 00:02:17.220]   test
[00:02:17.220 --> 00:02:17.330]   it
[00:02:17.330 --> 00:02:17.500]   and
[00:02:17.500 --> 00:02:17.670]   see
[00:02:17.670 --> 00:02:17.780]   if
[00:02:17.780 --> 00:02:17.890]   it
[00:02:17.890 --> 00:02:18.000]  's
[00:02:18.000 --> 00:02:18.470]   actually
[00:02:18.470 --> 00:02:19.050]   predictive
[00:02:19.050 --> 00:02:19.220]   and
[00:02:19.220 --> 00:02:19.330]   if
[00:02:19.330 --> 00:02:19.440]   it
[00:02:19.440 --> 00:02:19.800]   would
[00:02:19.800 --> 00:02:19.970]   have
[00:02:19.970 --> 00:02:20.480]   predicted
[00:02:20.480 --> 00:02:20.590]   uh
[00:02:20.590 --> 00:02:20.890]   the
[00:02:20.890 --> 00:02:21.230]   outcomes
[00:02:21.230 --> 00:02:21.460]   that
[00:02:21.460 --> 00:02:21.570]   we
[00:02:21.570 --> 00:02:21.860]   found
[00:02:21.860 --> 00:02:22.030]   if
[00:02:22.030 --> 00:02:22.080]   we
[00:02:22.080 --> 00:02:22.310]   look
[00:02:22.310 --> 00:02:22.420]   at
[00:02:22.420 --> 00:02:22.590]   all
[00:02:22.590 --> 00:02:22.760]   the
[00:02:22.760 --> 00:02:23.400]   investments
[00:02:23.400 --> 00:02:23.630]   that
[00:02:23.630 --> 00:02:23.920]   Intel
[00:02:23.920 --> 00:02:24.030]  's
[00:02:24.030 --> 00:02:24.260]   made
[00:02:24.260 --> 00:02:24.370]   as
[00:02:24.370 --> 00:02:24.420]   a
[00:02:24.420 --> 00:02:24.680]   data
[00:02:24.680 --> 00:02:24.820]   set
[00:02:24.820 --> 00:02:25.240]  .
[00:02:25.760 --> 00:02:25.790]  
[00:02:25.790 --> 00:02:25.890]   So
[00:02:25.890 --> 00:02:26.020]   it
[00:02:26.020 --> 00:02:26.220]   was
[00:02:26.220 --> 00:02:26.710]   really
[00:02:26.710 --> 00:02:26.900]   from
[00:02:26.900 --> 00:02:27.160]   this
[00:02:27.160 --> 00:02:27.880]   curiosity
[00:02:27.880 --> 00:02:27.910]  ,
[00:02:27.910 --> 00:02:28.040]   um
[00:02:28.040 --> 00:02:28.370]  ,
[00:02:28.370 --> 00:02:28.440]   that
[00:02:28.440 --> 00:02:28.500]   I
[00:02:28.500 --> 00:02:28.560]   I
[00:02:28.560 --> 00:02:28.830]   sort
[00:02:28.830 --> 00:02:29.040]   of
[00:02:29.040 --> 00:02:29.300]   found
[00:02:29.300 --> 00:02:29.430]   my
[00:02:29.430 --> 00:02:29.630]   way
[00:02:29.630 --> 00:02:30.040]   into
[00:02:30.040 --> 00:02:30.190]   this
[00:02:30.190 --> 00:02:30.780]   modelling
[00:02:30.780 --> 00:02:30.980]  .
[00:02:30.980 --> 00:02:31.180]   And
[00:02:31.180 --> 00:02:31.380]   and
[00:02:31.380 --> 00:02:31.580]   the
[00:02:31.580 --> 00:02:32.000]   reason
[00:02:32.000 --> 00:02:32.120]   it
[00:02:32.120 --> 00:02:32.520]   really
[00:02:32.520 --> 00:02:32.800]   took
[00:02:32.800 --> 00:02:33.000]   off
[00:02:33.000 --> 00:02:33.140]   is
[00:02:33.140 --> 00:02:33.600]   because
[00:02:33.600 --> 00:02:33.730]   uh
[00:02:33.730 --> 00:02:34.010]   some
[00:02:34.010 --> 00:02:34.120]   of
[00:02:34.120 --> 00:02:34.420]   the
[00:02:34.420 --> 00:02:34.740]   models
[00:02:34.740 --> 00:02:34.870]   of
[00:02:34.870 --> 00:02:34.990]  ,
[00:02:34.990 --> 00:02:35.400]   course
[00:02:35.400 --> 00:02:35.540]   uh
[00:02:35.540 --> 00:02:35.790]   were
[00:02:35.790 --> 00:02:36.490]   absolute
[00:02:36.490 --> 00:02:36.820]   rubbish
[00:02:36.820 --> 00:02:36.950]  ,
[00:02:36.950 --> 00:02:37.220]   they
[00:02:37.220 --> 00:02:37.490]   didn
[00:02:37.490 --> 00:02:37.620]  't
[00:02:37.620 --> 00:02:37.890]   they
[00:02:37.890 --> 00:02:38.160]   didn
[00:02:38.160 --> 00:02:38.290]  't
[00:02:38.290 --> 00:02:38.760]   predict
[00:02:38.760 --> 00:02:39.300]   anything
[00:02:39.300 --> 00:02:39.430]   Um
[00:02:39.430 --> 00:02:39.620]  .
[00:02:39.620 --> 00:02:39.830]   but
[00:02:39.830 --> 00:02:39.920]   a
[00:02:39.920 --> 00:02:40.180]   few
[00:02:40.180 --> 00:02:40.220]   of
[00:02:40.220 --> 00:02:40.420]   the
[00:02:40.420 --> 00:02:40.850]   models
[00:02:40.850 --> 00:02:41.090]   were
[00:02:41.090 --> 00:02:41.370]   very
[00:02:41.370 --> 00:02:41.640]   very
[00:02:41.640 --> 00:02:42.360]   predictive
[00:02:42.360 --> 00:02:42.450]   of
[00:02:42.450 --> 00:02:42.590]   of
[00:02:42.590 --> 00:02:43.010]   what
[00:02:43.010 --> 00:02:43.050]   had
[00:02:43.050 --> 00:02:43.590]   happened
[00:02:43.590 --> 00:02:43.780]   in
[00:02:43.780 --> 00:02:43.990]   fact
[00:02:43.990 --> 00:02:44.120]   in
[00:02:44.120 --> 00:02:44.460]   Intel
[00:02:44.460 --> 00:02:44.730]   over
[00:02:44.730 --> 00:02:44.930]   the
[00:02:44.930 --> 00:02:45.340]   course
[00:02:45.340 --> 00:02:45.470]   of
[00:02:45.470 --> 00:02:45.810]   about
[00:02:45.810 --> 00:02:46.010]   ten
[00:02:46.010 --> 00:02:46.400]   years
[00:02:46.400 --> 00:02:47.130]  .
[00:02:47.130 --> 00:02:48.250]   So
[00:02:48.250 --> 00:02:48.250]   with
[00:02:48.250 --> 00:02:48.430]   these
[00:02:48.430 --> 00:02:49.040]   sort
[00:02:49.040 --> 00:02:49.100]   of
[00:02:49.100 --> 00:02:49.690]   surprises
[00:02:49.690 --> 00:02:49.830]  ,
