
[00:00:00.640 --> 00:00:01.010]   (
[00:01:41.980 --> 00:01:42.400]  .
[00:01:42.400 --> 00:01:42.500]   Your
[00:01:42.500 --> 00:01:42.590]  .
[00:01:42.590 --> 00:01:42.680]   butt
[00:01:42.680 --> 00:01:43.230]   off
[00:01:43.230 --> 00:01:43.270]   man
[00:01:43.270 --> 00:01:43.420]  .
[00:01:43.420 --> 00:01:43.550]   It
[00:01:43.550 --> 00:01:43.680]   it
[00:01:43.680 --> 00:01:43.810]  's
[00:01:43.810 --> 00:01:44.130]   gonna
[00:01:44.130 --> 00:01:44.250]   be
[00:01:44.250 --> 00:01:44.310]   a
[00:01:44.310 --> 00:01:44.570]   it
[00:01:44.570 --> 00:01:44.580]  's
[00:01:44.580 --> 00:01:44.900]   gonna
[00:01:44.900 --> 00:01:45.070]   be
[00:01:45.070 --> 00:01:45.090]   a
[00:01:45.090 --> 00:01:45.410]   shock
[00:01:45.410 --> 00:01:45.670]   when
[00:01:45.670 --> 00:01:45.860]   you
[00:01:45.860 --> 00:01:46.120]   when
[00:01:46.120 --> 00:01:46.250]   it
[00:01:46.250 --> 00:01:46.420]   it
[00:01:46.420 --> 00:01:46.510]   it
[00:01:46.510 --> 00:01:46.640]   it
[00:01:46.640 --> 00:01:46.770]   is
[00:01:46.770 --> 00:01:47.020]   hard
[00:01:47.020 --> 00:01:47.370]   to
[00:01:47.370 --> 00:01:47.610]   believe
[00:01:47.610 --> 00:01:47.740]   it
[00:01:47.740 --> 00:01:47.870]  's
[00:01:47.870 --> 00:01:48.390]   February
[00:01:48.390 --> 00:01:48.630]   when
[00:01:48.630 --> 00:01:48.970]   like
[00:01:48.970 --> 00:01:49.030]   a
[00:01:49.030 --> 00:01:49.160]   day
[00:01:49.160 --> 00:01:49.420]   like
[00:01:49.420 --> 00:01:49.740]   today
[00:01:49.740 --> 00:01:50.100]   right
[00:01:50.100 --> 00:01:50.190]  ,
[00:01:50.190 --> 00:01:50.250]   I
[00:01:50.250 --> 00:01:50.510]   mean
[00:01:50.510 --> 00:01:50.640]   it
[00:01:50.640 --> 00:01:50.770]  's
[00:01:50.770 --> 00:01:51.220]   seventy
[00:01:51.220 --> 00:01:51.560]   four
[00:01:51.560 --> 00:01:51.930]   degrees
[00:01:51.930 --> 00:01:52.060]  ,
[00:01:52.060 --> 00:01:52.230]   not
[00:01:52.230 --> 00:01:52.630]   a
[00:01:52.630 --> 00:01:52.760]   cloud
[00:01:52.760 --> 00:01:52.770]   in
[00:01:52.770 --> 00:01:52.970]   the
[00:01:52.970 --> 00:01:53.140]   sky
[00:01:53.140 --> 00:01:53.310]  ,
[00:01:53.310 --> 00:01:53.400]   it
[00:01:53.400 --> 00:01:53.530]  's
[00:01:53.530 --> 00:01:54.440]   like
[00:01:54.440 --> 00:01:54.520]   perfection
[00:01:54.520 --> 00:01:54.630]   and
[00:01:54.630 --> 00:01:54.840]   you
[00:01:54.840 --> 00:01:55.010]  're
[00:01:55.010 --> 00:01:55.330]   gonna
[00:01:55.330 --> 00:01:55.830]   do
[00:01:55.830 --> 00:01:55.910]   Chicago
[00:01:55.910 --> 00:01:56.100]   and
[00:01:56.100 --> 00:01:56.230]   it
[00:01:56.230 --> 00:01:56.360]  's
[00:01:56.360 --> 00:01:56.680]   gonna
[00:01:56.680 --> 00:01:56.800]   be
[00:01:56.800 --> 00:01:57.070]   just
[00:01:57.070 --> 00:01:57.460]   brutal
[00:01:57.460 --> 00:01:58.460]  . [SPEAKER_TURN]
[00:01:58.460 --> 00:01:58.580]   I
[00:01:58.580 --> 00:01:58.900]   got
[00:01:58.900 --> 00:01:59.060]   a
[00:01:59.060 --> 00:01:59.190]   g
[00:01:59.190 --> 00:01:59.310]   a
[00:01:59.310 --> 00:01:59.430]   g
[00:01:59.430 --> 00:01:59.750]   a
[00:01:59.750 --> 00:02:00.050]   nice
[00:02:00.050 --> 00:02:00.420]   way
[00:02:00.420 --> 00:02:00.670]   to
[00:02:00.670 --> 00:02:01.240]   open
[00:02:01.240 --> 00:02:01.550]   the
[00:02:01.550 --> 00:02:02.040]   show
[00:02:02.040 --> 00:02:02.420]  .
[00:02:02.420 --> 00:02:02.660]   So
[00:02:02.660 --> 00:02:03.180]   um
[00:02:03.180 --> 00:02:03.220]   uh
[00:02:03.220 --> 00:02:03.380]   Gi
[00:02:03.380 --> 00:02:03.930]  ac
[00:02:03.930 --> 00:02:04.130]  omo
[00:02:04.130 --> 00:02:04.420]   who
[00:02:04.420 --> 00:02:04.780]   you
[00:02:04.780 --> 00:02:05.510]   worked
[00:02:05.510 --> 00:02:06.000]   with
[00:02:06.000 --> 00:02:06.230]   um
[00:02:06.230 --> 00:02:06.770]   to
[00:02:06.770 --> 00:02:07.090]   teach
[00:02:07.090 --> 00:02:08.500]   you [SPEAKER_TURN]
[00:02:08.500 --> 00:02:08.500]  
[00:02:08.500 --> 00:02:08.640]   and
[00:02:08.640 --> 00:02:08.820]   work
[00:02:08.820 --> 00:02:09.000]   with
[00:02:09.000 --> 00:02:09.040]   I
[00:02:09.040 --> 00:02:09.270]   hired
[00:02:09.270 --> 00:02:09.410]   him
[00:02:09.410 --> 00:02:09.500]   as
[00:02:09.500 --> 00:02:09.560]   a
[00:02:09.560 --> 00:02:09.770]   tutor
[00:02:09.770 --> 00:02:09.910]   for
[00:02:09.910 --> 00:02:10.390]   electrical
[00:02:10.390 --> 00:02:10.880]   engineering
[00:02:10.880 --> 00:02:11.460]  . [SPEAKER_TURN]
[00:02:11.460 --> 00:02:12.020]   Engineering
[00:02:12.020 --> 00:02:12.220]   yeah
[00:02:12.220 --> 00:02:12.580]  , [SPEAKER_TURN]
[00:02:12.580 --> 00:02:12.760]   So
[00:02:12.760 --> 00:02:13.030]   you
[00:02:13.030 --> 00:02:13.510]   hired
[00:02:13.510 --> 00:02:13.660]   Gi
[00:02:13.660 --> 00:02:13.840]  ac
[00:02:13.840 --> 00:02:14.110]  omo
[00:02:14.110 --> 00:02:14.290]   uh
[00:02:14.290 --> 00:02:14.650]   and
[00:02:14.650 --> 00:02:14.740]   he
[00:02:14.740 --> 00:02:14.920]   is
[00:02:14.920 --> 00:02:15.560]   working
[00:02:15.560 --> 00:02:15.730]   on
[00:02:15.730 --> 00:02:15.820]   a
[00:02:15.820 --> 00:02:16.730]   business
[00:02:16.730 --> 00:02:16.910]   idea
[00:02:16.910 --> 00:02:17.180]   and
[00:02:17.180 --> 00:02:17.360]   um
[00:02:17.360 --> 00:02:17.450]   y
[00:02:17.450 --> 00:02:17.470]   he
[00:02:17.470 --> 00:02:18.230]   had
[00:02:18.230 --> 00:02:18.260]   told
[00:02:18.260 --> 00:02:18.530]   you
[00:02:18.530 --> 00:02:18.980]   about
[00:02:18.980 --> 00:02:19.250]   his
[00:02:19.250 --> 00:02:19.980]   business
[00:02:19.980 --> 00:02:20.340]   idea
[00:02:20.340 --> 00:02:20.610]   and
[00:02:20.610 --> 00:02:20.880]   you
[00:02:20.880 --> 00:02:21.150]   had
[00:02:21.150 --> 00:02:21.330]   uh
[00:02:21.330 --> 00:02:21.510]   a
[00:02:21.510 --> 00:02:22.360]   b [SPEAKER_TURN]
[00:02:22.360 --> 00:02:22.410]  
[00:02:22.410 --> 00:02:22.640]   talk
[00:02:22.640 --> 00:02:22.790]   he
[00:02:22.790 --> 00:02:22.920]   we
[00:02:22.920 --> 00:02:23.190]   were
[00:02:23.190 --> 00:02:23.360]   uh
[00:02:23.360 --> 00:02:23.480]   so
[00:02:23.480 --> 00:02:23.550]   I
[00:02:23.550 --> 00:02:23.760]   put
[00:02:23.760 --> 00:02:24.180]   the
[00:02:24.180 --> 00:02:24.480]   tut
[00:02:24.480 --> 00:02:24.590]  oring
[00:02:24.590 --> 00:02:24.760]   on
[00:02:24.760 --> 00:02:25.080]   hold
[00:02:25.080 --> 00:02:25.160]   for
[00:02:25.160 --> 00:02:25.230]   a
[00:02:25.230 --> 00:02:25.570]   while
[00:02:25.570 --> 00:02:26.000]   which
[00:02:26.000 --> 00:02:26.080]   I
[00:02:26.080 --> 00:02:26.210]  've
[00:02:26.210 --> 00:02:26.630]   talked
[00:02:26.630 --> 00:02:26.980]   about
[00:02:26.980 --> 00:02:27.050]   '
[00:02:27.050 --> 00:02:27.400]  cause
[00:02:27.400 --> 00:02:27.470]   I
[00:02:27.470 --> 00:02:27.770]   just
[00:02:27.770 --> 00:02:27.980]   had
[00:02:27.980 --> 00:02:28.170]   too
[00:02:28.170 --> 00:02:28.450]   much
[00:02:28.450 --> 00:02:28.850]   stuff
[00:02:28.850 --> 00:02:29.150]   going
[00:02:29.150 --> 00:02:29.290]   on
[00:02:29.290 --> 00:02:29.500]   but
[00:02:29.500 --> 00:02:29.640]  ,
[00:02:29.640 --> 00:02:29.710]   I
[00:02:29.710 --> 00:02:29.920]   see
[00:02:29.920 --> 00:02:30.140]   him
[00:02:30.140 --> 00:02:30.270]   at
[00:02:30.270 --> 00:02:30.480]   the
[00:02:30.480 --> 00:02:30.770]   gym
[00:02:30.770 --> 00:02:30.900]   two
[00:02:30.900 --> 00:02:31.170]  ,
[00:02:31.170 --> 00:02:31.390]   three
[00:02:31.390 --> 00:02:31.670]   days
[00:02:31.670 --> 00:02:31.740]   a
[00:02:31.740 --> 00:02:32.020]   week
[00:02:32.020 --> 00:02:32.290]   and
[00:02:32.290 --> 00:02:32.450]   we
[00:02:32.450 --> 00:02:32.790]   always
[00:02:32.790 --> 00:02:32.980]   ch
[00:02:32.980 --> 00:02:33.070]   ch
[00:02:33.070 --> 00:02:33.350]   chat
[00:02:33.350 --> 00:02:33.560]   for
[00:02:33.560 --> 00:02:34.330]   five
[00:02:34.330 --> 00:02:34.340]   minutes
[00:02:34.340 --> 00:02:34.540]   and
[00:02:34.540 --> 00:02:34.680]   um
[00:02:34.680 --> 00:02:34.820]   he
[00:02:34.820 --> 00:02:34.960]  'd
[00:02:34.960 --> 00:02:35.470]   mention
[00:02:35.470 --> 00:02:35.730]   that
[00:02:35.730 --> 00:02:35.870]   he
[00:02:35.870 --> 00:02:36.080]   had
[00:02:36.080 --> 00:02:36.350]   this
[00:02:36.350 --> 00:02:36.770]   idea
[00:02:36.770 --> 00:02:36.850]   and
[00:02:36.850 --> 00:02:36.990]   he
[00:02:36.990 --> 00:02:37.160]  's
[00:02:37.160 --> 00:02:37.410]   like
[00:02:37.410 --> 00:02:37.550]   do
[00:02:37.550 --> 00:02:37.760]   you
[00:02:37.760 --> 00:02:38.040]   know
[00:02:38.040 --> 00:02:38.620]   anybody
[00:02:38.620 --> 00:02:38.740]   who
[00:02:38.740 --> 00:02:39.120]   can
[00:02:39.120 --> 00:02:39.230]   like
[00:02:39.230 --> 00:02:39.580]   build
[00:02:39.580 --> 00:02:39.710]   it
[00:02:39.710 --> 00:02:39.860]   or
[00:02:39.860 --> 00:02:40.420]   whatever
[00:02:40.420 --> 00:02:40.630]   and
[00:02:40.630 --> 00:02:40.700]   I
[00:02:40.700 --> 00:02:41.060]   say
[00:02:41.060 --> 00:02:41.190]   yeah
[00:02:41.190 --> 00:02:41.290]   I
[00:02:41.290 --> 00:02:41.540]   know
[00:02:41.540 --> 00:02:42.100]   somebody
[00:02:42.100 --> 00:02:42.310]   and
[00:02:42.310 --> 00:02:42.500]   uh
[00:02:42.500 --> 00:02:42.590]   so
[00:02:42.590 --> 00:02:42.730]   as
[00:02:42.730 --> 00:02:42.800]   a
[00:02:42.800 --> 00:02:42.920]   fact
[00:02:42.920 --> 00:02:43.360]   I
[00:02:43.360 --> 00:02:43.430]   know
[00:02:43.430 --> 00:02:43.710]   just
[00:02:43.710 --> 00:02:43.810]   a
[00:02:43.810 --> 00:02:43.990]   guy
[00:02:43.990 --> 00:02:44.130]   um
[00:02:44.130 --> 00:02:44.340]   and
[00:02:44.340 --> 00:02:44.480]   uh
[00:02:44.480 --> 00:02:44.620]   so
[00:02:44.620 --> 00:02:44.690]   I
[00:02:44.690 --> 00:02:45.180]   pointed
[00:02:45.180 --> 00:02:45.400]   him
[00:02:45.400 --> 00:02:45.530]   at
[00:02:45.530 --> 00:02:45.760]   you
[00:02:45.760 --> 00:02:45.950]   and
[00:02:45.950 --> 00:02:46.200]   you
[00:02:46.200 --> 00:02:46.590]   guys
[00:02:46.590 --> 00:02:46.930]   started
[00:02:46.930 --> 00:02:47.420]   talking
[00:02:47.420 --> 00:02:47.760]   right
[00:02:47.760 --> 00:02:48.700]  . [SPEAKER_TURN]
[00:02:48.900 --> 00:02:49.000]  
[00:02:49.000 --> 00:02:49.220]   Yeah
[00:02:49.220 --> 00:02:49.350]   so
[00:02:49.350 --> 00:02:49.500]   um
[00:02:49.500 --> 00:02:49.650]   so
[00:02:49.650 --> 00:02:49.800]   we
[00:02:49.800 --> 00:02:49.950]   we
[00:02:49.950 --> 00:02:50.330]   spoke
[00:02:50.330 --> 00:02:50.400]   a
[00:02:50.400 --> 00:02:50.630]   lot
[00:02:50.630 --> 00:02:50.880]   and
[00:02:50.880 --> 00:02:50.930]   I
[00:02:50.930 --> 00:02:51.310]   think
[00:02:51.310 --> 00:02:51.610]   that
[00:02:51.610 --> 00:02:51.680]   I
[00:02:51.680 --> 00:02:51.820]  'm
[00:02:51.820 --> 00:02:51.980]   in
[00:02:51.980 --> 00:02:52.090]   a
[00:02:52.090 --> 00:02:52.580]   similar
[00:02:52.580 --> 00:02:53.180]   position
[00:02:53.180 --> 00:02:53.340]   to
[00:02:53.340 --> 00:02:53.570]   you
[00:02:53.570 --> 00:02:53.870]   like
[00:02:53.870 --> 00:02:54.250]   where
[00:02:54.250 --> 00:02:54.320]   I
[00:02:54.320 --> 00:02:54.470]  'm
[00:02:54.470 --> 00:02:54.850]   super
[00:02:54.850 --> 00:02:55.300]   busy
[00:02:55.300 --> 00:02:55.470]   um
[00:02:55.470 --> 00:02:55.530]   and
[00:02:55.530 --> 00:02:55.680]   it
[00:02:55.680 --> 00:02:55.830]  's
[00:02:55.830 --> 00:02:56.130]   just
[00:02:56.130 --> 00:02:56.450]   not
[00:02:56.450 --> 00:02:56.950]   quite
[00:02:56.950 --> 00:02:57.120]   right
[00:02:57.120 --> 00:02:57.420]   for
[00:02:57.420 --> 00:02:57.500]   me
[00:02:57.500 --> 00:02:57.770]   but
[00:02:57.770 --> 00:02:57.880]  ,
[00:02:57.880 --> 00:02:57.950]   I
[00:02:57.950 --> 00:02:58.540]   promised
[00:02:58.540 --> 00:02:59.090]   the
[00:02:59.090 --> 00:02:59.250]   guys
[00:02:59.250 --> 00:02:59.390]   that
[00:02:59.390 --> 00:02:59.550]   uh
[00:02:59.550 --> 00:02:59.610]   I
[00:02:59.610 --> 00:02:59.680]   w
[00:02:59.680 --> 00:02:59.830]   we
[00:02:59.830 --> 00:03:00.360]   would
[00:03:00.360 --> 00:03:00.430]   do
[00:03:00.430 --> 00:03:00.520]   a
[00:03:00.520 --> 00:03:00.810]   shout
[00:03:00.810 --> 00:03:00.880]  -
[00:03:00.880 --> 00:03:01.110]  out
[00:03:01.110 --> 00:03:01.260]   on
[00:03:01.260 --> 00:03:01.490]   the
[00:03:01.490 --> 00:03:01.790]   show
[00:03:01.790 --> 00:03:02.090]   just
[00:03:02.090 --> 00:03:02.470]   to
[00:03:02.470 --> 00:03:02.470]   see
[00:03:02.470 --> 00:03:02.800]   if
[00:03:02.800 --> 00:03:03.000]   there
[00:03:03.000 --> 00:03:03.150]  's
[00:03:03.150 --> 00:03:03.610]   anyone
[00:03:03.610 --> 00:03:03.840]   who
[00:03:03.840 --> 00:03:03.990]  's
[00:03:03.990 --> 00:03:04.050]   b
[00:03:04.050 --> 00:03:04.830]   interested
[00:03:04.830 --> 00:03:05.230]   in
[00:03:05.230 --> 00:03:05.380]   being
[00:03:05.380 --> 00:03:05.440]   a
[00:03:05.440 --> 00:03:06.120]   technical
[00:03:06.120 --> 00:03:06.180]   f
[00:03:06.180 --> 00:03:06.360]   uh
[00:03:06.360 --> 00:03:06.490]   co
[00:03:06.490 --> 00:03:06.560]  -
[00:03:06.560 --> 00:03:07.080]  founder
[00:03:07.080 --> 00:03:07.360]   um
[00:03:07.360 --> 00:03:07.560]   just
[00:03:07.560 --> 00:03:07.750]   to
[00:03:07.750 --> 00:03:07.760]   b
[00:03:07.760 --> 00:03:08.370]   think
[00:03:08.370 --> 00:03:08.650]   you
[00:03:08.650 --> 00:03:08.670]   guys
[00:03:08.670 --> 00:03:08.820]   up
