
[00:00:00.480 --> 00:00:00.590]   Wow
[00:00:30.370 --> 00:00:30.980]   beautiful
[00:00:30.980 --> 00:00:31.520]   Pasadena
[00:00:31.520 --> 00:00:32.130]   beautiful
[00:00:32.130 --> 00:00:32.470]   sunny
[00:00:32.470 --> 00:00:32.670]   day
[00:00:32.670 --> 00:00:32.800]   on
[00:00:32.800 --> 00:00:33.070]   July
[00:00:33.070 --> 00:00:33.490]   twenty
[00:00:33.490 --> 00:00:33.890]   second
[00:00:33.890 --> 00:00:34.350]   Monday
[00:00:34.350 --> 00:00:34.430]   at
[00:00:34.430 --> 00:00:34.840]   eleven
[00:00:34.840 --> 00:00:34.940]   ten
[00:00:34.940 --> 00:00:35.100]   A
[00:00:35.100 --> 00:00:35.160]  _
[00:00:35.160 --> 00:00:35.280]  M
[00:00:35.280 --> 00:00:35.330]  _
[00:00:35.330 --> 00:00:35.660]   Jason
[00:00:35.660 --> 00:00:36.200]   Roberts
[00:00:36.200 --> 00:00:36.300]   how
[00:00:36.300 --> 00:00:36.450]  ,
[00:00:36.450 --> 00:00:36.650]   are
[00:00:36.650 --> 00:00:36.830]   you
[00:00:36.830 --> 00:00:37.310]   feeling
[00:00:37.310 --> 00:00:37.680]   today
[00:00:37.680 --> 00:00:37.860]  ?
[00:00:37.860 --> 00:00:38.050]   How
[00:00:38.050 --> 00:00:38.370]   you
[00:00:38.370 --> 00:00:38.590]   doing
[00:00:38.590 --> 00:00:39.680]  ? [SPEAKER_TURN]
[00:00:39.680 --> 00:00:40.000]   I
[00:00:40.000 --> 00:00:40.060]   am
[00:00:40.060 --> 00:00:40.540]   doing
[00:00:40.540 --> 00:00:41.300]   fucking
[00:00:41.300 --> 00:00:42.060]   awesome
[00:00:42.060 --> 00:00:42.370]  .
[00:00:42.370 --> 00:00:42.620]   I
[00:00:42.620 --> 00:00:42.700]   am
[00:00:42.700 --> 00:00:42.910]   on
[00:00:42.910 --> 00:00:43.280]   a
[00:00:43.280 --> 00:00:43.670]   vision
[00:00:43.670 --> 00:00:44.210]   quest
[00:00:44.210 --> 00:00:44.530]  .
[00:00:44.530 --> 00:00:44.950]   Yeah
[00:00:44.950 --> 00:00:45.270]   so
[00:00:45.270 --> 00:00:45.380]  ,
[00:00:45.380 --> 00:00:45.730]   you
[00:00:45.730 --> 00:00:46.130]   know
[00:00:46.130 --> 00:00:46.490]   how
[00:00:46.490 --> 00:00:47.000]   we
[00:00:47.000 --> 00:00:47.310]   talked
[00:00:47.310 --> 00:00:47.850]   about
[00:00:47.850 --> 00:00:48.100]   um
[00:00:48.100 --> 00:00:48.930]   starting
[00:00:48.930 --> 00:00:49.790]   kinda
[00:00:49.790 --> 00:00:50.060]   the
[00:00:50.060 --> 00:00:50.550]   fitness
[00:00:50.550 --> 00:00:51.370]   routine
[00:00:51.370 --> 00:00:51.840]  ?
[00:00:51.840 --> 00:00:51.920]  
[00:00:51.920 --> 00:00:51.930]   Yeah
[00:00:51.930 --> 00:00:52.160]  . [SPEAKER_TURN]
[00:00:52.160 --> 00:00:52.280]   I
[00:00:52.280 --> 00:00:52.300]   b
[00:00:52.300 --> 00:00:52.340]   I
[00:00:52.340 --> 00:00:52.400]   I
[00:00:52.400 --> 00:00:52.860]   started
[00:00:52.860 --> 00:00:53.190]   about
[00:00:53.190 --> 00:00:53.320]   uh
[00:00:53.320 --> 00:00:53.510]   six
[00:00:53.510 --> 00:00:53.840]   weeks
[00:00:53.840 --> 00:00:54.030]   ago
[00:00:54.030 --> 00:00:54.680]   actually
[00:00:54.680 --> 00:00:54.680]  ,
[00:00:54.680 --> 00:00:54.870]   six
[00:00:54.870 --> 00:00:55.200]   weeks
[00:00:55.200 --> 00:00:55.390]   ago
[00:00:55.390 --> 00:00:55.780]   almost
[00:00:55.780 --> 00:00:56.100]  ,
[00:00:56.100 --> 00:00:56.120]   the
[00:00:56.120 --> 00:00:56.290]   day
[00:00:56.290 --> 00:00:56.540]  .
[00:00:56.540 --> 00:00:56.710]   I
[00:00:56.710 --> 00:00:56.920]   weighed
[00:00:56.920 --> 00:00:57.370]   in
[00:00:57.370 --> 00:00:57.400]   this
[00:00:57.400 --> 00:00:57.850]   morning
[00:00:57.850 --> 00:00:57.980]   at
[00:00:57.980 --> 00:00:58.170]   one
[00:00:58.170 --> 00:00:58.560]   ninety
[00:00:58.560 --> 00:00:58.750]   six
[00:00:58.750 --> 00:00:58.880]  ,
[00:00:58.880 --> 00:00:59.140]   some
[00:00:59.140 --> 00:00:59.400]   down
[00:00:59.400 --> 00:00:59.670]   nine
[00:00:59.670 --> 00:01:00.160]   pounds
[00:01:00.160 --> 00:01:00.180]   of
[00:01:00.180 --> 00:01:00.370]   fat
[00:01:00.370 --> 00:01:00.560]  .
[00:01:00.560 --> 00:01:00.620]   I
[00:01:00.620 --> 00:01:00.750]  'm
[00:01:00.750 --> 00:01:01.270]   probably
[00:01:01.270 --> 00:01:01.530]   down
[00:01:01.530 --> 00:01:01.780]   I
[00:01:01.780 --> 00:01:02.110]   probably
[00:01:02.110 --> 00:01:02.370]   lost
[00:01:02.370 --> 00:01:02.560]   I
[00:01:02.560 --> 00:01:02.560]  'm
[00:01:02.560 --> 00:01:02.820]   down
[00:01:02.820 --> 00:01:03.200]   nine
[00:01:03.200 --> 00:01:03.470]   pounds
[00:01:03.470 --> 00:01:03.600]  ,
[00:01:03.600 --> 00:01:03.660]   I
[00:01:03.660 --> 00:01:04.170]   probably
[00:01:04.170 --> 00:01:04.440]   down
[00:01:04.440 --> 00:01:04.630]   ten
[00:01:04.630 --> 00:01:04.760]   or
[00:01:04.760 --> 00:01:05.160]   eleven
[00:01:05.160 --> 00:01:05.540]   pounds
[00:01:05.540 --> 00:01:05.670]   of
[00:01:05.670 --> 00:01:05.890]   fat
[00:01:05.890 --> 00:01:05.920]   '
[00:01:05.920 --> 00:01:06.240]  cause
[00:01:06.240 --> 00:01:06.300]   I
[00:01:06.300 --> 00:01:06.490]  've
[00:01:06.490 --> 00:01:06.750]   been
[00:01:06.750 --> 00:01:07.210]   lifting
[00:01:07.210 --> 00:01:07.270]   a
[00:01:07.270 --> 00:01:07.460]   lot
[00:01:07.460 --> 00:01:07.630]   of
[00:01:07.630 --> 00:01:08.050]   weights
[00:01:08.050 --> 00:01:08.180]  ,
[00:01:08.180 --> 00:01:08.300]   I
[00:01:08.300 --> 00:01:08.760]   probably
[00:01:08.760 --> 00:01:08.950]   put
[00:01:08.950 --> 00:01:09.080]   on
[00:01:09.080 --> 00:01:09.210]   at
[00:01:09.210 --> 00:01:09.540]   least
[00:01:09.540 --> 00:01:09.600]   a
[00:01:09.600 --> 00:01:09.660]   p
[00:01:09.660 --> 00:01:09.990]   pound
[00:01:09.990 --> 00:01:10.130]   of
[00:01:10.130 --> 00:01:10.510]   muscle
[00:01:10.510 --> 00:01:10.700]  .
[00:01:10.700 --> 00:01:11.030]   Um
[00:01:11.030 --> 00:01:11.130]   yeah
[00:01:11.130 --> 00:01:11.300]   so
[00:01:11.300 --> 00:01:11.350]  ,
[00:01:11.350 --> 00:01:11.730]   almost
[00:01:11.730 --> 00:01:11.860]   at
[00:01:11.860 --> 00:01:12.120]   that
[00:01:12.120 --> 00:01:12.320]   you
[00:01:12.320 --> 00:01:12.580]   know
[00:01:12.580 --> 00:01:12.710]   so
[00:01:12.710 --> 00:01:12.840]  ,
[00:01:12.840 --> 00:01:13.030]   I
[00:01:13.030 --> 00:01:13.080]  'm
[00:01:13.080 --> 00:01:13.160]   fr
[00:01:13.160 --> 00:01:13.220]   I
[00:01:13.220 --> 00:01:13.350]  'm
[00:01:13.350 --> 00:01:13.610]   sure
[00:01:13.610 --> 00:01:13.800]   for
[00:01:13.800 --> 00:01:13.990]   the
[00:01:13.990 --> 00:01:14.250]   next
[00:01:14.250 --> 00:01:14.770]   podcast
[00:01:14.770 --> 00:01:14.980]   I
[00:01:14.980 --> 00:01:15.160]   should
[00:01:15.160 --> 00:01:15.490]   weigh
[00:01:15.490 --> 00:01:16.360]   significantly
[00:01:16.360 --> 00:01:16.400]   I
[00:01:16.400 --> 00:01:16.790]   should
[00:01:16.790 --> 00:01:16.980]   put
[00:01:16.980 --> 00:01:17.310]   below
[00:01:17.310 --> 00:01:17.490]   the
[00:01:17.490 --> 00:01:17.850]   one
[00:01:17.850 --> 00:01:18.080]   ninety
[00:01:18.080 --> 00:01:18.340]   five
[00:01:18.340 --> 00:01:18.530]   the
[00:01:18.530 --> 00:01:18.720]   ten
[00:01:18.720 --> 00:01:20.040]  . [SPEAKER_TURN]
[00:01:20.040 --> 00:01:20.040]  
[00:01:20.040 --> 00:01:20.160]   Six
[00:01:20.160 --> 00:01:20.360]   weeks
[00:01:20.360 --> 00:01:20.440]   so
[00:01:20.440 --> 00:01:20.520]  ,
[00:01:20.520 --> 00:01:20.650]   it
[00:01:20.650 --> 00:01:20.680]  's
[00:01:20.680 --> 00:01:20.840]   kind
[00:01:20.840 --> 00:01:20.920]   of
[00:01:20.920 --> 00:01:21.080]   like
[00:01:21.080 --> 00:01:21.230]   what
[00:01:21.230 --> 00:01:21.360]   are
[00:01:21.360 --> 00:01:21.520]   you
[00:01:21.520 --> 00:01:21.840]   averaging
[00:01:21.840 --> 00:01:21.880]   I
[00:01:21.880 --> 00:01:22.020]  ?
[00:01:22.020 --> 00:01:22.160]   mean
[00:01:22.160 --> 00:01:22.200]   I
[00:01:22.200 --> 00:01:22.430]   guess
[00:01:22.430 --> 00:01:22.480]   it
[00:01:22.480 --> 00:01:22.560]  's
[00:01:22.560 --> 00:01:22.760]   about
[00:01:22.760 --> 00:01:22.920]   like
[00:01:22.920 --> 00:01:22.960]   a
[00:01:22.960 --> 00:01:23.080]   p
[00:01:23.080 --> 00:01:23.150]   a
[00:01:23.150 --> 00:01:23.220]   p
[00:01:23.220 --> 00:01:23.290]   a
[00:01:23.290 --> 00:01:23.660]   pound
[00:01:23.660 --> 00:01:23.950]   and
[00:01:23.950 --> 00:01:23.960]   a
[00:01:23.960 --> 00:01:24.310]   half
[00:01:24.310 --> 00:01:24.310]   a
[00:01:24.310 --> 00:01:24.600]   week
[00:01:24.600 --> 00:01:25.480]  . [SPEAKER_TURN]
[00:01:25.480 --> 00:01:25.830]   Exactly
[00:01:25.830 --> 00:01:26.250]   exactly
[00:01:26.250 --> 00:01:26.280]  ,
[00:01:26.280 --> 00:01:26.330]   a
[00:01:26.330 --> 00:01:26.550]   pound
[00:01:26.550 --> 00:01:26.720]   a
[00:01:26.720 --> 00:01:26.830]   well
[00:01:26.830 --> 00:01:27.030]   like
[00:01:27.030 --> 00:01:27.110]   I
[00:01:27.110 --> 00:01:27.280]   said
[00:01:27.280 --> 00:01:27.330]   I
[00:01:27.330 --> 00:01:27.930]   probably
[00:01:27.930 --> 00:01:28.020]   lost
[00:01:28.020 --> 00:01:28.130]   more
[00:01:28.130 --> 00:01:28.180]   I
[00:01:28.180 --> 00:01:28.600]   probably
[00:01:28.600 --> 00:01:28.780]   lost
[00:01:28.780 --> 00:01:29.170]   more
[00:01:29.170 --> 00:01:29.180]   like
[00:01:29.180 --> 00:01:29.330]   ten
[00:01:29.330 --> 00:01:29.670]   pounds
[00:01:29.670 --> 00:01:29.730]   of
[00:01:29.730 --> 00:01:29.880]   fat
[00:01:29.880 --> 00:01:30.050]   so
[00:01:30.050 --> 00:01:30.080]  ,
[00:01:30.080 --> 00:01:30.480]   probably
[00:01:30.480 --> 00:01:30.530]   a
[00:01:30.530 --> 00:01:30.830]   little
[00:01:30.830 --> 00:01:30.980]   bit
[00:01:30.980 --> 00:01:31.230]   more
[00:01:31.230 --> 00:01:31.380]   than
[00:01:31.380 --> 00:01:31.580]   that
[00:01:31.580 --> 00:01:32.240]  . [SPEAKER_TURN]
[00:01:32.240 --> 00:01:32.250]   That
[00:01:32.250 --> 00:01:32.730]  's
[00:01:32.730 --> 00:01:33.010]   interesting
[00:01:33.010 --> 00:01:33.520]  . [SPEAKER_TURN]
[00:01:33.520 --> 00:01:33.800]   I
[00:01:33.800 --> 00:01:33.920]   mean
[00:01:33.920 --> 00:01:34.240]   that
[00:01:34.240 --> 00:01:34.390]  's
[00:01:34.390 --> 00:01:34.490]   that
[00:01:34.490 --> 00:01:34.920]  's
[00:01:34.920 --> 00:01:35.040]   a
[00:01:35.040 --> 00:01:35.410]   pretty
[00:01:35.410 --> 00:01:35.810]   solid
[00:01:35.810 --> 00:01:36.130]   pace
[00:01:36.130 --> 00:01:37.040]  . [SPEAKER_TURN]
[00:01:37.040 --> 00:01:37.310]   '
[00:01:37.310 --> 00:01:37.420]  Cause
[00:01:37.420 --> 00:01:37.470]   I
[00:01:37.470 --> 00:01:37.640]   was
[00:01:37.640 --> 00:01:38.090]   feeling
[00:01:38.090 --> 00:01:38.180]   I
[00:01:38.180 --> 00:01:38.320]   was
[00:01:38.320 --> 00:01:38.760]   feeling
[00:01:38.760 --> 00:01:38.810]   a
[00:01:38.810 --> 00:01:38.990]   bit
[00:01:38.990 --> 00:01:39.230]   down
[00:01:39.230 --> 00:01:39.660]   because
[00:01:39.660 --> 00:01:39.720]   I
[00:01:39.720 --> 00:01:39.840]  'd
[00:01:39.840 --> 00:01:40.140]   only
[00:01:40.140 --> 00:01:40.200]   l
[00:01:40.200 --> 00:01:40.230]   I
[00:01:40.230 --> 00:01:40.390]  've
[00:01:40.390 --> 00:01:40.580]   lost
[00:01:40.580 --> 00:01:40.750]   uh
[00:01:40.750 --> 00:01:41.000]   two
[00:01:41.000 --> 00:01:41.500]   three
[00:01:41.500 --> 00:01:41.540]   three
[00:01:41.540 --> 00:01:41.720]   two
[00:01:41.720 --> 00:01:41.960]   four
[00:01:41.960 --> 00:01:42.160]   two
[00:01:42.160 --> 00:01:42.460]   three
[00:01:42.460 --> 00:01:42.650]   one
[00:01:42.650 --> 00:01:42.810]   two
[00:01:42.810 --> 00:01:42.990]   two
[00:01:42.990 --> 00:01:43.520]   around
[00:01:43.520 --> 00:01:43.670]   about
[00:01:43.670 --> 00:01:43.850]   two
[00:01:43.850 --> 00:01:44.220]   pounds
[00:01:44.220 --> 00:01:44.400]  .
[00:01:44.400 --> 00:01:44.580]   You
[00:01:44.580 --> 00:01:44.880]   see
[00:01:44.880 --> 00:01:45.060]   th
[00:01:45.060 --> 00:01:45.120]   but
[00:01:45.120 --> 00:01:45.130]   I
[00:01:45.130 --> 00:01:45.550]   started
[00:01:45.550 --> 00:01:45.610]   a
[00:01:45.610 --> 00:01:45.850]   week
[00:01:45.850 --> 00:01:46.080]   ago
[00:01:46.080 --> 00:01:46.150]   so
[00:01:46.150 --> 00:01:46.270]  ,
[00:01:46.270 --> 00:01:46.510]   that
[00:01:46.510 --> 00:01:46.620]  's
[00:01:46.620 --> 00:01:46.890]   kind
[00:01:46.890 --> 00:01:46.990]   of
[00:01:46.990 --> 00:01:47.230]   okay
[00:01:47.230 --> 00:01:48.180]  . [SPEAKER_TURN]
[00:01:48.300 --> 00:01:48.300]  
[00:01:48.300 --> 00:01:48.480]   You
[00:01:48.480 --> 00:01:48.840]  're
[00:01:48.840 --> 00:01:48.840]   not
[00:01:48.840 --> 00:01:49.020]   you
[00:01:49.020 --> 00:01:49.200]  're
[00:01:49.200 --> 00:01:49.380]   not
[00:01:49.380 --> 00:01:49.690]   gonna
[00:01:49.690 --> 00:01:49.810]   do
[00:01:49.810 --> 00:01:50.060]   more
[00:01:50.060 --> 00:01:50.380]   than
[00:01:50.380 --> 00:01:50.490]   two
[00:01:50.490 --> 00:01:50.860]   pounds
[00:01:50.860 --> 00:01:51.610]   consistently
[00:01:51.610 --> 00:01:51.840]  .
[00:01:51.840 --> 00:01:51.850]   I
[00:01:51.850 --> 00:01:52.100]   mean
[00:01:52.100 --> 00:01:52.280]   you
[00:01:52.280 --> 00:01:52.470]  'll
[00:01:52.470 --> 00:01:52.710]   have
[00:01:52.710 --> 00:01:53.060]   drops
[00:01:53.060 --> 00:01:53.200]   but
[00:01:53.200 --> 00:01:53.650]   usually
[00:01:53.650 --> 00:01:53.750]   it
[00:01:53.750 --> 00:01:53.940]   has
[00:01:53.940 --> 00:01:54.050]   to
[00:01:54.050 --> 00:01:54.170]   do
[00:01:54.170 --> 00:01:54.210]   with
[00:01:54.210 --> 00:01:55.220]   dehydration
[00:01:55.220 --> 00:01:55.280]   or
[00:01:55.280 --> 00:01:55.470]   your
[00:01:55.470 --> 00:01:55.530]   r
[00:01:55.530 --> 00:01:55.780]   your
[00:01:55.780 --> 00:01:56.210]   natural
[00:01:56.210 --> 00:01:56.680]   fluct
[00:01:56.680 --> 00:01:56.890]  uation
[00:01:56.890 --> 00:01:57.010]  ,
[00:01:57.010 --> 00:01:57.300]   your
[00:01:57.300 --> 00:01:57.560]   body
[00:01:57.560 --> 00:01:57.700]  'll
[00:01:57.700 --> 00:01:58.000]   fluct
[00:01:58.000 --> 00:01:58.280]  uate
[00:01:58.280 --> 00:01:58.430]  .
[00:01:58.430 --> 00:01:58.490]   I
[00:01:58.490 --> 00:01:58.770]   mean
[00:01:58.770 --> 00:01:58.800]   y
[00:01:58.800 --> 00:01:58.980]   you
[00:01:58.980 --> 00:01:59.070]   you
[00:01:59.070 --> 00:01:59.360]   can
[00:01:59.360 --> 00:01:59.650]   fluct
[00:01:59.650 --> 00:01:59.900]  uate
[00:01:59.900 --> 00:02:00.020]   it
[00:02:00.020 --> 00:02:00.140]   as
[00:02:00.140 --> 00:02:00.310]   you
[00:02:00.310 --> 00:02:00.580]   know
[00:02:00.580 --> 00:02:00.690]   as
[00:02:00.690 --> 00:02:00.810]   we
[00:02:00.810 --> 00:02:01.050]   know
[00:02:01.050 --> 00:02:01.310]   like
[00:02:01.310 --> 00:02:01.490]   two
[00:02:01.490 --> 00:02:01.610]   or
[00:02:01.610 --> 00:02:01.920]   three
[00:02:01.920 --> 00:02:02.360]   pounds
[00:02:02.360 --> 00:02:02.540]   four
[00:02:02.540 --> 00:02:03.030]   pounds
[00:02:03.030 --> 00:02:03.030]   in
[00:02:03.030 --> 00:02:03.400]   a
[00:02:03.400 --> 00:02:03.440]   given
[00:02:03.440 --> 00:02:03.830]   between
[00:02:03.830 --> 00:02:04.010]   two
[00:02:04.010 --> 00:02:04.260]   days
[00:02:04.260 --> 00:02:05.320]  . [SPEAKER_TURN]
[00:02:05.320 --> 00:02:05.560]   That
[00:02:05.560 --> 00:02:05.680]  's
[00:02:05.680 --> 00:02:06.180]   fantastic
[00:02:06.180 --> 00:02:06.290]   so
[00:02:06.290 --> 00:02:06.400]  ,
[00:02:06.400 --> 00:02:06.920]   then
[00:02:06.920 --> 00:02:07.090]   actually
[00:02:07.090 --> 00:02:07.200]   it
[00:02:07.200 --> 00:02:07.310]  's
[00:02:07.310 --> 00:02:07.540]   okay
[00:02:07.540 --> 00:02:07.710]  .
[00:02:07.710 --> 00:02:07.950]   Great
[00:02:07.950 --> 00:02:08.720]  . [SPEAKER_TURN]
[00:02:08.720 --> 00:02:08.760]  
[00:02:08.760 --> 00:02:08.980]   What
[00:02:08.980 --> 00:02:09.060]  's
[00:02:09.060 --> 00:02:09.290]   okay
[00:02:09.290 --> 00:02:09.400]   Oh
[00:02:09.400 --> 00:02:09.570]  ?
[00:02:09.570 --> 00:02:09.800]   that
[00:02:09.800 --> 00:02:09.970]   you
[00:02:09.970 --> 00:02:10.140]  're
[00:02:10.140 --> 00:02:10.310]   two
[00:02:10.310 --> 00:02:10.650]   pounds
[00:02:10.650 --> 00:02:10.820]  ?
[00:02:10.820 --> 00:02:11.040]   Yeah
[00:02:11.040 --> 00:02:11.280]   yeah
[00:02:11.280 --> 00:02:11.560]   no
[00:02:11.560 --> 00:02:11.620]   you
[00:02:11.620 --> 00:02:11.670]   in
[00:02:11.670 --> 00:02:11.900]   fact
[00:02:11.900 --> 00:02:12.070]   you
[00:02:12.070 --> 00:02:12.210]   you
[00:02:12.210 --> 00:02:12.380]   don
[00:02:12.380 --> 00:02:12.600]  't
[00:02:12.600 --> 00:02:12.980]   wanna
[00:02:12.980 --> 00:02:13.100]   spend
[00:02:13.100 --> 00:02:13.270]   too
[00:02:13.270 --> 00:02:13.500]   much
[00:02:13.500 --> 00:02:13.730]   time
[00:02:13.730 --> 00:02:14.070]   obsess
[00:02:14.070 --> 00:02:14.280]  ing
[00:02:14.280 --> 00:02:14.530]   about
[00:02:14.530 --> 00:02:14.760]   like
[00:02:14.760 --> 00:02:14.930]   how
[00:02:14.930 --> 00:02:15.170]   much
[00:02:15.170 --> 00:02:15.420]   you
[00:02:15.420 --> 00:02:15.560]   lost
[00:02:15.560 --> 00:02:15.670]   at
[00:02:15.670 --> 00:02:15.720]   a
[00:02:15.720 --> 00:02:16.010]   given
[00:02:16.010 --> 00:02:16.350]   weight
[00:02:16.350 --> 00:02:16.520]  .
[00:02:16.520 --> 00:02:16.570]   I
[00:02:16.570 --> 00:02:16.800]   mean
[00:02:16.800 --> 00:02:17.040]   you
[00:02:17.040 --> 00:02:17.260]   wanna
[00:02:17.260 --> 00:02:17.490]   keep
[00:02:17.490 --> 00:02:17.600]   an
[00:02:17.600 --> 00:02:17.770]   eye
[00:02:17.770 --> 00:02:17.950]   on
[00:02:17.950 --> 00:02:17.990]   it
[00:02:17.990 --> 00:02:18.160]   but
[00:02:18.160 --> 00:02:18.270]   if
[00:02:18.270 --> 00:02:18.440]   two
[00:02:18.440 --> 00:02:18.690]   weeks
[00:02:18.690 --> 00:02:19.070]   you
[00:02:19.070 --> 00:02:19.120]   don
[00:02:19.120 --> 00:02:19.180]  't
[00:02:19.180 --> 00:02:19.460]   drop
[00:02:19.460 --> 00:02:19.640]   then
[00:02:19.640 --> 00:02:19.930]   there
[00:02:19.930 --> 00:02:20.040]  's
[00:02:20.040 --> 00:02:20.170]   it
[00:02:20.170 --> 00:02:20.260]  's
[00:02:20.260 --> 00:02:20.550]   there
[00:02:20.550 --> 00:02:20.580]  's
[00:02:20.580 --> 00:02:20.770]   a
[00:02:20.770 --> 00:02:21.080]   good
[00:02:21.080 --> 00:02:21.280]   chance
[00:02:21.280 --> 00:02:21.510]   that
[00:02:21.510 --> 00:02:22.040]   something
[00:02:22.040 --> 00:02:22.140]  's
[00:02:22.140 --> 00:02:22.430]   going
[00:02:22.430 --> 00:02:22.540]   on
[00:02:22.540 --> 00:02:22.710]  .
[00:02:22.710 --> 00:02:22.760]   I
[00:02:22.760 --> 00:02:22.990]   mean
[00:02:22.990 --> 00:02:23.240]   I
[00:02:23.240 --> 00:02:23.330]   weigh
[00:02:23.330 --> 00:02:23.670]   myself
[00:02:23.670 --> 00:02:24.020]   every
[00:02:24.020 --> 00:02:24.130]   day
[00:02:24.130 --> 00:02:24.300]   but
[00:02:24.300 --> 00:02:24.410]  ,
[00:02:24.410 --> 00:02:24.460]   I
[00:02:24.460 --> 00:02:24.510]   c
[00:02:24.510 --> 00:02:24.560]   I
[00:02:24.560 --> 00:02:24.730]  'll
[00:02:24.730 --> 00:02:25.130]   include
[00:02:25.130 --> 00:02:25.240]   my
[00:02:25.240 --> 00:02:25.790]   official
[00:02:25.790 --> 00:02:26.000]   weigh
[00:02:26.000 --> 00:02:26.040]  -
[00:02:26.040 --> 00:02:26.150]  in
[00:02:26.150 --> 00:02:26.260]   on
[00:02:26.260 --> 00:02:26.600]   Sunday
[00:02:26.600 --> 00:02:27.000]   morning
[00:02:27.000 --> 00:02:27.170]   but
[00:02:27.170 --> 00:02:27.280]  ,
[00:02:27.280 --> 00:02:27.330]   I
[00:02:27.330 --> 00:02:27.650]   kinda
[00:02:27.650 --> 00:02:27.790]   go
[00:02:27.790 --> 00:02:27.840]   up
[00:02:27.840 --> 00:02:28.010]   and
[00:02:28.010 --> 00:02:28.240]   down
[00:02:28.240 --> 00:02:28.410]   and
[00:02:28.410 --> 00:02:28.450]   I
[00:02:28.450 --> 00:02:28.630]   let
[00:02:28.630 --> 00:02:28.850]   it
[00:02:28.850 --> 00:02:28.920]   get
[00:02:28.920 --> 00:02:29.020]   to
[00:02:29.020 --> 00:02:29.130]   me
[00:02:29.130 --> 00:02:29.700]   sometimes
[00:02:29.700 --> 00:02:29.880]   just
[00:02:29.880 --> 00:02:30.110]   like
[00:02:30.110 --> 00:02:30.570]   watching
[00:02:30.570 --> 00:02:30.740]   the
[00:02:30.740 --> 00:02:31.030]   stock
[00:02:31.030 --> 00:02:31.370]   market
[00:02:31.370 --> 00:02:31.590]   you
[00:02:31.590 --> 00:02:31.710]  're
[00:02:31.710 --> 00:02:31.940]   like
[00:02:31.940 --> 00:02:32.170]   what
[00:02:32.170 --> 00:02:32.340]   the
[00:02:32.340 --> 00:02:32.570]   hell
[00:02:32.570 --> 00:02:32.680]  's
[00:02:32.680 --> 00:02:32.970]   going
[00:02:32.970 --> 00:02:33.130]   on
[00:02:33.130 --> 00:02:33.150]   I
[00:02:33.150 --> 00:02:33.240]  'm
[00:02:33.240 --> 00:02:33.470]   down
[00:02:33.470 --> 00:02:33.700]   yeah
[00:02:33.700 --> 00:02:33.870]  .
[00:02:33.870 --> 00:02:34.040]   You
[00:02:34.040 --> 00:02:34.270]   know
[00:02:34.270 --> 00:02:34.440]   you
[00:02:34.440 --> 00:02:34.610]   get
[00:02:34.610 --> 00:02:34.660]   a
[00:02:34.660 --> 00:02:35.000]   little
