
[00:00:00.000 --> 00:00:00.100]  
[00:00:00.100 --> 00:00:00.350]   The
[00:00:39.170 --> 00:00:39.450]   yourself
[00:00:39.450 --> 00:00:39.880]  ? [SPEAKER_TURN]
[00:00:39.880 --> 00:00:40.140]   Well
[00:00:40.140 --> 00:00:40.440]   um
[00:00:40.440 --> 00:00:40.470]   uh
[00:00:40.470 --> 00:00:40.650]   not
[00:00:40.650 --> 00:00:40.710]   a
[00:00:40.710 --> 00:00:41.220]   hundred
[00:00:41.220 --> 00:00:41.720]   percent
[00:00:41.720 --> 00:00:42.170]   better
[00:00:42.170 --> 00:00:42.290]  ,
[00:00:42.290 --> 00:00:42.510]   but
[00:00:42.510 --> 00:00:42.640]   uh
[00:00:42.640 --> 00:00:42.920]   get
[00:00:42.920 --> 00:00:42.990]   in
[00:00:42.990 --> 00:00:43.340]   there
[00:00:43.340 --> 00:00:44.200]  . [SPEAKER_TURN]
[00:00:44.200 --> 00:00:44.300]   So
[00:00:44.300 --> 00:00:44.450]   you
[00:00:44.450 --> 00:00:44.600]  're
[00:00:44.600 --> 00:00:44.700]   up
[00:00:44.700 --> 00:00:44.940]   in
[00:00:44.940 --> 00:00:44.950]   San
[00:00:44.950 --> 00:00:45.420]   Francisco
[00:00:45.420 --> 00:00:45.520]   um
[00:00:45.520 --> 00:00:45.790]   sorry
[00:00:45.790 --> 00:00:45.930]   San
[00:00:45.930 --> 00:00:46.050]  ,
[00:00:46.050 --> 00:00:46.140]   Ru
[00:00:46.140 --> 00:00:46.230]  ud
[00:00:46.230 --> 00:00:46.280]   I
[00:00:46.280 --> 00:00:46.410]  .
[00:00:46.410 --> 00:00:46.650]   mean
[00:00:46.650 --> 00:00:47.000]   Chicago
[00:00:47.000 --> 00:00:47.150]   for
[00:00:47.150 --> 00:00:47.300]   two
[00:00:47.300 --> 00:00:47.560]   weeks
[00:00:47.560 --> 00:00:47.660]   is
[00:00:47.660 --> 00:00:47.760]  ,
[00:00:47.760 --> 00:00:48.070]   that
[00:00:48.070 --> 00:00:48.230]   right
[00:00:48.230 --> 00:00:48.960]  ? [SPEAKER_TURN]
[00:00:48.960 --> 00:00:49.220]   Yeah
[00:00:49.220 --> 00:00:49.380]   well
[00:00:49.380 --> 00:00:49.610]   one
[00:00:49.610 --> 00:00:49.750]   week
[00:00:49.750 --> 00:00:49.840]   we
[00:00:49.840 --> 00:00:50.000]  've
[00:00:50.000 --> 00:00:50.050]   I
[00:00:50.050 --> 00:00:50.410]  've
[00:00:50.410 --> 00:00:50.430]   been
[00:00:50.430 --> 00:00:50.620]   here
[00:00:50.620 --> 00:00:50.810]   for
[00:00:50.810 --> 00:00:51.000]   one
[00:00:51.000 --> 00:00:51.150]   week
[00:00:51.150 --> 00:00:51.310]   so
[00:00:51.310 --> 00:00:51.410]   far
[00:00:51.410 --> 00:00:52.060]  . [SPEAKER_TURN]
[00:00:52.060 --> 00:00:52.170]   And
[00:00:52.170 --> 00:00:52.290]   that
[00:00:52.290 --> 00:00:52.570]  's
[00:00:52.570 --> 00:00:52.640]   working
[00:00:52.640 --> 00:00:52.790]   with
[00:00:52.790 --> 00:00:53.040]   digital
[00:00:53.040 --> 00:00:53.150]   how
[00:00:53.150 --> 00:00:53.220]  's
[00:00:53.220 --> 00:00:53.360]   that
[00:00:53.360 --> 00:00:53.540]   going
[00:00:53.540 --> 00:00:54.000]  ? [SPEAKER_TURN]
[00:00:54.320 --> 00:00:54.390]  
[00:00:54.390 --> 00:00:54.680]   Yeah
[00:00:54.680 --> 00:00:55.130]   great
[00:00:55.130 --> 00:00:55.620]   um
[00:00:55.620 --> 00:00:56.050]   actually
[00:00:56.050 --> 00:00:56.400]   we
[00:00:56.400 --> 00:00:56.500]   had
[00:00:56.500 --> 00:00:56.620]   a
[00:00:56.620 --> 00:00:57.050]   great
[00:00:57.050 --> 00:00:57.420]   exc
[00:00:57.420 --> 00:00:57.990]  ursion
[00:00:57.990 --> 00:00:58.690]   yesterday
[00:00:58.690 --> 00:00:58.870]   um
[00:00:58.870 --> 00:00:59.140]   the
[00:00:59.140 --> 00:00:59.230]   C
[00:00:59.230 --> 00:00:59.320]  _
[00:00:59.320 --> 00:00:59.460]  O
[00:00:59.460 --> 00:00:59.590]  _
[00:00:59.590 --> 00:00:59.670]  O
[00:00:59.670 --> 00:00:59.680]  _
[00:00:59.680 --> 00:01:00.040]   owns
[00:01:00.040 --> 00:01:00.130]   a
[00:01:00.130 --> 00:01:00.760]   really
[00:01:00.760 --> 00:01:01.040]   nice
[00:01:01.040 --> 00:01:01.220]   uh
[00:01:01.220 --> 00:01:01.700]   power
[00:01:01.700 --> 00:01:02.040]   boat
[00:01:02.040 --> 00:01:02.220]   we
[00:01:02.220 --> 00:01:02.720]   went
[00:01:02.720 --> 00:01:02.760]   on
[00:01:02.760 --> 00:01:03.120]   Lake
[00:01:03.120 --> 00:01:03.850]   Michigan
[00:01:03.850 --> 00:01:04.300]  ,
[00:01:04.300 --> 00:01:04.300]   had
[00:01:04.300 --> 00:01:04.690]   a
[00:01:04.690 --> 00:01:04.940]   picnic
[00:01:04.940 --> 00:01:05.120]   it
[00:01:05.120 --> 00:01:05.520]  's
[00:01:05.520 --> 00:01:05.840]   really
[00:01:05.840 --> 00:01:06.480]   nice
[00:01:06.480 --> 00:01:07.400]  . [SPEAKER_TURN]
[00:01:07.400 --> 00:01:07.680]   Yeah
[00:01:07.680 --> 00:01:07.860]   yeah
[00:01:07.860 --> 00:01:08.200]   but
[00:01:08.200 --> 00:01:08.260]   well
[00:01:08.260 --> 00:01:08.310]   s
[00:01:08.310 --> 00:01:08.420]   sh
[00:01:08.420 --> 00:01:08.530]   uh
[00:01:08.530 --> 00:01:08.720]   Chicago
[00:01:08.720 --> 00:01:09.220]   in
[00:01:09.220 --> 00:01:09.240]   the
[00:01:09.240 --> 00:01:09.570]   summer
[00:01:09.570 --> 00:01:09.800]  time
[00:01:09.800 --> 00:01:09.910]   is
[00:01:09.910 --> 00:01:10.260]   really
[00:01:10.260 --> 00:01:10.490]   nice
[00:01:10.490 --> 00:01:10.540]   I
[00:01:10.540 --> 00:01:10.710]  .
[00:01:10.710 --> 00:01:10.940]   mean
[00:01:10.940 --> 00:01:11.170]   well
[00:01:11.170 --> 00:01:11.280]   it
[00:01:11.280 --> 00:01:11.430]  's
[00:01:11.430 --> 00:01:11.500]   it
[00:01:11.500 --> 00:01:11.610]  's
[00:01:11.610 --> 00:01:11.900]   humid
[00:01:11.900 --> 00:01:12.070]   but
[00:01:12.070 --> 00:01:12.360]   there
[00:01:12.360 --> 00:01:12.470]  's
[00:01:12.470 --> 00:01:12.580]   so
[00:01:12.580 --> 00:01:12.810]   much
[00:01:12.810 --> 00:01:13.200]   energy
[00:01:13.200 --> 00:01:13.570]   because
[00:01:13.570 --> 00:01:14.100]   everybody
[00:01:14.100 --> 00:01:14.320]  's
[00:01:14.320 --> 00:01:14.550]   co
[00:01:14.550 --> 00:01:14.610]  oped
[00:01:14.610 --> 00:01:14.660]   up
[00:01:14.660 --> 00:01:14.830]   for
[00:01:14.830 --> 00:01:14.940]   so
[00:01:14.940 --> 00:01:15.170]   many
[00:01:15.170 --> 00:01:15.520]   months
[00:01:15.520 --> 00:01:15.630]   of
[00:01:15.630 --> 00:01:16.030]   the
[00:01:16.030 --> 00:01:16.140]   year
[00:01:16.140 --> 00:01:17.000]  . [SPEAKER_TURN]
[00:01:17.000 --> 00:01:17.210]   Yeah
[00:01:17.210 --> 00:01:17.420]   well
[00:01:17.420 --> 00:01:17.520]   it
[00:01:17.520 --> 00:01:17.860]   doesn
[00:01:17.860 --> 00:01:17.890]  't
[00:01:17.890 --> 00:01:18.150]   it
[00:01:18.150 --> 00:01:18.260]   doesn
[00:01:18.260 --> 00:01:18.360]  't
[00:01:18.360 --> 00:01:18.570]   seem
[00:01:18.570 --> 00:01:18.840]   humid
[00:01:18.840 --> 00:01:19.110]   right
[00:01:19.110 --> 00:01:19.270]   now
[00:01:19.270 --> 00:01:19.560]  . [SPEAKER_TURN]
[00:01:19.560 --> 00:01:20.090]   Oh
[00:01:20.090 --> 00:01:20.150]   really
[00:01:20.150 --> 00:01:20.360]   that
[00:01:20.360 --> 00:01:20.490]  's
[00:01:20.490 --> 00:01:21.030]   nice
[00:01:21.030 --> 00:01:21.160]   well
[00:01:21.160 --> 00:01:21.220]  ,
[00:01:21.220 --> 00:01:21.430]   that
[00:01:21.430 --> 00:01:21.550]  's
[00:01:21.550 --> 00:01:21.890]   great
[00:01:21.890 --> 00:01:22.680]  . [SPEAKER_TURN]
[00:01:22.680 --> 00:01:22.750]   Yeah
[00:01:22.750 --> 00:01:23.190]  .
[00:01:23.190 --> 00:01:23.470]   Especially
[00:01:23.470 --> 00:01:23.720]   nice
[00:01:23.720 --> 00:01:24.000]   yeah
[00:01:24.000 --> 00:01:24.020]  ,
[00:01:24.300 --> 00:01:24.370]   Right
[00:01:24.370 --> 00:01:24.390]   and
[00:01:24.390 --> 00:01:24.500]   you
[00:01:24.500 --> 00:01:24.630]  're
[00:01:24.630 --> 00:01:24.720]   up
[00:01:24.720 --> 00:01:24.940]   there
[00:01:24.940 --> 00:01:25.070]   are
[00:01:25.070 --> 00:01:25.200]   you
[00:01:25.200 --> 00:01:25.370]   you
[00:01:25.370 --> 00:01:25.680]   spending
[00:01:25.680 --> 00:01:25.860]   much
[00:01:25.860 --> 00:01:26.040]   time
[00:01:26.040 --> 00:01:26.190]   on
[00:01:26.190 --> 00:01:26.310]   Lake
[00:01:26.310 --> 00:01:26.660]   Michigan
[00:01:26.660 --> 00:01:26.880]   other
[00:01:26.880 --> 00:01:27.060]   than
[00:01:27.060 --> 00:01:27.160]   uh
[00:01:27.160 --> 00:01:27.330]   than
[00:01:27.330 --> 00:01:27.460]   the
[00:01:27.460 --> 00:01:27.550]   bo
[00:01:27.550 --> 00:01:27.770]  ating
[00:01:27.770 --> 00:01:28.340]  ? [SPEAKER_TURN]
[00:01:28.340 --> 00:01:28.670]   Well
[00:01:28.670 --> 00:01:28.670]   we
[00:01:28.670 --> 00:01:28.720]   d
[00:01:28.720 --> 00:01:28.830]   we
[00:01:28.830 --> 00:01:29.020]   we
[00:01:29.020 --> 00:01:29.160]   were
[00:01:29.160 --> 00:01:29.220]   I
[00:01:29.220 --> 00:01:29.320]   th
[00:01:29.320 --> 00:01:29.370]   I
[00:01:29.370 --> 00:01:29.650]   think
[00:01:29.650 --> 00:01:29.780]   it
[00:01:29.780 --> 00:01:29.860]   it
[00:01:29.860 --> 00:01:30.230]   turned
[00:01:30.230 --> 00:01:30.350]   out
[00:01:30.350 --> 00:01:30.630]   that
[00:01:30.630 --> 00:01:30.680]   we
[00:01:30.680 --> 00:01:30.930]   were
[00:01:30.930 --> 00:01:31.010]   on
[00:01:31.010 --> 00:01:31.170]   the
[00:01:31.170 --> 00:01:31.280]   on
[00:01:31.280 --> 00:01:31.440]   the
[00:01:31.440 --> 00:01:31.660]   lake
[00:01:31.660 --> 00:01:31.820]   for
[00:01:31.820 --> 00:01:32.090]   eight
[00:01:32.090 --> 00:01:32.360]   hours
[00:01:32.360 --> 00:01:32.910]   yesterday
[00:01:32.910 --> 00:01:33.020]  .
[00:01:33.020 --> 00:01:33.070]   I
[00:01:33.070 --> 00:01:33.260]   don
[00:01:33.260 --> 00:01:33.490]  't
[00:01:33.490 --> 00:01:33.560]   know
[00:01:33.560 --> 00:01:33.830]   where
[00:01:33.830 --> 00:01:33.970]   the
[00:01:33.970 --> 00:01:34.430]   time
[00:01:34.430 --> 00:01:34.460]   went
[00:01:34.460 --> 00:01:34.590]   but
[00:01:34.590 --> 00:01:34.700]  ,
[00:01:34.700 --> 00:01:34.810]   it
[00:01:34.810 --> 00:01:35.070]   was
[00:01:35.070 --> 00:01:35.190]   just
[00:01:35.190 --> 00:01:35.240]   v
[00:01:35.240 --> 00:01:35.450]   just
[00:01:35.450 --> 00:01:35.790]   really
[00:01:35.790 --> 00:01:36.010]   nice
[00:01:36.010 --> 00:01:36.170]   and
[00:01:36.170 --> 00:01:36.610]   relaxing
[00:01:36.610 --> 00:01:36.940]   really
[00:01:36.940 --> 00:01:37.160]   nice
[00:01:37.160 --> 00:01:37.360]   day
[00:01:37.360 --> 00:01:38.140]  . [SPEAKER_TURN]
[00:01:38.140 --> 00:01:38.680]   You
[00:01:38.680 --> 00:01:39.030]   know
[00:01:39.030 --> 00:01:39.940]   what
[00:01:39.940 --> 00:01:40.050]   just
[00:01:40.050 --> 00:01:40.950]   working
[00:01:40.950 --> 00:01:41.460]   hard
[00:01:41.460 --> 00:01:42.160]  .
[00:01:42.160 --> 00:01:42.350]   What
[00:01:42.350 --> 00:01:42.860]   about
[00:01:42.860 --> 00:01:43.570]   you
[00:01:43.570 --> 00:01:43.750]  ?
[00:01:43.750 --> 00:01:44.110]   You
[00:01:44.110 --> 00:01:44.530]   you
[00:01:44.530 --> 00:01:44.890]   had
[00:01:44.890 --> 00:01:45.010]   a
[00:01:45.010 --> 00:01:45.450]   lot
[00:01:45.450 --> 00:01:45.650]   of
[00:01:45.650 --> 00:01:46.290]   stuff
[00:01:46.290 --> 00:01:46.540]   to
[00:01:46.540 --> 00:01:47.050]   talk
[00:01:47.050 --> 00:01:47.740]   about
[00:01:47.740 --> 00:01:49.280]  . [SPEAKER_TURN]
[00:01:49.520 --> 00:01:49.540]  
[00:01:49.540 --> 00:01:49.590]   Uh
[00:01:49.590 --> 00:01:49.590]   well
[00:01:49.590 --> 00:01:49.660]   first
[00:01:49.660 --> 00:01:49.670]   I
[00:01:49.670 --> 00:01:49.680]   w
[00:01:49.680 --> 00:01:49.690]   I
[00:01:49.690 --> 00:01:49.700]   w
[00:01:49.700 --> 00:01:49.710]   I
[00:01:49.710 --> 00:01:49.750]   you
[00:01:49.750 --> 00:01:49.800]   know
[00:01:49.800 --> 00:01:49.810]   '
[00:01:49.810 --> 00:01:49.880]  cause
[00:01:49.880 --> 00:01:49.900]   th
[00:01:49.900 --> 00:01:49.950]   this
[00:01:49.950 --> 00:01:49.990]   two
[00:01:49.990 --> 00:01:50.040]   week
[00:01:50.040 --> 00:01:50.130]   visit
[00:01:50.130 --> 00:01:50.140]   or
[00:01:50.140 --> 00:01:50.170]   two
[00:01:50.170 --> 00:01:50.220]   week
[00:01:50.220 --> 00:01:50.250]   uh
[00:01:50.250 --> 00:01:50.290]   I
[00:01:50.290 --> 00:01:50.320]   dunno
[00:01:50.320 --> 00:01:50.520]   which
[00:01:50.520 --> 00:01:50.940]   gotta
[00:01:50.940 --> 00:01:51.270]   work
[00:01:51.270 --> 00:01:51.410]   on
[00:01:51.410 --> 00:01:51.800]   a
[00:01:51.800 --> 00:01:51.840]   work
[00:01:51.840 --> 00:01:52.260]   trip
[00:01:52.260 --> 00:01:52.420]  .
[00:01:52.420 --> 00:01:52.580]   We
[00:01:52.580 --> 00:01:52.740]   we
[00:01:52.740 --> 00:01:53.140]   you
[00:01:53.140 --> 00:01:53.240]   and
[00:01:53.240 --> 00:01:53.340]   I
[00:01:53.340 --> 00:01:53.630]   had
[00:01:53.630 --> 00:01:53.650]   a
[00:01:53.650 --> 00:01:53.900]   lot
[00:01:53.900 --> 00:01:54.060]   of
[00:01:54.060 --> 00:01:54.390]   talk
[00:01:54.390 --> 00:01:54.970]   about
[00:01:54.970 --> 00:01:54.980]   it
[00:01:54.980 --> 00:01:55.640]   offline
[00:01:55.640 --> 00:01:55.910]   '
[00:01:55.910 --> 00:01:56.060]  cause
[00:01:56.060 --> 00:01:56.130]   I
[00:01:56.130 --> 00:01:56.530]   was
[00:01:56.530 --> 00:01:56.890]   saying
[00:01:56.890 --> 00:01:57.220]   that
[00:01:57.220 --> 00:01:57.380]  's
[00:01:57.380 --> 00:01:57.820]   kinda
[00:01:57.820 --> 00:01:58.000]   it
[00:01:58.000 --> 00:01:58.120]  'd
[00:01:58.120 --> 00:01:58.280]   be
[00:01:58.280 --> 00:01:58.360]   a
[00:01:58.360 --> 00:01:58.700]   long
[00:01:58.700 --> 00:01:59.020]   time
[00:01:59.020 --> 00:01:59.170]   to
[00:01:59.170 --> 00:01:59.410]   be
[00:01:59.410 --> 00:01:59.670]   away
[00:01:59.670 --> 00:01:59.920]  .
[00:01:59.920 --> 00:02:00.000]   I
[00:02:00.000 --> 00:02:00.330]   mean
[00:02:00.330 --> 00:02:00.580]   how
[00:02:00.580 --> 00:02:00.860]   how
[00:02:00.860 --> 00:02:00.990]   is
[00:02:00.990 --> 00:02:01.290]   it
[00:02:01.290 --> 00:02:01.740]   working
[00:02:01.740 --> 00:02:01.990]   out
[00:02:01.990 --> 00:02:03.220]  ? [SPEAKER_TURN]
[00:02:03.220 --> 00:02:04.680]   M
[00:02:04.680 --> 00:02:06.120]  m
[00:02:06.120 --> 00:02:07.590]  -
[00:02:07.590 --> 00:02:09.000]  h
[00:02:09.000 --> 00:02:11.920]  mm
[00:02:11.920 --> 00:02:16.260]  .
[00:02:16.260 --> 00:02:16.590]   M
[00:02:16.590 --> 00:02:16.920]  m
[00:02:16.920 --> 00:02:17.250]  -
[00:02:17.250 --> 00:02:17.640]  h
[00:02:17.640 --> 00:02:18.240]  mm
[00:02:18.240 --> 00:02:19.260]  .
[00:02:19.260 --> 00:02:19.410]  
[00:02:19.410 --> 00:02:19.480]   So
[00:02:19.480 --> 00:02:19.800]   there
[00:02:19.800 --> 00:02:19.950]  's
[00:02:19.950 --> 00:02:20.100]   uh
[00:02:20.100 --> 00:02:20.580]   curric
[00:02:20.580 --> 00:02:20.870]  ular
[00:02:20.870 --> 00:02:21.340]   reviewers
[00:02:21.340 --> 00:02:22.090]   and
[00:02:22.090 --> 00:02:22.340]   editors
[00:02:22.340 --> 00:02:22.570]   and
[00:02:22.570 --> 00:02:22.710]   um
[00:02:22.710 --> 00:02:22.940]   the
[00:02:22.940 --> 00:02:23.410]   rest
[00:02:23.410 --> 00:02:23.440]   of
[00:02:23.440 --> 00:02:23.640]   the
[00:02:23.640 --> 00:02:23.950]   team
[00:02:23.950 --> 00:02:24.290]  .
[00:02:24.290 --> 00:02:24.330]   So
[00:02:24.330 --> 00:02:24.480]   it
[00:02:24.480 --> 00:02:24.620]  's
[00:02:24.620 --> 00:02:24.780]   it
[00:02:24.780 --> 00:02:24.930]  's
[00:02:24.930 --> 00:02:25.300]   nice
[00:02:25.300 --> 00:02:25.390]   to
[00:02:25.390 --> 00:02:25.700]   kind
[00:02:25.700 --> 00:02:25.850]   of
[00:02:25.850 --> 00:02:26.070]   be
[00:02:26.070 --> 00:02:26.170]   in
[00:02:26.170 --> 00:02:26.540]   the
[00:02:26.540 --> 00:02:26.840]   office
[00:02:26.840 --> 00:02:27.070]   and
[00:02:27.070 --> 00:02:27.220]   be
[00:02:27.220 --> 00:02:27.560]   part
[00:02:27.560 --> 00:02:27.680]   of
[00:02:27.680 --> 00:02:28.300]   that
[00:02:28.300 --> 00:02:28.390]   that
[00:02:28.390 --> 00:02:28.610]   vibe
[00:02:28.610 --> 00:02:28.890]  .
[00:02:28.890 --> 00:02:29.630]   But
[00:02:29.630 --> 00:02:30.130]   then
[00:02:30.130 --> 00:02:30.750]   also
[00:02:30.750 --> 00:02:31.150]   um
[00:02:31.150 --> 00:02:31.150]   I
[00:02:31.150 --> 00:02:31.160]   I
[00:02:31.160 --> 00:02:31.340]   don
[00:02:31.340 --> 00:02:31.450]  't
[00:02:31.450 --> 00:02:31.650]   know
[00:02:31.650 --> 00:02:31.830]   I
[00:02:31.830 --> 00:02:32.000]   mean
[00:02:32.000 --> 00:02:32.190]   it
[00:02:32.190 --> 00:02:32.250]   doesn
[00:02:32.250 --> 00:02:32.360]  't
[00:02:32.360 --> 00:02:32.550]   feel
[00:02:32.550 --> 00:02:32.750]   like
[00:02:32.750 --> 00:02:32.800]   a
[00:02:32.800 --> 00:02:33.000]   long
[00:02:33.000 --> 00:02:33.220]   time
[00:02:33.220 --> 00:02:33.550]   because
[00:02:33.550 --> 00:02:33.600]   I
[00:02:33.600 --> 00:02:33.700]  'm
[00:02:33.700 --> 00:02:33.900]   just
[00:02:33.900 --> 00:02:34.170]   doing
[00:02:34.170 --> 00:02:34.400]   stuff
[00:02:34.400 --> 00:02:34.780]   that
[00:02:34.780 --> 00:02:34.850]   needs
[00:02:34.850 --> 00:02:34.950]   to
[00:02:34.950 --> 00:02:35.050]   be
[00:02:35.050 --> 00:02:35.250]   done
[00:02:35.250 --> 00:02:35.400]   you
[00:02:35.400 --> 00:02:35.500]  ,
[00:02:35.500 --> 00:02:35.730]   know
[00:02:35.730 --> 00:02:36.280]  . [SPEAKER_TURN]
[00:02:37.120 --> 00:02:37.160]  
[00:02:37.160 --> 00:02:37.350]   Yeah
[00:02:37.350 --> 00:02:37.460]   so
[00:02:37.460 --> 00:02:37.630]   for
[00:02:37.630 --> 00:02:38.020]   people
[00:02:38.020 --> 00:02:38.140]   who
[00:02:38.140 --> 00:02:38.320]   don
[00:02:38.320 --> 00:02:38.430]  't
[00:02:38.430 --> 00:02:38.590]   who
[00:02:38.590 --> 00:02:38.770]   don
[00:02:38.770 --> 00:02:38.880]  't
[00:02:38.880 --> 00:02:39.110]   know
[00:02:39.110 --> 00:02:39.160]   I
[00:02:39.160 --> 00:02:39.390]   mean
[00:02:39.390 --> 00:02:39.870]   digital
[00:02:39.870 --> 00:02:39.910]   is
[00:02:39.910 --> 00:02:40.200]   based
[00:02:40.200 --> 00:02:40.370]   out
[00:02:40.370 --> 00:02:40.480]   of
[00:02:40.480 --> 00:02:40.940]   Chicago
[00:02:40.940 --> 00:02:41.000]  ,
[00:02:41.000 --> 00:02:41.170]   you
[00:02:41.170 --> 00:02:41.510]   live
[00:02:41.510 --> 00:02:41.560]   in
[00:02:41.560 --> 00:02:41.980]   Pasadena
[00:02:41.980 --> 00:02:42.140]   and
[00:02:42.140 --> 00:02:42.430]   you
[00:02:42.430 --> 00:02:42.490]  've
[00:02:42.490 --> 00:02:43.020]   mentioned
[00:02:43.020 --> 00:02:43.130]   at
[00:02:43.130 --> 00:02:43.420]   least
[00:02:43.420 --> 00:02:43.830]   offline
[00:02:43.830 --> 00:02:43.880]   a
[00:02:43.880 --> 00:02:44.300]   number
[00:02:44.300 --> 00:02:44.340]   of
[00:02:44.340 --> 00:02:44.630]   times
[00:02:44.630 --> 00:02:44.860]   that
[00:02:44.860 --> 00:02:45.030]   you
[00:02:45.030 --> 00:02:45.260]   felt
[00:02:45.260 --> 00:02:45.310]   a
